buyer_name,implementation_location_province,No,supplier_name,items_description,UNIT OF MEASURE,items_quantity,order_amount_zar
Mpumalanga Department of Health (DOH),Mpumalanga,225,EVERGREEN       ,Gloves examination non-sterile,Pack of 100,200 000,99721.10
Mpumalanga Department of Health (DOH),Mpumalanga,226,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,2 159,290385.50
Mpumalanga Department of Health (DOH),Mpumalanga,227,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,3 174,426903.00
Mpumalanga Department of Health (DOH),Mpumalanga,228,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,1 941,261064.50
Mpumalanga Department of Health (DOH),Mpumalanga,229,VIOMED       ,Hand Sanitizers,500ml,3 000,106950.00
Mpumalanga Department of Health (DOH),Mpumalanga,230,BCN MEDICAL      ,Coveralls,Each,8 750,654062.50
Mpumalanga Department of Health (DOH),Mpumalanga,231,BCN MEDICAL      ,Coveralls,Each,7 600,568100.00
Mpumalanga Department of Health (DOH),Mpumalanga,232,BCN MEDICAL      ,Coveralls,Each,1 000,74750.00
Mpumalanga Department of Health (DOH),Mpumalanga,233,BCN MEDICAL      ,Boot covers,Pack of 100,13 500,16301.25
Mpumalanga Department of Health (DOH),Mpumalanga,234,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,180,24210.00
Mpumalanga Department of Health (DOH),Mpumalanga,235,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,4 650,28242.56
Mpumalanga Department of Health (DOH),Mpumalanga,236,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,14 700,1977150.00
Mpumalanga Department of Health (DOH),Mpumalanga,237,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,900,121050.00
Mpumalanga Department of Health (DOH),Mpumalanga,238,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,1 200,161400.00
Mpumalanga Department of Health (DOH),Mpumalanga,239,BAFEPI GENERAL ENTERPRISE (PT ,Masks Respirator N95/FFP2/KN9 ,Each,50 000,1840000.00
Mpumalanga Department of Health (DOH),Mpumalanga,240,CLINIPRO (PTY) LTD     ,Masks Surgical/medical,Pack of 50,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,241,LOMA HOLDINGS GROUP (PTY) LTD   ,Coveralls,Each,20 000,4959996.00
Mpumalanga Department of Health (DOH),Mpumalanga,242,MOTHUDI SERVICES      ,Gloves surgical,Pack of 50,73 450,433355.00
Mpumalanga Department of Health (DOH),Mpumalanga,243,MOTHUDI SERVICES,Gloves  surgical,Pack  of 50,14  050,433355.00
Mpumalanga Department of Health (DOH),Mpumalanga,244,SIYAPHAMBILI DHN PROJECTS,Gowns  Disposable,Each,3  840,517824.00
Mpumalanga Department of Health (DOH),Mpumalanga,245,SIYAPHAMBILI DHN PROJECTS,Gowns  Disposable,Each,3  480,469278.00
Mpumalanga Department of Health (DOH),Mpumalanga,246,CTP  MEDIA,Business  Lowvelder  Express,,,4512.60
Mpumalanga Department of Health (DOH),Mpumalanga,247,CTP  MEDIA,Business  Lowvelder  Friday Special Rate,,,4140.00
Mpumalanga Department of Health (DOH),Mpumalanga,248,LOMA  HOLDINGS  GROUP  (PTY)  LTD,A4  Printing  Paper:80g/m2  500 sheets  per  Ream,,2  000,192800.00
Mpumalanga Department of Health (DOH),Mpumalanga,249,LOMA  HOLDINGS  GROUP  (PTY)  LTD,A3  printing  paper:80g/m2  500 sheets  Per  Ream,,500,106260.00
Mpumalanga Department of Health (DOH),Mpumalanga,250,LOMA  HOLDINGS  GROUP  (PTY)  LTD,AAA  Batteries,,3  360,28694.40
Mpumalanga Department of Health (DOH),Mpumalanga,251,LOMA  HOLDINGS  GROUP  (PTY)  LTD,AA  Rechargeable  Batteries,,900,61488.00
Mpumalanga Department of Health (DOH),Mpumalanga,252,LOMA  HOLDINGS  GROUP  (PTY)  LTD,Permanent Marker,,200,3260.00
Mpumalanga Department of Health (DOH),Mpumalanga,253,CIVISCENE  (PTY)  LTD,"Mask, Dustmask ",,5  000,125000.00
Mpumalanga Department of Health (DOH),Mpumalanga,254,ASHVIN SUPPLY &PROJECT,Supply and  Delivery of 4000  AAA Batteries,,4  000,68000.00
Mpumalanga Department of Health (DOH),Mpumalanga,255,MPUMALANGA  TOURSM  AND  PARK,Accommodation,,141,826361.92
Mpumalanga Department of Health (DOH),Mpumalanga,256,BHUDLU INVESTMENTS,Cleaning  Chemicals,,,461420.10
Mpumalanga Department of Health (DOH),Mpumalanga,257,LESOLGA  TRADING,"A4  Printing  Paper:80gsm, 500 sheets  per  ream",,4  000,408000.00
Mpumalanga Department of Health (DOH),Mpumalanga,258,LESOLGA  TRADING,"A4  Printing  Paper:80gsm, 500 sheets  per  ream",,400,88000.00
Mpumalanga Department of Health (DOH),Mpumalanga,259,IMPILOLWANDLE  TRADING PTY LTD,A4  Printing  paper(Reams),,4  000,336000.00
Mpumalanga Department of Health (DOH),Mpumalanga,260,FRC  INVESTMENT,Supply and  Delivery FO AAA Batteries,,700,11095.00
Mpumalanga Department of Health (DOH),Mpumalanga,261,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,7,1894.39
Mpumalanga Department of Health (DOH),Mpumalanga,262,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,,3437.73
Mpumalanga Department of Health (DOH),Mpumalanga,263,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,,4246.88
Mpumalanga Department of Health (DOH),Mpumalanga,264,MTSAKATSAKA  TRADING (PTY)  LTD,Battery-AAA,,3  600,215604.00
Mpumalanga Department of Health (DOH),Mpumalanga,265,MTSAKATSAKA  TRADING (PTY)  LTD,Round  neck  lanyards,,3  000,45000.00
Mpumalanga Department of Health (DOH),Mpumalanga,266,VITAE  ZOE,Digital body Thermometer Infrared  Non Contact,,1  000,2280000.00
Mpumalanga Department of Health (DOH),Mpumalanga,267,SHUMELAHAYA  INVESTMENT,"Supply and  delivery of branded backpacks(Adjustable  back straps, front with zip  pocket, polyester  Cleaning  Rental of Hygienematerial)",,7  000,1082725.00
Mpumalanga Department of Health (DOH),Mpumalanga,268,MASHININI'S  TRADING (PTY)  LTD,Cleaning  Equipment,,1,269100.00
Mpumalanga Department of Health (DOH),Mpumalanga,269,VODACOM,TABLETS,,320,1714512.00
Mpumalanga Department of Health (DOH),Mpumalanga,270,VITAE  ZOE,Digital body Thermometer Infrared  Non Contact,,300,6840000.00
Mpumalanga Department of Health (DOH),Mpumalanga,271,GRACIOUS  PROJECT,hand  sanitizer 5litre,,450,307912.50
Mpumalanga Department of Health (DOH),Mpumalanga,272,GRACIOUS  PROJECT,Themba  fumigation,,1,60260.00
Mpumalanga Department of Health (DOH),Mpumalanga,273,GRACIOUS  PROJECT,fumigation,,1,64285.00
Mpumalanga Department of Health (DOH),Mpumalanga,274,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,75325.00
Mpumalanga Department of Health (DOH),Mpumalanga,275,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,125005.00
Mpumalanga Department of Health (DOH),Mpumalanga,276,GRACIOUS  PROJECT,Themba  fumigation,,1,86135.00
Mpumalanga Department of Health (DOH),Mpumalanga,277,GRACIOUS  PROJECT,Clinic  fumigation,,1,91885.00
Mpumalanga Department of Health (DOH),Mpumalanga,278,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,59455.00
Mpumalanga Department of Health (DOH),Mpumalanga,279,GRACIOUS  PROJECT,Andova  and  Manyeleti  Fumigation,,1,50255.00
Mpumalanga Department of Health (DOH),Mpumalanga,280,GRACIOUS  PROJECT,MRTT Fumigation,,1,48702.50
Mpumalanga Department of Health (DOH),Mpumalanga,281,GRACIOUS  PROJECT,Lowveld,high school  fumigation,1,2021700.00
Mpumalanga Department of Health (DOH),Mpumalanga,282,GRACIOUS  PROJECT,hand  sanitizer  750ml,,10,1725.00
Mpumalanga Department of Health (DOH),Mpumalanga,283,GRACIOUS  PROJECT,Themba  fumigation,,1,66815.00
Mpumalanga Department of Health (DOH),Mpumalanga,284,GRACIOUS  PROJECT,Royal  hotel  Fumigation,,1,109480.00
Mpumalanga Department of Health (DOH),Mpumalanga,285,GRACIOUS  PROJECT,MRTT Fumigation,,1,59915.00
Mpumalanga Department of Health (DOH),Mpumalanga,286,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,71357.50
Mpumalanga Department of Health (DOH),Mpumalanga,287,GRACIOUS  PROJECT,hand  sanitizer  750ml,,300,51750.00
Mpumalanga Department of Health (DOH),Mpumalanga,288,GRACIOUS  PROJECT,Amajuba  memorial  fumigating,,2,431425.40
Mpumalanga Department of Health (DOH),Mpumalanga,289,GRACIOUS  PROJECT,hand  sanitizer  750ml,,700,120750.00
Mpumalanga Department of Health (DOH),Mpumalanga,290,GRACIOUS  PROJECT,MRTT Fumigation,,1,10016.50
Mpumalanga Department of Health (DOH),Mpumalanga,291,GRACIOUS  PROJECT,Bhuga  clinic fumigation,,1,118335.00
Mpumalanga Department of Health (DOH),Mpumalanga,292,GRACIOUS  PROJECT,hand  sanitizer  5  -  litres,5  litres,350,239487.50
Mpumalanga Department of Health (DOH),Mpumalanga,293,BLEVILLA,Custom  cord  lanyard  material,,7  000,112000.00
Mpumalanga Department of Health (DOH),Mpumalanga,294,M  G  MANGOBE,Gazebo  branded,,350,2451000.00
Mpumalanga Department of Health (DOH),Mpumalanga,295,EZWANE  TRANSPORT,A3  &  A4  Printing  paper,,2  500,299060.00
Mpumalanga Department of Health (DOH),Mpumalanga,296,NOTHANDO  GENERAL,Catering,,30,3600.00
Mpumalanga Department of Health (DOH),Mpumalanga,297,UNCLE  THOLI,Crime  scene  kits,,4  500,495000.00
Mpumalanga Department of Health (DOH),Mpumalanga,298,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,299,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,300,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,5  000,719900.00
Mpumalanga Department of Health (DOH),Mpumalanga,301,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,4  000,575920.00
Mpumalanga Department of Health (DOH),Mpumalanga,302,CLINIPRO  (PTY)  LTD,Germkill  hand  wash anti  bacterial 1  litre,each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,303,CLINIPRO  (PTY)  LTD,Germkill  hand  wash anti  bacterial 1  litre,each,1  000,186622.00
Mpumalanga Department of Health (DOH),Mpumalanga,304,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,1  000,237291.00
Mpumalanga Department of Health (DOH),Mpumalanga,305,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,306,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,700,100786.00
Mpumalanga Department of Health (DOH),Mpumalanga,307,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,308,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,309,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,310,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,311,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,312,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,313,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,210588.00
Mpumalanga Department of Health (DOH),Mpumalanga,314,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,210588.00
Mpumalanga Department of Health (DOH),Mpumalanga,315,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,210588.00
Mpumalanga Department of Health (DOH),Mpumalanga,316,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,210588.00
Mpumalanga Department of Health (DOH),Mpumalanga,317,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,210588.00
Mpumalanga Department of Health (DOH),Mpumalanga,318,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,319,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,320,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,321,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,322,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,323,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,324,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,325,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,326,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,143970.00
Mpumalanga Department of Health (DOH),Mpumalanga,327,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,328,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,329,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  900,354581.80
Mpumalanga Department of Health (DOH),Mpumalanga,330,CLINIPRO (PTY) LTD,Battery Alkaline,Each,4  400,503723.00
Mpumalanga Department of Health (DOH),Mpumalanga,331,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  100,752143.70
Mpumalanga Department of Health (DOH),Mpumalanga,332,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,150,102565.05
Mpumalanga Department of Health (DOH),Mpumalanga,333,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,334,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,100786.00
Mpumalanga Department of Health (DOH),Mpumalanga,335,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,575920.00
Mpumalanga Department of Health (DOH),Mpumalanga,336,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,337,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,338,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,339,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,340,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,341,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,342,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,343,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,344,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,345,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,346,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,800,547013.60
Mpumalanga Department of Health (DOH),Mpumalanga,347,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,100786.00
Mpumalanga Department of Health (DOH),Mpumalanga,348,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,349,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,350,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,351,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,500,684190.00
Mpumalanga Department of Health (DOH),Mpumalanga,352,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,1025650.50
Mpumalanga Department of Health (DOH),Mpumalanga,353,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  900,675446.75
Mpumalanga Department of Health (DOH),Mpumalanga,354,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,100786.00
Mpumalanga Department of Health (DOH),Mpumalanga,355,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,575920.00
Mpumalanga Department of Health (DOH),Mpumalanga,356,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,575940.00
Mpumalanga Department of Health (DOH),Mpumalanga,357,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,575920.00
Mpumalanga Department of Health (DOH),Mpumalanga,358,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,359,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,360,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,716,103089.68
Mpumalanga Department of Health (DOH),Mpumalanga,361,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,362,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,559866.00
Mpumalanga Department of Health (DOH),Mpumalanga,363,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,364,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  284,760790.32
Mpumalanga Department of Health (DOH),Mpumalanga,365,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  684,818382.32
Mpumalanga Department of Health (DOH),Mpumalanga,366,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,143980.00
Mpumalanga Department of Health (DOH),Mpumalanga,367,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,500,341883.50
Mpumalanga Department of Health (DOH),Mpumalanga,368,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,500,71990.00
Mpumalanga Department of Health (DOH),Mpumalanga,369,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,2  000,228965.00
Mpumalanga Department of Health (DOH),Mpumalanga,370,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,371,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,372,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,373,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,215970.00
Mpumalanga Department of Health (DOH),Mpumalanga,374,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,375,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,376,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,3  000,559866.00
Mpumalanga Department of Health (DOH),Mpumalanga,377,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,378,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,379,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,380,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,863880.00
Mpumalanga Department of Health (DOH),Mpumalanga,381,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,186622.00
Mpumalanga Department of Health (DOH),Mpumalanga,382,CTU'S  MANUFACTURING,Body bags  plastic  PVC  small,,10  000,608000.00
Mpumalanga Department of Health (DOH),Mpumalanga,383,CTU'S  MANUFACTURING,Body bags  plastic  PVC  medium,,8  000,608320.00
Mpumalanga Department of Health (DOH),Mpumalanga,384,CTU'S  MANUFACTURING,body bags  plastic  PVC  large,,8  000,834320.00
Mpumalanga Department of Health (DOH),Mpumalanga,385,CTU'S  MANUFACTURING,body bags  plastic  PVC  x-  large,,8  000,903840.00
Mpumalanga Department of Health (DOH),Mpumalanga,386,CTU'S  MANUFACTURING,body bags plastic  PVC  xx-large,,8  000,956000.00
Mpumalanga Department of Health (DOH),Mpumalanga,387,CTU'S  MANUFACTURING,body bags  plastic  PVC  xxx-large,,8  000,1042880.00
Mpumalanga Department of Health (DOH),Mpumalanga,388,CTU'S  MANUFACTURING,shrouds  PVC.  small,,200,17832.00
Mpumalanga Department of Health (DOH),Mpumalanga,389,CTU'S  MANUFACTURING,shrouds  PVC.  medium,,200,28244.00
Mpumalanga Department of Health (DOH),Mpumalanga,390,CTU'S  MANUFACTURING,shrouds  PVC.  large,,200,32950.00
Mpumalanga Department of Health (DOH),Mpumalanga,391,CTU'S  MANUFACTURING,shrouds  PVC.  x large,,200,34762.00
Mpumalanga Department of Health (DOH),Mpumalanga,392,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,124592.56
Mpumalanga Department of Health (DOH),Mpumalanga,393,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,161115.71
Mpumalanga Department of Health (DOH),Mpumalanga,394,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,174115.71
Mpumalanga Department of Health (DOH),Mpumalanga,395,AGGY M  FOODS,Catering  :  Zithabiseni  Quarantine  facility,,1,6514.88
Mpumalanga Department of Health (DOH),Mpumalanga,396,EARTH  SCIENCE  PROJECTS,A4  printing  paper,,800,322000.00
Mpumalanga Department of Health (DOH),Mpumalanga,397,CATRINITION  TRADING,Battery pack  Duracell  AAA,,8  000,231920.00
Mpumalanga Department of Health (DOH),Mpumalanga,398,MPUMALANGA  REGIONAL  TRAINING  Accommodation for  Quarantine  site,,,56,431828.80
Mpumalanga Department of Health (DOH),Mpumalanga,399,SIPHESIHLE  MWALE  HOLDING,Dust  masks,,15  000,375000.00
Mpumalanga Department of Health (DOH),Mpumalanga,400,AGGY M  FOODS,Catering  :  Zithabiseni  Quarantine  facility,,1,3038.45
Mpumalanga Department of Health (DOH),Mpumalanga,401,JBLM  QUANTITY SURVEYORS,Construction,,1,694708.30
Mpumalanga Department of Health (DOH),Mpumalanga,402,ALWANDE  SNETHEMBA  TRADING,Electrical  supplies,,3  872,485567.87
Mpumalanga Department of Health (DOH),Mpumalanga,403,LOMBI BUSINESS  ENTERPRISE,Catering  :  Witbank  Dam  for  Quarantine  facility,,1,194642.65
Mpumalanga Department of Health (DOH),Mpumalanga,404,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,154790.00
Mpumalanga Department of Health (DOH),Mpumalanga,405,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,162750.00
Mpumalanga Department of Health (DOH),Mpumalanga,406,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,141860.00
Mpumalanga Department of Health (DOH),Mpumalanga,407,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,127140.00
Mpumalanga Department of Health (DOH),Mpumalanga,408,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,319820.00
Mpumalanga Department of Health (DOH),Mpumalanga,409,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,182340.00
Mpumalanga Department of Health (DOH),Mpumalanga,410,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,483540.00
Mpumalanga Department of Health (DOH),Mpumalanga,411,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,154480.00
Mpumalanga Department of Health (DOH),Mpumalanga,412,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,119780.00
Mpumalanga Department of Health (DOH),Mpumalanga,413,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,143490.00
Mpumalanga Department of Health (DOH),Mpumalanga,414,ECOMED  MEDICAL,Thermometer  Infra-Red  non-contact scanner,,3  000,5624670.00
Mpumalanga Department of Health (DOH),Mpumalanga,415,MPUMALANGA  COMMUNITY RADIO,"15  Mpumalanga  Radio Stations/pro,/ advertisement/jingle  and  slots",,1,7535000.00
Mpumalanga Department of Health (DOH),Mpumalanga,416,MAGOBENI MERIKA  TRADING,Thermometer  Infra-Red  non-contact scanner,,3  000,7050000.00
Mpumalanga Department of Health (DOH),Mpumalanga,417,JOIN FORCES, TB  HospitalGeneral building  repairs  and minor  renovations  to  Barberton,,1,2607132.85
Mpumalanga Department of Health (DOH),Mpumalanga,418,GOLD  DUST DEVELOPMENTS,Lattice  Arrow Reflective Tape(50mmx45m)-Yellow and Red,,4  000,3304000.00
Mpumalanga Department of Health (DOH),Mpumalanga,419,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,23,156493.60
