buyer_name,implementation_location_other,No,DEPT/ENTITY,,supplier_numbers_other,supplier_name,company_registration_number,ITEM CATEGORY,items_description,items_quantity,cost_per_unit_zar,order_amount_zar,TOTAL VAL RECALC,order_number,invoice_number,SYS INVOICE AMOUNT,SYS INVOICE DATE,invoice_date,SYS INVOICE RECEIPT DATE,invoice_reciept_date,SYS PAYMENT DATE,payment_number,SYS DISPURSE NO,SYS PAYMENT AMOUNT,paymen_period,PAY VAR,STATUS,COMMITMENT OUTSTANDING,ORDERS CLOSED
Limpopo Department of Health,Limpopo,67,HEALTH,Health,MAAA0465242,Eagles Eyes Suppliers,2017/188014/07,Other PPE - Health,Rubber Boots,500,150.00,75000.00,"R75,000.00",NOT APPLIC,0  1  /04/2020LPPD,"R75,000.00",4/17/2020,2020-04-17,4/22/2020,2020-04-22,4/23/2020,2660212,1190109,"R75,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,68,HEALTH,Health,MAAA0013061,ENPRO Laboratories,2015/027863/07,Masks - Surgical,3 Ply Mask Surgical,"1,500,000",16.00,24000000.00,"R24,000,000.00",NOT APPLIC,2  4  58,"R600,000.00",04/06/2020,2020-06-04,4/15/2020,2020-04-15,4/15/2020,2658804,1189666,"R600,000.00",2020/06,"R23,400,000.00",CLOSED,R0.00,"R23,400,000.00"
Limpopo Department of Health,Limpopo,69,HEALTH,Health,MAAA0013061,ENPRO Laboratories,2015/027863/07,,,,,0.00,R0.00,NOT APPLIC,2  4  59H/O,"R1,140,000.00",04/06/2020,2020-06-04,4/15/2020,2020-04-15,4/15/2020,2658812,1189666,"R1,140,000.00",2020/06,"-R1,140,000.00",CLOSED,R0.00,"-R1,140,000.00"
Limpopo Department of Health,Limpopo,70,HEALTH,Health,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,0089/2020LPPD,"R337,395.00",07/06/2020,2020-06-07,07/08/2020,2020-07-08,07/08/2020,2678433,1198577,"R337,395.00",2020/07,"R626,484.00",CLOSED,R0.00,"R626,484.00"
Limpopo Department of Health,Limpopo,71,HEALTH,Health,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,,,,,0.00,R0.00,NOT APPLIC,0088/2020LPPD,"R144,669.00",07/06/2020,2020-06-07,07/08/2020,2020-07-08,07/08/2020,2678436,1198577,"R144,669.00",2020/07,"-R144,669.00",CLOSED,R0.00,"-R144,669.00"
Limpopo Department of Health,Limpopo,72,HEALTH,Health,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,,,,,0.00,R0.00,NOT APPLIC,0090/2020LPPD,"R481,815.00",07/06/2020,2020-06-07,07/08/2020,2020-07-08,07/08/2020,2678437,1198577,"R481,815.00",2020/07,"-R481,815.00",CLOSED,R0.00,"-R481,815.00"
Limpopo Department of Health,Limpopo,73,HEALTH,Health,MAAA0867994,Footprint Industries,2016/448035/07,Gloves,Glove Surgical latex sterile,"144,000",6.90,993600.00,"R993,600.00",NOT APPLIC,0002LPPD,"R993,600.00",7/22/2020,2020-07-22,7/23/2020,2020-07-23,7/27/2020,2681344,1199948,"R993,600.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,74,HEALTH,Health,MAAA0765536,GIGY�S TRADING (PTY) LTD,2014/121345/07,Digital Themormetres,Digital Themormetres,"3,000",1978.00,5934000.00,"R5,934,000.00",NOT APPLIC,0  0  12020/05LPPD,"R5,934,000.00",5/16/2020,2020-05-16,5/18/2020,2020-05-18,06/02/2020,2669335,1195561,"R5,934,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,75,HEALTH,Health,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Gloves,Heavy Duty Gloves,"10,000",27.00,270000.00,"R270,000.00",NOT APPLIC,2  0  06/002LPPD,"R270,000.00",6/15/2020,2020-06-15,6/19/2020,2020-06-19,6/22/2020,2673028,1196718,"R270,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,76,HEALTH,Health,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Face Shields / Visors,Face Visors Shileds,"16,470",35.00,576450.00,"R576,450.00",NOT APPLIC,2  0  06/001LPPD,"R568,400.00",06/05/2020,2020-05-06,06/05/2020,2020-06-05,06/09/2020,2671617,1195882,"R568,400.00",2020/06,"R8,050.00",CLOSED,R0.00,"R8,050.00"
Limpopo Department of Health,Limpopo,77,HEALTH,Health,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Masks - Surgical,3 Ply Mask Surgical,"100,000",18.00,1800000.00,"R1,800,000.00",NOT APPLIC,"2  0  04/002LPPD
2004/001
2004/003","R54,000.00",06/04/2020,2020-04-06,09/04/2020,2020-09-04,4/15/2020,2658793,1189662,"R54,000.00",2020/06,"R1,746,000.00",CLOSED,R0.00,"R1,746,000.00"
Limpopo Department of Health,Limpopo,78,HEALTH,Health,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,,,,,0.00,R0.00,NOT APPLIC,2  0  04/001,"R846,000.00",4/17/2020,2020-04-17,4/17/2020,2020-04-17,4/17/2020,2658801,1189662,"R846,000.00",2020/06,"-R846,000.00",CLOSED,R0.00,"-R846,000.00"
Limpopo Department of Health,Limpopo,79,HEALTH,Health,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,,,,,0.00,R0.00,NOT APPLIC,"2  0  04/002LPPD
2004/001
2004/003","R900,000.00",4/17/2020,2020-04-17,4/17/2020,2020-04-17,4/17/2020,2659212,1189662,"R900,000.00",2020/06,"-R900,000.00",CLOSED,R0.00,"-R900,000.00"
Limpopo Department of Health,Limpopo,80,HEALTH,Health,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,INV003/20LPPD,"R337,395.00",7/17/2020,2020-07-17,7/23/2020,2020-07-23,7/27/2020,2681328,1199944,"R337,395.00",2020/07,"R626,484.00",CLOSED,R0.00,"R626,484.00"
Limpopo Department of Health,Limpopo,81,HEALTH,Health,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,,,,,0.00,R0.00,NOT APPLIC,INV002/20LPPD,"R481,815.00",7/17/2020,2020-07-17,7/20/2020,2020-07-20,7/27/2020,2681331,1199944,"R481,815.00",2020/07,"-R481,815.00",CLOSED,R0.00,"-R481,815.00"
Limpopo Department of Health,Limpopo,82,HEALTH,Health,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,,,,,0.00,R0.00,NOT APPLIC,INV001/20LPPD,"R144,669.00",7/17/2020,2020-07-17,7/20/2020,2020-07-20,7/27/2020,2681334,1199944,"R144,669.00",2020/07,"-R144,669.00",CLOSED,R0.00,"-R144,669.00"
Limpopo Department of Health,Limpopo,83,HEALTH,Health,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,GBR-058LPPD,"R144,662.49",07/06/2020,2020-06-07,07/10/2020,2020-07-10,7/20/2020,2680013,1199928,"R144,662.49",2020/07,"R819,216.51",CLOSED,R0.00,"R819,216.51"
Limpopo Department of Health,Limpopo,84,HEALTH,Health,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,,,,,0.00,R0.00,NOT APPLIC,GBR-060LPPD,"R481,793.32",07/06/2020,2020-06-07,07/10/2020,2020-07-10,7/21/2020,2680093,1199928,"R481,793.32",2020/07,"-R481,793.32",CLOSED,R0.00,"-R481,793.32"
Limpopo Department of Health,Limpopo,85,HEALTH,Health,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,,,,,0.00,R0.00,NOT APPLIC,GBR-059LPPD,"R337,379.82",07/06/2020,2020-06-07,07/10/2020,2020-07-10,7/21/2020,2680097,1199928,"R337,379.82",2020/07,"-R337,379.82",CLOSED,R0.00,"-R337,379.82"
Limpopo Department of Health,Limpopo,86,HEALTH,Health,MAAA0473374,Green Motion Trading Enterprise,2017/179733/07,Gowns - Surgical non sterile,Surgical Gown (Non-Sterile),"22,500",96.00,2160000.00,"R2,160,000.00",NOT APPLIC,G   R001LPPD,"R2,160,000.00",6/17/2020,2020-06-17,6/19/2020,2020-06-19,6/24/2020,2674119,1196748,"R2,160,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,87,HEALTH,Health,MAAA0098608,Harold Group Holdings,2013/113426/07,"Disposal protective body
suite",Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,02/20/20021LPPD,"R481,950.32",7/18/2020,2020-07-18,7/22/2020,2020-07-22,7/22/2020,2680492,1199219,"R481,950.32",2020/07,"R481,928.68",CLOSED,R0.00,"R481,928.68"
Limpopo Department of Health,Limpopo,88,HEALTH,Health,MAAA0098608,Harold Group Holdings,2013/113426/07,,,,,0.00,R0.00,NOT APPLIC,03/20/20021LPPD,"R144,662.49",7/18/2020,2020-07-18,7/22/2020,2020-07-22,7/22/2020,2680493,1199219,"R144,662.49",2020/07,"-R144,662.49",CLOSED,R0.00,"-R144,662.49"
Limpopo Department of Health,Limpopo,89,HEALTH,Health,MAAA0098608,Harold Group Holdings,2013/113426/07,,,,,0.00,R0.00,NOT APPLIC,01/20/20021LPPD,"R337,379.82",7/18/2020,2020-07-18,7/22/2020,2020-07-22,7/22/2020,2680502,1199219,"R337,379.82",2020/07,"-R337,379.82",CLOSED,R0.00,"-R337,379.82"
Limpopo Department of Health,Limpopo,90,HEALTH,Health,MAAA0512784,Hipco Trading (Pty ) Ltd,2015/248783/07,Masks - Surgical,3 Ply Mask Surgical,"1,000,000",16.50,16500000.00,"R16,500,000.00",NOT APPLIC,L  I MGOV-0113,"R16,500,000.00",4/16/2020,2020-04-16,4/21/2020,2020-04-21,4/23/2020,2660125,1190115,"R16,500,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,91,HEALTH,Health,MAAA0900939,Hudi Medical,2020/052865/07,Masks - Surgical,3 Ply Mask Surgical,"300,000",18.98,5694000.00,"R5,694,000.00",NOT APPLIC,0  0  07LPPD,"R5,220,000.00",4/21/2020,2020-04-21,4/22/2020,2020-04-22,05/04/2020,2660770,1192119,"R5,220,000.00",2020/06,"R474,000.00",CLOSED,R0.00,"R474,000.00"
Limpopo Department of Health,Limpopo,92,HEALTH,Health,MAAA0900939,Hudi Medical,2020/052865/07,,,,,0.00,R0.00,NOT APPLIC,2,"R180,000.00",4/17/2020,2020-04-17,4/17/2020,2020-04-17,4/17/2020,2659219,1189670,"R180,000.00",2020/06,"-R180,000.00",CLOSED,R0.00,"-R180,000.00"
Limpopo Department of Health,Limpopo,93,HEALTH,Health,MAAA0007221,Hluvukani travel,2007/077266/23,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,HTT/2906/DHSD01LPPD,"R963,835.64",6/26/2020,2020-06-26,7/22/2020,2020-07-22,7/22/2020,2680511,1199188,"R963,835.64",2020/07,R43.36,CLOSED,R0.00,R43.36
Limpopo Department of Health,Limpopo,94,HEALTH,Health,MAAA0695483,Holefa Consulting & Projects,2017/248453/07,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,21-2001LPPD,"R626,455.82",7/15/2020,2020-07-15,7/20/2020,2020-07-20,7/22/2020,2680530,1199941,"R626,455.82",2020/07,"R337,423.18",CLOSED,R0.00,"R337,423.18"
Limpopo Department of Health,Limpopo,95,HEALTH,Health,MAAA0005294,Huliwanga project PTY LTD,2014/241236/07,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,001LPPD,"R481,793.32",7/21/2020,2020-07-21,7/22/2020,2020-07-22,7/22/2020,2680497,1199665,"R481,793.32",2020/07,"R482,085.68",CLOSED,R0.00,"R482,085.68"
Limpopo Department of Health,Limpopo,96,HEALTH,Health,MAAA0005294,Huliwanga project PTY LTD,2014/241236/07,,,,,0.00,R0.00,NOT APPLIC,003LPPD,"R337,395.00",7/21/2020,2020-07-21,7/22/2020,2020-07-22,7/22/2020,2680499,1199665,"R337,395.00",2020/07,"-R337,395.00",CLOSED,R0.00,"-R337,395.00"
Limpopo Department of Health,Limpopo,97,HEALTH,Health,MAAA0005294,Huliwanga project PTY LTD,2014/241236/07,,,,,0.00,R0.00,NOT APPLIC,002LPPD,"R144,420.00",7/21/2020,2020-07-21,7/22/2020,2020-07-22,7/22/2020,2680516,1199665,"R144,420.00",2020/07,"-R144,420.00",CLOSED,R0.00,"-R144,420.00"
Limpopo Department of Health,Limpopo,98,HEALTH,Health,MAAA0007668,Indlovu Manufacturers,2008/171388/23,Other PPE - Health,Apron pvc full body reusable,555,66.57,36946.38,"R36,946.38",NOT APPLIC,INV08327LPPD,"R36,946.35",5/31/2020,2020-05-31,6/25/2020,2020-06-25,07/03/2020,2674747,1198694,"R36,946.35",2020/07,R0.03,CLOSED,R0.00,R0.03
Limpopo Department of Health,Limpopo,99,HEALTH,Health,MAAA0007668,Indlovu Manufacturers,2008/171388/23,Other PPE - Health,Body bag - Baby,150,54.94,8241.00,"R8,241.00",NOT APPLIC,I N   V08326LPPD,"R8,241.01",5/30/2020,2020-05-30,06/01/2020,2020-06-01,06/09/2020,2671703,1195731,"R8,241.01",2020/06,#NAME?,CLOSED,R0.00,#NAME?
Limpopo Department of Health,Limpopo,100,HEALTH,Health,MAAA0007668,Indlovu Manufacturers,2008/171388/23,Other PPE - Health,Apron pvc full body reusable,"9,445",66.57,628753.65,"R628,753.65",NOT APPLIC,INV08437LPPD,"R628,753.65",6/28/2020,2020-06-28,07/10/2020,2020-07-10,7/20/2020,2680016,1199410,"R628,753.65",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,101,HEALTH,Health,MAAA0007668,Indlovu Manufacturers,2008/171388/23,Other PPE - Health,Body Bag - Meduim,40,58.11,2324.38,"R2,324.38",NOT APPLIC,I N   V08283LPPD,"R4,902.40",5/21/2020,2020-05-21,5/25/2020,2020-05-25,5/25/2020,2666960,1193190,"R4,902.40",2020/06,"-R2,578.02",CLOSED,R0.00,"-R2,578.02"
Limpopo Department of Health,Limpopo,102,HEALTH,Health,MAAA0007668,Indlovu Manufacturers,2008/171388/23,Other PPE - Health,Body Bag - Large,40,64.45,2577.84,"R2,577.84",,,,,,,,,,,,,"R2,577.84",CLOSED,R0.00,"R2,577.84"
Limpopo Department of Health,Limpopo,103,HEALTH,Health,MAAA0683256,Isha Solutions PTY LTD,2018/392747/07,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,INV00014LPPD,"R144,669.00",7/17/2020,2020-07-17,7/22/2020,2020-07-22,7/22/2020,2680517,1199945,"R144,669.00",2020/07,"R819,210.00",CLOSED,R0.00,"R819,210.00"
Limpopo Department of Health,Limpopo,104,HEALTH,Health,MAAA0683256,Isha Solutions PTY LTD,2018/392747/07,,,,,0.00,R0.00,NOT APPLIC,INV00013LPPD,"R337,395.00",7/17/2020,2020-07-17,7/22/2020,2020-07-22,7/22/2020,2680521,1199945,"R337,395.00",2020/07,"-R337,395.00",CLOSED,R0.00,"-R337,395.00"
Limpopo Department of Health,Limpopo,105,HEALTH,Health,MAAA0683256,Isha Solutions PTY LTD,2018/392747/07,,,,,0.00,R0.00,NOT APPLIC,INV00012LPPD,"R481,815.00",7/17/2020,2020-07-17,7/27/2020,2020-07-27,7/27/2020,2682110,1199945,"R481,815.00",2020/07,"-R481,815.00",CLOSED,R0.00,"-R481,815.00"
Limpopo Department of Health,Limpopo,106,HEALTH,Health,MAAA0110851,IVM Chemicals (Pty) Ltd,2015/075352/07,Digital Themormetres,Digital Themormetres,500,1978.00,989000.00,"R989,000.00",NOT APPLIC,D 3 673LPPD,"R989,000.00",5/22/2020,2020-05-22,06/02/2020,2020-06-02,06/02/2020,2669209,1195546,"R989,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,107,HEALTH,Health,MAAA0767312,Khayalama Ndaba Business Solutions,2018/016784/07,Goggles - Safety,Goggles,"2,800",32.00,89600.00,"R89,600.00",NOT APPLIC,1 1 2LPPD,"R89,600.00",4/17/2020,2020-04-17,5/18/2020,2020-05-18,5/25/2020,2665245,1193424,"R89,600.00",2020/06,R0.00,,,R0.00
Limpopo Department of Health,Limpopo,108,HEALTH,Health,MAAA0767312,Khayalama Ndaba Business Solutions,2018/016784/07,Goggles - Safety,Goggles,"15,000",32.00,480000.00,"R480,000.00",NOT APPLIC,1 1 5LPPD,"R160,000.00",05/05/2020,2020-05-05,5/18/2020,2020-05-18,5/19/2020,2665239,1192871,"R160,000.00",2020/06,"R320,000.00",CLOSED,R0.00,"R320,000.00"
Limpopo Department of Health,Limpopo,109,HEALTH,Health,MAAA0767312,Khayalama Ndaba Business Solutions,2018/016784/07,,,,,0.00,R0.00,NOT APPLIC,1 1 3LPPD,"R320,000.00",4/24/2020,2020-04-24,4/29/2020,2020-04-29,5/25/2020,2666943,1193424,"R320,000.00",2020/06,"-R320,000.00",CLOSED,R0.00,"-R320,000.00"
Limpopo Department of Health,Limpopo,110,HEALTH,Health,MAAA0042781,King Bash Entertainment,2014/038349/07,Disposal protective body suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,2020/15LPPD,"R963,879.00",07/06/2020,2020-06-07,07/08/2020,2020-07-08,7/20/2020,2679233,1199908,"R963,879.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,111,HEALTH,Health,MAAA0824529,King Kone Resourced,2019/436829/07,Gowns - Surgical non sterile,Surgical Gown (Non-Sterile),"97,500",96.00,9360000.00,"R9,360,000.00",NOT APPLIC,3 1 LPPD,"R9,360,000.00",06/12/2020,2020-12-06,6/17/2020,2020-06-17,6/24/2020,2674121,1196747,"R9,360,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,112,HEALTH,Health,MAAA0807611,Kobuhla Engineering Building Services (Pty) Ltd,2019/377241/07,Masks - Surgical,3 Ply Mask Surgical,"1,000,000",18.98,18975000.00,"R18,975,000.00",NOT APPLIC,C V MALP001LPPD,"R17,580,147.75",4/22/2020,2020-04-22,05/07/2020,2020-05-07,05/07/2020,2663335,1192459,"R17,580,147.75",2020/06,"R1,394,852.25",CLOSED,R0.00,"R1,394,852.25"
Limpopo Department of Health,Limpopo,113,HEALTH,Health,MAAA0863622,Kulani Magaza Fashion Design,2015/013512/24,Masks - Face Cloth,Face Cloth Masks,"12,666",25.00,316650.00,"R316,650.00",NOT APPLIC,D OH 0001LPPD,"R233,950.00",06/06/2020,2020-06-06,6/19/2020,2020-06-19,07/03/2020,2675314,1198951,"R233,950.00",2020/06,"R82,700.00",CLOSED,R0.00,"R82,700.00"
Limpopo Department of Health,Limpopo,114,HEALTH,Health,MAAA0674670,Lekgotla Engineering Pty Ltd,2015/064523/07,Protective Body Suit,Disposable Protective bodysuit,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,0120503LPPD,"R337,379.82",07/03/2020,2020-03-07,07/06/2020,2020-07-06,07/08/2020,2678104,1198956,"R337,379.82",2020/07,"R626,499.18",CLOSED,R0.00,"R626,499.18"
Limpopo Department of Health,Limpopo,115,HEALTH,Health,MAAA0674670,Lekgotla Engineering Pty Ltd,2015/064523/07,,Disposable Protective bodysuit,,,,R0.00,NOT APPLIC,0120502LPPD,"R144,662.49",07/03/2020,2020-03-07,07/06/2020,2020-07-06,07/08/2020,2678106,1198956,"R144,662.49",2020/07,"-R144,662.49",CLOSED,R0.00,"-R144,662.49"
Limpopo Department of Health,Limpopo,116,HEALTH,Health,MAAA0674670,Lekgotla Engineering Pty Ltd,2015/064523/07,,Disposable Protective bodysuit,,,,R0.00,NOT APPLIC,0120504LPPD,"R481,793.33",07/03/2020,2020-03-07,07/06/2020,2020-07-06,07/08/2020,2678111,1198956,"R481,793.33",2020/07,"-R481,793.33",CLOSED,R0.00,"-R481,793.33"
Limpopo Department of Health,Limpopo,117,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,Masks - Face Cloth,Face Cloth Masks,"100,000",24.75,2475000.00,"R2,475,000.00",NOT APPLIC,0 0 4LPPD,"R28,215.00",5/28/2020,2020-05-28,06/03/2020,2020-06-03,6/17/2020,2671825,1196730,"R28,215.00",2020/06,"R2,446,785.00",CLOSED,R0.00,"R2,446,785.00"
Limpopo Department of Health,Limpopo,118,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 3LPPD,"R28,462.50",5/28/2020,2020-05-28,06/10/2020,2020-06-10,06/12/2020,2672083,1196730,"R28,462.50",2020/06,"-R28,462.50",CLOSED,R0.00,"-R28,462.50"
Limpopo Department of Health,Limpopo,119,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 2LPPD,"R35,640.00",5/27/2020,2020-05-27,06/08/2020,2020-06-08,6/15/2020,2672128,1196730,"R35,640.00",2020/06,"-R35,640.00",CLOSED,R0.00,"-R35,640.00"
Limpopo Department of Health,Limpopo,120,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 6LPPD,"R37,966.50",06/05/2020,2020-05-06,06/11/2020,2020-06-11,06/12/2020,2672077,1196730,"R37,966.50",2020/06,"-R37,966.50",CLOSED,R0.00,"-R37,966.50"
Limpopo Department of Health,Limpopo,121,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 5LPPD,"R44,079.75",06/05/2020,2020-05-06,06/11/2020,2020-06-11,06/12/2020,2672072,1196730,"R44,079.75",2020/06,"-R44,079.75",CLOSED,R0.00,"-R44,079.75"
Limpopo Department of Health,Limpopo,122,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 2LPPD,"R49,500.00",06/06/2020,2020-06-06,06/08/2020,2020-06-08,6/17/2020,2671824,1196730,"R49,500.00",2020/06,"-R49,500.00",CLOSED,R0.00,"-R49,500.00"
Limpopo Department of Health,Limpopo,123,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 0LPPD,"R55,687.50",06/04/2020,2020-04-06,06/05/2020,2020-06-05,6/17/2020,2672455,1196730,"R55,687.50",2020/06,"-R55,687.50",CLOSED,R0.00,"-R55,687.50"
Limpopo Department of Health,Limpopo,124,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 1LPPD,"R65,587.50",5/26/2020,2020-05-26,5/26/2020,2020-05-26,06/09/2020,2671804,1195893,"R65,587.50",2020/06,"-R65,587.50",CLOSED,R0.00,"-R65,587.50"
Limpopo Department of Health,Limpopo,125,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 1LPPD,"R68,062.50",06/05/2020,2020-05-06,06/08/2020,2020-06-08,6/15/2020,2672125,1196730,"R68,062.50",2020/06,"-R68,062.50",CLOSED,R0.00,"-R68,062.50"
Limpopo Department of Health,Limpopo,126,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 9LPPD,"R68,062.50",06/04/2020,2020-04-06,06/08/2020,2020-06-08,6/15/2020,2672126,1196730,"R68,062.50",2020/06,"-R68,062.50",CLOSED,R0.00,"-R68,062.50"
Limpopo Department of Health,Limpopo,127,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 4LPPD,"R86,625.00",06/06/2020,2020-06-06,06/06/2020,2020-06-06,06/09/2020,2671803,1195893,"R86,625.00",2020/06,"-R86,625.00",CLOSED,R0.00,"-R86,625.00"
Limpopo Department of Health,Limpopo,128,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 7LPPD,"R94,297.50",06/02/2020,2020-02-06,06/02/2020,2020-06-02,06/09/2020,2671805,1195893,"R94,297.50",2020/06,"-R94,297.50",CLOSED,R0.00,"-R94,297.50"
Limpopo Department of Health,Limpopo,129,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 5LPPD,"R96,525.00",5/29/2020,2020-05-29,5/29/2020,2020-05-29,06/09/2020,2671802,1195893,"R96,525.00",2020/06,"-R96,525.00",CLOSED,R0.00,"-R96,525.00"
Limpopo Department of Health,Limpopo,130,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 8LPPD,"R111,375.00",06/04/2020,2020-04-06,06/05/2020,2020-06-05,06/09/2020,2671797,1195893,"R111,375.00",2020/06,"-R111,375.00",CLOSED,R0.00,"-R111,375.00"
Limpopo Department of Health,Limpopo,131,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 1 3LPPD,"R173,250.00",06/06/2020,2020-06-06,06/06/2020,2020-06-06,06/09/2020,2671800,1195893,"R173,250.00",2020/06,"-R173,250.00",CLOSED,R0.00,"-R173,250.00"
Limpopo Department of Health,Limpopo,132,HEALTH,Health,MAAA0909803,Liberer Consulting,2011/006586/23,,,,,,R0.00,NOT APPLIC,0 0 6LPPD,"R283,387.50",06/01/2020,2020-01-06,06/01/2020,2020-06-01,06/09/2020,2671794,1195893,"R283,387.50",2020/06,"-R283,387.50",CLOSED,R0.00,"-R283,387.50"
Limpopo Department of Health,Limpopo,133,HEALTH,Health,MAAA0590133,Limacon cc,2001/039743/23,Digital Themormetres,Digital Themormetres,500,1720.00,860000.00,"R860,000.00",NOT APPLIC,L I M01001LPPD,"R860,000.00",5/16/2020,2020-05-16,5/25/2020,2020-05-25,06/01/2020,2667101,1195543,"R860,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,134,HEALTH,Health,,Lopez Group,2011/057134/23,Masks - Surgical,Masks - Respirator,"46,154",27.50,1269235.00,"R1,269,235.00",NOT APPLIC,001LPPD,"R1,269,235.00",7/24/2020,2020-07-24,7/27/2020,2020-07-27,7/28/2020,2682630,1199964,"R1,269,235.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,135,HEALTH,Health,MAAA0340944,Luhura,2007/206716/23,Masks - Surgical,3 Ply Mask Surgical,"300,000",20.00,6000000.00,"R6,000,000.00",NOT APPLIC,H E DP001LPPD,"R6,000,000.00",4/20/2020,2020-04-20,4/22/2020,2020-04-22,4/23/2020,2660006,1190108,"R6,000,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,136,HEALTH,Health,MAAA0840836,Lunako Solutions,2017/163395/07,Digital Themormetres,Digital Themormetres,500,1978.00,989000.00,"R989,000.00",NOT APPLIC,2 0 050/01LPPD,"R989,000.00",5/21/2020,2020-05-21,5/25/2020,2020-05-25,5/29/2020,2667099,1195542,"R989,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
