buyer_name,items_description,supplier_name,order_amount_zar,procurement_method
National Research Foundation (NRF),Sanitisers 25 L,Max Arcus,1989.50,tender/contract
National Research Foundation (NRF),Facemasks,Tripple n Medical Dsitributors,10220.00,tender/contract
National Research Foundation (NRF),Gloves Nitrile (S/M/L/XL),Tripple n Medical Dsitributors,23000.00,tender/contract
National Research Foundation (NRF),Disinfectant Wipes,Tripple n Medical Dsitributors,25200.00,tender/contract
South African National Space Agency (SANSA),COVID 023 Examination Gloves,Imperial Logistics SA Group,34712.50,RFQ
South African National Space Agency (SANSA),Infrared Thermometer - DH-IRT01,Ecomed Medical (Pty) Ltd,9660.00,RFQ
South African National Space Agency (SANSA),Disinfection - specialised disinfecting fumigation,Pest Control Specialist,6670.00,RFQ
South African National Space Agency (SANSA),Specialized masks:,Yes Direct Trading,29624.00,RFQ
South African National Space Agency (SANSA),"Sanitiser Stands, Bottles and Pump",ANGIEOCHEM,17040.00,RFQ
South African National Space Agency (SANSA),"Sticker printing - ""screened""",Yes Direct Trading,5347.50,RFQ
South African National Space Agency (SANSA),Sanitisers 5L,FP Hygiene,5347.50,RFQ
South African National Space Agency (SANSA),Disinfecting SO Buildings,SOLID HYGIENE SOLUTIONS,5800.00,RFQ
South African National Space Agency (SANSA),Emankhonkhosi Publishing,Sanitisers,4577.00,RFQ
South African National Space Agency (SANSA),Klevas Accessories,Masks,23460.00,RFQ
South African National Space Agency (SANSA),FP Hygiene,Disinfectant Cleaners,9936.00,RFQ
South African National Space Agency (SANSA),All Purpose Cleaning Wipes (6 in Pack) x 100,BONDIRITE,6500.00,RFQ
South African National Space Agency (SANSA),Sanitizers (5L) x 5,BONDIRITE,1550.00,RFQ
South African National Space Agency (SANSA),"""Portable Screen - Protective Sneeze Guard
Clear Acrylic x 12
• 1200mm x 750mm cast Acrylic Shield and Feet
• 2 Semi-circle feet – 120mm radius
• Slot opening 130mm (height)",BONDIRITE,4680.00,RFQ
South African National Space Agency (SANSA),Crystal Aire LED Portable Air Purifier x 10,BONDIRITE,7250.00,RFQ
South African National Space Agency (SANSA),"Disposable face Masks, Hand Sanitizers, gloves
and Spray bottles",Buco Hermanus,3114.48,RFQ
South African National Space Agency (SANSA),Deep Cleaning and Sanitizing Offices,BIDVEST PRESTIGE,19490.20,RFQ
South African National Space Agency (SANSA),Disposable Face Masks,Kaap Agri Hermanus,1335.08,RFQ
South African National Space Agency (SANSA),hand Sanitizer 70 alcohol 5L & Dispoasble Masks,KAAP AGRI BEDRYF BEPERK,9763.72,RFQ
South African National Space Agency (SANSA),"Clear Plastic Spray bottle 250ml (Mist Spray)
Clear Plastic Spray bottle 250ml (MLotion Pump)",WP Packaging,960.00,RFQ
South African National Space Agency (SANSA),"Maks, hand sanitizers, and spray bottles",Sunga Group,77815.33,RFQ
South African National Space Agency (SANSA),COVID19 : Fogging & Cleaning of Facility,Sanitech,13800.00,RFQ
South African National Space Agency (SANSA),Face Sheilds and Sleeves,KAAP AGRI BEDRYF BEPERK,3593.75,RFQ
South African National Space Agency (SANSA),COVID19 Regulated cleaning Services for a period of 12 months,Supercare Service Group,208334.00,RFQ
South African National Space Agency (SANSA),Perspex Desk Screens,FAB Displays,4818.50,RFQ
Human Sciences Research Council (HSRC),Hand Sanitisers with 70% Alcohol,Trips Switch Market,17500.00,Quotations
Human Sciences Research Council (HSRC),Hand Gloves,Transpharm Medical,14100.00,Quotations
Human Sciences Research Council (HSRC),Infrared Thermometers,Medicare Pharmacy,5200.00,Quotations
Human Sciences Research Council (HSRC),"Covid consumables: gloves, masks and aprons",Tsohle Tsentle services,24500.00,Quotation
Human Sciences Research Council (HSRC),Hands free sanitizer stands,Phinot Nostaligic,9600.00,Quotation
Human Sciences Research Council (HSRC),Facemask 3ply,Med Pak,3700.00,Quotation
Human Sciences Research Council (HSRC),Hand sanitizers,Eyakhu Trading Enterprise,5000.00,Quotation
Human Sciences Research Council (HSRC),"Staff screening & management: Self-service in
check kiosk",Dimension Data,224200.00,Quotation
Human Sciences Research Council (HSRC),Hand sanitizers,Formax,2700.00,Quotation
Human Sciences Research Council (HSRC),Preventative disinfection- Floor 9,Garret Assemblies,34000.00,Quotation
Human Sciences Research Council (HSRC),Decontamination & sanitation,Sanitech CPT,45700.00,Quotation
Human Sciences Research Council (HSRC),Covid 19 Perspex screens,Phinot Nostaligic,8800.00,Quotation
Human Sciences Research Council (HSRC),Hands free sanitizer stands,Office logic,9200.00,Quotation
Human Sciences Research Council (HSRC),Hand sanitizer,Premier Book Bazaar,2600.00,Quotation
Human Sciences Research Council (HSRC),Hand sanitizer,Webshop,2600.00,Quotation
Academy of Science of South Africa (ASSAf),N/A,N/A,,N/A
