MANAGEMENT AREA,ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION/
PROCUREMENT METHOD)",UNIT OF MEASURE,ORDER NUMBER,ORDER DATE,ORDER QUANTITY,UNIT PRICE,ORDER VALUE
,Surgical Gown,PROMED TECHNOLOGIES (PTY)LTD,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,200,R 23.83,"R                             4,766.00"
,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663607,3/25/2020,2,"R 9,209.20","R                           18,418.40"
,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663603,3/25/2020,4,"R 9,272.75","R                           37,091.00"
,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663607,3/25/2020,6,"R 9,209.20","R                           55,255.20"
,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT32,ROLL,AI-663602,3/18/2020,400,R 55.75,"R                           22,300.00"
,Sleeve Protectors,Medi-Core Technologies,,RT32,EACH,AH-100867,3/19/2020,4000,R 0.22,R                                880.00
,Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663620,3/30/2020,2500,R 220.00,"R                           22,000.00"
Kokstad,Disposable Gown,PROMED TECHNOLOGIES,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,4000,23.83,"R                           93,250.00"
Kokstad,Full face shield (Protective goggles ),COVENANT TRADING,2016/521035/07,QUOTATIONS,EACH,AI-663609,3/25/2020,100,R 32.00,"R                             3,200.00"
Kokstad,Disposable aprons,CENTRAL MEDICAL (PTY)LTD,1995/003785/07,RT32,EACH,AH-101110,3/19/2020,3000,R               0.32,R                                960.00
Kokstad,Disposable scrub suit,PROMED TECHNOLOGIES,2014/162486/07,RT32,EACH,AH-100901,3/19/2020,100,R             13.57,"R                             1,357.00"
Kokstad,Temperature Scanner,CLICKS RETAIL,,QUOTATIONS,EACH,Petty Cash,3/19/2020,10,"R        2,588.34","R                           25,882.40"
Kokstad,Alcohol based hand sanitiser,BARRS PHARMACEUTICALS,2012/056577/07,RT300,EACH,AC-404151,3/19/2020,2000,R             15.92,"R                           32,820.08"
Kokstad,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663602,3/20/2020,1500,R           220.00,"R                           13,200.00"
Kokstad,Paper towels,COVENANT TRADING,2016/521035/07,QUOTATIONS,ROLL,AI-663615,3/25/2020,200,R             28.75,"R                             5,750.00"
,Hand Sanitiser (500 ml),Flawless Enterprise,2015/431254/07,QUOTATIONS,500ml,AI-663619,3/29/2020,Box of 15,"R        2,000.00","R                           30,000.00"
,Blea 25 lt,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663602,3/20/2020,1500,R           191.30,"R                           13,200.00"
,High Reisk Gloves,Medi-Core Technologies,2013/198711/07,QUOTATIONS,EACH,AI-663612,3/24/2020,10000,R           142.00,"R                           28,400.00"
,Surgical Gown Medium,PROMED TECHNOLOGIES (PTY)LTD,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,100,R             23.14,"R                             2,314.00"
Kokstad,Spill kits biological,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663631,4/2/2020,20,"R 1,424.00","R                           28,480.00"
KOKSTAD,Brush Surgical Sterile (single use),"Logan Medical and Surgical (PTY)
LTD",2012/056508/07,RT2,EACH,AC-450145,3/19/2020,700,R 3.01,"R                             2,107.00"
KOKSTAD,Over shoe protector,ZENASA SERVICES (PTY) LTD,2014/199329/07,QUOTATIONS,PAIR,AI-663626,4/1/2020,450,R 65.00,"R                           29,250.00"
KOKSTAD,Suri20p-Surgical masks Disposable,CLASS THREE MEDICAL SOLUTIONS,2017/535986/07,,,AI-663624,,2000,R 27.51,"R                           55,016.00"
KOKSTAD,Hand sanitizer 500ml (Box of 20),Flawless Enterprise,2015/431254/07,QUOTATIONS,EACH,AI-663619,3/29/2020,15,"R 2,000.00","R                           30,000.00"
KOKSTAD,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663620,3/30/2020,2500,R 220.00,"R                           22,000.00"
KOKSTAD,Cleaning Gloves,New Heights Foods,2019/467590/07,QUOTATIONS,PAIR,AI-663635,4/1/2020,2000,R 13.50,"R                           27,000.00"
KOKSTAD,Tmp120p- Lepu non-contact Thermometer,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663632,4/2/2020,15,"R 1,516.10","R                           22,741.50"
KOKSTAD,GLVS784-Surgical Gloves Non Sterile,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAIR,AI-663638,4/2/2020,200,R 299.81,"R                           59,962.00"
KOKSTAD,GLVS784-Surgical Gloves Non Sterile Nitrile Powder Free,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAIR,AI-663638,4/2/2020,200,R 318.78,"R                           63,756.00"
KOKSTAD,JFE SECURITY GROUP,JEF SECURITY GROUP,,,,AI-663642,4/3/2020,1,"R 243,377.77","R                         243,377.77"
KOKSTAD,Disposable drawsheets,Promed Technologies,2014/162486/07,RT32,each,AH-101091,3/19/2020,300,R 2.18,R                                654.03
KOKSTAD,Betable BP Machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,4/3/2020,20,R 724.50,"R                           14,490.00"
KOKSTAD,Blood Glucose Acc-check machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,4/3/2020,20,R 454.25,"R                             9,085.00"
KOKSTAD,Hemoglobin Machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,4/3/2020,5,"R 1,265.00","R                             6,325.00"
,Hand Sanitiser with 70% alcohol (500ml),Flawless Enterprise,2015/431254/07,QUOTATIONS,EACH,AI-663645,4/3/2020,1000,R 100.00,"R                         100,000.00"
Ncome,Gumboots (Wayne gumboot),Dual Dynamics Solutions (Pty) Ltd,2019/005337/07,QUOTATIONS,PAIR,AI-663647,4/3/2020,50,R 199.99,"R                             9,999.50"
Ncome,Fumigation/Decontamination,"Rentokill and Total pest service
management and Pestkil, Health
and vegetation control",2004/027225/23,QUOTATIONS,,AC-404656,4/7/2020,1,"R 35,000.00","R                           35,000.00"
Ncome,Micro Biocide (100x6gr),Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,EACH,AC-404652,4/9/2020,200,R 118.00,"R                           27,140.00"
Ncome,Hand Sanitiser with 70% alcohol (1 litre),Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,EACH,AC-404653,4/9/2020,13,"R 1,552.50","R                           20,182.50"
Ncome,Bleach,Eddas Trading,2015/204423/07,QUOTATIONS,LITRE,AC-404651,4/9/2020,2500,R 6.00,"R                           15,000.00"
Ncome,"Apron,plastic,full body,single use,no-noise smooth
plastic material",Medi-Core Technologies,2013/198711/07,Contract,EACH,AC-404655,4/14/2020,50000,R 0.32,"R                           16,000.00"
Ncome,"Sleeve,protector,single use",Medi-Core Technologies,2013/198711/07,Contract,EACH,AC-404654,4/14/2020,50000,R 0.22,"R                           11,000.00"
Ncome,Antibacterial Liquid Soap,NDZORA TRADING CC,2007/143827/23,QUOTATIONS,each,AC-404661,4/15/2020,2500,R 480.00,"R                           48,000.00"
Ncome,PVC Facial Visors,Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,each,AC-404660,4/15/2020,2500,R 11.00,"R                           32,352.94"
Ncome,Yellow Gloves (Cleaning gloves),Ayenzo Construction,2016/180974/07,QUOTATIONS,pair,AC-404659,4/15/2020,500,R 33.79,"R                           16,895.00"
Ncome,"Apron,plastic,full body,single use,no-noise smooth
plastic material",Medi-Core Technologies,2013/198711/07,QUOTATIONS,each,AC-404658,4/15/2020,50000,R 0.54,"R                           27,150.00"
Ncome,Sani-hands hands free dispencer,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,26,R 914.25,"R                           23,770.50"
Ncome,Sani-hands hands refill-isopropanol 1 litre,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,130,R 212.75,"R                           27,657.50"
Ncome,Batteries- C Cell Alkaline,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,1000,R 27.60,"R                           27,600.00"
,Courier / transport costs,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,1,"R 3,507.50","R                             3,507.50"
Ncome,Goggles general for dust,Covenant Trading,2016/521035/07,QUOTATIONS,each,AI-663609,3/24/2020,100,R 32.00,"R                             3,200.00"
Ncome,Gumboots (Wayne gumboot),Dual Dynamics Solutions (Pty) Ltd,2019/005337/07,QUOTATIONS,pair,AI-3647,4/3/2020,50,R 199.99,"R                             9,999.50"
Nome,"Apron,plastic,full body,single use,no-noise smooth
plastic material (yellow)",Medi-Core Technologies,2013/198711/07,Invited quotations,each,AC-404672,4/24/2020,10000,R 0.54,"R                             5,430.00"
KOKSTAD,Paper Towel 235mmx360mm (1 ply),Promed Technologies,2014/162486/07,RT32,roll,AI-663602,4/3/2020,400,R 55.75,"R                           22,300.00"
Ncome,HB Meter Digital,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404667,4/17/2020,5,"R 3,250.00","R                           16,250.00"
KOKSTAD,Pulse Oximeter on desktop,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AI-663604,3/20/2020,5,"R 5,561.40","R                           27,807.00"
Ncome,Stethoscope Classic Dual Head,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,20,R 114.98,"R                             2,298.80"
Ncome,BP Cuffs Adult (25-35),CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,10,R 125.10,"R                             1,251.00"
Ncome,Double Flow Meter with Ball Tube,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,10,"R 1,079.80","R                           10,798.00"
Ncome,Ambi Oval Plus Silicone Resuscitater,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,5,"R 1,138.50","R                             5,692.50"
,CPR DOLL,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,EACH,AC-404665,4/17/2020,1,"R 6,918.58","R                             6,918.58"
,Laryngeal mask,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,EACH,AC-404665,4/17/2020,10,R 188.35,"R                             1,883.50"
Ncome,Laryngoscope set adult,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,5,"R 4,150.55","R                           20,752.75"
Ncome,Endotracheal tube 6.6,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,R 98.65,"R                             1,479.75"
Ncome,Endotracheal tube 5.7,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,R 98.65,"R                             1,479.75"
Ncome,Endotracheal tube 7.5,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,R 98.65,"R                             1,479.75"
Ncome,,,,,,,,,,
Ncome,NCOME MANAGEMENT AREA,,,,,,,,,
Ncome,Cloth Masks,Shongololo Prints,2015/061732/07,Deviation,each,AC-085301,17/04/2020,3200,R 23.36,"R                           74,749.00"
Ncome,Surgical masks,Masithabe Trading,2009/196595/23,Deviation,each,G-557750,17/04/2020,10000,R 22.50,"R                         225,000.00"
Pietermaritzburg,Alcohol based hand sanitiser,,,,,,,,,
Pietermaritzburg,Anti bacteria Hand soap,Hychem (Pty)Ltd,2012/045088/07,Deviation,Litre,G-557749,16/04/2020,250,R 36.80,"R                             9,200.00"
Pietermaritzburg,Bleach,Hychem (Pty)Ltd,2012/045088/07,Deviation,Litre,G-557749,16/04/2020,375,17.48,"R                             6,555.00"
Pietermaritzburg,Biocide D,Hychem (Pty)Ltd,2012/045088/07,Deviation,gram,G-557749,16/04/2020,600,1.01,R                                603.75
Pietermaritzburg,Paper towels,Hychem (Pty)Ltd,2012/045088/07,Deviation,box (12 packs),G-557749,16/04/2020,6,R 641.70,"R                             3,850.20"
,Biocide D,inspect-a-Pest,2007/009937/23,Deviation,Litre,AC-085346,23/07/2020,4800,R 41.40,"R                         198,720.00"
Pietermaritzburg,Heavy duty rubber cleaning glove,Buzzi Circle Enterprise,2017/103765/07,Deviation,Pair,G-557748,08/04/2020,1929,R 15.00,"R                           28,935.00"
Pietermaritzburg,Plastic Covered Matresses,Arjohuntegh South Africa,2001/016670/07,RT24,each,G-557739,27/03/2020,300,"R 1,065.30","R                         319,590.00"
Pietermaritzburg,Matress Cover for hospitals,Arjohuntegh South Africa,2001/016670/07,RT24,each,G-557739,27/03/2020,300,R 474.81,"R                         142,443.00"
Pietermaritzburg,N95 Masks,Rainbow Moon Services,2015/026580/07,Deviation,each,G-557730,23/03/2020,700,R 60.00,"R                           42,000.00"
Pietermaritzburg,latex powder free gloves (non-sterile),Rainbow Moon Services,2015/026580/07,Deviation,Pair,G-557730,23/03/2020,3000,R 1.65,"R                             4,950.00"
Pietermaritzburg,Water boot (gumboots),BBF Safety Group,2014/095914/07,RT59/2019,Pair,G-557721,19/03/2020,300,R 164.35,"R                           49,305.00"
Pietermaritzburg,Spill kits biological,Hychem (Pty)Ltd,2012/045088/07,Deviation,box (6),G-557749,16/04/2020,48,"R 1,552.50","R                           74,520.00"
Pietermaritzburg,Boot covers,Hychem (Pty) Ltd,2012/045088/07,Deviation,pack,G-557749,1604/2020,3,143.75,R                                431.25
Pietermaritzburg,"Sanitizer (handheld)                             Anti Bacteria Hand
soap",HMS,1997/008746/23,Deviation /Petty Cash,Litre,Petty Cash,24/03/2020,"15
15",R 52.84,"R                             1,585.20"
,Sanitizer (handheld),Barrs Pharmaceuticals,2012/056577/07,RT300/2017,each (50ml),G-557722,19/03/2020,3500,R 2.77,"R                             9,695.00"
,Sanitizer (handheld),Barrs Pharmaceuticals,2012/056577/07,RT300/2017,each (500ml),G-557722,19/03/2020,3500,R 15.92,"R                           55,720.00"
Pietermaritzburg,Sanitizer ( handheld ),Rainbow Moon Services,2015/026580/07,Deviation,Litre,G-557731,23/03/2020,500,R 120.00,"R                           48,000.00"
Pietermaritzburg,Disposable protective clothing for medical use,Mwelase Family (PTY)Ltd,2016/336320/07,Deviation,each,G-557746,03/04/2020,100,R 39.60,"R                           39,600.00"
Ncome,Disposable coverall suits,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,500,R 120.00,"R                           69,000.00"
Ncome,Full face shield,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,850,R 40.25,"R                           34,212.50"
Ncome,Disposable Gown,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/072020,1000,R 86.25,"R                           86,250.00"
Ncome,Infrared electric thermometer,Hychem (Pty) Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,25,"R 1,200.00","R                           34,500.00"
Pietermaritzburg,,,,,,,,,,
Pietermaritzburg,PIETERMARITZBURG MANAGEMENT AREA,,,,,,,,,
Pietermaritzburg,Surgical masks,COVENANT TRADING,2016/521035/07,QUOTATION,BOX,AC-404615,3/24/2020,40,R           725.00,"R                           29,000.00"
Pietermaritzburg,Surgical masks,LLTD AFFECTION PTY,2018/287742/07,QUOTATION,EA,AC-404641,3/26/2020,428,R             69.95,"R                           29,938.60"
Pietermaritzburg,Surgical masks,GCEKWANE TRADING,2014/141605/07,QUOTATION,EA,AC-404637,3/27/2020,420,R             70.00,"R                           29,400.00"
Pietermaritzburg,Surgical masks,DALAWANE TRADING,2007/087171/23,QUOTATION,EA,AC-404628,3/25/2020,250,R           120.00,"R                           30,000.00"
,BIOCIDE D,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,BOX,AC-404606,3/23/2020,30,R           268.16,"R                             8,043.46"
,Bleach 25lt,QUOTATION,EACH,320,R           333.34,"R                         106,683.20",,,,
Pietermaritzburg,Dynamaps,RT2-1-2016,EA,10,"R      18,762.87","R                         163,155.40",,,,
Pietermaritzburg,Spill Kits Biological,QUOTATION,EA,255,"R        1,637.60","R                         357,000.00",,,,
Pietermaritzburg,Temperature Scanner,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,EA,AC-404642,3/26/2020,78,"R        1,516.10","R                         118,255.80"
Pietermaritzburg,Batteries for scanners,STARDUST MARKERTING,2019/622167/07,QUOTATION,EA,AC-404451,4/2/2020,60,R             25.00,"R                             1,500.00"
Pietermaritzburg,LINEN SAVER,ACCESS MEDICAL PTY,2012/013099/07,QUOTATION,PK,AC-404625,3/25/2020,4000,R               1.20,"R                             4,800.00"
Pietermaritzburg,SURGICAL MASK,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-450352,3/20/2020,120,R           862.50,"R                         103,500.00"
Pietermaritzburg,TONGUE DEPRESSOR,BOX,1,R             20.00,R                                  20.00,,,,,
Pietermaritzburg,LINEN SAVER,BOX,5,R           575.00,"R                             2,875.00",,,,,
,N95 Mask,BOX,25,"R        1,380.00","R                           34,500.00",,,,,
,DISPOSABLE APRONS,EACH,200,R             50.00,"R                           10,000.00",,,,,
Pietermaritzburg,SURGICAL MASK,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,BOX,AC-085602,4/16/2020,1600,R             18.50,"R                           29,600.00"
Pietermaritzburg,Sreens 3panel,SIYAKHULIS TRADING CC,2004/099727/23,QUOTATION,EA,AC-404649,4/2/2020,10,"R        2,800.00","R                           28,000.00"
Pietermaritzburg,Sreens 3panel,SIYAKHULIS TRADING CC,2004/099727/23,QUOTATION,EA,AC-404456,4/6/2020,2,"R        2,800.00","R                             5,600.00"
Pietermaritzburg,DISPOSABLE APRONS,CENTRAL MEDICAL,1995/003785/07,RT32,pkt,AC-404645,3/31/2020,200,R             32.00,"R                             6,400.00"
,DISPOSABLE APRONS - YELLOW,CENTRAL MEDICAL,1995/003785/07,RT32,PKT,AC-085460,7/21/2020,5000,R               0.40,"R                             2,000.00"
Pietermaritzburg,DISPOSABLE APRONS,CENTRAL MEDICAL,1995/003785/07,TR32,PKT/100,AC-404436,3/19/2020,200,R             32.00,"R                             6,400.00"
Pietermaritzburg,Non Sterile Gloves,SUPRA HEALTH CARE,2007/027848/07,QUOTATION,BOX OF 100,AC-404648,4/2/2020,170,R             84.47,"R                           14,359.90"
Pietermaritzburg,VITAL SIGN MONITOR,CLASS THREE MEDICAL,2017/535986/07,RT2,EACH,AC-404434,3/19/2020,11,"R      16,315.54","R                         179,470.94"
Pietermaritzburg,BP CUFF,EACH,3/19/2020,11,R           120.75,"R                             1,328.25",,,,
Pietermaritzburg,NEBULISER,EACH,3/19/2020,10,"R        5,184.20","R                           51,842.00",,,,
Pietermaritzburg,Surgical Mask box of 50,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-404601,3/23/2020,100,R           862.50,"R                           86,250.00"
Pietermaritzburg,Disinfactant 5litre,litre,50,R           690.00,"R                           34,500.00",,,,,
Pietermaritzburg,SANITIZERS (HAND) 25 LITRE,LITRE,20,"R        3,450.00","R                           69,000.00",,,,,
,N95,BOX,175,"R        1,380.00","R                         241,500.00",,,,,
Pietermaritzburg,SANITIZERS (HAND) 25 LITRE,HYCHEM (PTY) LTD,2012/045088/07,QUOTATION,LITRE,AC-085604,4/16/2020,49,"R        2,500.00","R                         140,875.00"
Pietermaritzburg,Sanitizer,BARRS PHARMACEUTICALS,2012/056577/07,RT300,LT,AC-404442,3/20/2020,6100,R             14.44,"R                           88,084.00"
,SANITIZER,BARRS PHARMACEUTICALS,2012/056577/07,RT300,500ML,AC-085456,7/16/2020,5000,R             16.21,"R                           81,050.00"
Pietermaritzburg,Bleach 25lt,KLEENLINE,2002/017805/23,QUOTATION,LT,AC-404650,4/2/2020,320,R           209.30,"R                           66,976.00"
PIETERMARITZBURG,Mattress cover for hospital,NEW HORIZON METAL,2000/007991/23,RT24,EA,AC-404447,3/19/2020,600,R           677.35,"R                         406,410.00"
PIETERMARITZBURG,Adjustable hospital beds with mattress,EA,90,"R        9,973.95","R                         897,655.50",,,,,
Pietermaritzburg,Sanitizer and Soap Dispenser,NEW HORIZON METAL,2000/007991/23,RT24,EA,AC-404484,4/8/2020,330,R           147.75,"R                           48,757.50"
Pietermaritzburg,Dispenser for paper towel,MWELASE FAMILY PTY,2016/336320/07,QUOTATION,EA,AC-450366,4/14/2020,165,R           880.00,"R                         145,200.00"
Pietermaritzburg,OVER SHOE NON WOOVEN,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,EA,AC-450365,4/8/2020,200,R             77.19,"R                           15,437.00"
Pietermaritzburg,Surgical scrub,DALAWANE TRADING,2007/087171/23,QUOTATION,EA,AC-404498,4/9/2020,890,R           280.00,"R                         249,200.00"
Pietermaritzburg,Surgical scrub,BARRS,2012/056577/07,RT32,LT,AC-404443,3/21/2020,6100,R           159.93,"R                         975,573.00"
Pietermaritzburg,Boiocide D,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,PKT,AC-404608,3/23/2020,100,"R        4,021.73","R                         402,173.00"
Pietermaritzburg,Paper towels,SHOSHO INDUSTRIAL,2003/009940/23,RT14-2019,BOX,AC-404433,3/19/2020,7000,R             12.94,"R                           90,562.50"
Pietermaritzburg,Heavy duty rubber cleaning glove,SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EA,AC-404431,3/19/2020,500,R             18.00,"R                             9,000.00"
Pietermaritzburg,Full face shield (proctective ggogles),SUPRA HEALTH CARE,2007/027848/07,QUOTATION,EA,AC-404429,3/19/2020,350,R           229.94,"R                           80,479.00"
Pietermaritzburg,DISPOSABLE GOWNS,LOGAN MEDICAL,2012/056508/07,QUOTATION,EACH,AC-404609,2020.03.23,350,R             40.25,"R                           14,087.50"
Pietermaritzburg,TOUNGE DEPPRESSOR,BOX,20,R             20.00,R                                400.00,,,,,
Pietermaritzburg,OVER SHOE NON WOOVEN,PKT OF 100,550,R           110.00,"R                           60,500.00",,,,,
,LINEN SAVERS,BOX,15,R           575.00,"R                             8,625.00",,,,,
PIETERMARITZBURG,SLEEVE PROTECTOR SINGLE USE,PKT OF 100,20,R           100.00,"R                             2,000.00",,,,,
Pietermaritzburg,DISPOSABLE GOWNS Medium,PROMED TECHNOLOGIES,2014/162486/07,RT32,EA,AC-404626,3/25/2020,200,R             23.14,"R                             4,628.00"
Pietermaritzburg,DISPOSABLE GOWNS Large,PROMED TECHNOLOGIES,2014/162486/07,RT32,EA,AC-404627,3/26/2020,150,R             23.83,"R                             3,574.50"
Pietermaritzburg,Cooler Box 2liters,DIMK PTY LTD,2016/391176/07,QUOTATION,LT,AC-404430,3/19/2020,10,R           515.90,"R                             5,159.00"
Pietermaritzburg,Disposable Gown,EACH,500,R             19.85,"R                             9,925.00",,,,,
Pietermaritzburg,Spray Bottles (2 liters),STARDUST MARKERTING,2019/622167/07,QUOTATION,EA,AC-404611,3/23/2020,300,R             25.00,"R                             7,500.00"
Pietermaritzburg,GLOCO METER,EACH,12,"R        9,311.11","R                         111,733.32",,,,,
Pietermaritzburg,ENT SET,EACH,20,"R        3,623.10","R                           72,462.00",,,,,
Pietermaritzburg,HB METER,EACH,12,"R        3,737.50","R                           44,850.00",,,,,
Pietermaritzburg,STETHOSCOPE,EACH,15,R           455.00,"R                             6,824.96",,,,,
Pietermaritzburg,LARYNGOSCOPE,EACH,5,"R        4,773.13","R                           23,865.65",,,,,
Pietermaritzburg,Cartridges Samsung(printing medical reports),RISING FAST TRADING,2016//431333/07,QUOTATION,EACH,AC-404638,3/26/2020,10,"R        2,500.00","R                           25,000.00"
Pietermaritzburg,Cartridges (printing medical reports),SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EA,AC-404431,3/19/2020,10,"R        1,900.00","R                           19,000.00"
Pietermaritzburg,Heavy duty gloves,EACH,500,R             18.00,"R                             9,000.00",,,,,
Pietermaritzburg,Batteries,EA,310,R             49.00,"R                           15,190.00",,,,,
,NON STERILE GLOVES MEDIUM,EVERGREEN LATEX CC,2002/057771/23,RT76,BOX,AC-085644,7/3/2020,100,R             51.27,"R                             5,127.00"
,NON STERILE GLOVES LARGE,BOX,100,R             51.27,"R                             5,127.00",,,,,
Pietermaritzburg,NON STERILE GLOVES,SUPRA HEALTH CARE,2007/027848/07,QUOTATION,BOX,AC-404428,3/19/2020,"1,100",R             42.24,"R                           46,458.50"
Pietermaritzburg,LATEX GLOVES,BOX,100,R           458.85,"R                           45,885.00",,,,,
Pietermaritzburg,Sleeve protector (single use),UMUSA KAMI SUPPLIES,2019//443164/07,QUOTATION,BOX,AC-450365,4/8/2020,20,R           176.75,"R                             3,535.00"
Pietermaritzburg,Flu Vaccine,KARMA BIOTECH,,RT285,EA,AC-404636,3/26/2020,2450,R             39.93,"R                           97,828.50"
Pietermaritzburg,PROTECTIVE GOOGLES,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,EA,AC-085601,4/14/2020,350,R             60.00,"R                           21,000.00"
Pietermaritzburg,Full face shield,HYCHEM (PTY) LTD,2012/045088/07,QUOTATION,EA,AC-085604,4/16/2020,9900,R               9.50,"R                         108,158.00"
Pietermaritzburg,Water boot (gumboots),BBF SAFETY,2014/095914/07,RT59,PAIR,AC-404444,3/19/2020,154,R           152.00,"R                           23,408.00"
Pietermaritzburg,Colour coded mops& buckets,KWANDOKUHLE TRADING,2018/255751/07,QUOTATION,EA,AC-404446,3/19/2020,70,R           330.00,"R                           23,100.00"
Pietermaritzburg,Colour coded buckets,EA,70,R           290.00,"R                           20,300.00",,,,,
,Pedals,EA,80,R           230.00,"R                           18,400.00",,,,,
Pietermaritzburg,PULSE OXIMETER,CLASS THREE MEDICAL,2017/535986/07,RT2,EA,AC-404448,3/19/2020,5,"R        5,561.40","R                           27,807.00"
Waterval,,,,,,,,,,
,WATERVAL MANAGEMENT AREA,,,,,,,,,
Waterval,Surgical masks,"BIOLOGICAL PHARMACEUTICAL
(PTY) LTD",2013/067392/07,RT296-08-271,EA,AC-085394,3/20/2020,10 000,R26.65,"R                         266,500.00"
Waterval,Surgical masks,I.H.S.,,COVID 030,BX,AC-085435,4/21/2020,200 X 50,511,"R                         102,200.00"
,,"BIOLOGICAL PHARMACEUTICAL
(PTY)LTD",2013/067392/07,RT296-2020,EA,WV-010858,2020.05.07,"30,000",R26.65,"R                         799,500.00"
,,"BIOLOGICAL PHARMACEUTICAL
(PTY)LTD",2013/067392/07,RT296-2020,EA,AC-085728,2020.07.17,"30,000",R26.65,"R                         799,500.00"
Waterval,N95 masks,LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,EA,AC-085422,4/16/2020,10 000,R5.35,"R                           53,500.00"
Waterval,N95 masks,I.H.S.,2011/013434/23,COVID 033,BX,AC-085435,4/21/2020,100 X 10,413.6,"R                           41,360.00"
,,LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,,AC-085710,2020.06.10,500,R5.35,"R                             2,675.00"
Waterval,Disposable Gown,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,AC-085414,4/8/2020,1000,R23.83,"R                           23,830.00"
Waterval,Disposable Gown,I.H.S.,,COVID 037,EA,AC-085435,4/21/2020,500,64.25,"R                           32,125.00"
,,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,WV-010983,6/17/2020,"10,000",R23.83,"R                         238,300.00"
