EASTERN CAPE REGION,,,,,,,,,,,
MANAGEMENT AREA,ITEM DESCRIPTION,SUPPLIER NAME,"COMPANY
REGISTRATION NO",PROCUREMENT PROCESS FOLLOWED,ORDER DATE,ORDER AMOUNT,,,,,
St Albans,Disposable Gloves,Bansogenix,2016/062668/07,Written Qoutation,"Friday, June 12, 2020","R                              29,845.00",,,,,
St Albans,Disposable Gloves: Shamrock,Akhotec,2018/282270/07,Formal Price Qoutation,"Tuesday, March 31, 2020","R                              45,000.00",,,,,
St Albans,Disposable Gloves:Max Guard,Hyman,2016/463127/07,Written Qoutation,"Wednesday, April 15, 2020","R                              29,992.00",,,,,
St Albans,Disposable Gown,Logan Medical & surgical,2012/056508/07,Contract,"Monday, June 8, 2020","R                              80,500.00",,,,,
St Albans,Disposable Overall,Logan Medical & surgical,2012/056508/07,Contract,"Monday, June 8, 2020","R                           120,750.00",,,,,
St Albans,Disposable Overals,Zondiphase,2014/172473/07,Written Qoutation,"Friday, April 10, 2020","R                              25,500.00",,,,,
St Albans,Disposable Plastic Aprons,Regent Incorporated,2006/127102/23,Written Qoutation,"Friday, March 27, 2020",R                                   700.00,,,,,
St Albans,Elbow Sanitizer Dispensers and containers,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020","R                                5,316.52",,,,,
St Albans,Face Shields: MAXI,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020",R                                   806.40,,,,,
St Albans,FFP1 Masks: No Branding,Akhotec,2018/282270/07,Formal Price Qoutation,"Tuesday, March 31, 2020","R                           240,000.00",,,,,
St Albans,FFP2 Masks: Honey Well,Zondiphase,2014/172473/07,Written Qoutation,"Wednesday, April 1, 2020","R                              29,960.00",,,,,
St Albans,Handsanitizer,Biotech Labs,1990/007220/07,Contract,"Thursday, April 9, 2020","R                              69,000.00",,,,,
St Albans,Mask,Adesin Creations,2014/052306/07,Written Qoutation,"Tuesday, April 14, 2020","R                              29,988.00",,,,,
St Albans,Masks,Kamp en braai,2018/38779/07,Formal Price Qoutation,"Thursday, July 23, 2020","R                              26,910.00",,,,,
St Albans,Mop Caps: No Branding,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020",R                                   364.00,,,,,
St Albans,Pharmacy Medication,Barrs,2012/056577/07,Contract,"Wednesday, April 22, 2020","R                                4,308.31",,,,,
St Albans,Protective suit,Impepho Technologies,2015/031522/07,Formal Price Qoutation,"Thursday, July 23, 2020","R                           198,000.00",,,,,
St Albans,Reusable Gloves: Drawmax,Zondiphase,2014/172473/07,Written Qoutation,"Wednesday, April 1, 2020","R                              29,960.00",,,,,
St Albans,Reusable Gloves: Drawmax,Zondiphase,2014/172473/07,Written Qoutation,"Wednesday, April 1, 2020","R                              29,960.00",,,,,
St Albans,Reusable Gloves: Drawmax,Zondiphase,2014/172473/07,Written Qoutation,"Thursday, April 9, 2020","R                              29,960.00",,,,,
St Albans,Sanitizer,Zanolutho Bussiness Enterprise,2018/602983/07,Formal Price Qoutation,"Monday, March 30, 2020","R                           263,924.15",,,,,
St Albans,Shoe Covers,Zondiphase,2014/172473/07,Written Qoutation,"Friday, April 10, 2020","R                                2,400.00",,,,,
St Albans,Shoe Covers: No Branding,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020",R                                   306.09,,,,,
St Albans,Surface Cleaner Spray Containers,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020",R                                   553.04,,,,,
St Albans,Surgcal Face Masks: No Branding,Zondiphase,2014/172473/07,Written Qoutation,"Wednesday, April 1, 2020","R                              29,970.00",,,,,
St Albans,Surgical Gloves: Med Tex Gloves,Regent Incorporated,2006/127102/23,Written Qoutation,"Friday, March 27, 2020","R                              29,055.00",,,,,
St Albans,Surgical Gloves:No Branding,Zondiphase,2014/172473/07,Written Qoutation,"Friday, April 10, 2020","R                              28,000.00",,,,,
St Albans,Surgical Mask,Regent Incorporated,2006/127102/23,Written Qoutation,"Friday, March 27, 2020","R                              29,940.00",,,,,
St Albans,Surgical Masks,The Filling System,2007/191055/23,Written Qoutation,"Monday, March 30, 2020","R                              29,900.00",,,,,
St Albans,Surgical Masks,Zondiphase,2014/172473/07,Written Qoutation,"Friday, April 10, 2020","R                              29,960.00",,,,,
St Albans,Surgical Masks: No Branding,Hyman,2016/463127/07,Written Qoutation,"Wednesday, April 15, 2020","R                              29,989.13",,,,,
St Albans,Take away containers,Nokwinti,2014/1000659/07,Written Qoutation,"Thursday, July 9, 2020","R                              19,404.00",,,,,
St Albans,Take away containers,Putumuncumo,2013/197432/07,Written Qoutation,"Monday, July 13, 2020","R                              23,760.00",,,,,
St Albans,Thermometer,Adesin Creations,2014/052306/07,Written Qoutation,"Tuesday, April 14, 2020","R                              29,250.00",,,,,
St Albans,"Visors, Helmet",Arc Technology,2017/162066/07,Contract,"Wednesday, June 3, 2020","R                           118,500.00",,,,,
East London,Sanitizer 70% Alcohol,Dstnctv Business,2017/364641/07,Written Qoutation,2020.03.27,"R                            103,500.00",,,,,
East London,N95 Mask,Mhlaba Group,2017/134862/07,CONTRACT,2020.03.27,"R                              60,000.00",,,,,
East London,Heavy Duty Cleaning Gloves,Fresh And Clean,2002/096275/23,Written Qoutation,2020.04.14,"R                                 1,400.00",,,,,
East London,Surgical Masks: No Branding,Ewe Projects,2015/054348/07,Written Qoutation,2020.03.27,"R                              92,400.00",,,,,
East London,Protective Overalls,Fresh And Clean,2002/096275/23,Written Qoutation,2020.04.14,"R                                 7,000.00",,,,,
East London,Shoe Covers,Fresh And Clean,2002/096275/23,Written Qoutation,2020.4.14,R                                    273.70,,,,,
East London,Protective Overalls,Zondi Phase,2014/172473/07,Written Qoutation,2020.04.15,"R                              18,000.00",,,,,
East London,Paper Towels,Shosho Industrial,2003/009940/23,COntract,2020.03.16,"R                                 2,971.00",,,,,
East London,Paper Towels,Promed,2014/142486/07,COntract,2020.03.18,"R                                 1,763.00",,,,,
East London,Paper Towels,Promed,2014/142486/07,COntract,2020.03.25,R                                    840.00,,,,,
East London,Thermometers,Dr Temp,2013/120599/07,COntract,2020.03.25,"R                                 5,152.00",,,,,
East London,N95 Mask,Liora Medical,2011/013434/23,Written Qoutation,2020.04.22,"R                              52,804.50",,,,,
East London,Sanitizer 70% Alcohol,Ewe Projects,2015/054348/07,Price quotation below R30 000.00,2020.04.01,"R                              29,750.00",,,,,
East London,Surgical Masks,Mhlaba Group,2017/134862/07,CONTRACT,2020.03.30,"R                              20,000.00",,,,,
East London,DISPOSABLE COVERALLS,PURPOSERVE SERVCE,,,2020.06.17,"R                              22,500.00",,,,,
East London,Sanitizer 70% Alcohol,lechoba medical,2005/044442/07,CONTRACT,2020.05.06,"R                              72,900.00",,,,,
East London,SURGICAL MASK,lechoba medical,2005/044442/07,CONTRACT,2020.04.09,"R                              28,125.00",,,,,
East London,DISPOSABLE COVERALLS,LAPUMIKHWEZI PROJECTS,,Written Qoutation,2020.06.18,"R                              25,200.00",,,,,
East London,DISPOSABLE GOWNS,LOGAN MEDICAL,2012/056508/07,CONTRACT,2020.05.19,"R                            120,750.00",,,,,
East London,Sanitizer 70% Alcohol,Promed,2014/142486/07,CONTRACT,2020.06.05,"R                              36,000.00",,,,,
East London,DISPOSABLE COVERALLS,SIPILISIWE TRADING,2011/126939/07,Written Qoutation,2020.06.05,"R                              28,000.00",,,,,
East London,GLOVES,EVERGREEN LATEX,2002/057771/23,CONTRACT,2020.03.23,"R                                 7,114.80",,,,,
East London,GLOVES,EVERGREEN LATEX,2002/057771/23,CONTRACT,2020.03.23,"R                            249,300.00",,,,,
East London,GLOVES,EVERGREEN LATEX,2002/057771/23,CONTRACT,2020.03.23,"R                              49,860.00",,,,,
East London,GLOVES,EVERGREEN LATEX,2002/057771/23,CONTRACT,2020.03.23,"R                              49,860.00",,,,,
East London,VISORS,ARC TECHNOLOGY,2017/162066/07,CONTRACT,2020.05.19,"R                                 7,305.00",,,,,
East London,VISORS,FOCAL POINT,2013/057783/07,Written Qoutation,2020.05.27,"R                              14,700.00",,,,,
East London,Sanitizer 70% Alcohol,BARRS PHARM,2012/056577/07,CONTRACT,2020.03.23,"R                            157,900.00",,,,,
East London,Sanitizer 70% Alcohol,BARRS PHARM,2012/056577/07,CONTRACT,2020.03.20,"R                              43,592.50",,,,,
East London,Sanitizer 70% Alcohol,BARRS PHARM,2012/056577/07,CONTRACT,2020.06.05,"R                              25,164.00",,,,,
East London,Shoe Covers,MEDICAL INTERNATIONAL,2007/023366/23,CONTRACT,2020.05.28,"R                              57,690.00",,,,,
East London,Shoe Covers,KKAP MEDICAL,2016/084247/07,CONTRACT,2020.05.08,"R                              12,600.00",,,,,
East London,APRON PLASTIC,CENTRAL MEDICAL,1995/003785/07,CONTRACT,2020.03.25,R                                    960.00,,,,,
East London,SURGICAL MASKS,TRIPPLE MEDICAL,2011/129850/07,CONTRACT,2020.04.29,"R                            130,200.00",,,,,
East London,SURGICAL MASK,ARC TECHNOLOGY,2017/162066/07,CONTRACT,2020.05.22,"R                            119,800.00",,,,,
East London,VISORS,ARC TECHNOLOGY,2017/162066/07,CONTRACT,2020.05.22,"R                                 4,450.00",,,,,
East London,DISPOSABLE COVERALLS,ALLENCO MEDICAL,2001/068091/23,CONTRACT,2020.05.28,"R                            310,500.00",,,,,
East London,ARM SLEEVES,MEDI CORE,2015/312638/07,CONTRACT,2020.05.08,R                                    660.00,,,,,
East London,DISPOSABLE GOWNS,LOGAN MEDICAL,2012/312638/07,CONTRACT,2020.05.08,"R                                 8,050.00",,,,,
East London,ARM SLEEVES,MEDI CORE,,CONTRACT,2020.05.08,R                                    440.00,,,,,
East London,VISORS,SAKHILE CIVIL,2015/271058/07,Written Qoutation,2020.06.04,"R                              14,750.00",,,,,
East London,DISPOSABLE APRONS,TSHINA DESTINY TRADING,2016/440969/07,Written Qoutation,2020.05.28,"R                              12,950.00",,,,,
East London,DISPOSABLE GOWNS,ASILINA 86 TRADING,2013/111131/07,Written Qoutation,2020.05.28,"R                              28,900.00",,,,,
East London,SURGICAL MASKS,TRIPPLE MEDICAL,2011/129850/07,CONTRACT,2020.03.27,"R                                 5,208.00",,,,,
East London,Thermometers,Dr Temp,2013/120599/07,CONTRACT,2020.03.25,"R                                 5,152.00",,,,,
East London,SR-021098,Itstym General,2009//128911/23,Written Qoutation,2020.03.17,"R                                 3,899.10",,,,,
East London,DECONTAMINATION,DOMINION CONSULTIN,2015/428473/07,Written Qoutation,2020.07.29,"R                              13,230.00",,,,,
TOTAL AMOUNT,,,,,,"R                      10,240,353.52",,,,,
EASTERN CAPE REGION,,,,,,,,,,,
MANAGEMENT AREA,ITEM DESCRIPTION,SUPPLIER NAME,COMPANY REGISTRATION NO,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION
PROCUREMENT METHOD)",ORDER DATE,ORDER AMOUNT,,,,,
Regional office,An pure life Surgical mask,MN Investment,2014/098098/07,Quotation deviation,26-Mar-20,"R                       13,950.00",,,,,
,Sani guard blue alcohol based hand sanitiser,,,Quotation deviation,,"R                       23,400.00",,,,,
,Max guard blue nitrile gloves,,,Quotation deviation,,"R                         2,400.00",,,,,
,Max guard blue nitrile gloves,Isibanye academy,2016/481835/07,Quotation deviation,14-Apr-20,"R                       67,800.00",,,,,
,An pure life disposable face mask L,,,Quotation deviation,,"R                       14,000.00",,,,,
,An pure life disposable face mask XL,,,Quotation deviation,,"R                         2,800.00",,,,,
,,,,,,,,,,,
Barberton,SU Disposable face mask,BIOLOGICAL PHARMACEUTIL,2013/067392/07,RT-296/2020,20/03/2020,"R                     133,250.00",,,,,
Barberton,coverall bodysuite,Alfrehutch Trading,2008/130764/23,RTCOVID19-014,20/03/2020,"R                  4,488,000.00",,,,,
Barberton,medical  and surgical disposable bags,"PROMED TECHNOLOGIES
18 DRIFT ROAD",2014/162486/07,RTCOVID19-011,3/20/2020,"R                     100,000.00",,,,,
Barberton,VACCINE: INFLUENZA,KAHMA BIOTECH PTY,1997/014365/07,RT-285/2019,3/31/2020,"R                       31,504.77",,,,,
Barberton,EVERGREEN LATEX:POWDER FREE,EVERGREEN LATEX CC,2002/057771/23,RT-76/2020,3/20/2020,"R                         4,986.00",,,,,
Barberton,TANKS DISINFECTANT,"PROMED TECHNOLOGIES
18 DRIFT ROAD",2014/162486/07,RTCOVID19-013,3/23/2020,"R                         2,250.00",,,,,
Barberton,Protective goggles,LECHOBA MEDICAL,2005/044442/07,RTCOVID19-016,3/20/2020,"R                     131,800.00",,,,,
Barberton,disposable aprons,central Medical,1995/003785/07,RT-32/2019,13/05/2020,"R                       41,600.00",,,,,
Barberton,NUGARD,SUPRA HEALTHCARE,2007/027848/07,RT-76/2020,13/05/2020,"R                       40,833.60",,,,,
Barberton,No brand on the product,THE PROMISE OF DREAMS,2016/409541/07,Quotation,4/18/2020,"R                       21,340.00",,,,,
,,,,,,,,,,,
Bethal,Surgical masks 3ply,Cherish,2014/117876/07,Quotations,4/8/2020,"R                       29,985.00",,,,,
Bethal,Surgical masks 3ply,Zayaan,2016/453418/07,Quotations,4/8/2020,"R                       30,000.00",,,,,
Bethal,Surgical masks 3ply,AQ Distr,2014/092518/07,Quotations,4/8/2020,"R                       27,000.00",,,,,
Bethal,Surgical masks 3ply,Azinaz,2007/177166/23,Quotations,4/8/2020,"R                       29,025.00",,,,,
Bethal,Surgical masks 3ply,Lynx,88/018201/23,Quotations,4/6/2020,"R                         3,000.00",,,,,
Bethal,mask particulate filtering disp smll,Alfrehutch,2008/130764/23,RT Covid19-001,3/26/2020,"R                         5,610.00",,,,,
Bethal,surgical mask fluid mask,Tripple N Med,2011/129850/07,RT Covid19-007,3/26/2020,"R                     520,800.00",,,,,
Bethal,N95 masks,Liora med,2011/013434/23,RT 32/2019,3/18/2020,"R                       18,725.00",,,,,
Bethal,Disposable scrub suit,Promed,2014/162486/07,RT 32/2019,3/18/2020,"R                       11,915.00",,,,,
Bethal,Full face shield,NJD proj,2016/016551/07,Quotations,3/26/2020,"R                       21,812.50",,,,,
Bethal,Disposable aprons,Centre med,1995/003785/07,RT 32/2019,3/18/2020,R                            960.00,,,,,
Bethal,Disposable aprons,Letsepe,2017/339715/07,Quotations,4/1/2020,R                            415.00,,,,,
Bethal,Non Sterile Gloves med,Evergreen,2002/057771/23,RT 76/2020,3/18/2020,"R                       29,916.00",,,,,
Bethal,Non Sterile Gloves large,Evergreen,2002/057771/23,RT 76/2020,3/18/2020,"R                       29,916.00",,,,,
Bethal,supplier cancelled order,Access med,2012/013099/07,RT 76/2020,2020/13/18,"R                       29,718.00",,,,,
Bethal,Gloves heavy duty,Letsepe,2017/339715/07,Quotations,3/26/2020,"R                         1,275.00",,,,,
Bethal,Temperature Scanner,AQ Distr,2014/092518/07,Quotations,4/9/2020,"R                       26,000.00",,,,,
Bethal,Temperature Scanner,Champion,1985/008714/23,Quotations,4/9/2020,"R                       28,462.50",,,,,
Bethal,Temperature Scanner,Champion,1985/008714/23,Quotations,4/14/2020,"R                       28,462.50",,,,,
Bethal,supplier cancelled order,Dr Temp,2013/120599/07,RT 32/2019,3/18/2020,"R                       19,320.00",,,,,
Bethal,Alcohol based hand sanitiser chlorhexidine 500ml,Barrs pharma,2012/056577/07,RT 300/20217,3/18/2020,"R                       49,230.00",,,,,
Bethal,Hand sanitiser disinfectant spray 50ml,Barrs pharma,2012/056577/07,RT 300/20217,3/18/2020,"R                       49,950.00",,,,,
Bethal,Hand sanitiser disinfectant spray 500ml,Barrs pharma,2012/056577/07,RT 300/20217,3/18/2020,"R                       54,800.00",,,,,
Bethal,Hand sanitiser disinfectant spray 5lt,Barrs pharma,2012/056577/07,RT 300/20217,3/18/2020,"R                       15,993.00",,,,,
Bethal,Hand sanitizer alcohol base,Cosmos pharmacy,2008/140005/23,Quotations,4/2/2020,"R                         2,500.00",,,,,
Bethal,Spray air sanitizer 500ml,Cosmos pharmacy,2008/140005/23,Quotations,4/2/2020,"R                         1,320.00",,,,,
Bethal,Hand sanitizer 70% alcohol,Lynx,88/018201/23,Quotations,4/6/2020,"R                       22,500.00",,,,,
Bethal,Hand sanitizer 70% alcohol,Lynx,88/018201/23,Quotations,4/6/2020,"R                       30,000.00",,,,,
Bethal,Sanitizer hand 70% alcohol,Logan med,2012/056508/23,RT Covid19-008,3/28/2020,"R                       32,200.00",,,,,
Bethal,Sanitizer hand 70% alcohol,Tara med,2019/237077/07,RT Covid19-008,3/28/2020,"R                       29,550.00",,,,,
Bethal,Sanitizer hand 500ml,Letsepe,2017/339715/07,Quotations,4/1/2020,"R                       29,830.00",,,,,
Bethal,Soap liquid handwash,Eiesh clean,2007/226814/23,Quotations,3/18/2020,"R                       15,840.00",,,,,
Bethal,Paper towels,Promed,2014/162486/07,RT 14/2019,3/18/2020,"R                       21,000.00",,,,,
Bethal,Spray Bottles (1 liters),Globaldyne,2013/102388/07,Quotations,4/1/2020,"R                       30,000.00",,,,,
Bethal,Plastic Covered Matresses,NJD proj,2016/016551/07,Quotations,3/26/2020,"R                       10,000.00",,,,,
Bethal,Matress Cover for hospitals,Letsepe,2017/339715/07,Quotations,3/26/2020,"R                         5,085.60",,,,,
Bethal,Brush Surgical Sterile (single use),Logan med,2012/056508/23,RT 32/2019,3/18/2020,R                            903.00,,,,,
Bethal,Over shoe non woven (single use),Letsepe,2017/339715/07,Quotations,4/1/2020,R                            425.00,,,,,
Bethal,Sleeve protector (single use),Letsepe,2017/339715/07,Quotations,4/1/2020,R                            439.50,,,,,
Bethal,Flu Vaccine,Kahma,1997/014365/07,RT 285/2019,3/18/2020,"R                     119,790.00",,,,,
Bethal,Hand sanitizer/Soap liquid handwash,BONTLEBATENG,2015/136921/07,Quotations,02/04/2020,"R                       28,000.00",,,,,
Bethal,Hand Sanitizer Gel 6L,Bidvest steiner,2000/011155/07,Petty Cash,24.03.2020,R                            931.60,,,,,
Bethal,Sprayer Pressure 8L x 2,Hinderland,1984/008258/07,Petty Cash,17.04.2020,R                            519.80,,,,,
Rooigrond,Surgical mask,Bosane groups,2016/061318/07,Quotation no deviation,28/04/2020,"R                      29,725.00",,,,,
Rooigrond,"Surgical mask, themometers",Kesodi projects,2012/184843/07,Quotation no deviation,17/04/2020,"R                      29,980.00",,,,,
Rooigrond,themometers,Leno general project,2018/469949/07,Quotation no deviation,09/04/2020,"R                      28,000.00",,,,,
Rooigrond,"hand sanitizer,surgical gloves, mask,appron and sleevescover",Letsepe medical services supplies,2017/339715/07,Quotation no deviation,08/04/2020,"R                      27,485.45",,,,,
Rooigrond,surgical mask and hand saniters,Lynx supplies,1988/018201/23,Quotation no deviation,03/04/2020,"R                      29,775.00",,,,,
Rooigrond,surgical mask,Ya Batho events and travel,2009/024728/23,Quotation no deviation,07/04/2020,"R                      29,988.00",,,,,
Polokwane Area,Equipment for Isolation Container: Work Desk,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        3,596.00",,,,,
,Equipment for Isolation Container: Twin Tub Washing Machine,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        6,598.00",,,,,
,Equipment for Isolation Container: Steel Filing Cabinet,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        5,398.00",,,,,
,Equipment for Isolation Container: Steel Gents Wardrobe,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                      11,996.00",,,,,
,Equipment for Isolation Container: Air Con 12000 BTU,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                      13,998.00",,,,,
,Equipment for Isolation Container: Micro Wave 20lt,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        1,798.00",,,,,
,Equipment for Isolation Container: Bar Fridge,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        3,798.00",,,,,
,Equipment for Isolation Container: Chair Burgandy,Makro Polokwane,1991/006805/07,Quotation form Supplier,5/7/2020,"R                        7,380.00",,,,,
,Medical Equipment for Isolation Container,Ecomed Medical (Pty) Ltd,2016/084766/07,Quotation CSD Supplier,5/20/2020,"R                    185,534.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SURGICAL GOWNS  - PROCARE,PROMED TECHNOLOGIES,2014/162486/07,RTCOVID,18/03/2020,"R                       11,777.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",PAPER TOWELS - PROWIPE,PROMED TECHNOLOGIES,2014/162486/07,RT14-2019,18/03/2020,"R                       41,812.50",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SURGICAL GOWNS - TARA PROTECT,LOGAN MEDICAL AND SURGICAL,2012/056508/07,RTCOVID,18/03/2020,"R                         6,000.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",N95 MASKS,LIORA MEDICAL SUPPLIES,2011/013434/23,RT32-2019,18/03/2020,"R                     107,535.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",EXAMINATION GLOVES - EVERGREEN,EVERGREEN LATEX,2002/057771/23,RT76-2020,19/03/2020,"R                       29,916.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SANITIZER 25LR - GOLDEN SUPER,KISLEV SERVICES AND PROJECTS,2015/228734/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",25/03/2020,"R                       14,250.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",LATEX GLOVES - AKACIA MEDICAL,KISLEV SERVICES AND PROJECTS,2015/228734/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",25/03/2020,"R                         8,100.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SANITIZER 400ML - CLERE,"LECHOBA MEDICAL
TECHNOLOGIES",2005/044442/07,RT-COVID,20/03/2020,"R                       30,375.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",THERMOMETER - FC-IR200,SANBONANI HOLDINGS,2004/000822/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",07/04/2020,"R                       10,500.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SURGICAL MASKS - CHINESE WRITING,AQUA MATRIX,2003/019966/23,RTCOVID,3/25/2025,"R                       19,500.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SANITIZERS - BIDVEST,CLUB FUNDS,"RUSTENBURG CC CLUB DOESN’T
HAVE REGISTRATION NUMBER","QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",25/03/2020,"R                         5,122.62",,,,,
"RUSTENBURG
(RUSTENBURG C C)",PROTECTIVE CLOTH MASK,STRIVING MIND,2010/020427/23,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/12/2020,"R                       37,200.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",16 LITER SPRAYER XP JATCO,ROOFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/14/2020,"R                         7,924.98",,,,,
"RUSTENBURG
(RUSTENBURG C C)",SURGICAL MASKS,QUALITY MEDICAL,2015/019742/07,RTCOVID,3/20/2020,"R                     155,250.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",FULL FACE SHIELD (PROTECTIVE),QUALITY MEDICAL,2015/019742/07,RTCOVID,3/20/2020,"R                       26,000.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",DISPOSABLE APRON,QUALITY MEDICAL,2015/019742/07,TR 32-2019 :CANCELLED DUE TO NO STOCK.,3/20/2020,"R                         3,200.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",DISPOSABLE SCRUB SUIT,BARRS PHARMACEUTICAL,2012/056577/07,RT300-2017,3/20/2020,"R                         2,192.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",ALCOHOL BASED HAND SANITISER,BARRS PHARMACEUTICAL,2012/056577/07,RT300-2017,3/27/2020,"R                       16,710.00",,,,,
"RUSTENBURG
(RUSTENBURG C C)",ALCOHOL BASED HAND SANITISER-STEINER,CLUB FUNDS,"RUSTENBURG CC CLUB DOESN’T
HAVE REGISTRATION NUMBER","QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",3/30/2020,"R                         4,404.00",,,,,
"RUSTENBURG
(MOGWASE CC)",SURGICAL GOWNS  - PROCARE,PROMED TECHNOLOGIES,2014/162486/07,RT32-2019,3/19/2020,"R                         5,242.60",,,,,
"RUSTENBURG
(MOGWASE CC)",SAFETY GOGGLES- DROMEX,LECHOBA MEDICAL,2005/044442/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/2/2020,"R                       26,360.00",,,,,
"RUSTENBURG
(MOGWASE CC)",SURGICAL GLOVES- EVERGREEN,EVERGREEN LATEX,2002/057771/23,RT32-2019,3/19/2020,"R                       11,318.22",,,,,
"RUSTENBURG
(MOGWASE CC)",HEAVY DUTY RUBBER CLEANING GLOVES -SALVATEX,MISHMARK PROJECTS,2018/307081/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",3/23/2020,"R                         9,200.00",,,,,
"RUSTENBURG
(MOGWASE CC)",QUARANTINED TENT-NO BRANDING,OATE SA PROJECTS,2017/330128/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/3/2020,,,,,,
"RUSTENBURG
(MOGWASE CC)",TEMPERATURE SCANNER -CARE FOR YOU,LECHOBA MEDICAL,2005/044442/07,RTCOVID,4/8/2020,"R                         8,093.40",,,,,
"RUSTENBURG
(MOGWASE CC)",SANITIZER 25LR - GOLDEN SUPER,KISLEV SERVICES,2015/228734/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",3/27/2020,,,,,,
"RUSTENBURG
(MOGWASE CC)",SURGICAL MUSK-CHINESE WRITINGS,KWENATLASE TRADING,2009/134829/23,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/1/2020,,,,,,
"RUSTENBURG
(MOGWASE CC)",SANITIZER 400ML - CLERE,LECHOBA MEDICAL,2005/044442/07,RTCOVID,3/23/2020,,,,,,
"RUSTENBURG
(MOGWASE CC)",SURGICAL MASKS -OUTSTANDING,QUALITY MEDICAL SUPPLIERS,2015/019742/07,RTCOVID,3/27/2020,"R                       27,945.00",,,,,
"RUSTENBURG
(MOGWASE CC)",ALCOHOL HAND BASED SANITISER-STERISOL,BARRS PHARMACETICAL,2012/056577/07,RT300-2018,3/19/2020,"R                       16,410.00",,,,,
"RUSTENBURG
(MOGWASE CC)",PAPER TOWELS-PRO WIPE,PROMED TECHNOLOGIES,2014/162486/07,RT 14,3/19/2020,"R                       11,150.00",,,,,
"RUSTENBURG
(MOGWASE CC)",70% ALCOHOL HAND BASED SANITISER,CLUB FUNDS,MOGWASE CC CLUB DOESN’T HAV,"Q RUEOGTISATTRIAOTNIO -DNU NEU TMOB NEORN DELIVERY OF RT
CONRACT COMPANIES",3/20/2020,"R                       14,250.00",,,,,
"RUSTENBURG
(MOGWASE CC)",PROTECTIVE CLOTH MASK-NO BRANDING,STRIVING MIND,2010/020427/23,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/12/2020,"R                       27,600.00",,,,,
"RUSTENBURG
(MOGWASE CC)",16 LITER SPRAYER XP JATCO,ROOFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVERY OF RT
CONRACT COMPANIES",4/14/2020,"R                         7,924.98",,,,,
"RUSTENBURG
(LOSPERFONTEIN CC)",DIGITAL BODY THERMOMETER-OUTSTANDING,MULTISURGE (PTY) LTD,2014/170364/07,RTCOVID,3/25/2020,"R                       11,500.00",,,,,
