FREE STATE AND NORTHERN CAPE,,,,,,,,,,,
REGION,,,,,,,,,,,
ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,PROCUREMENT PROCESS FOLLOWED,ORDER NUMBER,ORDER DATE,UNIT OF MEASURE,ORDER,UNIT PRICE,ORDER VALUE,,
,Meddreg Technology,2003/014869/23,RT 32 item 42132101-00000,GV-020088,,Each,5000,R,1.04,R,"5,200.00"
Plastic mattress covers - Must be,,,,,,,,,,,
disinfectant,Eddas Trading,2015/204423/07,price quotation,GV-020283,28/04/2020,Each,2000,R,25.00,R,"5,000.00"
"Spatula, tongue, single use",,,,,,,,,,,
,Evergreen Latex,2002/057771/23,RT 32 item 42181501-00000,GV-004005,4/9/2020,boxes,100,R,8.68,R,868.00
Brush surgical sterile (single use),,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,RT 32 item 42295408-000001,GV-004004,4/8/2020,Each,1000,R,3.01,R,"3,010.00"
Spill Kits Biological,,,,,,,,,,,
,Transpharm Pretoria,1994/006582/07,price quotation,GV-020270,5/4/2020,each,122,R,39.49,R,"5,540.45"
Thermometer,,,,,,,,,,,
,DR Temp,2013/120599/07,RT 32 item 42182210-00000,GV-020153,3/31/2020,Each,5000,R,3.22,R,"16,100.00"
Digital Body Thermometer (infrared),,,,,,,,,,,
,Multisurge (Pty) Ltd,2014/170364/07,Covid 19 - 018,GV-020213,4/9/2020,Each,50,R,"2,300.00",R,"115,000.00"
Digital Body Thermometer,,,,,,,,,,,
,Tara-Healthcare (Pty) Ltd,2019/237077/07,Covid19 - 018,GV-004017,4/9/2020,Each,200,R,125.00,R,"12,500.00"
ENT Set,,,,,,,,,,,
,Supra Latex,2007/027848/07,RT 252 page 30,GV-020250,4/14/2020,Each,3,R,"5,043.86",R,"14,132.00"
Pulse Oximeter on desktop,,,,,,,,,,,
,Class Tree Medical,2017/535986/07,RT 2 item 42181801-000001,GV-020277,4/14/2020,Each,2,R,"5,561.40",R,"11,123.00"
Pulse Oximeter,,,,,,,,,,,
,Class Tree Medical,2017/535986/07,price quotation,GV-020276,4/21/2020,Each,3,R,687.24,R,"2,061.72"
Nebulizer,,,,,,,,,,,
,Class Tree Medical,2017/535986/07,RT2-1 item 42281508-00002,GV-020275,4/14/2020,Each,3,R,517.53,R,"1,552.60"
Nebulizer,,,,,,,,,,,
,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,EACH,3,R,722.00,R,"2,166.00"
HB Meter,,,,,,,,,,,
,Novagen Marketing,1996/052888/23,price quotation,GV-020247,4/21/2020,EACH,3,R,"1,350.00",R,"12,854.00"
HB Meter,,,,,,,,,,,
,Class Tree Medical,2017/535986/07,RT2 item 42181701-00004,GV-020277,4/14/2020,Each,2,R,"6,291.83",R,"12,584.00"
Laryngoscope,,,,,,,,,,,
,Ecomed Medical,2016/084766/07,price quotation,GV-020249,5/5/2020,each,3,R,"1,361.00",R,"4,083.00"
Stetoscope,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,Each,3,R              263.00,R                      789.00,,
BP Monitoring Machine,Class Tree Medical,2017/535986/07,RT 2 item 42181701-00004,GV-020278,14/04/2020,Each,1,"R        12,776.95","R                12,776.95",,
Heavy Duty Rubber Cleaning Gloves,Tswellang Trading,2002/020849/07,price quotation,GV-004048,4/28/2020,Pair,600,R                  8.35,"R                  5,761.50",,
Glucometer,Ecomed Medical,2016/084766/07,price quotation,GV-020290,5/5/2020,each,4,R              107.00,R                      428.00,,
Glucometer test strips,Ecomed Medical,2016/084766/07,price quotation,GV-020291,5/5/2020,box of 100,4,R              193.00,R                      772.00,,
Ambubag for adults,Endomed Medical & Surgical,2016/084766/07,price quotation,GV-020274,5/5/2020,each,4,R              540.00,"R                  2,160.00",,
Visor/Faceshield,Stix Transport,2014/213000/07,price quotation,GV-020254,05/05/20220,each,80,R                74.70,"R                  5,976.00",,
BP Monitoring Machine,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,each,3,R              397.00,"R                  1,191.00",,
surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020202,5/20/2020,each,600,R                  5.00,"R                30,000.00",,
"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020202,202-05-20,each,12200,R                18.00,"R              219,600.00",,
surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020201,5/20/2020,each,600,R                  5.00,"R                30,000.00",,
"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020201,202-05-20,each,12200,R                18.00,"R              219,600.00",,
surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020200,5/20/2020,each,600,R                  5.00,"R                30,000.00",,
"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020200,202-05-20,each,12200,R                18.00,"R              219,600.00",,
surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020199,5/20/2020,each,600,R                  5.00,"R                30,000.00",,
"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-0200199,202-05-20,each,12200,R                18.00,"R              219,600.00",,
surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020198,5/20/2020,each,600,R                  5.00,"R                30,000.00",,
"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020198,202-05-20,each,12200,R                18.00,"R              219,600.00",,
Hand sanitizer,mageza Trading,2012/190294/07,price quotation,GV-020160,2020-04-002,500 ml,300,R                95.00,"R                28,500.00",,
Hand sanitizer,Lynx Chemicals,1988/018201/23,price quotation,GV-020163,3/17/2020,500 ml,100,R                99.00,"R                  9,900.00",,
Hand sanitizer,Quick Splash,2019/089358/07,price quotation,GV-020162,3/28/2020,500 ml,290,R              100.00,"R                29,000.00",,
Hand sanitizer,Stix Transport,2014/213000/07,price quotation,GV-020161,4/20/2020,1 litre,230,R              130.00,"R                29,900.00",,
"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004074,3/07/2020,Square Meter,687,R                  3.93,"R                  2,702.50",,
"Decontamination at Grootvlei
Management Area",Pestdem,2009/126452/23,price quotation,GV-004075,5/07/2020,Square Meter,2915,R                  3.40,"R                  9,911.00",,
"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004081,17/07/2020,Square Meter,2915,R                  2.70,"R                  7,877.00",,
"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004082,18/07/2020,Square Meter,1500,R                  5.81,"R                  8,717.12",,
"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004096,29/07/2020,Square Meter,3302,R                  2.76,"R                  9,129.34",,
"Decontamination at Grootvlei
Management Area",Southern Cross Industries,2016/187483/07,price quotation,GV-004098,30/07/2020,Square Meter,1125,R                  3.45,"R                  3,881.25",,
"Decontamination at Grootvlei
Management Area","Exclkusive Events and Services cc t/a
Pest Corp Solutions",2002/026947/23,formal price quotation,GV-004101,1/08/2020,Cubic Metre,2500,R                  1.45,"R                  3,625.00",,
,,,,,,,,,,,
KIMBERLEY,,,,,,,,,,,
Gloves surgical  (each),Evergreen Latex,2002/057771/23,RT76-2020,DG-3635,3/20/2020,Box of100,1000,R                  5.60,"R                  5,600.00",,
Spatula Tongue Harwood(single use,Evergreen Latex,2002/057771/24,,AH-615 525,3/23/2020,Each,2200,R                  8.68,"R 19,096.00",,
Surgical Gown Non-woven,Promed Technologies,2014/162486/07,RT32-2019,AH-615526,3/24/2020,Each,1000,R                23.83,"R 23,830.00",,
"Thermometer  Infra-Red Digital Body
Thermometers(each)",Multisurge,2014/170364/07,Quotation,AH-615529,3/25/2020,Each,1,"R          2,300.00","R                  2,300.00",,
Bleach for cleaning surfaces,Engymak Distributors,2011/009359/23,Quotation,AH-615 531,3/27/2020,Liter,5000,R                  5.50,"R 27,500.00",,
FumigationServices:Supply Chain,Mats Brother Transport and Bulk Carri,2rs018/284631/07,Quotation,AH--615532,3/30/2020,Each,1,"R        18,354.00","R                18,354.00",,
Surgical Gloves,Evergreen Latex,2002/057771/23,RT76-2020,AH-615535,3/31/2020,Box of 50,151,R                49.86,"R                  7,528.86",,
Surgical face Mask,Multisurge,2014/170364/07,Rt coVID19-004,AH-615533,3/30/2020,Box of 50,344,R              460.00,"R              158,240.00",,
SH-T200 infrared Thermometer,Sanbonani,2004/000822/07,Quotation,AH-615564,4/1/2020,Each,14,"R          1,610.00","R                22,540.00",,
Mask N95 (each),LIORA MEDICAL SUPPLIES,2011/013434/23,RT32-2019,'KM-011859,3/20/2020,Box,138,R              187.25,"R                25,840.56",,
Mask-N95 each,LIORA MEDICAL SUPPLIES,2011/013434/24,RT300-2019,DG-003636,3/20/2020,Box,60,R              160.56,"R                  9,636.00",,
"Surgical Masks ORDER
CANCELLED","Biological
pharmacetical",2013/067392/07,RT-COVID-19-002,AH-615530,3/20/2020,Box,242,R                26.65,"R 6,449.30",,
Masks -Surgical,Quality supplies,2015/019742/07,RC-COVID-19,AH-615567,4/3/2020,Box of 50,17200,R                10.35,"R              178,020.00",,
Masks -Surgical 20box50,"Biological
pharmacetical",2013/067392/07,RC-COVID-19,DG-003637,3/20/2020,Pack,1000,R                26.65,"R                26,650.00",,
Sanitizer  Hand (Per litre),Baars,2012/056577/07,RT300-2019,"km-011826
833,845,849,857
,DG-003636",3/20/2020,500ML,2993,R                14.95,"R                44,835.05",,
Disposable thermometers,Dr Temp,2013/120599/07,RT300-2019,AH-615524,3/23/2020,Each,4500,R                  3.22,"R                14,490.00",,
Scrubs(per 500ml),Baars,2012/056577/07,RT300-2019,"km-011826
833,845,849,857
,DG-003636",3/20/2020,500ML,323,R                21.15,"R                  6,831.45",,
Overshoe plastic single use,Medical International Orthopeadic,2007/023366/23,RT32-2019,AH-615555,4/8/2020,Each,2000,R                  0.19,R                      384.60,,
"Visors Disposable, Antifrog",Unitrade,1998/002665/23,RTCOVID-19-002,AH-615554,4/8/2020,each,1000,R                18.00,"R                18,000.00",,
"Goggles, Good seal",Unitrade,1998/002665/24,RTCOVID-19-002,AH-615554,4/8/2020,Each,1000,R                25.00,"R                25,000.00",,
Sleeve Protectors,Medi-Core International,2013/198711/07,RT32-2019,AH-615552,4/8/2020,Each,1500,R                22.00,R                      330.00,,
Suite Scrub,Promed Technologies,2014/162486/08,RT32-2019,AH-615553,4/8/2020,each,500,R                13.57,"R                  6,787.00",,
Disposable Draw sheets,Promed Technologies,2014/162486/09,RT32-2019,AH-615553,4/8/2020,Each,500,R                  2.18,"R                  1,090.00",,
"Linnen Saver Medical
Underpad",MEDDREG TECHNOLOGY,2003/014869/24,RT32-2019,AH-615551,4/8/2020,Each,2000,R                  1.04,"R                  2,080.00",,
Flu Vaccine,Kahma Biotech,1997/014365/07,RT285,AH-615522,3/20/2020,Each,1088,R                39.64,"R 43,124.36",,
Nebulizer,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,Each,9,"R          5,184.20","R                46,657.80",,
Paper towel,Promed Technologies,2014/162486/08,RT14-2019,AH-615541,4/1/2020,Each,2000,R                10.50,"R                21,000.00",,
Pulse Oximeter,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,Each,4,"R          5,516.40","R                22,065.60",,
Sleeve Protectors(single use),Medi-Core International,2013/198711/07,RT32-2019,AH-615552,4/7/2020,Each,1500,R                  0.22,R                      330.00,,
Stethoscope,Ukuchuma Trading,2014/013188/07,RT252-2015,AH-615563,4/14/2020,Each,17,R                26.13,R                      444.21,,
Scrubs(per 500ml),Baars Pharmaceuticals,2012/056577/07,RT300-2019,AH-615556,4/8/2020,Each,20000,R                21.15,R 846.00,,
BP  Cuffs -Small,"Class three
medical solution",2017/535986/07,RT2-2016,AH-6155561,4/14/2020,Each,4,R                99.11,R                      396.44,,
BP  Cuffs - Medium,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,Each,6,R              120.75,R                      724.50,,
BP Cuffs-Large,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,Each,4,R              161.00,R                      644.00,,
BP Monitoring Machine,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,Each,8,"R        12,776.95","R              102,215.60",,
Disposable aprons,CentraL MedicaL,1995/003785/07,RT32-2019,AH-6155523,2020/14/23,Each,3000,R                  0.32,R                      960.00,,
Disposable  Linen,Promed Technologies,2014/162486/08,RT32-2019,AH-615553,4/8/2020,Each,500,R                  2.18,"R                  1,090.00",,
ENT set,Supra Latex,2006/020950/07,RT252-2015,AH-615562,4/15/2020,Each,8,"R          5,043.86","R                40,350.88",,
Aprons,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,Box,33,R                  1.70,"R                  5,610.00",,
Temperature thermometers,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,Each,26,"R          1,888.50","R                49,101.00",,
Surgical Masks,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,Box,220,R                10.22,"R              112,420.00",,
Surgical  Gloves,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,Box,20,R                  2.76,"R                  2,760.00",,
Googles,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,Each,20,R              149.00,"R                  2,980.00",,
Visors,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,Each,20,R                75.00,"R                  1,500.00",,
Coverall,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,Each,10,R              300.11,"R                  3,001.10",,
Boat cover,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,Box,1,R                  1.30,R                      130.00,,
Surgical N95 -Masks,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AH-615570,4/21/2020,Box,20,R                59.73,"R                59,730.00",,
Fumigation TCC,EML TRADING AND PROJECTS,2018/507118/07,Quotation,KM-011892,4/22/2020,Squares,1,"R        29,750.00","R                29,750.00",,
Fumigation KCC,Thusha Karabo Supplies&Projects,2016/274136/07,Quotation,AH-615558,,Square,1200,R                       -,"R                27,000.00",,
Disposable coveralls,Isibane trading,2016/481835/07,Quotation,AH-615573,5/15/2020,Each,150,R              175.83,"R 26,375.00",,
Surgical Gloves,Evergreen Latex,2002/057771/24,RT76-2020,AH-615574,5/22/2020,Box,30000,R                49.86,"R 149,580.00",,
Fumigation Sprayer with 16 Liter Bottle(Kn,pTshaakp Ceolom Gpzlke tTer)ading,2018/411571/07,Quotation,AH-615584,6/4/2020,Each,10,"R          1,035.00","R 10,350.00",,
Disposable Aprons,Isibane trading,2016/481835/07,Quotation,AH-615588,6/8/2020,Each,3000,R                  0.79,"R 2,370.00",,
Boot covers,"Class three
medical solution",2017/535986/07,Quotation,AH-615589,6/8/2020,Each,3000,R                  1.30,"R 3,900.00",,
Disposable Mop caps,Sanbonani Holdings,2004/000822/07,Quotation,AH-615593,6/24/2020,Each,2000,R                  0.50,"R 1,000.00",,
Body Bags,"Class three
medical solution",2017/535986/07,Quotation,AH-615594,6/24/2020,Each,10,R              145.50,"R 1,455.00",,
Decontimination for TCC &KCC,Pest and Weed Away,2005/096198/23,Quotation,AH-615601,7/14/2020,Squares,1,"R        11,428.84","R                11,428.00",,
Decontimination for Barkly,Sanitize Solutions,2020/224659/07,Quotation,AH-615602,7/20/2020,Squares,1,"R          1,670.00","R                  1,670.00",,
Heavy duty gloves(Black),Printzz,2016/263852/07,Quotation,AH-615603,7/20/2020,PR,300,R                24.50,"R                  7,350.00",,
Heavy duty gloves(yellow),Giattree Distributors,2013/224767/07,Quotation,AH-615604,7/20/2020,PR,500,R                14.00,"R                  7,000.00",,
Decontimination for Area Office,Pest and Weed Away,2005/096198/23,Quotation,AH-615605,7/20/2020,Squares,1,"R          3,163.58","R                  3,163.58",,
Decontimination for KCC reception,Pest and Weed Away,2005/096198/23,Quotation,AH-615608,7/24/2020,Squares,1,"R          2,100.82","R                  2,100.82",,
Decontimination for TCC  reception,Sanitize Solutions,2020/224659/07,Quotation,AH-615609,7/29/2020,Squares,1,"R          4,855.00","R                  4,855.00",,
"Decontimination for TCC  -K1,K2 &K8 Unit",Pest and Weed Away,2005/096198/23,Quotation,AH-615614,7/31/2020,Squares,1,"R        22,441.20","R                22,441.20",,
,,,,,,,,,,,
UPINGTON,,,,,,,,,,,
Alcohol based sanitiser,TARA,"2019/237077/07
2019/237077/07
2012/056508/07",NT SUPPLIER,AH-603273,3/23/2020,5L,100,R              125.00,"R                12,500.00",,
Biocide/Bleach/Surface Sanitizer,TARA,NT SUPPLIER,AH-603273,3/23/2020,5L,200,R              125.00,"R                25,000.00",,,
Brush surgical sterile,LOGAN MEDICAL SUPPLIERS,RT32,AH-603282,2020.04.07,each,1,R                  3.01,"R                  3,010.00",,,
Disposable aprons,CENTRAL MED,1995/003785/07,RT32,"AH603271/ Up-
6840",3/23/2020,each,3,R                  0.32,R                      960.00,,
Disposable Gown,Promed Technologies,"2014/162486/07
2012/056508/07",RT 32,AH-6032582,3/25/2020,each,100,R                59.95,"R                  5,995.00",,
Disposable Gown,"LOGAN MEDICAL SUPPLIERS &
PROMED TECHNOLOGIES",RT32,AH-6032582,2020.04.07,Boxes of 10,200,R                20.00,"R                  4,000.00",,,
Disposable Draw Sheet,Promed Technologies,2014/162486/07,RTCOVID-19,"AH-603283/ Up-
6880",4/9/2020,each,"1,2",R                  2.18,"R                  2,616.00",,
Disposable Linen,MEDDREG TECHNOLOGY,"2003/014869/23
2014/162486/07",RT32,AH-603283,2020.04.08,Boxes of 10,1,R                  1.04,"R                  1,040.00",,
Disposble Scrub Sets,Promed Technologies,RTCOVID-19,AH-603282,2020.04.07,Set,50,R                15.05,R                      752.50,,,
Full face shield,UNITRADE 1032 CC,1998/002665/23,RTCOVID-19,"AH-603282/UP-
6871",2020.03.26,Boxes of 10,100,R                18.00,"R                  1,800.00",,
Linen Savers,MEDDREG TECHNOLOGY,2003/014869/23,RT32,"AH-603283/
UP6856",2020.04.07,each,2,R                  1.04,"R                  2,080.00",,
Sleeve Protector,MEDICORE TECHNOLOGIES,2015/312638/07,NT SUPPLIER,AH-603281,2020.04.03,pack of 10,10,R                22.00,R                      220.00,,
Matress Cover for hospitals,ARJO HUNTLEIGH AFRICA,2001/016670/07,RT24,"AH-60327/ UP-
6849",3/25/2020,each,100,R              474.81,"R                47,481.00",,
N95 masks,LOIRA MEDICAL SUPPLIERS,2011/013434/23,RT32,"AH-603278/01/
UP-6841",3/26/2020,Boxes of 30,120,R              187.25,"R                22,470.00",,
Over shoe woven,MEDICAL INTERNATIONAL,2007/023366/23,RT32,AH-603284,2020.04.08,Boxes of 100,1,R                19.23,"R                19,230.00",,
Paper towels,Promed Technologies,2014/162486/07,RT14,"AH-603274/ UP-
6848",3/24/2020,each,50,55.75,"R                  2,787.50",,
Sanitizer Detergent,VITALIFE MEDICAL,2015/448013/07,RT296/2020,AH-603272,2020.03.23,Litre,1,R                40.37,"R                40,370.00",,
Surgical masks,MULTISURGE,2014/170364/07,RT COVID19-001 TO 003 RT32,"AH-603279/UP-
6844",2020.03.26,Boxes of 30,120,R              460.00,"R                16,100.00",,
Sterisol (hand sanitizer),BARRS PHARMACEUTICAL,2012/056577/07,RT 300,"AH-603276/01/
UP-6847",2020.03.25,500ml,400,R                14.44,"R                  5,776.00",,
Surgical scrub 500ml,BARRS PHARMACEUTICAL,2012/056577/07,RT 300,"AH-603280/ UP-
6847",3/26/2020,500ml,150,R                 21.92,"R                  3,288.00",,
SteriPrep,BARRS PHARMACEUTICAL,2012/056577/07,RT300,AH-603276/01,2020.03.25,500ml,400,R                16.41,"R                  6,564.00",,
Steri Scrub 5L,BARRS PHARMACEUTICAL,2012/056577/07,RT300,AH-603276/01,3/26/2020,5L,400,R              125.00,"R                15,993.00",,
Sleeve Protector,MEDI-CORE,2013/198711/07,NT SUPPLIER,AH-603281,2020.03.26,Each,10,R                22.00,R                      220.00,,
Temperature Scanner,MULTISURGE,2014/170364/07,RT32,"AH-603280/ UP-
6845",3/26/2020,Each,6,"R          2,300.00","R                13,800.00",,
Tongue Depressor,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",3/26/2020,Box  OF 100,5,R                  8.68,R                        43.40,,
Non Sterile Gloves meduim,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,PACK OF 100,400,R                49.86,"R                19,944.00",,
Sterile Gloves,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,Box OF 100,1,R                92.00,R                        92.00,,
Sterile Gloves,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,Box  OF 100,1,R                92.00,R                        92.00,,
Alcohol based sanitiser,CRYSTAL LAGOON,2016/068125/07,EMERGENCY PROCUREMENT,AH-615469,3/23/2020,500ml/Litre,15,R              125.00,"R                  1,875.00",,
10 x Dromex Heavy Duty Gloves,CRYSTAL LAGOON,2016/068125/07,EMERGENCY PROCUREMENT,AH-615470,3/24/2020,PACK OF 10,10,15,R                      150.00,,
Gloves latex disposable large,EVERGREEN,2002/057771/23,RT76,AH-615464,3/20/2020,Boxes of 100,1,R                  0.49,R                      997.20,,
latex powder free gloves (non-sterile)M,EVERGREEN,2002/057771/23,RT76,AH-615466,3/20/2020,Boxes of 100,1000,43.35,R                      433.50,,
Non Sterile Gloves,EVERGREEN,2002/057771/23,RT76,AH-615464,3/20/2020,Box of 100,1,R                  0.49,R                      498.60,,
N95 masks,SAFARMEX,"2007/033535/07
2014/162486/07",RT32,AH-615463,3/20/2020,each,1,R                  5.98,"R                  5,986.50",,
Paper towels,Promed Technologies,RT14,AH-615471,3/24/2020,each,30,55.75,"R                  1,672.50",,,
Surgical masks,BIOLOGICA PHARMACEUTICAL,,RT32,AH-615467,3/23/2020,Boxes of 10,1000,26.65,"R                13,325.00",,
Surgical scrub 500ml,CRYSTAL LAGOON,2016/068125/07,PRICE QUATATION,AH-615470,3/24/2020,500ml,10,145,"R                  1,450.00",,
Alcohol based sanitiser,CRYSTAL LAGOON,2016/068125/07,EMERCENCY PROCUREMENT,SP-N628002,3/20/2020,1L,30,R              125.00,"R                  3,750.00",,
Heavy duty gloves,CRYSTAL LAGOON,2016/068125/07,EMERCENCY PROCUREMENT,SP-N628020,3/20/2020,Boxes of 100,204,R                31.45,"R                  6,415.80",,
Non Sterile Golves,CRYSTAL LAGOON,2016/068125/07,RT76 / EMERCENCY PROCUREMENT,"SP-N628006 /SP-
N628019",3/20/2020,Box of 100,7000+200,R                   0.78,"R                  5,670.00",,
Disposable Gown Isolation,LECHOBA MEDICAL,2005/044442/07,RTCOVID-19,UP-006929,3/25/2020,each,200,R                 59.95,"R                11,990.00",,
DECONTAMINATION OF PAROL BOARD UPI,BGIDTOVENS TC ESNTETIRNEER,2000/011155/07,PRICE QUATATION,AH-603292,2020.07.17,,1,R                   4.07,"R                  7,886.53",,
,,,,,,,,,,,
BIZZAH MAKHATE,,,,,,,,,,,
Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",KN-012962,7/12/2020,,1,"R 1,875.00","R 1,875.00",,
Decontamination Servies,Go Squared,2019/554405/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765169,7/20/2020,,1,"R 10,126.14","R 10,126.14",,
Decontamination Servies,"Gin Production and Events
Mnagement",2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",KN-012961,2020/07/1/,,1,"R           3,639.77","R                   3,639.77",,
Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",HR-002915,2020/07/30,,1,"R             9  , 7  0   2  . 5  3","R                    9,702.53",,
Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765170,7/24/2020,,1,"R           2,067.00","R                  2,067.00",,
Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765171,7/27/2020,,1,"R           4,337.00","R                  4,337.00",,
