EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Beede ive,Isolation Gown,Login Medical & Sugical,2012/056508/07,T32,B-008191,4/21/2020,each,1000,40.25,40250.00,
Beede ive,Isolation Gown,Login Medical & Sugical,2012/056508/07,NT Note 5,B-008280,4/21/2020,each,1000,40.25,40250.00,
Allandale,Isollation Gown,LOGAN MEDICAL & SUGICAL,2012/056508/07,Annexue A Table 2,AD-006388,01.04.2020,each,2500,37.70,93437.50,
Allandale,Isollation Gown Lage,POMED TECHOLOGIES,2014/162486/07,T 33,AD-006447,26.04.2020,each,100000,23.83,2383000.00,
Allandale,Isollation Gown medium,POMED TECHOLOGIES,2014/162486/07,T 32,AD-006449,26.04.2020,each,100000,23.14,2314000.00,
Beede ive,Knapsack,Leovsa,2018/475887/07,Quotation,B-008273,4/21/2020,each,20,1350.00,27000.00,
Bandvlei,latex powde fee gloves (non-steile),Pomed Technologies,2014/162486/07,T76-2020-42132203-010023/24/25,BN-017911,3/23/2020,pai,6500,46.60,302900.00,
Beede ive,latex powde fee gloves (non-steile),Tipple A Solutions,2017/271551/07,Quotation,B-008230,4/21/2020,each,8000,125.00,10000.00,
Goodwood,latex powde fee gloves (non-steile),MEDI COE,2015/312638/07,T76,GW-011655,18/03/2020,BX 100,400,48.86,19544.00,
Goodwood,latex powde fee gloves (non-steile),MEDI COE,2015/312638/07,T76,GW-011655,18/03/2020,BX 100,300,47.86,14358.00,
Goodwood,latex powde fee gloves (non-steile),MEDI COE,2015/312638/07,T76,GW-011655,18/03/2020,BX 100,400,47.86,19144.00,
Ovebeg,latex powde fee gloves (non-steile),EVEGEEN LATEX,2002/057771/23,T76,HS-010766,3/27/2020,Each,10500,0.49,5235.30,
Allandale,Linen Saves,LOGAN MEDICAL & SUGICAL,2012/056508/07,T32,AD-006351,23.03.2020,each,8500,0.78each,6630.00,
Allandale,Linen Saves,LOGAN MEDICAL & SUGICAL,2012/056508/07,T32,HA-002267,23.03.2020,each,4000,0.78each,3120.00,
Allandale,Linen Saves,LOGAN MEDICAL & SUGICAL,2012/056508/07,T32,OQ-004703,23.03.2020,each,4000,0.78each,3120.00,
Beede ive,Linen Saves,"Meddeg Technology
Meddeg Technology",2003/014869/23,T32,"B-008182
B-008196",4/21/2020,each,2000,1.04,2080.00,
Dakenstein,Linen Saves,MEDDEG TECH,2003/014869/23,T32,DN-012945,2/6/2020,EA,2000,1.04,2080.00,
Goodwood,Linen Saves,POMED,2014/162486/07,T,GW-011717,24/04/20202,EA,1000,2.18,2180.00,
Ovebeg,Linen Saves,MEDDEG,2003/014869/23,T32,HS11/2020,4/1/2020,Each,5000,1.04,5200.00,
Pollsmoo,Linen Saves,Meddeg Tech,2003/014869/23,T32/2019,A-236265/289,31.03.2020,box,2000,0.93,1860.00,
Beede ive,Liquid hand soap,Bas Phamaceutical,2012/056577/07,T300,B-008200,4/21/2020,500 ml,5000,14.44,72200.00,
Goodwood,"MASKMEDICAL SINGLE USE FLUID ESISTANT
WITH   ELASTIC EA LOOPS 3PLY COVID031",I H S,1993/003465/07,NT 3,GW-011766,21/04/2020,BX,800,624.00,499200.00,
Goodwood,"MASKMEDICAL SINGLE USE FLUID ESISTANT
WITH   ELASTIC EA LOOPS 3PLY COVID031",I H S,1993/003465/07,NT 3,GW-011814,13/05/2020,BX,5200,624.00,3244800.00,
Beede ive,Masks FFP1,Stambo Solutions,2015/453050/07,Quotation,B-008234,4/21/2020,each,600,46.00,27600.00,
Allandale,Matess Cove fo hospitals,AJO HUNTLEIGH SA,2001/016670/07,Annexue A Table 2,AD-006363,31.03.2020,each,100,474.81each,47481.00,
Ovebeg,Matess Cove fo hospitals,AJO HUTLEIGH SA,2001/016670/07,T24,CA-005533,3/31/2020,Each,20,474.81,9496.20,
Ovebeg,Matess Cove fo hospitals,AJO HUTLEIGH SA,2001/016670/07,T24,HS10/2020,4/1/2020,Each,50,433.28,21664.00,
Ovebeg,Matess Cove fo hospitals,AJO HUTLEIGH SA,2001/016670/07,T24,HS-010875,5/20/2020,Each,500,470.47,235235.00,
Ovebeg,Matess Cove fo hospitals,Hospital equipment,2000/000651/07,T24,HS-010918,6/11/2020,Each,26,563.12,14641.12,
Allandale,Medical and sugical baged,POMED TECHOLOGIES,2014/162486/07,Annexue A Table 2,AD-006381,31.04.2020,Each,30,1.30,39000.00,
Southen Cape,Mop caps,Anqingsa,2017/343405/07,Pice Quotation,SC-008319,17/04/2020,each,10000,0.99,9898.00,
Bandvlei,N95 masks,Lechoba Medical Technologies,2005/044442/07,TCOVID19-002,BN-017970,4/15/2020,EACH,6000,18.75,112500.00,
Beede ive,N95 masks,Biologica Phamaceuticals,2013/067392/07,T296,B-008220,4/21/2020,each,1800,120.00,216000.00,
Goodwood,N95 masks,LIOA,2011/013434/23,T32,GW-011816,14/05/2020,ea,10500,5.35,56175.00,
Ovebeg,N95 masks,LIOA MEDICAL SUPP,2011/013434/23,t32,CA-005527,3/26/2020,Each,2940,5.35,15729.00,
Ovebeg,N95 Masks,Quality Medical Supplies,2015/019742/07,Teasuy,HS-010934,6/15/2020,Each,2000,37.09,74175.50,
Pollsmoo,N95 masks,Specmed Medical Sevices,2018/317397/07,CSD,PS-010388,2020.07.15,EA,18000,26.30,473409.00,
Voobeg,N95 masks,Lioa Medical,2011/013434/23,T32-2019,VN-00020,3/19/2020,Each,1260,5.35,6741.00,
Allandale,Nebulize,CLASS THEE MEDICAL SOLUTION,2017/535986/07,T2,AD-006365,31.03.2020,each,10,5184.20peeach,51842.00,
Ovebeg,Nebulize,CLASS THEE MEDICAL SOLUTIONS,2017/535986/07,T2,HS9/2020 (HS-010821),4/1/2020,Each,4,5184.20,20736.80,
Ovebeg,Nebulize,ECOMED,2016/084766/07,T2,CA-005570,4/16/2020,Each,1,8115.66,8115.66,
Allandale,Non Steile Gloves,POMED TECHOLOGIES,2014/162486/07, 76,AD-006446,26.05.2020,pai,180,46.00pebox,8280.00,
Bandvlei,Non Steile Gloves,Evegeen Latex,2002/057771/23,T76-2020ITEMNO-42132205-00033,BN-018385,7/27/2020,EACH,200S,122.00,24400.00,
Bandvlei,Non Steile Gloves,Evegeen Latex,2002/057771/23,T76-2020ITEMNO-42132205-00034,BN-018385,7/27/2020,EACH,400S,122.00,2440.00,
Bandvlei,Non Steile Gloves,supa healthcae johannesbug,2007/027848/07,T76-2020ITEMNO-42132205-00033,BN-018386,7/27/2020,EACH,200S,307.71,61542.00,
Bandvlei,Non Steile Gloves,supa healthcae johannesbug,2007/027848/07,T76-2020ITEMNO-42132205-00034,BN-018386,7/27/2020,EACH,100M,307.71,30771.00,
Bandvlei,Non Steile Gloves,supa healthcae johannesbug,2007/027848/07,T76-2020ITEMNO-42132205-00035,BN-018386,7/27/2020,EACH,100L,307.71,30771.00,
Beede ive,Non Steile Golves,Evegeen,2002/057771/23,T76,B-008322,4/21/2020,each,1000,49.86,49860.00,
Beede ive,Non Steile Golves,Supa Health Cae,2006/020950/07,T76,B-008397,4/21/2020,each,20000,1.50,29900.00,
Ovebeg,Non Steile Golves,"EVEGEEN LATEX       & POMED
TECHNOLOGIES",2002/057771/23,T76-2020,HS-010997,7/23/2020,Each,200000,0.64,127100.00,
Ovebeg,Non Steile Golves,MEDICAL-COE,2013/198711/07,T76-2020,CA-005528,3/26/2020,Each,3000,0.48,1435.80,
Ovebeg,Non Steile Golves,MEDI-COE TECHNOLOGIES,2013/198711/07,T76-2020,HS16/2020,4/3/2020,Each,20000,0.48,24030.00,
Ovebeg,Non Steile Golves,Pomed Technology,2014/162486/07,T76-2020,HS-010996,7/23/2020,Each,100000,0.58,57680.00,
Southen Cape,Non Steile Golves,Evegeen LATEX,2002/057771/23,T76,SC-008279,23/03/2020,Box of 50,900,78.00,70200.00,
Dakenstein,Non Steile Golves MEDIUM,MEDI-COE,2013/198711/07,T76,E534956/004,4/2/2020,EA,30000,47.86,1435800.00,
Bandvlei,Ove shoe non woven (single use),KKAP Medical supplies,2016/084247/07,T32-2019-ITEMNO-42131609-00000,BN-018387,7/27/2020,EACH,2000,21.00,42000.00,
Bandvlei,Ove shoe non woven (single use),Pinna bothes,2005/034625/07,pice quotation,BN-017977,20200417,EACH,4000,0.46,1840.00,
Beede ive,Ove shoe non woven (single use),Medical Intenational Othopeadic,2007/023366/23,T32,B-008212,4/21/2020,each,300,19.23,5769.00,
Ovebeg,Ove shoe non woven (single use),KKAP MEDICAL SUPPLIE,2016/084247/07,T32,HS-010770,3/30/2020,Each,200,21.00,4200.00,
Allandale,Pape towels,POMED TECHOLOGIES,2014/162486/07,T14,AD-006337,18.03.2020,2400 sheets pe box,302400,210.00pebox,26460.00,
Allandale,Pape towels,POMED TECHOLOGIES,2014/162486/07,T14,HA-002318,18.06.2020,2400 sheets pe box,1567200,0.08/Sheet,137130.00,
Allandale,Pape towels,POMED TECHOLOGIES,2014/162486/07,T14,OQ-004696,23.03.2020,2400 sheets pe box,86400,210.00pebox,7560.00,
Bandvlei,Pape towels,Pomed Technologies,2014/162486/07,T32-2019-14111703-00002,BN-018286,7/15/2020,each,2000,35.26,70520.00,
Beede ive,Pape towels,Pomed Technology,2014/162486/07,T14,B-008201,4/21/2020,box,100,210.00,21000.00,
Beede ive,Pape towels,Pomed Technology,2014/162486/07,T14,B-008390,4/21/2020,box,100,210.00,210000.00,
Dakenstein,Pape towels,POMED,2014/162486/07,T14,DST075,3/4/2020,L,1200,31.75,38100.00,
Goodwood,Pape towels,POMED,2014/162486/07,T14,GW-011657,18/03/2020,EA,1000,55.75,55750.00,
Ovebeg,Pape towels,POMED TECHNOLOGIES,2014/162486/07,T14-2019,BJ-005124,3/19/2020,Each,600,10.50,6300.00,
Ovebeg,Pape towels,POMED TECHNOLOGIES,2014/162486/07,T14-2019,CA-005509,3/23/2020,Each,1400,18.53,25200.00,
Ovebeg,Pape towels,POMED TECHNOLOGIES,2014/162486/07,T14-2019,HS-010743,3/20/2020,Each,100000,10.50,105000.00,
Voobeg,Pape towels,Pomed,2014/162486/07,T32,VN-002711,2020.05.18,Each,1000,10.50,10500.00,
Voobeg,Pape towels,Pomed,2014/162486/07,T14,VN-002721,2020.05.26,Each,100,210.00,21000.00,
Allandale,Plastic Coveed Matesses,AJO HUNTLEIGH SA,2001/016670/07,Annexue A Table 2,AD-006363,31.03.2020,each,20,1065.30each,21306.00,
Pollsmoo,Plastic Coveed Matesses,Ajo Hutleigh,2001/016670/07,T24,PS-010265,03.04.2020,Each,50,1065.30,53265.00,
Pollsmoo,Plastic Coveed Matesses,Ajo Hutleigh,2001/016670/07,T24,PS-010274,20.04.2020,each,300,1065.30,319590.00,
Allandale,ubbe boots (Gumboots),BBF SAFETY GOUP,2014/095914/07,T59,AD-006392,03.04.2020,pai,160,164.35pai,26296.00,
Allandale,ubbe boots (Gumboots),BBF SAFETY GOUP,2014/095914/07,T59,HA-002286,15.04.2020,pai,80,164.35pai,13148.00,
Allandale,ubbe boots (Gumboots),BBF SAFETY GOUP,2014/095914/07,T59,OQ-004719,09.04.2020,pai,80,164.35pai,13148.00,
Beede ive,ubbe boots (Gumboots),BBF Safety Goup,2014/095914/07,T59,B-008197,4/21/2020,each,220,152.00,33440.00,
Beede ive,ubbe boots (Gumboots),Club (Kaap Agi),1995/000336/06,Quotation,N/A,4/21/2020,each,118,37.84,4465.12,
Ovebeg,ubbe boots (Gumboots),BBF SAFETY GOUP,2014/095914/07,T59-2019,BJ-005127,3/19/2020,Pai,50,152.00,7600.00,
Ovebeg,ubbe boots (Gumboots),Savage Wea Poduction,2017/028889/07,Pice Quotation,HS-010871,5/19/2020,Pai,95,93.99,8929.05,
Ovebeg,ubbe boots (Gumboots),Savage Wea Poduction,2017/028889/07,Pice Quotation,HS-010872,5/19/2020,Pai,195,93.99,18328.05,
Beede ive,Sanitize (mounted and handheld),PN Medical,2007/031947/07,Quotation,B-008202,4/21/2020,each,50,216.32,10816.00,
Allandale,Shoes oveshoes disposable,KAAP   AGI,1995/000336/06,DEVIATION  POCUEMENT METHOD,PC-001607,09.04.2020,pai,1,0.50,498.30,
Ovebeg,Sleeve potecto (single use),MEDICAL-COE,2013/198711/07,T32,CA-005517,3/24/2020,Each,10,22.00,440.00,
Ovebeg,Sleeve potecto (single use),MEDICAL-COE,2013/198711/07,T32,HS-010769,3/30/2020,Each,4000,0.22,1100.00,
Ovebeg,Sleeve potecto (single use),MEDICAL-COE,2013/198711/07,T32,HS-010877,5/20/2020,Each,10000,0.22,2200.00,
Pollsmoo,Sleeve potecto (single use),Medi-Coe Technologies,2013/198711/07,T32/2019,PS-010243,25.03.2020,pai,5000,0.22,1100.00,
Southen Cape,Sleeve potecto disposable,Medi- Coe Technologies,2013/198711/07,T32,SC-008333,4/5/2020,Each,50000,0.22,11000.00,
Allandale,Soap hand toilet liquid,BAS PHAMACEUTICALS,2012/056577/07,T 300,AD-006487,25.06.2020,ml,1000000,0.04,43840.00,
Allandale,Soap hand toilet liquid,BAS PHAMACEUTICALS,2012/056577/07,T 300,HA-002272,23.03.2020,ml,160,21.92,3507.20,
Allandale,Soap hand toilet liquid,BAS PHAMACEUTICALS,2012/056577/07,T 300,OQ-004817,28.07.2020,ml,80000,0.04,3507.20,
Ovebeg,Spill kits biological,I H S,1993/003465/07,NT 3,HS7/2020,4/1/2020,Each,50,115.00,5750.00,
Beede ive,Spay Bottles (2 lites),Tipple A Solutions,2017/271551/07,Quotation,B-008251,4/21/2020,250 ml,300,29.00,8700.00,
Beede ive,Spay Bottles (2 lites),Tipple A Solutions,2017/271551/07,Quotation,B-008251,4/21/2020,500 ml,300,42.00,12600.00,
Dakenstein,Spay Bottles (2 lites),TIPPLE A SOLUTIONS,2017/271551/07,PICE QUOATION,DN-013142,3/30/2020,EA,89,60.00,5340.00,
Pollsmoo,Spay Bottles (2 lites),Estacom,2014/078579/07,T298/2019,PS-010238,26.03.2020,EA,500,8.28,4141.00,
Southen Cape,Steile Golves,Evegeen Latex,2002/057771/23,T76,SC-008279,23/03/2020,Box of 100,1000,92.00,92000.00,
Ovebeg,Stethoscope,Fist class consultants,2017/199502/07,Pice quotation,HS-010848,5/11/2020,Each,7,450.00,3150.00,
Allandale,Sugical masks,BIOLOGICA PHAMACETICALS,2013/067392/07,T296-08-271,AD-006391,24.03.2020,Box of 50,10000,26.65peeach,266500.00,
Allandale,Sugical masks,BIOLOGICA PHAMACETICALS,2013/067392/07,T296-08-271,HA-002288,23.03.2020,Box of 50,1000,26.65peeach,26650.00,
Allandale,Sugical masks,Quality Medical Supplies,2015/019742/07,Annexue A Table 2,AD-006395,16.04.2020,Box of 50,100000,10.35peeach,1035000.00,
Allandale,Sugical masks,TIPPLE N MEDICAL DISTIBUTOS,2011/129850/07,Annexue A Table 2,OQ-004707,23.03.2020,Box of 200,1000,13.02pepack,13020.00,
Bandvlei,Sugical masks,Chemical wold,2019/253242/07,T32-201942295407-00000,BN-018333,7/21/2020,each,20000,14.95,299000.00,
Bandvlei,Sugical masks,National medical,2002/059075/23,T32-2019:42295407-0,BN-017898,3/16/2020,each,15000,0.80,12000.00,
Beede ive,Sugical masks,Biologica,2013/067392/07,T269,B-008388,4/21/2020,each,30000,15.50,465000.00,
Beede ive,Sugical masks,Biologica,2013/067392/07,T269,B-008367,4/21/2020,each,18750,26.65,499687.50,
Beede ive,Sugical masks,"Biologica
Phamaceuticals",2013/067392/07,T296,B-008205,4/21/2020,each,400,26.65,10660.00,
Beede ive,Sugical masks,"Biologica
Phamaceuticals",2013/067392/07,T296,B-008327,4/21/2020,each,10000,26.65,266500.00,
Beede ive,Sugical masks,"Biologica
Phamaceuticals",2013/067392/07,296,B-008219,4/21/2020,each,10500,26.65,279825.00,
Beede ive,Sugical masks,Dis-Chem,2009/007062/07,Petty Cash,"PC-003191 /
PC-001097",4/21/2020,each,120,49.95,5994.00,
Beede ive,Sugical masks,Dis-Chem,2009/007062/07,Petty Cash,PC-001647,4/21/2020,each,40,25.23,1009.00,
Beede ive,Sugical masks,Multisuge,2014/170364/07,"Instuction note 8 2019/2020 Annexue Table
A 2 -TCOVID19-004",B-008277,4/21/2020,each,200,460.00,92000.00,
Dakenstein,Sugical masks,QUALITY MEDICAL,TCOVID19-004,TCOVID19-004,E534956/012,4/6/2020,EA,30000,10.35,310500.00,
Ovebeg,Sugical masks,BIOLOGICA,2013/067392/07,T296,CA-005515,3/24/2020,Each,1000,79.95,79950.00,
Ovebeg,Sugical masks,BIOLOGICA,2013/067392/07,T296,HS-010775,4/7/2020,Each,10000,26.65,266500.00,
Ovebeg,Sugical masks,BIOLOGICA,2013/067392/07,T296,HS-010795,4/23/2020,Each,8000,26.65,213200.00,
Ovebeg,Sugical masks,I H S,1993/003465/07,NT 3,HS21/2020 (HS-010840),4/15/2020,Each,1324550,vaious,1645450.00,
Ovebeg,Sugical masks,TAA TECHNOLOGIES,2019/237077/07,TCOVID19-007,HS-010778,4/9/2020,Each,10000,47.00,470000.00,
Pollsmoo,Sugical masks,LENIPOINT    EALY MOON,2006/012471/23,CSD,PS-010240,2020.04.16,EA,20000,11.00,334000.00,
Pollsmoo,Sugical masks,LENIPOINT    EALY MOON,2017/281326/07,CSD,PS-010302,2020.05.05,EA,400000,11.00,440000.00,
Southen Cape,Sugical masks,New Age Medident,2005/093988/23,T296,SC-008449,29/07/2020,Pack,2000,43.00,86000.00,
Voobeg,Sugical masks,Unitade,1998/002665/23,COVID031,VB-010427,6/19/2020,Box 50,400,514.24,206496.00,
Allandale,Sugical scub 500ml,BAS PHAMACEUTICALS,2012/056577/07,T 300,AD-006487,25.06.2020,500ml,2000,14.44pe500ml,28880.00,
Allandale,Sugical scub 500ml,BAS PHAMACEUTICALS,2012/056577/07,T 300,HA-002272,20.03.2020,500ml,320,14.44pe500ml,4620.80,
Allandale,Sugical scub 500ml,BAS PHAMACEUTICALS,2012/056577/07,T 300,OQ-004817,28.07.2020,500ml,40,14.44pe500ml,577.60,
Bandvlei,Sugical scub 500ml,BAS PHAMACEUTICALS INDUSTIES,2012/056577/07,T300-2017-51284804-00001,BN-017920,25/03/2020,each,500,13.89,6945.00,
Bandvlei,Sugical scub 500ml,BAS PHAMACEUTICALS INDUSTIES,2012/056577/07,T300-2017-51284804-00001,BN-017920,25/03/2020,each,500,20.97,10485.00,
Bandvlei,Sugical scub 500ml,BAS PHAMACEUTICALS INDUSTIES,2012/056577/07,T300-2017-51472802-000000,BN-018388,7/27/2020,each,1500,27.15,31725.00,
Beede ive,Sugical scub 500ml,BAS Phamaceuticals,2012/056577/07,T300,B-008193,4/21/2020,500 ml,3000,21.92,65760.00,
Dakenstein,Sugical scub 500ml,BAS,T32,T32,DN-013124,3/25/2020,BT,480000,21.15,20304.00,
Dakenstein,Sugical scub 500ml,BAS,T300,T300,DN-013289,5/14/2020,BT,2000,24.70,49400.00,
Goodwood,Sugical scub 500ml,BAS,2012/056577/07,T300,GW-011818,14/05/2020,EA,1000,181.94,181940.00,
Goodwood,Sugical scub 500ml,BAS PHAM.,2012/056577/07,T300.,GW-011650,28/03/2020,EA,2000,21.92,43840.00,
Ovebeg,Sugical scub 500ml,BAS PHAMCEUTICAL,2012/056577/07,T300,CA-005525,3/26/2020,ml,100,31.99,3198.60,
Ovebeg,Sugical scub 500ml,ITSTYM GENEAL TADING,2009/128911/23,PICE QUOTATION,HS8/2020,4/1/2020,ml,10,199.99,1999.90,
Ovebeg,Sugical scub 500ml,SIMSIM SALES & MAKETING,2018/195625/07,PICE QUOTATION,PETTY CASH,4/2/2020,ml,10,150.00,1500.00,
Allandale,Tempeatue Scanne,Big Chest,2014/016004/07,DEVIATION  POCUEMENT METHOD,AD-006387,07.04.2020,each,15,1950.00,29250.00,
Allandale,Tempeatue Scanne,MULTISUGE,2014/170364/07,Annexue A Table 2,AD-006380,31.03.2020,each,16,2300peeach,36800.00,
Beede ive,Tempeatue Scanne,New Age Medident,2005/093988/23,Covid19,B-008214,4/21/2020,each,12,2064.25,24771.00,
Beede ive,Tempeatue Scanne,New Age Medident,2005/093988/23,Covid19,B-008372,4/21/2020,each,26,1092.50,28405.00,
Beede ive,Tempeatue Scanne,Tiphama,2013/179232/07,Quotation,B-008244,4/21/2020,each,10,3.22,64400.00,
Dakenstein,Tempeatue Scanne,MULTISUGE,TCOVID19,TCOVID19,E534956/013,4/6/2020,EA,46,2300.00,105800.00,
Dakenstein,Tempeatue Scanne,WUTH,PICE QUOTATION,PICE QUOTATION,E534956/,4/9/2020,EA,12,2070.00,24840.00,
Goodwood,Tempeatue Scanne,QUINTAX,2011/054080/23,QUOTATION,A-236600,15/04/2020,EA,10,2137.85,21378.50,
Ovebeg,Tempeatue Scanne,ESSENTIAL OFFICE SUPPLIES,1999/008462/23,PICE QUOTATION,BJ-005130,3/26/2020,Each,2,1748.00,3496.00,
Ovebeg,Tempeatue Scanne,MM Consulting,2014/023626/07,Pice Quotation,HS-010977,7/8/2020,Each,70,780.00,54600.00,
Ovebeg,Tempeatue Scanne,MULTISUGE,2014/170364/07,COVID19-018,CA-005529,3/31/2020,Each,2,2300.00,4600.00,
Ovebeg,Tempeatue Scanne,NEW AGE MEDIDENT,2005/093988/23,PICE QUOTATION,HS-010762,3   / 2   4  /  2  0   2  0,Each,10,2012.50,20125.00,
Pollsmoo,Tempeatue Scanne,Cape instument sevice,200/175880/23,CSD,2020.05.26,2020.05.26,EA,17,1661.75,28250.00,
Beede ive,Tents fo isolation (2 beds),Fizzpop,2016/255874/07,Quotation,B-008291,4/21/2020,each,12,729.00,8748.00,
Dakenstein,Tents fo isolation (2 beds),MOTHO KE MOTHO KA BATHO,PICE QUOTATION,PICE QUOTATION,E534956/003,4/2/2020,EA,5,3000.00,15000.00,
Pollsmoo,Tents fo isolation (2 beds),Elite Maquues,2013/064722/07,CSD,PS-010241,14.04.2020,EA,1,EA,396060.00,
Beede ive,Tongue Depesso,Evegeen Latex,2002/057771/23,T32,B-008183,4/21/2020,each,100,8.68,868.00,
Dakenstein,Tongue Depesso,EVEGEEN LATEX,T32,T32,DN-012938,2/6/2020,EA,100,8.68,868.00,
Ovebeg,Tongue Depesso,EVEGEEN LATEX,2002/057771/23,T32,HS-010766,3/27/2020,Each,5000,0.09,434.00,
Southen Cape,Utility gloves,Pienaa Bothes,2005/034625/07,Pice Quotation,KY-003245,16/04/2020,pai,306,97.95,29911.50,
Southen Cape,Utility gloves,Pienaa Bothes,2005/034625/07,Pice Quotation,SC-008323,14/04/2020,pai,306,97.95,29911.50,
EASTEN CAPE EGION,,,,,,,,,,,
MANAGEMENT AEA,ITEM DESCIPTION,SUPPLIE NAME,"COMPANY
EGISTATION NO",POCUEMENT POCESS FOLLOWED,ODE DATE,ODE AMOUNT,,,,,
Amathole,(Biological spill Kits) Dowmex,Bavoplex 532,2011/944991/23,Pice quotation below 30 000.00,Satuday Apil 4 2020,25900.00,,,,,
Amathole,(Disposable coveall suits) No banding,Mauno,2013/069663/07,Pice quotation below 30 000.00,Tuesday Apil 7 2020,12650.00,,,,,
Amathole,(Sanitize 70% Alcohol) No banding,East view Tading,2007/116803/23,Pice quotation below 30 000.00,Tuesday Mach 31 2020,19111.50,,,,,
Amathole,(Aeosol steisol spay) BAS,BAS Phamaceuticals Industy,2012/056577/07,Tansvesal Contact (T300),Thusday Mach 19 2020,820.50,,,,,
Amathole,(Disposable mask) No banding,Be the poject,2013/166136/07,Pice quotation below 30 000.00,Thusday Apil 16 2020,29450.00,,,,,
Amathole,(Disposable mask) No banding,Sping Foest,2005/023531/23,Pice quotation below 30 000.00,Satuday Apil 4 2020,26250.00,,,,,
Amathole,(Disposable mask) No banding,Mhlaba Goup,2017/134862/07,Pice quotation below 30 000.00,Thusday Apil 30 2020,29960.00,,,,,
Amathole,(Disposable mask) No banding,M Fist Aid,1990/007637/07,Pice quotation below 30 000.00,Fiday Mach 27 2020,3146.40,,,,,
Amathole,(Disposable mask) No banding,Logan Medical & Sugical,2012/056508/07,Tansvesal Contact (T76),Tuesday Mach 24 2020,16100.00,,,,,
Amathole,(Disposable mask) No banding,efhumudze Tading,2013/059185/07,Pice quotation below 30 000.00,Fiday Mach 27 2020,4700.00,,,,,
Amathole,(Disposable mask) No banding,Tendline Multi Sevice,2019/349455/07,Tansvesal Contact (T32),Fiday Mach 20 2020,27750.00,,,,,
Amathole,(Disposable mask) No banding,ACH Technology,2017/62066/07,TCOVID19-004,Thusday May 14 2020,125000.00,,,,,
Amathole,(heavy duty gloves) Pemie nitile,Motjilela,2005/051195/23,Pice quotation below 30 000.00,Tuesday Apil 7 2020,1900.00,,,,,
Amathole,(Sugical gloves) No banding,Evegeen Latex,2002/057771/23,Tansvesal Contact (T76),Thusday May 14 2020,9500.00,,,,,
Amathole,"1.Gloves potect you hands-CE4051;  2.Gaden maste 2lite Bottle;  3.Omon
Gentle Tempeatue Themomete Infaed Foehead Scanne;  4.Povidine Iodine
Scub",Apex Yenkosi,2017/258272/07,Pice quotation below 30 000.01,Fiday Mach 27 2020,29650.00,,,,,
Amathole,1.Nitile Examination Powde Fee Gloves,  2.FDA Face Mask,Zondiphase,2014/172473/07,Pice quotation below 30 000.03,TuesdayApil72020,25900.00,,,,
Amathole,3 laye Cloth Masks,Mdazane Investments,2018/561785/07,Pice quotation below 30 000.00,2020-06-09,1540.00,,,,,
Amathole,Alcohol hand ub sanitise 80% (pime safe),Lechoba Medical Technologies,2005/044442/07,TCOVID19-008,Thusday May 14 2020,151875.00,,,,,
Amathole,Anti bacteial hand sanitise 70% alcohol,Govindsamy Subamoney,Sole Popietoship,Pice quotation below 30 000.00,Monday Apil 27 2020,29827.60,,,,,
Amathole,Anti bacteial hand sanitise 70% alcohol,IT Cae Chemicals Supplies,2015/102820/07,TCOVID19-004,Thusday May 21 2020,180000.00,,,,,
Amathole,BAS steisol antiseptic hand ub with emolient,BAS Phamaceuticals Industy,2012/056577/07,Tansvesal Contact (T300),Thusday Mach 19 2020,1641.00,,,,,
Amathole,Bas Steisol-70% Chloexidine,BAS Phamaceuticals Industy,2012/056577/07,Tansvesal Contact (T300),2020-05-11,2461.50,,,,,
Amathole,Bas Steisol-70% Chloexidine,BAS Phamaceuticals Industy,2012/056577/07,Tansvesal Contact (T300),Fiday Mach 27 2020,3282.00,,,,,
Amathole,Bleach bio-chem,Inyathi Sales,2001/045499/23,Pice quotation below 30 000.00,Wednesday Apil 8 2020,9000.00,,,,,
Amathole,Boots all sizes,BBF Safety Goup,2012/056577/07,Tansvesal Contact (T59),Fiday July 24 2020,8217.50,,,,,
Amathole,Claco Hygiene Wateless Hand Sanitize 70%,East view Tading,2007/116803/23,Pice quotation below 30 000.02,Tuesday Mach 31 2020,12330.00,,,,,
Amathole,Clao hygiene wateless hand sanitise 70% isopyl alcohol,East View Tading 75,2007/116803/23,Pice quotation below 30 000.00,Thusday Apil 16 2020,29348.00,,,,,
Amathole,COVID-19 esponse face mask 3ply disposable ealoop face mask,AC Technology,2017/162066/07,TCOVID19-004,2020-06-24,31250.00,,,,,
