Entity Name|CSD Supplier Number|Sum of Commitment Amount|Sum of Payment Amount|Sum of Total Expenditure
COVID19 DISINFECTION (PTY) LTD|MAAA0935069|R0.00|R1,995.20|R1,995.20
RELITHE HOLDINGS|MAAA0894219|R0.00|R1,980.88|R1,980.88
GRAND NARE HOLDINGS|MAAA0685571|R0.00|R1,972.75|R1,972.75
VUKA KUSILE SOLUTITION|MAAA0685904|R0.00|R1,964.25|R1,964.25
GERMAPHOB SOLUTIONS|MAAA0937207|R0.00|R1,962.50|R1,962.50
PEEPIL BUILDERS|MAAA0250685|R0.00|R1,768.20|R1,768.20
LA - DEMENTE CLEANING SERVICES (|MAAA0850606|R0.00|R1,528.54|R1,528.54
CHIN TRANSPORT SERVICES|MAAA0881716|R0.00|R1,500.00|R1,500.00
COBEY FIRE|MAAA0909814|R0.00|R1,437.50|R1,437.50
IPA|-|R0.00|R1,305.00|R1,305.00
CENTRE FOR CONSERVATION EDUCATIO|-|R0.00|R1,269.35|R1,269.35
TRACK IT LOGISTICS|MAAA0690343|R0.00|R1,100.00|R1,100.00
RONNOCO TRADING PTY LTD|MAAA0662941|R0.00|R1,080.00|R1,080.00
LANA LOUW|MAAA0520394|R0.00|R1,000.00|R1,000.00
TUNIBYTE|MAAA0863656|R0.00|R914.78|R914.78
ME ENTERPRISES & PEST CONTROL|MAAA0024884|R0.00|R750.00|R750.00
GOVERNMENT PRINTING WORKS|N/A|R0.00|R504.40|R504.40
Geoterra Image|MAAA0023489|R0.00|R523,250.00|R0.00
