buyer_name,supplier_name,items_description,cost_per_unit_zar,order_amount_zar
Public Works and Infrastructure,GEE Square Construction,Cleaning Magistrate courts: Mt Ayliff,17311.00,
Public Works and Infrastructure,GEE Square Construction,Cleaning Magistrate courts: Qumbu,18271.00,
Public Works and Infrastructure,GEE Square Construction,Cleaning Magistrate courts: Willowvale,17491.00,
Public Works and Infrastructure,Gitler Trading CC,Cleaning Magistrate courts: Bityi,25404.00,
Public Works and Infrastructure,Gitler Trading CC,Cleaning Magistrate courts: Bityi,21372.00,
Public Works and Infrastructure,Glearmartins Trading Enterprise,PTA West Quarantine Site ( Garden Service),158700.00,
Public Works and Infrastructure,Glearmartins Trading Enterprise,"Soft Services, Salvokop Quarantine site",305540.00,
Public Works and Infrastructure,Gomo Guru,Decontamination of facilities,142888.00,
Public Works and Infrastructure,Gomo Guru,Deep cleaning  Magistrate office: Ehlanzeni cluster 1,142888.00,
Public Works and Infrastructure,Gonang Laboratories,250ml Hand Sanitizers,2062.00,
Public Works and Infrastructure,Gonang Laboratories,250ml Hand Sanitizers,1237.00,
Public Works and Infrastructure,Greystone Trading,Decontamination of Dept Justice Area 3,26924.00,
Public Works and Infrastructure,Greystone Trading,Decontamination of Dept Justice Area 4,27766.00,
Public Works and Infrastructure,Greystone Trading,Decontamination of Dept Justice Area 5,8459.00,
Public Works and Infrastructure,Growth Makhosikati,Wheel Chair,4224.00,
Public Works and Infrastructure,Growth Point Engineering,Body covering overalls,470400.00,
Public Works and Infrastructure,Gugu Mobile Boutique,Durban Regional Office: Supply of fabric musk and face shield,112250.00,
Public Works and Infrastructure,GXM Trading Enterprise,Medical equipment and supplies,34896.00,
Public Works and Infrastructure,Hands on Vegetation,"Cluster 8 Courts: Cleaning and
Decontamination of facilities - Northern HC,
Prieska and Marydale Periodic Courts",130200.00,
Public Works and Infrastructure,Hands on Vegetation,"Cluster 9 Courts: Cleaning and
Decontamination of facilities - Barkley West,
Danielskuil, Delportshoop, Kuruman MC,
Mothibistad and Botithong Periodic Courts",92000.00,
Public Works and Infrastructure,Harvest Medical Hygiene,Once off Supply of Hand Sanitisers,329025.00,
Public Works and Infrastructure,Hlakano Group,Memel Magistrate Office: Service for April 2020,15832.00,
Public Works and Infrastructure,Hlakano Group,Memel Magistrate Office: Service for MAY 2020,15832.00,
Public Works and Infrastructure,Holiday Inn Cape Town,Accommodation: Quarantine Site,1350.00,
Public Works and Infrastructure,Hornes Projects,Installation and removal of auto- hand sanitizer Dispenser,57500.00,
Public Works and Infrastructure,Hornes Projects,Monthly replacement of 1000 hand sanitizers and servicing for 12 Months,3864000.00,
Public Works and Infrastructure,HZ & Sons Enterprise,Cleaning Magistrate courts: butterworth,40000.00,
Public Works and Infrastructure,HZ & Sons Enterprise,Cleaning Magistrate courts: butterworth,36000.00,
Public Works and Infrastructure,Ianjus Trading Projects,"supply ,Installation and maintenance of hand sanitizers",492637.00,
Public Works and Infrastructure,IEK Business Enterprise,Deep cleaning  Magistrate office: Gert Sibande cluster 4,64338.00,
Public Works and Infrastructure,Ikando t/a IT Master,Remote management tools,2196530.00,
Public Works and Infrastructure,Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE19/278)",65925.00,
Public Works and Infrastructure,Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE19/278)",95015.00,
Public Works and Infrastructure,Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE20/020)",28978.00,
Public Works and Infrastructure,Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE20/020)",95015.00,
Public Works and Infrastructure,Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg Magistrate Court, Land Claims Court and Midrand Branch Court (JHBE20/020)",65925.00,
Public Works and Infrastructure,Imvuko Service and Supply,Mobi Toilets roadblocks( SAPS),29250.00,
Public Works and Infrastructure,Indaba Hotel and Spa - JHB,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,Intyatyambo Business Services,Cleaning Magistrate courts: Aliwal North; Sterkspuit; Glen Grey and Barkly East,73670.00,
Public Works and Infrastructure,Intyatyambo Business Services,Cleaning Magistrate courts: Aliwal North; Sterkspuit; Glen Grey and Barkly East,66110.00,
Public Works and Infrastructure,Irritech,Masks to be used by officials,800.00,
Public Works and Infrastructure,Isivungu Vungu,Hiring of Generator (one site),63000.00,
Public Works and Infrastructure,ISO Lekhaya Trading,Cleaning Magistrate courts: ENGCOBO,16891.00,
Public Works and Infrastructure,ISO Lekhaya Trading,Cleaning Magistrate courts: Libode,16291.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms (Single Bed Blankets),1127.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms (Single Bed Matrass Cover),3864.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms (Single Bed Matrass),2760.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms (Single Bed Sheets),207.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms (Single Bed),5624.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms Pillow Cases),552.00,
Public Works and Infrastructure,Isumed,PPE for Isolation Rooms Pillows),874.00,
Public Works and Infrastructure,IT Mathatlamdupro,Face masks,26000.00,
Public Works and Infrastructure,IT Mathatlamdupro,Latex Gloves,26000.00,
Public Works and Infrastructure,IT Mathatlamdupro,Thermometer,9600.00,
Public Works and Infrastructure,Ityatyambo Business,Cleaning Magistrate courts:  Barkly East,32471.00,
Public Works and Infrastructure,Ityatyambo Business,Cleaning Magistrate courts: Dordrecht,34865.00,
Public Works and Infrastructure,Ityatyambo Business,Cleaning Magistrate courts: Lady Grey,29530.00,
Public Works and Infrastructure,JH Pest Control,"Cluster 7 Courts: Cleaning and Decontamination - Augrabies, Upington MC,Kenhardt, Rietfontein, Griekwastad, Grobblershoop and Niekerkshoop Periodic Courts",150308.00,
Public Works and Infrastructure,JOD Consulting,1litre Hand Sanitisers,875.00,
Public Works and Infrastructure,Kabela Trading,"Provision of cleaning services at Germiston, Hardach, Edenvale and Kemptonpark Magistrate Courts  (JHBE19/280)",61166.00,
Public Works and Infrastructure,Kabela Trading,"Provision of cleaning services at Germiston, Hardach, Edenvale and Kemptonpark Magistrate Courts  (JHBE19/280)",106691.00,
Public Works and Infrastructure,Kabela Trading,"Provision of cleaning services at Germiston, Hardach, Edenvale and Kemptonpark Magistrate Courts  (JHBE20/022)",143836.00,
Public Works and Infrastructure,Kabi And Tefo construction,Springfontein Magistrate Office: Service for April 2020,8004.00,
Public Works and Infrastructure,Kabi And Tefo construction,Springfontein Magistrate Office: Service for JULY 2020,8004.00,
Public Works and Infrastructure,Kabi And Tefo construction,Springfontein Magistrate Office: Service for JUNE 2020,8004.00,
Public Works and Infrastructure,Kabi And Tefo construction,Springfontein Magistrate Office: Service for MAY 2020,8004.00,
Public Works and Infrastructure,Kalesegompho General Suppliers and Maintenance,Cleaning Services Koster,63189.00,
Public Works and Infrastructure,Kamanga Trading,Justice Various Magistrate Courts: Ugu District Municipality Decontamination of facilities  to prevent & combat spread of Covid-19,1050448.00,
Public Works and Infrastructure,KB 16 Lebo Trading (Pty)Ltd,Cleaning Services Delareyville,31250.00,
Public Works and Infrastructure,Khakhakha,Decontamination at Palace of Justice,173189.00,
Public Works and Infrastructure,Kim Xtreme Clean & Trading,Purchasing of 500ml plastic spray bottles,15000.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,23020.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,13400.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Centane,18600.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakhwe,22920.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakhwe,13100.00,
Public Works and Infrastructure,KING COBRA TRADING CC,Cleaning Magistrate courts: Ngqamakwe,18600.00,
Public Works and Infrastructure,King Kung,Decontamination at Soshanguve Magistrate Court,108178.00,
Public Works and Infrastructure,Kings Tide Boutique Hotel – Port Elizabeth,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,Kol Logistics,Decontamination of Feziile District,85324.00,
Public Works and Infrastructure,Kol Logistics,Decontamination of Lejweleputswa District,164940.00,
Public Works and Infrastructure,Kol Logistics,Decontamination of Mangaung District,241907.00,
Public Works and Infrastructure,Kol Logistics,Decontamination of Thabo Mofutsanyane District,155194.00,
Public Works and Infrastructure,Kol Logistics,Decontamination of Xariep District,62947.00,
Public Works and Infrastructure,Kwachungwa Trading,Cleaning magistrate Court: Lusikisiki,73880.00,
Public Works and Infrastructure,Kwelakithi General Trading,Emergency Procurement Delegation. Estimated Cost,43000.00,
Public Works and Infrastructure,Kwelakithi General Trading,Emergency Procurement Delegation: One Quotation,81990.00,
Public Works and Infrastructure,Labstyres (pty)ltd,"Building Infrastructure Services, Salvokop Quarantine site",1333348.00,
Public Works and Infrastructure,Lathi Holdings,Masks N95,352800.00,
Public Works and Infrastructure,Lathi Holdings,Non-sterile gloves,280000.00,
Public Works and Infrastructure,Lehumo development,Cleaning services during COVID-19,118475.00,
Public Works and Infrastructure,Lehumo development,Cleaning services during COVID-19,93083.00,
Public Works and Infrastructure,Lehumo development,Cleaning services during COVID-19,245398.00,
Public Works and Infrastructure,LENYAKI,Brandfort Magistrate Office: Service for April 2020,10000.00,
Public Works and Infrastructure,LENYAKI,Brandfort Magistrate Office: Service for JULY 2020,10000.00,
Public Works and Infrastructure,LENYAKI,Brandfort Magistrate Office: Service for JUNE 2020,10000.00,
Public Works and Infrastructure,LENYAKI,Brandfort Magistrate Office: Service for MAY 2020,10000.00,
Public Works and Infrastructure,Lera M Trading,Window blinds for sickbay,13365.00,
Public Works and Infrastructure,Lesedi Thabang,Safety face shield,7336.00,
Public Works and Infrastructure,Lesibana Cleaning,Cleaning services @ Soshanguve Court,18400.00,
Public Works and Infrastructure,Lesibana Cleaning,Cleaning services @ Soshanguve Court,36800.00,
Public Works and Infrastructure,Lesibana Cleaning,Deep Cleaning at Centre Walk,121030.00,
Public Works and Infrastructure,Letlolo Cleaning Service,Rendering of Additional Cleaning Service  - Warrenton Magistrate Office,8400.00,
Public Works and Infrastructure,Letlolo Cleaning Service,Rendering of Additional Cleaning Service - Kimberley Magistrate Office,30240.00,
Public Works and Infrastructure,Letsepe Medical Supplier,"Pillow covers, First aid kit, Flat sheets, Stretcher",31907.00,
Public Works and Infrastructure,LFN projects,Cleaning services @ Pta High Court,13000.00,
Public Works and Infrastructure,Libimayasi (PTY) Ltd,DBN RO: Decontamination of state cars (Phakisa),6400.00,
Public Works and Infrastructure,Longile Projects,Cleaning services @ CGO Building,153225.00,
Public Works and Infrastructure,Longile Projects,Cleaning services @ Commercial Crime Court,653666.00,
Public Works and Infrastructure,Longile Projects,Cleaning services @ Commercial Crime Court,65364.00,
Public Works and Infrastructure,Loresa Management Services,Furniture,322041.00,
Public Works and Infrastructure,Loresa Management Services,furniture and soft furnishing @ SAPS College Hospital Pretoria West,322041.00,
Public Works and Infrastructure,Loziflex (Pty) Ltd,Cleaning Services Brits,72853.00,
Public Works and Infrastructure,Loziflex (Pty) Ltd,Decontamination of state property Group 4,18.00,
Public Works and Infrastructure,Ludonga Lukamavuso Projects,Supply Of Cloth Face Mask For NDPWI,146200.00,
Public Works and Infrastructure,Lumoss Moldings (pty) Ltd,Bottle Pumps for Pool Vehicles in Head Office,1009.00,
Public Works and Infrastructure,LUNYAWENI TRADING,Cleaning Magistrate courts: Libode,21875.00,
Public Works and Infrastructure,LUNYAWENI TRADING,Cleaning Magistrate courts: Libode,16000.00,
Public Works and Infrastructure,LUNYAWENI TRADING,Cleaning Magistrate courts: Ngqeleni,21375.00,
Public Works and Infrastructure,LUNYAWENI TRADING,Cleaning Magistrate courts: Ngqeleni,15900.00,
Public Works and Infrastructure,Maganeleni Trading,Deep cleaning  Magistrate office: Gert Sibande cluster 1,111745.00,
Public Works and Infrastructure,Mairaduka Trading PTY LTD,Deep cleaning  Magistrate office: Gert Sibande cluster 3,117806.00,
Public Works and Infrastructure,Makumalou,Justice Various Magistrate Courts: EThekwini District Municipality Decontamination of facilities,1878831.00,
Public Works and Infrastructure,MALEBOGO LEGACY,Jacobsdal Magistrate Office: Service for April 2020,7500.00,
Public Works and Infrastructure,MALEBOGO LEGACY,Jacobsdal Magistrate Office: Service for MAY 2020,7500.00,
Public Works and Infrastructure,Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus, Heidelberg and Benoni Magistrate Courts (JHBE19/282)",117697.00,
Public Works and Infrastructure,Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus, Heidelberg and Benoni Magistrate Courts (JHBE19/282)",185292.00,
Public Works and Infrastructure,Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus, Heidelberg and Benoni Magistrate Courts (JHBE20/024)",429898.00,
Public Works and Infrastructure,Mambathane Trading,Emergency Procurement Delegation: One Quotation,11439.00,
Public Works and Infrastructure,Mamulo Trading,"Provision of cleaning services at Carltonville, Westonaria and Khutsong Magistrate Courts (JHB19/273)",53418.00,
Public Works and Infrastructure,Mamulo Trading,"Provision of cleaning services at Carltonville, Westonaria and Khutsong Magistrate Courts
(JHB19/273)",65683.00,
Public Works and Infrastructure,Mamulo Trading,"Provision of cleaning services at Carltonville,Westonaria and Khutsong Magistrate Courts
(JHBE 20/015)",170325.00,
Public Works and Infrastructure,Manceda Projects and Trading,Justice Various Magistrate Courts: Zululand District Municipality Decontamination of facilities,1742983.00,
Public Works and Infrastructure,Mannah Guest House - JHB,Accommodation: Quarantine Site,1120.00,
Public Works and Infrastructure,Manxiwa Group Cc,Denomination / Deep Cleaning  Disinfection,80248.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,62970.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,63644.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,138116.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,81380.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,55142.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,94160.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,87883.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,63641.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,31080.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,55971.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,95239.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,66865.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,79692.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,59599.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,53754.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,63724.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,31475.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,89325.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,63408.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,56297.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,64777.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,77631.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,62608.00,
Public Works and Infrastructure,Manxiwa Group Cc,Decontamination / Deep Cleaning & Disinfection,94895.00,
Public Works and Infrastructure,Maotwanafinyela Trading,Cleaning services @ Atteridgeville Court,98600.00,
Public Works and Infrastructure,Maqolo Mobile Hiring,Hiring Toilets (for three sites,145600.00,
Public Works and Infrastructure,Maribelo,Catering,409216.00,
Public Works and Infrastructure,Mashadi Projects,Cleaning services @ Cullinan Court,450004.00,
Public Works and Infrastructure,MASI WORKWEAR,Transversal Contract:,105708.00,
Public Works and Infrastructure,Masibaseni Projects,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 2",93003.00,
Public Works and Infrastructure,Matebello Cleaning,Decontamination at PTA Magistrate Court,248490.00,
Public Works and Infrastructure,Mayadi Trading,Emergency Procurement Delegation with 1 Quotes obtained.,13607.00,
Public Works and Infrastructure,Mayadi Trading,Emergency Procurement Delegation with 1 Quotes obtained.,26060.00,
Public Works and Infrastructure,Mazortoquer,Emergency Procurement Delegation with 3 Quotes obtained.,179900.00,
Public Works and Infrastructure,Mazortoquer,Emergency Procurement Delegation with 3 Quotes obtained.,6539.00,
Public Works and Infrastructure,Mazortoquer,Emergency Process,29800.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Butterworth,34050.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Ngcobo,22950.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Ngcobo,12960.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,21550.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,11880.00,
Public Works and Infrastructure,MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,18900.00,
Public Works and Infrastructure,Mdusama Trading,Decontamination of state property Group 5,18.00,
Public Works and Infrastructure,mega works trading,Cleaning services,25090.00,
Public Works and Infrastructure,mega works trading,Cleaning services,12255.00,
Public Works and Infrastructure,Mercure Hotels,Accommodation: Quarantine sites,1050.00,
Public Works and Infrastructure,"Mercure Hotels South Africa –
 Bedfordview",Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,"Mercure Hotels South Africa –
 Midrand",Accommodation: Quarantine Site,1093.00,
Public Works and Infrastructure,Mercure Premier Hotel Nelspruit,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,Metrox Enterprise,Cleaning contracts – Lockdown,34500.00,
Public Works and Infrastructure,Metrox Enterprise,Decontamination of Dept Justice Area 9,44300.00,
Public Works and Infrastructure,Metsi Matso Lodge,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,MEZINOX,Bloemfontein Family Advocate: Service for April 2020,14500.00,
Public Works and Infrastructure,MEZINOX,Bloemfontein Family Advocate: Service for JULY 2020,14500.00,
Public Works and Infrastructure,MEZINOX,Bloemfontein Family Advocate: Service for JUNE 2020,14500.00,
Public Works and Infrastructure,MEZINOX,Bloemfontein Family Advocate: Service for MAY 2020,14500.00,
Public Works and Infrastructure,"MFUNDISO SECURITY & TRAINING
 SERVICES",Cleaning Magistrate courts: Bizana and Flagstaff,23793.00,
Public Works and Infrastructure,"MFUNDISO SECURITY & TRAINING
 SERVICES",Cleaning Magistrate courts: Bizana and Flagstaff,22618.00,
Public Works and Infrastructure,Mfuyase Trading,Deep cleaning  Magistrate office: Nkangala Cluster 3,165033.00,
Public Works and Infrastructure,Miliswam Projects,Cleaning services @ Palace of Justice,99500.00,
Public Works and Infrastructure,Miliswam Projects,Cleaning services @ Palace of Justice,199000.00,
Public Works and Infrastructure,"Military Surplus Stores t/a Army
 Surplus Stores",Furniture and Linen @ Salvokop,422863.00,
Public Works and Infrastructure,MJ Supplies and Genreral Trading,Antibacterial Handwash,14940.00,
Public Works and Infrastructure,MLA Consortia,Decontamination at CGO Building,914147.00,
Public Works and Infrastructure,Mmetla Trading,Daily cleaning at the Salu Building,389620.00,
Public Works and Infrastructure,MMG Consulting and Projects,Cluster 5 Courts: Cleaning and Decontamination,52715.00,
Public Works and Infrastructure,MNNR & Olwethu,"Cleaning services @ NPA offices, 28 Church Square",162001.00,
Public Works and Infrastructure,Moche Qoma Construction,Cleaning Services Zeerust,33400.00,
Public Works and Infrastructure,Moesedi Trading,Decontamination at Rietondale Workshop,195572.00,
Public Works and Infrastructure,MOLLELWA GENERAL TRADING,Clocolan Magistrate Office: Service for April 2020,4952.00,
Public Works and Infrastructure,MOLLELWA GENERAL TRADING,Clocolan Magistrate Office: Service for MAY 2020,4952.00,
Public Works and Infrastructure,Monotwane Distribution,Daily cleaning at the AVN Building,90928.00,
Public Works and Infrastructure,Monte Bello Estate – Free State,Accommodation: Quarantine Site,1150.00,
Public Works and Infrastructure,Mosegodimpo,Decontamination at Mamelodi Magistrate Court,118974.00,
Public Works and Infrastructure,Moselatisetso Holdings,"Cluster 3 Courts: Cleaning and Decontamination - Jankempdorp, Windsorton and Pampierstad",57846.00,
Public Works and Infrastructure,Mostert Pest Control,Cleaning and Decontaminating Louisvale DPWI Office and SANDF water,15450.00,
Public Works and Infrastructure,Mostert Pest Control,Cleaning and Decontaminating SANDF water and sewerage- Dee aar,6250.00,
Public Works and Infrastructure,Moteki Projects and Consultants,Decontamination for 17 July ( 4254m2 @ R4.50 p/m2),19143.00,
Public Works and Infrastructure,Moteki Projects and Consultants,"Edenburg, 9 Piet Retief str",8000.00,
Public Works and Infrastructure,Mothape Events and projects,Materials to repair ablution facilities.,20061.00,
Public Works and Infrastructure,MST Capital projects,deep cleaning at Hatfield Magistrate Court,75400.00,
Public Works and Infrastructure,Mtshongo Q Supplies,Decontamination / Deep Cleaning & Disinfection,37629.00,
Public Works and Infrastructure,Munaca Technologies,"Mechanical Services, ( HVAC) Salvokop Quarantine site",168314.00,
Public Works and Infrastructure,"Musina Hotel and Conference
 Facility",Accommodation: Quarantine site,1050.00,
Public Works and Infrastructure,"Musina Hotel and Conference
 Facility",Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,Naledi Chemicals,Gloves to be used by officials,627.00,
Public Works and Infrastructure,Naledi Chemicals,Gloves to be used by officials,2000.00,
Public Works and Infrastructure,Naledi Chemicals,Purchase of hard surface disinfectant detergent concentrate,17120.00,
Public Works and Infrastructure,National Pest Control,DBN RO: Decontamination of DPW facilities,60000.00,
Public Works and Infrastructure,National Pest Control,Justice Various Leased Buildings: Decontamination of facilities to prevent and combat the spread of Covid-19,651746.00,
Public Works and Infrastructure,NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Qumbu,21000.00,
Public Works and Infrastructure,NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Qumbu,18000.00,
Public Works and Infrastructure,NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,18900.00,
Public Works and Infrastructure,NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,15000.00,
Public Works and Infrastructure,NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,18095.00,
Public Works and Infrastructure,Ndamu General Dealer,Cleaning services,22386.00,
Public Works and Infrastructure,Ndamu General dealer,Cleaning services,11770.00,
Public Works and Infrastructure,nemarundzi trading,"Deep cleaning, disinfection and sanitizing at Center Walk",69730.00,
Public Works and Infrastructure,Netcom Trading,Deep cleaning  Magistrate office: Gert Sibande cluster 5,124052.00,
Public Works and Infrastructure,New Tulbagh Hotel,Accommodation: Quarantine Site,950.00,
Public Works and Infrastructure,Nienear Construction,Cloth Face Masks,24955.00,
Public Works and Infrastructure,Nikki Clothing Qaaf Enterprises,Masks to be used by officials,2000.00,
Public Works and Infrastructure,Nkori supply and Distributors,Cleaning services,15204.00,
Public Works and Infrastructure,Nosino Projects,Durban Regional Office: Physical Barriers and Goods,196000.00,
Public Works and Infrastructure,Nthangeni Holding,Purchase And Delivery Of Equipment For The Sick Bay For NDPW,280496.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Bizana,28000.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Flagstaff,25000.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Lusikisiki,28000.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Lusikisiki,21000.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Port St Johns,22000.00,
Public Works and Infrastructure,NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Port St Johns,17000.00,
Public Works and Infrastructure,Ntsu Ya Motsofe Trading Enterprise,Cleaning Services Wolmaranstad,34428.00,
Public Works and Infrastructure,O Nthuse Hle Trading & Projects,"Hertzogville, 39 van Niekerk str",7960.00,
Public Works and Infrastructure,Odirile IT Holdings,IT Server infrastructure,4989868.00,
Public Works and Infrastructure,Okgaoditswe Transport Supply and Other Projects,Cleaning Services Potchefstroom,54900.00,
Public Works and Infrastructure,Omogolo Trading,Cleaning Services Rustenburg,77568.00,
Public Works and Infrastructure,Onele Construction and Cleaning,Automatic Sensor Dispenser 1l sanitizer refills,27200.00,
Public Works and Infrastructure,Onele Construction and Cleaning,Automatic sensor dispenser sanitizer holders (mounted),11378.00,
Public Works and Infrastructure,Onele Construction and Cleaning,Hand spray containers 500ml,11666.00,
Public Works and Infrastructure,Onele Construction and Cleaning,Paper wipe rolls,10000.00,
Public Works and Infrastructure,Onhak,Decontamination at Atteridgeville Magistrate Court,211020.00,
Public Works and Infrastructure,Onkgopotse Enterprise,cleaning service @Momentum Building,68631.00,
Public Works and Infrastructure,Onkgopotse Enterprise,Cleaning services @ Momentum Building (DOJ),553631.00,
Public Works and Infrastructure,Opinionated Trading enterprise,Cleaning services,14521.00,
Public Works and Infrastructure,Opinionated Trading enterprise,Cleaning services,15621.00,
Public Works and Infrastructure,Osmans,PPE (Covid-19),2000.00,
Public Works and Infrastructure,Paballo Christina Matsholo,Hoopstad Magistrate Office: Service for April 2020,6000.00,
Public Works and Infrastructure,Paballo Christina Matsholo,Hoopstad Magistrate Office: Service for MAY 2020,6000.00,
Public Works and Infrastructure,Park Inn  Radisson Foreshore,Accommodation: Quarantine Site,1233.00,
Public Works and Infrastructure,Parsons Home Appliances,Batteries for head thermometer,1440.00,
Public Works and Infrastructure,Party Holding Pty Ltd,Emergency Procurement Delegation: One Quotation,16825.00,
Public Works and Infrastructure,Peermont Emperors Palace Metcourt Hotel,Accommodation: Quarantine Site,1200.00,
Public Works and Infrastructure,Peermont Emperors Palace Mondior Hotel,Accommodation: Quarantine Site,1380.00,
Public Works and Infrastructure,Pefect Girlz,PPE,362877.00,
Public Works and Infrastructure,Pefect Girlz,Provision of sanitary services on a monthly basis for 12 months,994529.00,
Public Works and Infrastructure,Pep Stores,Tinissa Microfibre swabs,2000.00,
Public Works and Infrastructure,Perfect Girlz,Provision of sanitary services on a monthly basis for 12 months,994529.00,
Public Works and Infrastructure,Perm Projetcs,supply and delivery of equipments for the Sick Bay,98169.00,
Public Works and Infrastructure,Perspex South Africa/ Plastic Concept,Emergency Procurement Delegation,47317.00,
Public Works and Infrastructure,Phindelani Projects,Isolation rooms items,124853.00,
Public Works and Infrastructure,Pick & Pay,Consumables for Temp Scanners,170.00,
Public Works and Infrastructure,Pick & Pay,Batteries for scanners for Head Office,170.00,
