Region,Cluster,Responsibility,Supplier,Supplier Registration Number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,Item Name,QTY Ordered,QTY Received,PO Status,RFQ Amount,B-BBEE Contibutor Level,Contract Amount,INVOICE RECEIVED DATE,PAYMENT DATE,PAID WITHIN 30 DAYS
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0032687 SIBA INDUSTRIAL CLEANING AND CAR WASH SERVICE,2015/293139/07,YES,,POO00003SH,2020-07-15T15:22:20.500,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"5,242.50",Level 1,,7/24/2020,8/7/2020,14
WESTERN CAPE,ATLANTIS,LC ATLANTIS,MAAA0011153 EXCELL CONSUMABLES,2007/020896/23,YES,,POO00003PB,2020-07-14T11:10:03.550,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,4,4,Completed,"6,563.00",Level 1,,7/27/2020,7/28/2020,1
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004BQ,2020-07-24T13:57:58.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"3,499.29",Level 2,,7/27/2020,8/4/2020,8
WESTERN CAPE,SIMONSTOWN,LC SIMONTOWN,MAAA0079199 PEST RELIEVERS,2002/051888/23,YES,,POO000045K,2020-07-23T08:59:35.780,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"1,092.50",Level 1,,7/28/2020,7/28/2020,0
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0583644 RHANDANTSAKO ENTERPRISES,2017/338709/07,YES,,POO00003SQ,2020-07-15T16:24:28.630,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"52,902.50",Level 1,,7/28/2020,7/28/2020,0
WESTERN CAPE,GEORGE,LC GEORGE,MAAA0853216 N CAPE PROJECTS,2019/468741/07,YES,,POO00003QK,2020-07-14T14:55:57.830,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,ADVERTISEMENT,"SIGN, ABC COURT",1,1,Completed,"3,800.00",Level 5,,7/28/2020,7/28/2020,0
FREE STATE,MASTER BLOEMFONTEIN,MASTER: BLOEMFONTEIN,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00004CL,2020-07-27T11:25:36.117,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"16,591.39",Level 4,,7/28/2020,7/29/2020,1
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00003QG,2020-07-14T14:43:00.350,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"16,015.28",Level 4,,7/28/2020,7/29/2020,1
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0345942 MARGEN INDUSTRIAL SERVICES,2002/087973/23,YES,,POO000046P,2020-07-22T15:38:32.610,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"70,550.09",Level 1,,7/28/2020,7/31/2020,3
NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0082969 MMG CONSULTING AND PROJECTS,2011/094208/23,YES,,POO000049V,2020-07-24T11:57:34.137,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"3,250.80",Level 1,,7/28/2020,8/3/2020,6
EASTERN CAPE,COFMIVABA,LC COFIMVABA,MAAA0002735 MARTHA SUSANNA MARRIOTT,7102130213082,YES,,POO00004D3,2020-07-28T09:48:30.193,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"8,677.80",Level 5,,7/28/2020,8/4/2020,7
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0008046 TECHNOLOGY IDEAS,2012/080524/07,YES,,POO00004FK,2020-07-28T13:39:34.390,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"60,701.60",Level 1,,7/28/2020,8/4/2020,7
MPUMALANGA,EERSTEHOEK,LC EERSTEHOEK,MAAA0026479 THUZANTO TRADING,2012/098086/07,YES,,POO00003WZ,2020-07-17T10:03:40.133,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,139,139,Completed,"110,967.87",Level 1,,7/28/2020,8/4/2020,7
EASTERN CAPE,EAST LONDON,LC EAST LONDON,MAAA0236519 MAYO MANAGEMENT SERVICES,2008/050273/23,YES,,POO000048S,7/24/2020 8:45,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"12,420.00",Level 3,,7/28/2020,8/4/2020,7
WESTERN CAPE,WOLSELEY,LC WOLSELEY,MAAA0910582 ABRAHAMS STATIONERS,2020/135894/07,YES,,POO0000445,2020-07-22T09:57:00.523,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,PRINTING AND PUBLICATIONS SERVICE,A3 POSTERS,14,14,Completed,"1,892.00",Level 1,,7/29/2020,8/7/2020,9
WESTERN CAPE,WOLSELEY,LC WOLSELEY,MAAA0910582 ABRAHAMS STATIONERS,2020/135894/07,YES,,POO0000445,2020-07-22T09:57:00.523,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,PRINTING AND PUBLICATIONS SERVICE,A4 POSTERS,64,64,Completed,"1,892.00",Level 1,,7/29/2020,8/7/2020,9
EASTERN CAPE,KING WILLIAMS TOWN,LC KING WILLIAMS TOWN,MAAA0401101 NEWDEN,1997/015715/07,YES,,POO00004JC,2020-07-30T08:39:31.690,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,15,15,Completed,"9,282.50",Level 4,,7/30/2020,8/5/2020,6
EASTERN CAPE,KING WILLIAMS TOWN,LC KING WILLIAMS TOWN,MAAA0401101 NEWDEN,1997/015715/07,YES,,POO00004JC,2020-07-30T08:39:31.690,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,25,25,Completed,"9,282.50",Level 4,,7/30/2020,8/5/2020,6
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004F4,2020-07-28T13:01:03.687,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"22,451.90",Level 1,,7/30/2020,8/12/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004F1,2020-07-28T13:02:02.487,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"3,552.00",Level 1,,7/30/2020,8/12/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004H4,2020-07-29T11:34:22.333,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"1,806.56",Level 2,,7/30/2020,8/12/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004F3,2020-07-28T11:24:02.027,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"24,049.20",Level 2,,7/30/2020,8/12/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004DS,2020-07-28T10:10:49.407,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"2,145.53",Level 2,,7/30/2020,8/12/2020,13
EASTERN CAPE,MOUNT FRERE,LC MOUNT FRERE,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO0000483,2020-07-23T16:14:11.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,8,1,Completed,"15,271.50",Level 4,,8/3/2020,8/4/2020,1
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0073759 EYAMA NDABA CONTRACTORS,2013/116694/07,YES,,POO00003NT,2020-07-13T16:08:45.210,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,"40,250.00",Level 1,,8/3/2020,8/7/2020,4
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0392273 REBUS TRADING ENTERPRISE,2016/351682/07,YES,,POO00003SK,2020-07-15T16:35:01.103,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,"54,047.00",Level 1,,8/3/2020,8/7/2020,4
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0727680 UKUYALUZA KWENTUTHWANE,2017/655736/07,YES,,POO00003NR,2020-07-13T15:58:39.577,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,"4,746.00",Level 1,,8/3/2020,8/7/2020,4
WESTERN CAPE,GEORGE,LC GEORGE,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO00004FG,2020-07-29T09:33:15.127,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"2,449.50",Level 2,,8/4/2020,8/6/2020,2
EASTERN CAPE,PEDDIE,LC PEDDIE,MAAA0086433 FRESH AND CLEAN LAUNDROMAT,2002/096275/23,YES,,POO00004J9,2020-07-30T08:37:34.653,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,2,0,Awaiting Delivery,"3,140.00",Level 1,,8/4/2020,8/12/2020,8
WESTERN CAPE,HOPEFIELD,LC HOPEFIELD,MAAA0860653 NH CIVIL CONTRACTORS,2019/354435/07,YES,,POO00004HP,1/1/1900 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1000,0,"Approved, to be printed","3,500.00",Level 1,,8/5/2020,8/6/2020,1
WESTERN CAPE,GEORGE,LC GEORGE,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO0000406,2020-07-22T08:58:07.607,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"29,394.00",Level 2,,8/6/2020,8/6/2020,0
NORTH WEST,KLERKSDORP,LC KLERKSDORP,MAAA0000867 BUSINESS IMAGES HOLDINGS,1993/002773/07,YES,,POO00004C2,2020-07-24T14:56:32.303,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,40,0,Awaiting Delivery,"2,231.00",Level 4,,8/7/2020,8/11/2020,4
MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0000229 A Z TRADING CORPORATION,1994/031338/23,,(CONTRACT),POO00003J2,2020-07-10T08:36:40.137,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,WASTE BAGS: PACK OF 100 (SHRED5),1,0,Completed,,Level 1,0.01,,,0
EASTERN CAPE,IDUTYWA,LC IDUTYWA,MAAA0002735 MARTHA SUSANNA MARRIOTT,7102130213082,YES,,POO00004GH,2020-07-29T10:39:10.587,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"3,174.00",Level 5,,,,0
EASTERN CAPE,STERKSPRUIT,LC STERKSPRUIT,MAAA0002735 MARTHA SUSANNA MARRIOTT,7102130213082,YES,,POO00004D8,2020-07-27T15:08:21.100,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,4,0,Awaiting Delivery,"16,887.00",Level 5,,,,0
MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0015233 BATSUMI ENTERPRISE SOLUTIONS,2007/019949/07,,(CONTRACT),POO00003FQ,2020-07-09T10:31:14.280,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,WASTE BAGS: PACK OF 100 (SHRED5),1,0,Completed,,Level 2,0.01,,,0
GAUTENG,KEMPTON PARK,LC KEMPTONPARK,MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004JK,2020-07-31T08:32:30.067,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,75,0,Awaiting Delivery,"2,583.19",Level 3,,,,0
GAUTENG,ALEXANDRA (GP),LC ALEXANDRA (GP),MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004GW,2020-07-31T09:53:19.480,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,10,0,Awaiting Delivery,"6,329.37",Level 3,,,,0
GAUTENG,ALEXANDRA (GP),LC ALEXANDRA (GP),MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004GW,2020-07-31T09:53:19.480,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,40,0,Awaiting Delivery,"6,329.37",Level 3,,,,0
MPUMALANGA,NSIKAZI,LC NSIKAZI,MAAA0018783 RAMOBA TRADING,2013/224036/07,YES,,POO00004N1,2020-07-31T13:12:28.520,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,1,0,Awaiting Delivery,"247,275.00",Level 1,,,,0
MPUMALANGA,EVANDER,LC EVANDER,MAAA0027581 MASONTO'S BUSINESS ENTERPRISE,2003/020491/23,YES,,POO00003HR,2020-07-09T15:49:30.550,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,177,177,Completed,"123,900.00",Level 1,,,,0
WESTERN CAPE,SIMONSTOWN,LC SIMONTOWN,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00004BX,1/1/1900 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,"Approved, to be printed","1,850.00",Level 4,,,,0
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00003V6,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,"5,554.50",Level 4,,,,0
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00003T4,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,"5,554.50",Level 4,,,,0
WESTERN CAPE,WORCESTER,LC WORCESTER,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO00004NV,1/1/1900 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,"Approved, to be printed","99,000.00",Level 1,,,,0
WESTERN CAPE,CLANWILLIAM,LC CLANWILLIAM,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO00004JS,2020-07-30T09:24:24.240,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"54,000.00",Level 1,,,,0
WESTERN CAPE,PAARL,LC PAARL,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO000047F,2020-07-23T14:09:23.933,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"106,200.00",Level 1,,,,0
EASTERN CAPE,ABERDEEN,LC ABERDEEN,MAAA0036119 DANIC PEST CONTROL AND CLEANING,2005/060814/23,YES,,POO00003RN,2020-07-15T12:56:05.293,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"4,094.00",Level 4,,,,0
NATIONAL OFFICE,NATIONAL OFFICE,CD: HR POLICY AND STRATEGY,MAAA0039456 GUDANI INDUSTRIAL TRADING,2015/047431/07,YES,,POO00003Z0,2020-07-17T13:36:42.310,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,1,0,Awaiting Delivery,"253,600.00",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004F0,2020-07-28T11:20:49.663,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"9,263.45",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C7,2020-07-24T14:38:36.300,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"2,897.79",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C6,2020-07-24T14:37:31.743,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"3,259.92",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C4,2020-07-24T14:36:44.173,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"5,870.00",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C3,2020-07-24T14:35:38.813,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"4,225.00",Level 1,,,,0
MPUMALANGA,GRASKOP,LC GRASKOP,MAAA0075523 CHARLMASHE STRATEGIC INVESTMENTS CORPORATION,2012/123477/07,YES,,POO00004B9,2020-07-24T13:39:57.387,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,4,0,Awaiting Delivery,"4,800.00",Level 1,,,,0
NORTH WEST,BAFOKENG,LC BAFOKENG,MAAA0079193 GENPLAY BROADCAST MEDIA,2012/008761/07,YES,,POO00004JH,2020-07-29T16:35:55.943,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,5,0,Awaiting Delivery,"1,840.00",Level 1,,,,0
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO0000439,2020-07-21T14:17:13.537,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Completed,617.45,Level 1,,,,0
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507 RED ALERT TSS,2005/021629/07,YES,,POO000041D,2020-07-20T14:46:05.663,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"1,955.00",Level 1,,,,0
MPUMALANGA,MIDDELBURG MP,LC MIDDELBURG (MP),MAAA0115127 MOFENYI TRADERS,1998/022155/07,YES,,POO00003ZN,2020-07-17T15:07:13.403,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,194,0,Awaiting Delivery,"180,711.00",Level 1,,,,0
EASTERN CAPE,ALEXANDRIA,LC ALEXANDRIA (EC),MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO0000401,2020-07-20T11:48:06.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"8,254.99",Level 4,,,,0
EASTERN CAPE,LIBODE,LC LIBODE,MAAA0127803 AMINA CHEM,2010/018248/07,YES,,POO00004BF,2020-07-27T10:25:40.377,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,1,0,Awaiting Delivery,"7,250.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,10,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISH CLOTH,100,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,2,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,20,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,130,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,HAND GLOVES,50,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",50,0,Awaiting Delivery,"94,000.00",Level 1,,,,0
EASTERN CAPE,MACLEAR,LC MACLEAR,MAAA0153686 RONALD GOPICHUND,6309245170088,YES,,POO00004G6,2020-07-29T11:40:34.987,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,4,0,Awaiting Delivery,"1,743.40",Level 1,,,,0
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0158098 CRJ HOLDINGS,2016/134858/07,YES,,POO00003VD,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,"12,319.00",Level 1,,,,0
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0163474 RED ALERT,1981/010813/07,YES,,POO000041C,2020-07-20T14:44:48.570,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"1,955.00",Non-compliant contributor,,,,0
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0163474 RED ALERT,1981/010813/07,YES,,POO000037W,2020-07-06T16:06:25.613,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"4,255.00",Non-compliant contributor,,,,0
NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,10,0,Awaiting Delivery,"4,300.00",Level 1,,,,0
NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,1,0,Awaiting Delivery,"4,300.00",Level 1,,,,0
NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,1,0,Awaiting Delivery,"4,300.00",Level 1,,,,0
