buyer_name,implementation_location_province,Cluster,implementation_location_other,supplier_name,company_registration_number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,items_description,items_quantity,QTY Received,implementation_status,order_amount_zar,bbbee_status,Contract Amount,Invoice Receipt Date,invoice_date,PAID WITHIN 30 DAYS
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977 CLAIRSERVICES,2020/233408/07,YES,,POO0000488,2020-07-23T13:15:12.080,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,3991.60,Level 1,,2020-07-23,2020-08-07,15
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0751680 KAIVALYA TRADING,2019/112801/07,YES,,POO00003NS,2020-07-13T16:09:06.680,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6379.28,Level 1,,2020-07-24,2020-07-27,3
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314 GERMGUARD SERVICES,2016/066011/07,YES,,POO000045S,2020-07-22T14:10:56.393,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5740.00,Level 1,,2020-07-24,2020-07-28,4
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314 GERMGUARD SERVICES,2016/066011/07,YES,,POO00003LW,2020-07-11T10:48:43.743,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,3815.00,Level 1,,2020-07-24,2020-07-28,4
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0603891 VILLA ENLIGHTED PROJECTS,2017/228073/07,YES,,POO000041S,2020-07-21T07:58:21.363,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,5,5,Completed,14600.00,Level 1,,2020-07-24,2020-07-29,5
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO000044W,2020-07-22T12:09:27.933,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,5865.00,Level 1,,2020-07-24,2020-04-08,11
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,JAN KEMPDORP,LC JAN KEMPDORP,MAAA0864976 ONALEKAGELO,2019/233335/07,YES,,POO000040L,2020-07-20T14:00:47.150,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,1,1,Completed,1850.00,Level 1,,2020-07-24,2020-04-08,11
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0032687 SIBA INDUSTRIAL CLEANING AND CAR WASH SERVICE,2015/293139/07,YES,,POO00003SH,2020-07-15T15:22:20.500,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5242.50,Level 1,,2020-07-24,2020-07-08,14
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,ATLANTIS,LC ATLANTIS,MAAA0011153 EXCELL CONSUMABLES,2007/020896/23,YES,,POO00003PB,2020-07-14T11:10:03.550,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,4,4,Completed,6563.00,Level 1,,2020-07-27,2020-07-28,1
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004BQ,2020-07-24T13:57:58.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,3499.29,Level 2,,2020-07-27,2020-08-04,8
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,SIMONSTOWN,LC SIMONTOWN,MAAA0079199 PEST RELIEVERS,2002/051888/23,YES,,POO000045K,2020-07-23T08:59:35.780,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,1092.50,Level 1,,2020-07-28,2020-07-28,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0583644 RHANDANTSAKO ENTERPRISES,2017/338709/07,YES,,POO00003SQ,2020-07-15T16:24:28.630,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,52902.50,Level 1,,2020-07-28,2020-07-28,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0853216 N CAPE PROJECTS,2019/468741/07,YES,,POO00003QK,2020-07-14T14:55:57.830,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,ADVERTISEMENT,"SIGN, ABC COURT",1,1,Completed,3800.00,Level 5,,2020-07-28,2020-07-28,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,MASTER BLOEMFONTEIN,MASTER: BLOEMFONTEIN,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00004CL,2020-07-27T11:25:36.117,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,16591.39,Level 4,,2020-07-28,2020-07-29,1
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00003QG,2020-07-14T14:43:00.350,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,16015.28,Level 4,,2020-07-28,2020-07-29,1
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0345942 MARGEN INDUSTRIAL SERVICES,2002/087973/23,YES,,POO000046P,2020-07-22T15:38:32.610,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,70550.09,Level 1,,2020-07-28,2020-07-31,3
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0082969 MMG CONSULTING AND PROJECTS,2011/094208/23,YES,,POO000049V,2020-07-24T11:57:34.137,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,3250.80,Level 1,,2020-07-28,2020-08-03,6
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,COFMIVABA,LC COFIMVABA,MAAA0002735 MARTHA SUSANNA MARRIOTT,7.10213E+12,YES,,POO00004D3,2020-07-28T09:48:30.193,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,8677.80,Level 5,,2020-07-28,2020-08-04,7
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0008046 TECHNOLOGY IDEAS,2012/080524/07,YES,,POO00004FK,2020-07-28T13:39:34.390,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,60701.60,Level 1,,2020-07-28,2020-08-04,7
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,EERSTEHOEK,LC EERSTEHOEK,MAAA0026479 THUZANTO TRADING,2012/098086/07,YES,,POO00003WZ,2020-07-17T10:03:40.133,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,139,139,Completed,110967.87,Level 1,,2020-07-28,2020-08-04,7
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,EAST LONDON,LC EAST LONDON,MAAA0236519 MAYO MANAGEMENT SERVICES,2008/050273/23,YES,,POO000048S,7/24/2020 8:45,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,12420.00,Level 3,,2020-07-28,2020-08-04,7
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,WOLSELEY,LC WOLSELEY,MAAA0910582 ABRAHAMS STATIONERS,2020/135894/07,YES,,POO0000445,2020-07-22T09:57:00.523,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,PRINTING AND PUBLICATIONS SERVICE,A3 POSTERS,14,14,Completed,1892.00,Level 1,,2020-07-29,2020-08-07,9
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,WOLSELEY,LC WOLSELEY,MAAA0910582 ABRAHAMS STATIONERS,2020/135894/07,YES,,POO0000445,2020-07-22T09:57:00.523,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,PRINTING AND PUBLICATIONS SERVICE,A4 POSTERS,64,64,Completed,1892.00,Level 1,,2020-07-29,2020-08-07,9
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,KING WILLIAMS TOWN,LC KING WILLIAMS TOWN,MAAA0401101 NEWDEN,1997/015715/07,YES,,POO00004JC,2020-07-30T08:39:31.690,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,15,15,Completed,9282.50,Level 4,,2020-07-30,2020-08-05,6
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,KING WILLIAMS TOWN,LC KING WILLIAMS TOWN,MAAA0401101 NEWDEN,1997/015715/07,YES,,POO00004JC,2020-07-30T08:39:31.690,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,25,25,Completed,9282.50,Level 4,,2020-07-30,2020-08-05,6
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004F4,2020-07-28T13:01:03.687,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,22451.90,Level 1,,2020-07-30,2020-08-12,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004F1,2020-07-28T13:02:02.487,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,3552.00,Level 1,,2020-07-30,2020-08-12,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004H4,2020-07-29T11:34:22.333,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,1806.56,Level 2,,2020-07-30,2020-08-12,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004F3,2020-07-28T11:24:02.027,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,24049.20,Level 2,,2020-07-30,2020-08-12,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004DS,2020-07-28T10:10:49.407,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,2145.53,Level 2,,2020-07-30,2020-08-12,13
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,MOUNT FRERE,LC MOUNT FRERE,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO0000483,2020-07-23T16:14:11.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,8,1,Completed,15271.50,Level 4,,2020-08-03,2020-08-04,1
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0073759 EYAMA NDABA CONTRACTORS,2013/116694/07,YES,,POO00003NT,2020-07-13T16:08:45.210,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,40250.00,Level 1,,2020-08-03,2020-08-07,4
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0392273 REBUS TRADING ENTERPRISE,2016/351682/07,YES,,POO00003SK,2020-07-15T16:35:01.103,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,54047.00,Level 1,,2020-08-03,2020-08-07,4
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0727680 UKUYALUZA KWENTUTHWANE,2017/655736/07,YES,,POO00003NR,2020-07-13T15:58:39.577,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,4746.00,Level 1,,2020-08-03,2020-08-07,4
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO00004FG,2020-07-29T09:33:15.127,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,2449.50,Level 2,,2020-08-04,2020-08-06,2
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,PEDDIE,LC PEDDIE,MAAA0086433 FRESH AND CLEAN LAUNDROMAT,2002/096275/23,YES,,POO00004J9,2020-07-30T08:37:34.653,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,2,0,Awaiting Delivery,3140.00,Level 1,,2020-08-04,2020-08-12,8
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,HOPEFIELD,LC HOPEFIELD,MAAA0860653 NH CIVIL CONTRACTORS,2019/354435/07,YES,,POO00004HP,01/01/1900 00:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1000,0,"Approved, to be printed",3500.00,Level 1,,2020-08-05,2020-08-06,1
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO0000406,2020-07-22T08:58:07.607,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,29394.00,Level 2,,2020-08-06,2020-08-06,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,KLERKSDORP,LC KLERKSDORP,MAAA0000867 BUSINESS IMAGES HOLDINGS,1993/002773/07,YES,,POO00004C2,2020-07-24T14:56:32.303,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,40,0,Awaiting Delivery,2231.00,Level 4,,2020-08-07,2020-08-11,4
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0000229 A Z TRADING CORPORATION,1994/031338/23,,(CONTRACT),POO00003J2,2020-07-10T08:36:40.137,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,WASTE BAGS: PACK OF 100 (SHRED5),1,0,Completed,,Level 1,0.01,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,IDUTYWA,LC IDUTYWA,MAAA0002735 MARTHA SUSANNA MARRIOTT,7.10213E+12,YES,,POO00004GH,2020-07-29T10:39:10.587,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,3174.00,Level 5,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,STERKSPRUIT,LC STERKSPRUIT,MAAA0002735 MARTHA SUSANNA MARRIOTT,7.10213E+12,YES,,POO00004D8,2020-07-27T15:08:21.100,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,4,0,Awaiting Delivery,16887.00,Level 5,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0015233 BATSUMI ENTERPRISE SOLUTIONS,2007/019949/07,,(CONTRACT),POO00003FQ,2020-07-09T10:31:14.280,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,WASTE BAGS: PACK OF 100 (SHRED5),1,0,Completed,,Level 2,0.01,,,0
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,KEMPTON PARK,LC KEMPTONPARK,MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004JK,2020-07-31T08:32:30.067,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,75,0,Awaiting Delivery,2583.19,Level 3,,,,0
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,ALEXANDRA (GP),LC ALEXANDRA (GP),MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004GW,2020-07-31T09:53:19.480,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,10,0,Awaiting Delivery,6329.37,Level 3,,,,0
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,ALEXANDRA (GP),LC ALEXANDRA (GP),MAAA0015240 SUPRA HEALTHCARE JOHANNESBURG,2007/027848/07,YES,,POO00004GW,2020-07-31T09:53:19.480,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,40,0,Awaiting Delivery,6329.37,Level 3,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,NSIKAZI,LC NSIKAZI,MAAA0018783 RAMOBA TRADING,2013/224036/07,YES,,POO00004N1,2020-07-31T13:12:28.520,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,1,0,Awaiting Delivery,247275.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,EVANDER,LC EVANDER,MAAA0027581 MASONTO'S BUSINESS ENTERPRISE,2003/020491/23,YES,,POO00003HR,2020-07-09T15:49:30.550,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,177,177,Completed,123900.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,SIMONSTOWN,LC SIMONTOWN,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00004BX,01/01/1900 00:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,"Approved, to be printed",1850.00,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00003V6,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,5554.50,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0029783 HYGIENE AND BUGS,2003/076930/23,YES,,POO00003T4,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,5554.50,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,WORCESTER,LC WORCESTER,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO00004NV,01/01/1900 00:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,"Approved, to be printed",99000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,CLANWILLIAM,LC CLANWILLIAM,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO00004JS,2020-07-30T09:24:24.240,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,54000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,PAARL,LC PAARL,MAAA0034309 METROX ENTERPRISE AND CLEANING SERVICES,2004/126609/23,YES,,POO000047F,2020-07-23T14:09:23.933,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,106200.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,ABERDEEN,LC ABERDEEN,MAAA0036119 DANIC PEST CONTROL AND CLEANING,2005/060814/23,YES,,POO00003RN,2020-07-15T12:56:05.293,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,4094.00,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NATIONAL OFFICE,NATIONAL OFFICE,CD: HR POLICY AND STRATEGY,MAAA0039456 GUDANI INDUSTRIAL TRADING,2015/047431/07,YES,,POO00003Z0,2020-07-17T13:36:42.310,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS SUPP:MEDICAL SUPPLIES,MEDICAL FACE MASK,1,0,Awaiting Delivery,253600.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004F0,2020-07-28T11:20:49.663,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,9263.45,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C7,2020-07-24T14:38:36.300,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,2897.79,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C6,2020-07-24T14:37:31.743,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,3259.92,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C4,2020-07-24T14:36:44.173,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,5870.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO00004C3,2020-07-24T14:35:38.813,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,4225.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,GRASKOP,LC GRASKOP,MAAA0075523 CHARLMASHE STRATEGIC INVESTMENTS CORPORATION,2012/123477/07,YES,,POO00004B9,2020-07-24T13:39:57.387,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,4,0,Awaiting Delivery,4800.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,BAFOKENG,LC BAFOKENG,MAAA0079193 GENPLAY BROADCAST MEDIA,2012/008761/07,YES,,POO00004JH,2020-07-29T16:35:55.943,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,5,0,Awaiting Delivery,1840.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO0000439,2020-07-21T14:17:13.537,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Completed,617.45,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507 RED ALERT TSS,2005/021629/07,YES,,POO000041D,2020-07-20T14:46:05.663,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,1955.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,MIDDELBURG MP,LC MIDDELBURG (MP),MAAA0115127 MOFENYI TRADERS,1998/022155/07,YES,,POO00003ZN,2020-07-17T15:07:13.403,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,194,0,Awaiting Delivery,180711.00,Level 1,,,,0
