buyer_name,No.,implementation_location_other,supplier_name,items_description,Unit Pice,cost_per_unit_zar,items_quantity,order_amount_zar,"Indicate: Normal process or
Deviation",Order date,invoice_date,company_registration_number
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",105,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry and Surveyor-General on 10/11 June
2020","R 53 930,17",53930.17,1,53930.17,Deviation (Emergency),08/06/2020,2020-06-08,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",106,"Deeds
Registration
Trading Account",Orizoe Services CC,"Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 13 June 2020","R 94 560,94",94560.94,1,94560.94,Deviation (Emergency),12/06/2020,2020-06-12,2007/214932/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",107,"Deeds
Registration
Trading Account","Botsengkwala Hygiene
Services","Decontamination/ Disinfecting Service - Pretoria Deeds
Registry on 14 June 2020","R 94 565,33",94565.33,1,94565.33,Deviation (Emergency),13/06/2020,2020-06-13,2009/165043/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",108,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - King Williams
Town Deeds Registry on 15 June 2020","R 7 215,70",7215.70,1,7215.70,Deviation (Emergency),14/06/2020,2020-06-14,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",109,"Deeds
Registration
Trading Account","Botsengkwala Hygiene
Services","Decontamination/ Disinfecting Service - Office of the
Chief Registrar of Deeds on 17 June 2020","R 44 240,87",44240.87,1,44240.87,Deviation (Emergency),16/06/2020,2020-06-16,2009/165043/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",110,"Deeds
Registration
Trading Account","Walking Tall Trading and
Projects 186","Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 27 June 2020","R 20 125,00",20125.00,1,20125.00,Deviation (Emergency),26/06/2020,2020-06-26,2011/033650/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",111,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry and Surveyor-General on 28 June 2020","R 53 930,17",53930.17,1,53930.17,Deviation (Emergency),26/06/2020,2020-06-26,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",112,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - King Williams
Town Deeds Registry on 03 July 2020","R 7 215,70",7215.70,1,7215.70,Deviation (Emergency),02/07/2020,2020-07-02,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",113,"Office of the
Valuer-General",Delta Facilities Management,"Decontamination/ Disinfecting Service - Office of the
Valuer-General on 06 July 2020","R 2 070,00",2070.00,1,2070.00,Deviation (Emergency),03/07/2020,2020-07-03,2009/024210/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",114,"Deeds
Registration
Trading Account","Walking Tall Trading and
Projects 186","Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 06 July 2020","R 20 125,00",20125.00,1,20125.00,Deviation (Emergency),05/07/2020,2020-07-05,2011/033650/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",115,"Deeds
Registration
Trading Account","Botsengkwala Hygiene
Services","Decontamination/ Disinfecting Service - Pretoria Deeds
Registry on 07 July 2020","R 85 739,95",85739.95,1,85739.95,Deviation (Emergency),06/07/2020,2020-07-06,2009/165043/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",116,"Deeds
Registration
Trading Account","Palmridge Community
Development and Projects Co
operative Limited","Deep Cleaning Services - Cape Town Deeds Registry,
Mowbray Site on 08 July 2020","R 6 491,69",6491.69,1,6491.69,Deviation (Emergency),07/07/2020,2020-07-07,2013/007388/24
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",117,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - Pietermaritzburg
Deeds Registry and Surveyor-General: Kwazulu-Natal on
08 July 2020","R 37 700,00",37700.00,1,37700.00,Deviation (Emergency),07/07/2020,2020-07-07,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",118,"Deeds
Registration
Trading Account","Botsengkwala Hygiene
Services","Decontamination/ Disinfecting Service - Office of the
Chief Registrar of Deeds on 10 July 2020","R 44 240,87",44240.87,1,44240.87,Deviation (Emergency),09/07/2020,2020-07-09,2009/165043/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",119,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - Mthatha Deeds
Registry on 11 July 2020","R 5 580,00",5580.00,1,5580.00,Deviation (Emergency),10/07/2020,2020-07-10,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",120,"Deeds
Registration
Trading Account",SkitterBlink Cleaning Services,"Decontamination/ Disinfecting Service - Bloemfontein
Deeds Registry on 11 July 2020","R 45 380,70",45380.70,1,45380.70,Deviation (Emergency),10/07/2020,2020-07-10,2006/002594/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",121,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry and Surveyor-General, 90 Plein Street on
15 July 2020","R 53 930,17",53930.17,1,53930.17,Deviation (Emergency),14/07/2020,2020-07-14,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",122,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry and Surveyor-General, Mowbray on 15
July 2020","R 1 311,00",1311.00,1,1311.00,Deviation (Emergency),14/07/2020,2020-07-14,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",123,"Deeds
Registration
Trading Account","Mantella Trading 634 T/A
Mantella IT Support Services
(Pty) Lts","Installation and Configuration of Network Infrastructure -
Cape Town Deeds Registry, Mowbray Site","R 245 525,86",245525.86,1,245525.86,Deviation (Emergency),04/07/2020,2020-07-04,2007/007006/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",124,"Deeds
Registration
Trading Account","Kamatshika Services T/A
Kamatsikaa Trading
Enterprises CC","Decontamination/ Disinfecting Service - Mpumalanga
Deeds Registry on 20 July 2020","R 34 580,00",34580.00,1,34580.00,Deviation (Emergency),20/07/2020,2020-07-20,2006/114060/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",125,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - King Williams
Town Deeds Registry on 21 July 2020","R 7 760,30",7760.30,1,7760.30,Deviation (Emergency),21/07/2020,2020-07-21,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",126,"Deeds
Registration
Trading Account",Orizoe Services CC,"Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 24 July 2020","R 58 491,30",58491.30,1,58491.30,Deviation (Emergency),23/07/2020,2020-07-23,2007/214932/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",127,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry, 90 Plein Street on 25 July 2020","R 30 817,24",30817.24,1,30817.24,Deviation (Emergency),24/07/2020,2020-07-24,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",128,"Deeds
Registration
Trading Account","M-JNR and Olwethu
Consulting (Pty) Ltd","Decontamination/ Disinfecting Service - Pietermaritzburg
Deeds Registry 25 July 2020","R 14 110,00",14110.00,1,14110.00,Deviation (Emergency),24/07/2020,2020-07-24,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",129,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry, 90 Plein Street on 29/30 July 2020","R 7 429,00",7429.00,1,7429.00,Deviation (Emergency),29/07/2020,2020-07-29,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",130,"Deeds
Registration
Trading Account","Kamatshika Services T/A
Kamatsikaa Trading
Enterprises CC","Decontamination/ Disinfecting Service - Mpumalanga
Deeds Registry on 29 July 2020","R 27 846,00",27846.00,1,27846.00,Deviation (Emergency),29/07/2020,2020-07-29,2006/114060/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",131,"Deeds
Registration
Trading Account",Orizoe Services CC,"Decontamination/ Disinfecting Service - Vryburg Deeds
Registry on 30 July 2021","R 6 210,00",6210.00,1,6210.00,Deviation (Emergency),29/07/2020,2020-07-29,2007/214932/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",132,"Deeds
Registration
Trading Account","Walking Tall Trading and
Projects 186","Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 29 July 2022","R 17 750,00",17750.00,1,17750.00,Deviation (Emergency),29/07/2020,2020-07-29,2011/033650/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",133,"Deeds
Registration
Trading Account","Vukheta Risk Services (Pty)
Ltd","Decontamination/ Disinfecting Service - Bloemfontein
Registry on 01 August 2020","R 16 200,00",16200.00,"R 1,00",16200.00,Deviation (Emergency),31/07/2020,2020-07-31,2014/167526/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",134,"Deeds
Registration
Trading Account",Orizoe Services CC,"Decontamination/ Disinfecting Service - Office of the
Chief Registrar of Deeds on 01 August 2020","R 22 770,00",22770.00,"R 1,00",22770.00,Deviation (Emergency),31/07/2020,2020-07-31,2007/214932/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",135,"Deeds
Registration
Trading Account","South End Enviromental
Services (Pty) Ltd","Decontamination/ Disinfecting Service - Cape Town
Deeds Registry, Mowbray SIte on 31 July 2020","R 1 311,00",1311.00,"R 1,00",1311.00,Deviation (Emergency),31/07/2020,2020-07-31,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",136,Northern Cape,"M-Jnr Olwethu Consulting
(PTY) LTD",Mounted sanitisers,"R                          189,00",189.00,15,53865.00,"Scope variation on the running
cleaning contract",06-Aug-20,2020-08-06,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",137,Northern Cape,"M-Jnr Olwethu Consulting
(PTY) LTD",Once-off office decontamination (former DAFF offices),"12810.00
5120.00
2320.00",,3,20250.00,"Scope variation on the running
cleaning contract",08-Jul-20,2020-07-08,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",138,Northern Cape,"M-Jnr Olwethu Consulting
(PTY) LTD",Waste bins,"R                          880,00",880.00,19,16720.00,"Scope variation on the running
cleaning contract",06-Aug-20,2020-08-06,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",139,Northern Cape,"M-Jnr Olwethu Consulting
(PTY) LTD",Once-off office decontamination (former DRDLR offices),"5240.00
6 910.00
8740.00
3190.00
2010.00
1650.00
8740.00",,7,36480.00,"Scope variation on the running
cleaning contract",08-Jul-20,2020-07-08,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",140,Northern Cape,"M-Jnr Olwethu Consulting
(PTY) LTD",Once-off office decontamination (former DRDLR offices),"5 240,00
8 740.00",,2,13980.00,"Scope variation on the running
cleaning contract",06-Aug-20,2020-08-06,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",141,Kwazulu Natal,DAZIE SERVICES,Sanitization / Decontamination of Newcastle offices,7100,7100.00,1,7100.00,Extension of scope /variation,06/08/2020 - KN 022 832,2020-08-06,2015/210332/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",142,Kwazulu Natal,ABAPHUMELELI TRADING 7,S2anitization / Decontamination of Portshepstone,4 050.00,4050.00,1,4050.00,Extension of scope /variation,06/08/2020 - KN 022 831,2020-08-06,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",143,Kwazulu Natal,"SABATA CREATIVE
CONSULTING (PTY) LTD",Sanitization / Decontamination of 200 Church Street,4 480.00,4480.00,1,4480.00,Extension of scope /variation,06/08/2020 - KN 022 830,2020-08-06,2018/517488/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",144,Kwazulu Natal,ZINGA INVESTMENT,Sanitization / Decontamination  Vryheid,7 334.00,7334.00,1,7334.00,Extension of scope /variation,N/A,,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",145,Kwazulu Natal,ZINGA INVESTMENT,Sanitization / Decontamination of Splum,3 595.00,3595.00,1,3595.00,Extension of scope /variation,N/A,,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",146,Kwazulu Natal,M-JNR and Olwethu,Sanitization / Decontamination of Ladysmith Office,"R                     15 625,60",15625.60,1,15625.60,Normal  SCM process,N/A,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",147,Kwazulu Natal,M-JNR and Olwethu,"Sanitization / Decontamination of Comercial city RLCC in
Durban","R                       5 165,00",5165.00,1,5165.00,Extension of scope /variation,N/A,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",148,Kwazulu Natal,M-JNR and Olwethu,Sanitization / Decontamination of SG Office,"R                     15 498,60",15498.60,1,15498.60,Extension of scope /variation,N/A,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",149,Kwazulu Natal,M-JNR and Olwethu,"Sanitization / Decontamination of PSSC Office, 270 Jabu
Ndlovu","R                       4 684,80",4684.80,1,4684.80,Extension of scope /variation,N/A,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",150,Kwazulu Natal,ZINGA INVESTMENT,"Sanitization / Decontamination of PLRO Office, 188
Hoosen Hafetjie","R                       9 890,00",9890.00,1,9890.00,Extension of scope /variation,N/A,,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",151,Kwazulu Natal,"Imvu Emnyama Trading
Enterprises","Supply, deliver, sanitization , despensers and masks,
Pietermaritzburg District Office","R                     23 550,00",23550.00,1,23550.00,Extension of scope /variation,"Orders issud and order
number to be submitted on
07/08/2020",,2007/188229/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",152,Kwazulu Natal,"ABAPHUMELELI TRADING
702","Supply, deliver, sanitization , despensers and masks,
RLCC Durban","R                     12 075,00",12075.00,1,12075.00,Extension of scope /variation,"Orders issud and order
number to be submitted on
07/08/2020",,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",153,Kwazulu Natal,"ABAPHUMELELI TRADING
703","Supply, deliver, sanitization , despensers and masks,
Port Shepstone office","R                       6 825,00",6825.00,1,6825.00,Extension of scope /variation,"Orders issud and order
number to be submitted on
07/08/2020",,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",154,Kwazulu Natal,ZINGA INVESTMENT,Sanitization / Decontamination of Vryheid Office,"R                       7 800,00",7800.00,1,7800.00,Extension of scope /variation,N/A,,2008/211638/22
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",155,Kwazulu Natal,ZINGA INVESTMENT,"Sanitization / Decontamination of PLRO Office, 188
Hoosen Hafetjie","R                       5 650,00",5650.00,1,5650.00,Extension of scope /variation,N/A,,2008/211638/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",156,Kwazulu Natal,M-JNR and Olwethu,Sanitization / Decontamination of SG & Deeds Office,"R                       3 985,65",3985.65,1,3985.65,Extension of scope /variation,N/A,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",157,Kwazulu Natal,Inspect-A-Pest,Sanitization / Decontamination of Laager Centre Office,"R                       4 500,00",4500.00,1,4500.00,Extension of scope /variation,N/A,,2007/009937/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",158,Kwazulu Natal,Inspect-A-Pest,Sanitization / Decontamination of Laager Centre Office,"R                       6 500,00",6500.00,1,6500.00,Extension of scope /variation,N/A,,2007/009937/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",159,Kwazulu Natal,"SABATA CREATIVE
CONSULTING (PTY) LTD","Supply  and Use transportation of healthcare waste for a
period of 05 Months","R                     38 720,50",38720.50,1,38720.50,Extension of scope /variation,N/A,,2016/065950/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",160,Kwazulu Natal,"SABATA CREATIVE
CONSULTING (PTY) LTD",Sanitization / Decontamination of 200 Church Street,"R                       7 187,50",7187.50,1,7187.50,Extension of scope /variation,N/A,,2016/065950/08
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",161,Eastern Cape,HINTSABA TRADING CC,5L Sanitiser,"R                          380,00",380.00,8,3040.00,Deviation,24/03/2020(EC-013865),2020-03-24,2000/074604/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",162,Eastern Cape,HINTSABA TRADING CC,Spray Bottles,"R                          120,00",120.00,10,1200.00,Deviation,24/03/2020(EC-013865),2020-03-24,2000/074604/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",163,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( BLOCK F BUILDING  1705,07sqm)","R                     17 570,01",17570.01,1,17570.01,Deviation,,,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",164,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( BLOCK H BUILDING  1392sqm)","R                     14 327,16",14327.16,1,14327.16,Variation ( Expansion of scope),13/07/2020 (EC-013875),,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",165,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 66 Prince Alfred Street, Queenstown
1230sqm)","R                     12 659,78",12659.78,1,12659.78,Variation ( Expansion of scope),13/07/2020 (EC-013872),,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",166,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 66 Ring Road Fairview Park, 2nd Floor,
Greenacres Port Elizabeth, 1070sqm)","R                     11 012,98",11012.98,1,11012.98,Variation ( Expansion of scope),05/08/2020 ( EC013896),,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",167,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( Philip Frame Road, Waverly Office Park,
East London (1627, 28sqm)","R                     16 745,90",16745.90,1,16745.90,Variation ( Expansion of scope),17/06/2020 (EC-013871),,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",168,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 40 Blakeway Street Mthatha (456.07sqm)","R                       4 694,10",4694.10,1,4694.10,Variation ( Expansion of scope),Order not yet created,,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",169,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( Beacon Bay Crossing East London
(2494.17sqm)","R                     25 671,24",25671.24,1,25671.24,Variation ( Expansion of scope),30/07/2020   (EC-013877),,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",170,Eastern Cape,"Kaysers Office Equip &
Stationery","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES  FOR  THE
DEPARTMENT OF AGRICULTURE,LAND REFORM &
RURAL DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 42 Terminus Street, East London
(701.69sqm)","R                       7 222,15",7222.15,1,7222.15,Variation ( Expansion of scope),"no order issued yet
appointment made on the
10/07/2020",,2010/090931/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",171,Eastern Cape,"M-JNR AND OLWETHU
CONSULTING","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES& HIRE OF
WASTE BIN  FOR  THE DEPARTMENT OF
AGRICULTURE,LAND REFORM & RURAL
DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( BLOCK F BUILDING  1705,07sqm)","R                     20 460,80",20460.80,once off,20460.80,Emergency,,,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",172,Eastern Cape,"M-JNR AND OLWETHU
CONSULTING","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES& HIRE OF
WASTE BIN  FOR  THE DEPARTMENT OF
AGRICULTURE,LAND REFORM & RURAL
DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( BLOCK H BUILDING  1392sqm)","R                     16 860,00",16860.00,once off,16860.00,Emergency,"no order issued yet
appointment made on the
10/07/2020",,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",173,Eastern Cape,"M-JNR AND OLWETHU
CONSULTING","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES& HIRE OF
WASTE BIN  FOR  THE DEPARTMENT OF
AGRICULTURE,LAND REFORM & RURAL
DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 66 Prince Alfred Street, Queenstown","R                     14 761,20",14761.20,once off,14761.20,Emergency,"no order issued yet
appointment made on the
10/07/2020",,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",174,Eastern Cape,"M-JNR AND OLWETHU
CONSULTING","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES& HIRE OF
WASTE BIN  FOR  THE DEPARTMENT OF
AGRICULTURE,LAND REFORM & RURAL
DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( Beacon Bay Crossing East London","R                     29 929,20",29929.20,once off,29929.20,Emergency,"no order issued yet
appointment made on the
10/07/2020",,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",175,Eastern Cape,"M-JNR AND OLWETHU
CONSULTING","APPOINTMENT TO RENDER
FOGGING/DISINFECTION SERVICES & HIRE OF
WASTE BIN  FOR  THE DEPARTMENT OF
AGRICULTURE,LAND REFORM & RURAL
DEVELOPMENT IN ALL OFFICES THAT ARE
PRESENTLY PROVIDING CLEANING AND HYGEN
SERVICES ( 40 Blakeway Street Mthatha (456.07sqm)","R                       5 472,84",5472.84,once off,5472.84,Emergency,"no order issued yet
appointment made on the
10/07/2020",,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",176,Western Cape,"South End Environmental
Services",Disinfection Services,"R                     9 423,585",9423.59,09 Buildings,84812.27,Normal qoutation  Process,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",177,Western Cape,FutureFocus Consulting,Saniters,127.5,127.50,750,93656.26,Deviation,Sundry payment,,2012/197972/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",178,Western Cape,FutureFocus Consulting,Saniters,105.3,105.30,730,76869.00,Deviation,Sundry payment,,2012/197972/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",179,Western Cape,"South End Environmental
Services","ReDecontamination, Disinfecting and Deep Cleaning
Services - PSSC WC offices in Cape Town 09 June 2020","R                     26 587,08",26587.08,1,26587.08,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",180,Western Cape,"South End Environmental
Services","Re-Decontamination, Disinfecting and Deep Cleaning
Services - Cape Town Deeds Registry and SG on 28
June 2020","R                     53 930,17",53930.17,1,53930.17,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",181,Western Cape,"South End Environmental
Services","Re-Decontamination, Disinfecting and Deep Cleaning
Services - Stellenbosch district office on 23 June 2020","R                          839,04",839.04,1,839.04,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",182,Western Cape,"South End Environmental
Services","Re-Decontamination,  and Deep Cleaning Services -
PSSC office offices in Cape Town 01 July 2020","R                     26 587,08",26587.08,1,26587.08,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",183,Western Cape,"South End Environmental
Services","Re-Decontamination of Former Daff  stellenbosch offices
Western Cape 17 June 2020","R                     90 417,76",90417.76,1,90417.76,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",184,Western Cape,"South End Environmental
Services","Re-Decontamination of DEEDS and SGO offices
Western Cape 11 June 2020","R                     53 930,17",53930.17,1,53930.17,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",185,Western Cape,"South End Environmental
Services","Re-Decontamination of DEEDS and SGO offices
Western Cape 15 July 2020","R                     53 930,17",53930.17,1,53930.17,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",186,Western Cape,"South End Environmental
Services",Shamrock Place George 23 July,"R                       3 719,30",3719.30,1,3719.30,Normal qoutation  Process,21/07/2020,2020-07-21,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",187,Western Cape,"South End Environmental
Services",Re Decontamination 100 Meade Street,"R                       6 085,30",6085.30,1,6085.30,Normal qoutation  Process,28/07/2020,2020-07-28,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",188,Western Cape,"South End Environmental
Services","Re-Decontamination of DEEDS and SGO offices
Western Cape 25 July 2020","R                     30 817,24",30817.24,1,30817.24,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",189,Western Cape,"South End Environmental
Services","Re-Decontamination of DEEDS and SGO offices
Western Cape 30 July  2020","R                       7 429,00",7429.00,1,7429.00,Deviation,Sundry payment,,2012/131438/07
