Entities,Entities,Date of appointment,items_description,Goods/services,Procurement process,Company Appointed,Value,Company registration number
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),17-Jun-20,Cost of PPE's: Floor Stickers (social distance marker) ,Floor Stickers (social distance marker) ,,Box Shop ,"R1,380.00",1991/006805/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),23-Jun-20,Cost of PPE's: Masks ,Masks ,,Dischem ,"R1,493.20",2005/009766/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),23-Jun-20,Cost of PPE's: Foot stand Sanitiser dispenser including Sanitiser,Foot stand Sanitiser dispenser including Sanitiser,,Plastic shop ,R899.97,
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),31-Jul-20,Cost of PPE's: Hand sanitisers ,Hand sanitisers ,,Makro ,R728.90,1991/006805/07
SARS,South African Revenue Service (SARS),29-Apr-20,Costs on Covid-19 Activities: Shereno Printers,Shereno Printers ,RFQ ,Social distancing stickers ,"R55,344.00",
SARS,South African Revenue Service (SARS),25-Mar-20,Cost of PPE's: Gloves ,Gloves ,,SAWAB Freight forwarders and Consultant ,"R540,500.00",MAAA0899559
SARS,South African Revenue Service (SARS),26-Mar-20,Cost of PPE's: 3 Ply Mask,3 Ply Mask,,Mafunasi Holding (PTY) LTD ,"R766,500.00",MAAA0442953
SARS,South African Revenue Service (SARS),25-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Kuleti Suppliers PTY LTD,"R90,000.00",MAAA855028
SARS,South African Revenue Service (SARS),25-Mar-20,Cost of PPE's: 3 Ply Mask,3 Ply Mask,,Kuleti Suppliers PTY LTD,"R192,000.00",MAAA855028
SARS,South African Revenue Service (SARS),27-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Supra latex PTY LTD ,"R139,752.60",MAAA0015240
SARS,South African Revenue Service (SARS),27-Mar-20,Cost of PPE's: 5L Sanitary,5L Sanitary,,Tele Business Solutions ,1449000,MAAA0128321
SARS,South African Revenue Service (SARS),06-Apr-20,Cost of PPE's: Facial Tissues and Wet Wipes ,Facial Tissues and Wet Wipes ,,Cybermotives ,57582,MAAA0481732
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Gloves ,Gloves ,,Kuleti Suppliers PTY LTD ,205470,MAAA855028
SARS,South African Revenue Service (SARS),24-Apr-20,Cost of PPE's: Body suits ,Body suits ,,Lechoba Medical technologies ,"R15,324.00",MAAA0038766
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Body suits ,Body suits ,,Lechoba Medical technologies ,"R30,155.16",MAAA0038766
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Gloves and Masks ,Gloves and Masks ,,Tele Business Solutions ,"R80,610.00",MAAA0128321
SARS,South African Revenue Service (SARS),03-Apr-20,Cost of PPE's: Gloves and Masks ,Gloves and Masks ,,SAWAB Freight forwarders and Consultant ,"R6,142.50",MAAA0899559
SARS,South African Revenue Service (SARS),30-Mar-20,Cost of PPE's: Goggles ,Goggles ,,Drager South Africa PTY LTD ,"R15,324.00",MAAA0000557
SARS,South African Revenue Service (SARS),30-Mar-20,Cost of PPE's: Protective Body suits ,Protective Body suits ,,Drager South Africa PTY LTD ,"R1,125,701.08",MAAA0000557
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Disposable box ,Disposable box ,,Averda,"R30,721.00",MAAA0070719
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Plexi glass,Plexi glass,,Westrand Commodities Trading ,"R109,004.00",MAAA0720008
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Plexi glass,Plexi glass,,Westrand Commodities Trading ,"R109,004.00",MAAA0720008
SARS,South African Revenue Service (SARS),03-Apr-20,Cost of PPE's: Gloves and Masks,Gloves and Masks,,SAWAB Freight Forwarders and Consultant ,"R5,460.00",MAAA0899559
SARS,South African Revenue Service (SARS),23-Mar-20,Cost of PPE's:  Gloves , Gloves ,,SAWAB Freight Forwarders and Consultant ,"R345,000.00",MAAA0899559
SARS,South African Revenue Service (SARS),23-Mar-20,Cost of PPE's: 3 Ply Mask,3 Ply Mask,,SAWAB Freight Forwarders and Consultant ,"R124,631.25",MAAA0899559
SARS,South African Revenue Service (SARS),24-Mar-20,Cost of PPE's: Hand sanitizers Dust Masks and Gloves ,Hand sanitizers Dust Masks and Gloves ,,Mfumo Project Westrand ,"R24,100.00",MAAA0030805
SARS,South African Revenue Service (SARS),24-Mar-20,"Cost of PPE's: Sanitiser, Dust Masks and Gloves ","Sanitiser, Dust Masks and Gloves ",,Westrand Commodities Trading ,"R28,750.00",MAAA0720008
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Masks ,Masks ,,Tele Business Solutions ,"R23,287.50",MAAA0128321
SARS,South African Revenue Service (SARS),07-Apr-20,Cost of PPE's: Masks ,Masks ,,Mfumo Project Westrand ,"R269,100.00",MAAA0720008
SARS,South African Revenue Service (SARS),24-Mar-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,SAWAB Freight Forwarders and Consultant ,"R5,460.00",MAAA0899559
SARS,South African Revenue Service (SARS),24-Mar-20,Cost of PPE's: Gloves ,Gloves ,,SAWAB Freight Forwarders and Consultant ,"R300,000.00",MAAA0899559
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Masks,Masks,,RDL ,"R4,313,141.70",MAAA0180393
SARS,South African Revenue Service (SARS),29-Apr-20,Cost of PPE's: 500ml empty bottles,500ml empty bottles,,Westrand Commodities ,"R20,400.00",MAAA0128321
SARS,South African Revenue Service (SARS),24-Apr-20,Cost of PPE's: Plexi glass ,Plexi glass ,,Westrand Commodities ,"R147,281.20",MAAA0128321
SARS,South African Revenue Service (SARS),29-Apr-20,Cost of PPE's: Red packaging tape ,Red packaging tape ,,Westrand Commodities ,"R19,080.00",MAAA0128321
SARS,South African Revenue Service (SARS),28-Apr-20,Cost of PPE's: Face shields,Face shields,,Menags Trading ,"R495,000.00",MAAA0173191
SARS,South African Revenue Service (SARS),29-Apr-20,Cost of PPE's: Masks and gloves ,Masks and gloves ,,Multisurge ,"R118,059.00",MAAA0004727
SARS,South African Revenue Service (SARS),24-Apr-20,Cost of PPE's: Masks and gloves ,Masks and gloves ,,Tripple -N ,"R104,673.00",MAAA0001283
SARS,South African Revenue Service (SARS),30-Apr-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,Tripple -N ,"R276,750.00",MAAA0001283
SARS,South African Revenue Service (SARS),23-Mar-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,SAWAB Freight Forwarders and Consultant ,"R679,477.50",MAAA0899559
SARS,South African Revenue Service (SARS),01-Mar-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,SAWAB Freight Forwarders and Consultant ,"R7,840.13",MAAA0899559
SARS,South African Revenue Service (SARS),20-Mar-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,SAWAB Freight Forwarders and Consultant ,"R15,099.50",MAAA0899559
SARS,South African Revenue Service (SARS),27-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Supra latex PTY LTD ,"R139,752.60",MAAA0015240
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Gloves ,Gloves ,,Westrand Commodities ,"R376,695.00",MAAA0720008
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Gloves ,Gloves ,,Tele Business Solutions,"R7,650.00",MAAA0128321
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Masks,Masks,,Tele Business Solutions,"R67,500.00",MAAA0128321
SARS,South African Revenue Service (SARS),20-Apr-20,Cost of PPE's: 2ply Facial Tissue and Larger wet wipes,2ply Facial Tissue and Larger wet wipes,,Cyber Motive ,"R339,746.20",MAAA0481732
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Gloves and Mask ,Gloves and Mask ,,Tele Business Solutions,"R75,150.00",MAAA0128321
SARS,South African Revenue Service (SARS),14-Apr-20,Cost of PPE's: Masks,Masks,,Tele Business Solutions,"R11,316.00",MAAA0128321
SARS,South African Revenue Service (SARS),24-Mar-20,Cost of PPE's: Masks ,Masks ,,SAWAB Freight Forwarders and Consultants ,"R124,631.25",MAAA0899559
SARS,South African Revenue Service (SARS),30-Apr-20,Cost of PPE's: Rollsoff red tape ,Rollsoff red tape ,,Westrand Commodities ,"R19,080.00",MAAA0128321
SARS,South African Revenue Service (SARS),30-Apr-20,Cost of PPE's: Reusable face shields ,Reusable face shields ,,Menag's Trading and Projects ,"R495,000.00",MAAA0180393
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Gloves ,Gloves ,,SAWAB Freight Forwarders and Consultants ,"R128,700.00",MAAA0899559
SARS,South African Revenue Service (SARS),02-Apr-20,Cost of PPE's: Masks,Masks,,SAWAB Freight Forwarders and Consultants ,"R216,450.00",MAAA0899559
SARS,South African Revenue Service (SARS),01-Apr-20,Cost of PPE's: Masks and Sanitize ,Masks and Sanitize ,,Tele Business Solutions ,"R86,437.50",MAAA0128321
SARS,South African Revenue Service (SARS),23-Mar-20,Cost of PPE's: Masks and Gloves ,Masks and Gloves ,,SAWAB Freight Forwarders and Consultants ,"R43,700.00",MAAA0899559
SARS,South African Revenue Service (SARS),26-Mar-20,Cost of PPE's: Body suits ,Body suits ,,Drager SA ,"R1,299,500.00",MAAA0000557
SARS,South African Revenue Service (SARS),23-Mar-20,Cost of PPE's: Masks & gloves ,Masks & gloves ,,Dladlama Trading ,"R28,549.80",MAAA0055164
SARS,South African Revenue Service (SARS),05-May-20,Cost of PPE's: Masks ; gloves; Wet wipes ; Sanitizers ; Hand Free Sanitiser Stand Foot Dispenser ; PVC Face Shield (Branded) ; High Quality Squeeze Bottle 500ml ; Alcohol wipes Pkt 10 each & Surface Disinfectant750ml spray bottle,Masks ; gloves; Wet wipes ; Sanitizers ; Hand Free Sanitiser Stand Foot Dispenser ; PVC Face Shield (Branded) ; High Quality Squeeze Bottle 500ml ; Alcohol wipes Pkt 10 each & Surface Disinfectant750ml spray bottle,,JD Strategic Investment ,"R16,261,145.85",MAAA0850880
SARS,South African Revenue Service (SARS),04-May-20,Cost of PPE's: Infrared Non-Contact Thermometer Digital Electronic Forehead Scanners,Infrared Non-Contact Thermometer Digital Electronic Forehead Scanners,,Motlaloko General (Pty) Ltd ,"R900,000.00",MAAA0896173
SARS,South African Revenue Service (SARS),26-May-20,Cost of PPE's: Branded Cloth Masks,Branded Cloth Masks,,Tammy Tailor Nails ,"R2,194,200.00",MAAA0901377
PIC,Public Investment Corporation (PIC),27-Mar-20,Costs on Covid-19 Activities: Microbial fogging the building (3rd floor),Microbial fogging the building (3rd floor),Deviation ,Specialist Pets control ,"R4,800.00",
PIC,Public Investment Corporation (PIC),31-May-20,Costs on Covid-19 Activities: Microbial fogging the building (2nd and 4th floor),Microbial fogging the building (2nd and 4th floor),Deviation ,Specialist Pets control ,"R4,800.00",
PIC,Public Investment Corporation (PIC),11-May-20,Costs on Covid-19 Activities: Deep cleaning,Deep cleaning ,RFQ ,Quatro cleaning ,"R2,080.00",
PIC,Public Investment Corporation (PIC),01-Jun-20,Costs on Covid-19 Activities: Microbial fogging the building,Microbial fogging the building ,Deviation ,Specialist Pets control ,"R19,575.00",
PIC,Public Investment Corporation (PIC),09-Jun-20,Costs on Covid-19 Activities: Microbial fogging the building,Microbial fogging the building ,Deviation ,Specialist Pets control ,"R19,575.00",
PIC,Public Investment Corporation (PIC),06-Jul-20,Costs on Covid-19 Activities: Microbial fogging the building,Microbial fogging the building ,RFQ ,Specialist Pets control ,"R19,575.00",
PIC,Public Investment Corporation (PIC),25-Jun-20,Costs on Covid-19 Activities: Deep cleaning,Deep cleaning ,RFQ ,Belivit ,"R7,171.00",
PIC,Public Investment Corporation (PIC),07-Jul-20,Costs on Covid-19 Activities: Emergency Microbial foggings,Emergency Microbial foggings ,RFQ ,Specialist Pets control ,"R19,575.00",
PIC,Public Investment Corporation (PIC),22-Jul-20,Costs on Covid-19 Activities: Microbial foggings,Microbial foggings ,RFQ ,Specialist Pets control ,"R93,841.00",
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: FFP1 Masks,FFP1 Masks,,Axxiom (PTY) Ltd ,"R52,000.00",MAAA0116779
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: N95 Masks,N95 Masks,,Axxiom (PTY) Ltd ,"R12,400.00",MAAA0116779
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: Small Laxet free gloves-powder free ,Small Laxet free gloves-powder free ,,Axxiom (PTY) Ltd ,"R1,128.00",MAAA0116779
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: Medium Laxet free gloves-powder free ,Medium Laxet free gloves-powder free ,,Axxiom (PTY) Ltd ,"R1,128.00",MAAA0116779
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: Large Laxet free gloves-powder free ,Large Laxet free gloves-powder free ,,Axxiom (PTY) Ltd ,"R1,128.00",MAAA0116779
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: Hand sanitiser 50 ml,Hand sanitiser 50 ml,,Axxiom (PTY) Ltd ,"R40,000.00",MAAA0116779
PIC,Public Investment Corporation (PIC),25-Mar-20,Cost of PPE's: Hand sanitiser 500 ml,Hand sanitiser 500 ml,,Logan Medical ,"R9,200.00",MAAA0367330
PIC,Public Investment Corporation (PIC),26-Mar-20,Cost of PPE's: Hand sanitiser 100 ml,Hand sanitiser 100 ml,,Quatro Cleaning ,"R2,975.00",MAAA0367330
PIC,Public Investment Corporation (PIC),14-Apr-20,Cost of PPE's: Temperature scanning equipment ,Temperature scanning equipment ,,Axxiom (PTY) Ltd ,"R14,000.00",MAAA0116779
PIC,Public Investment Corporation (PIC),04-Jun-20,Cost of PPE's: Foot pedal dispenser sanitiser ,Foot pedal dispenser sanitiser ,,Axxiom (PTY) Ltd ,"R11,270.00",MAAA0116779
Land Bank,,17-Apr-20,"Costs on Covid-19 Activities: Deep cleaning and
fogging all Land Bank
offices","Deep cleaning and
fogging all Land Bank
offices",RFQ ,Monabo Hygiene Services ,"R200,636.00",
Land Bank,,04-May-20,Costs on Covid-19 Activities: 560 Social distancing stickers,560 Social distancing stickers,RFQ ,Blackmoon Services ,"R5,600.00",
Land Bank,,17-Jun-20,Costs on Covid-19 Activities: Deep cleaning of East London Office,Deep cleaning of East London Office ,RFQ ,Monabo Hygiene Services ,"R4,209.00",
Land Bank,,29-Jul-20,Costs on Covid-19 Activities: Deep cleaning of Pietermaritzburg office,Deep cleaning of Pietermaritzburg office ,RFQ ,Monabo Hygiene Services ,"R5,700.00",
Land Bank,,13-Mar-20,Cost of PPE's: 20 Sanitizer Dispensers and 20 Sanitizer Refills,20 Sanitizer Dispensers and 20 Sanitizer Refills,,Total Healthcare Services ,"R33,465.00",2013/035528/07
Land Bank,,27-Mar-20,Cost of PPE's: 10 Sanitizers and 12 Boxes of gloves,10 Sanitizers and 12 Boxes of gloves,,Monabo Hygiene Services ,"R8,009.00",2018/199762/07
Land Bank,,08-Apr-20,Cost of PPE's: 600 Disposable Masks,600 Disposable Masks,,Botsengkwala Hygiene services ,"R17,250.00",2009/165043/23
Land Bank,,24-Apr-20,Cost of PPE's: 25 Digital Thermometers,25 Digital Thermometers,,Total Healthcare Services,"R45,937.00",2013/035528/07
Land Bank,,29-Apr-20,Cost of PPE's: 2 Boxes of gloves and 2 boxes of mask,2 Boxes of gloves and 2 boxes of mask,,Ukusa Office Solutions ,"R2,158.00",2005/044766/23
Land Bank,,15-May-20,Cost of PPE's: 500 Face Shields,500 Face Shields,,RouterTech ,"R32,608.00",1989/031759/23
Land Bank,,20-May-20,Cost of PPE's: 1000 Reuseable Cloth masks,1000 Reuseable Cloth masks,,Masana Hygiene Services ,"R27,500.00",2014/110265/07
Land Bank,,22-Jun-20,"Cost of PPE's: 50 Travel Packs (Mask,gloves,sanitizer,disinfectant wipes)","50 Travel Packs (Mask,gloves,sanitizer,disinfectant wipes)",,Botsengkwala Hygiene ,"R10,100.00",2009/165043/23
Land Bank,,03-Jul-20,Cost of PPE's: 5 Sanitizers,5 Sanitizers,,Black Excellence ,"R2,100.00",2017/489865/07
Land Bank,,16-Jul-20,Cost of PPE's: 22 Empty Spray Bottles for Sanitizer refills,22 Empty Spray Bottles for Sanitizer refills,,Black Excellence ,R550.00,2017/489865/07
DBSA ,Development Banks of Sourthern Africa (DBSA ),26-Mar-20,Costs on Covid-19 Activities: Microbial Fogging,Microbial Fogging ,RFQ,Kagollo ,"R960,000.00",
DBSA ,Development Banks of Sourthern Africa (DBSA ),18-Mar-20,Costs on Covid-19 Activities: Deep Cleaning Disinfectants Microbial,Deep Cleaning Disinfectants Microbial,RFQ,Lapeng la gae ,"R511,750.00",
DBSA ,Development Banks of Sourthern Africa (DBSA ),29-Jul-20,Costs on Covid-19 Activities: Fogging Machines,Fogging Machines ,RFQ,Tumis Projects,"R85,750.00",
DBSA ,Development Banks of Sourthern Africa (DBSA ),21-May-20,Costs on Covid-19 Activities: Sanitiser Stands,Sanitiser Stands ,RFQ,Melokuhle ,"R75,637.00",
DBSA ,Development Banks of Sourthern Africa (DBSA ),15-Jun-20,Costs on Covid-19 Activities: Infrared Thermometers,Infrared Thermometers ,RFQ,Mmusi,"R14,100.00",
DBSA ,Development Banks of Sourthern Africa (DBSA ),29-Jul-20,Cost of PPE's: Sanitizers ,Sanitizers ,,Steiner ,"R37,557.00",1969/005893/07
DBSA ,Development Banks of Sourthern Africa (DBSA ),18 & 24 Mar-20,Cost of PPE's: Sanitizers ,Sanitizers ,,KPRG ,"R32,056.00",1996/051772/23
DBSA ,Development Banks of Sourthern Africa (DBSA ),18-May-20,Cost of PPE's: Sanitizers ,Sanitizers ,,,"R9,394.00",1968/008611/30
DBSA ,Development Banks of Sourthern Africa (DBSA ),30-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Life Occupation ,"R1,185.00",2012/07783/07
DBSA ,Development Banks of Sourthern Africa (DBSA ),04-Jun-20,Cost of PPE's: Masks & gloves ,Masks & gloves ,,Servest ,"R4,844.00",1997/006391/07
DBSA ,Development Banks of Sourthern Africa (DBSA ),30-Apr-20,Cost of PPE's: Masks,Masks,,Hamisi ,"R93,656.00",2015/077626/07
