buyer_name,implementation_location_province,implementation_locatin_other,items_description,supplier_name,company_registration_number,procurement_method,order_number,ORDER DATE,invoice_date,UNIT OF MEASURE,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Free State,GROOTVLEI,DIGITAL THERMOMETER (INFRARED),Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,EACH,20,1888.50,37770.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,Biological Pharma,2013/067392/07,RT 296-2020 item 08-271,GV-004001,04/08/2020,2020-08-04,Pack,1000,26.65,26650.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Mask Surgical,Allenco medical,2001/068091/23,covid19 - 004,GV-004021,04/09/2020,2020-09-04,Each,3000,9.00,27000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Masks N95,Liora Medical,2011/013434/23,RT 32 item 42295407-0003,GV-020125,3/20/2020,2020-03-20,Box of 30,197,5.35,1053.95
Department of Correctional Services (DCS),Free State,GROOTVLEI,Goggles,Lechoba Medical Technologies,2005/044442/07,Covid19-016,GV-020098,04/09/2020,2020-09-04,Each,80,65.90,5272.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"ISOLLATION, GOWNS",workhorse Workwear,2015/295425/07,price quotation,GV-020285,05/05/2020,2020-05-05,EACH,60,100.03,6003.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Gloves examination sterile,Evergreen latex,2002/057771/23,RT76 item 42132203-000039,GV-020128,3/20/2020,2020-03-20,Boxes of 100,99,92.00,9108.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Gloves Surgical Sterile Type 2,Medtex (Pty) Ltd,1992/003572/07,"RT76 item 42132205-00021,22,23,24,25",GV-004032,4/15/2020,2020-04-15,Box of 100,80,495.08,39606.40
Department of Correctional Services (DCS),Free State,GROOTVLEI,Gloves Surgical Sterile Type 1,Supra Healthcare Jhb,2007/027848/07,"RT76 item 42132205-0029,30,31,32,33,34,35",GV-004033,4/15/2020,2020-04-15,Box of 100,100,245.38,24538.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Gloves clear plastic surgical, Type 1",Supra Healthcare Jhb,2007/027848/07,Covid19 - 001,GV-020217,4/15/2020,2020-04-15,Box of 100,600,99.88,59928.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Overalls,Tumey Consulting,2008/222244/23,price quotation,GV-020298,05/04/2020,2020-04-05,each,45,247.83,11152.35
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,Barrs Pharmaceuticals,2012/056577/07,RT300  item 51284804-00002,GV-020126,3/20/2020,2020-03-20,500ml,3100,16.41,50871.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Surgical Scrubs,Barrs Pharmaceuticals,2012/056577/07,RT 300 item 51472802-0000,GV-004026,4/14/2020,2020-04-14,500ml,300,21.15,6345.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Towel paper,Promed Technologies,2014/162486/07,RT14 item 14111703-000003,GV-020144,05/05/2020,2020-05-05,,500,31.75,15875.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Towel paper,Promed Technologies,2014/162486/07,RT14 item 14111703-000003,GV-020144,3/25/2020,2020-03-25,Each,500,38.00,18550.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Gowns Hospital, short sleeve",Logan medical and Surgical,2012/056508/07,RT 32item 42131504-0011,GV-020297,04/09/2020,2020-09-04,medium,1000,5.98,5980.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Gowns Hospital, short sleeve",Logan medical and Surgical,2012/056508/07,RT 32 item 42131504-0012,GV-020297,04/09/2020,2020-09-04,large,1000,6.90,6900.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Gowns Hospital, short sleeve",Logan medical and Surgical,2012/056508/07,RT 32 item 42131504-0013,GV-020297,04/09/2020,2020-09-04,X-Large,1000,8.05,8050.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Isollation gowns Large (long sleeves),Logan medical and Surgical,2012/056508/07,Covid19-005,GV-020333,04/09/2020,2020-09-04,Each,600,40.25,24150.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Apron straight (single use),Domoney Bros,2018/093083/07,price quotation,GV-020289,05/06/2020,2020-06-05,box of 10,30,264.50,7935.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Apron Plastic (light green),Central medical,1995/003785/07,RT 32 item 42131601-00006,GV-020016,2/26/2020,2020-02-26,Each,3000,0.32,960.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Disposable scrub suits - Medium,Logan medical and Surgical,2012/056508/07,RT 32 item 42131608-00002,GV-004006,04/09/2020,2020-09-04,Set,500,17.33,8665.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Sleeve protector (single use),Medi-Core Technologies,2013/198711/07,RT 32 item 42131610-00000,GV-020329,04/09/2020,2020-09-04,Each,5000,0.22,1100.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Disposable caps white,workhorse Workwear,2015/295425/07,price quotation,GV-020256,4/28/2020,2020-04-28,PACK OF 100,30,30.00,900.10
Department of Correctional Services (DCS),Free State,GROOTVLEI,Gumboots white,Tswellang Trading,2002/020849/07,price quotation,GV-020188,28/04/2020,2020-04-28,pair,40,156.00,6210.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Gumboots white,BBF Safety Group,2014/095914/07,RT 59 item 53111501-00023,GV-020255,04/09/2020,2020-09-04,Pair,40,164.35,6574.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Over shoe non-waven (single use),Domoney Bros,2018/093083/07,price quotation,GV-004055,05/06/2020,2020-06-05,box,5,65.00,325.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Disposable Linen -Disposable draw sheets,Promed Technologies,2014/162486/07,RT 32 item 42132105-00000,GV-020332,05/05/2020,2020-05-05,EACH,6000,2.18,13080.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Disposable Linen -Disposable draw sheets,Promed Technologies,2014/162486/07,RT 32 item 42132105-00000,GV-004003,04/08/2020,2020-08-04,each,6000,2.18,13080.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Linen savers,Meddreg Technology,2003/014869/23,RT 32 item 42132101-00000,GV-020088,,,Each,5000,1.04,5200.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Plastic mattress covers - Must be disinfectant,Eddas Trading,2015/204423/07,price quotation,GV-020283,28/04/2020,2020-04-28,Each,2000,25.00,5000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Spatula, tongue, single use",Evergreen Latex,2002/057771/23,RT 32 item 42181501-00000,GV-004005,04/09/2020,2020-09-04,boxes,100,8.68,868.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Brush surgical sterile (single use),Logan medical and Surgical,2012/056508/07,RT 32 item 42295408-000001,GV-004004,04/08/2020,2020-08-04,Each,1000,3.01,3010.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Spill Kits Biological,Transpharm Pretoria,1994/006582/07,price quotation,GV-020270,05/04/2020,2020-04-05,each,122,39.49,5540.45
Department of Correctional Services (DCS),Free State,GROOTVLEI,Thermometer,DR Temp,2013/120599/07,RT 32 item 42182210-00000,GV-020153,3/31/2020,2020-03-31,Each,5000,3.22,16100.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Digital Body Thermometer (infrared),Multisurge (Pty) Ltd,2014/170364/07,Covid 19 - 018,GV-020213,04/09/2020,2020-09-04,Each,50,2300.00,115000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Digital Body Thermometer,Tara-Healthcare (Pty) Ltd,2019/237077/07,Covid19 - 018,GV-004017,04/09/2020,2020-09-04,Each,200,125.00,12500.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,ENT Set,Supra Latex,2007/027848/07,RT 252 page 30,GV-020250,4/14/2020,2020-04-14,Each,3,5043.86,14132.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Pulse Oximeter on desktop,Class Tree Medical,2017/535986/07,RT 2 item 42181801-000001,GV-020277,4/14/2020,2020-04-14,Each,2,5561.40,11123.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Pulse Oximeter,Class Tree Medical,2017/535986/07,price quotation,GV-020276,4/21/2020,2020-04-21,Each,3,687.24,2061.72
Department of Correctional Services (DCS),Free State,GROOTVLEI,Nebulizer,Class Tree Medical,2017/535986/07,RT2-1 item 42281508-00002,GV-020275,4/14/2020,2020-04-14,Each,3,517.53,1552.60
Department of Correctional Services (DCS),Free State,GROOTVLEI,Nebulizer,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,2020-04-21,EACH,3,722.00,2166.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,HB Meter,Novagen Marketing,1996/052888/23,price quotation,GV-020247,4/21/2020,2020-04-21,EACH,3,1350.00,12854.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,HB Meter,Class Tree Medical,2017/535986/07,RT2 item 42181701-00004,GV-020277,4/14/2020,2020-04-14,Each,2,6291.83,12584.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Laryngoscope,Ecomed Medical,2016/084766/07,price quotation,GV-020249,05/05/2020,2020-05-05,each,3,1361.00,4083.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Stetoscope,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,2020-04-21,Each,3,263.00,789.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,BP Monitoring Machine,Class Tree Medical,2017/535986/07,RT 2 item 42181701-00004,GV-020278,14/04/2020,2020-04-14,Each,1,12776.95,12776.95
Department of Correctional Services (DCS),Free State,GROOTVLEI,Heavy Duty Rubber Cleaning Gloves,Tswellang Trading,2002/020849/07,price quotation,GV-004048,4/28/2020,2020-04-28,Pair,600,8.35,5761.50
Department of Correctional Services (DCS),Free State,GROOTVLEI,Glucometer,Ecomed Medical,2016/084766/07,price quotation,GV-020290,05/05/2020,2020-05-05,each,4,107.00,428.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Glucometer test strips,Ecomed Medical,2016/084766/07,price quotation,GV-020291,05/05/2020,2020-05-05,box of 100,4,193.00,772.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Ambubag for adults,Endomed Medical & Surgical,2016/084766/07,price quotation,GV-020274,05/05/2020,2020-05-05,each,4,540.00,2160.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Visor/Faceshield,Stix Transport,2014/213000/07,price quotation,GV-020254,05/05/20220,2020-05-05,each,80,74.70,5976.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,BP Monitoring Machine,Ecomed Medical,2016/084766/07,price quotation,GV-020288,4/21/2020,2020-04-21,each,3,397.00,1191.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020202,5/20/2020,2020-05-20,each,600,5.00,30000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020202,202-05-20,2020-05-20,each,12200,18.00,219600.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020201,5/20/2020,2020-05-20,each,600,5.00,30000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020201,202-05-20,2020-05-20,each,12200,18.00,219600.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020200,5/20/2020,2020-05-20,each,600,5.00,30000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020200,202-05-20,2020-05-20,each,12200,18.00,219600.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020199,5/20/2020,2020-05-20,each,600,5.00,30000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-0200199,202-05-20,2020-05-20,each,12200,18.00,219600.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,surgical gloves,Flexi cab,2019/319743/07,urgent case,GV-020198,5/20/2020,2020-05-20,each,600,5.00,30000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH
ELASTIC EAR",Flexi cab,2019/319743/07,urgent case,GV-020198,202-05-20,2020-05-20,each,12200,18.00,219600.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,mageza Trading,2012/190294/07,price quotation,GV-020160,2020-04-002,2020-04-02,500 ml,300,95.00,28500.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,Lynx Chemicals,1988/018201/23,price quotation,GV-020163,3/17/2020,2020-03-17,500 ml,100,99.00,9900.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,Quick Splash,2019/089358/07,price quotation,GV-020162,3/28/2020,2020-03-28,500 ml,290,100.00,29000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,Hand sanitizer,Stix Transport,2014/213000/07,price quotation,GV-020161,4/20/2020,2020-04-20,1 litre,230,130.00,29900.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004074,03/07/2020,2020-07-03,Square Meter,687,3.93,2702.50
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",Pestdem,2009/126452/23,price quotation,GV-004075,05/07/2020,2020-07-05,Square Meter,2915,3.40,9911.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004081,17/07/2020,2020-07-17,Square Meter,2915,2.70,7877.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004082,18/07/2020,2020-07-18,Square Meter,1500,5.81,8717.12
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",A'Africa Pest Prevention,2004/090874/23,price quotation,GV-004096,29/07/2020,2020-07-29,Square Meter,3302,2.76,9129.34
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area",Southern Cross Industries,2016/187483/07,price quotation,GV-004098,30/07/2020,2020-07-30,Square Meter,1125,3.45,3881.25
Department of Correctional Services (DCS),Free State,GROOTVLEI,"Decontamination at Grootvlei
Management Area","Exclkusive Events and Services cc t/a
Pest Corp Solutions",2002/026947/23,formal price quotation,GV-004101,01/08/2020,2020-08-01,Cubic Metre,2500,1.45,3625.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Gloves surgical  (each),Evergreen Latex,2002/057771/23,RT76-2020,DG-3635,3/20/2020,2020-03-20,Box of100,1000,5.60,5600.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Spatula Tongue Harwood(single use,Evergreen Latex,2002/057771/24,,AH-615 525,3/23/2020,2020-03-23,Each,2200,8.68,19096.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical Gown Non-woven,Promed Technologies,2014/162486/07,RT32-2019,AH-615526,3/24/2020,2020-03-24,Each,1000,23.83,23830.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Thermometer  Infra-Red Digital Body
Thermometers(each)",Multisurge,2014/170364/07,Quotation,AH-615529,3/25/2020,2020-03-25,Each,1,2300.00,2300.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Bleach for cleaning surfaces,Engymak Distributors,2011/009359/23,Quotation,AH-615 531,3/27/2020,2020-03-27,Liter,5000,5.50,27500.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,FumigationServices:Supply Chain,Mats Brother Transport and Bulk Carri,2rs018/284631/07,Quotation,AH--615532,3/30/2020,2020-03-30,Each,1,18354.00,18354.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical Gloves,Evergreen Latex,2002/057771/23,RT76-2020,AH-615535,3/31/2020,2020-03-31,Box of 50,151,49.86,7528.86
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical face Mask,Multisurge,2014/170364/07,Rt coVID19-004,AH-615533,3/30/2020,2020-03-30,Box of 50,344,460.00,158240.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,SH-T200 infrared Thermometer,Sanbonani,2004/000822/07,Quotation,AH-615564,04/01/2020,2020-01-04,Each,14,1610.00,22540.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Mask N95 (each),LIORA MEDICAL SUPPLIES,2011/013434/23,RT32-2019,'KM-011859,3/20/2020,2020-03-20,Box,138,187.25,25840.56
Department of Correctional Services (DCS),Free State,KIMBERLEY,Mask-N95 each,LIORA MEDICAL SUPPLIES,2011/013434/24,RT300-2019,DG-003636,3/20/2020,2020-03-20,Box,60,160.56,9636.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Surgical Masks ORDER
CANCELLED","Biological
pharmacetical",2013/067392/07,RT-COVID-19-002,AH-615530,3/20/2020,2020-03-20,Box,242,26.65,6449.30
Department of Correctional Services (DCS),Free State,KIMBERLEY,Masks -Surgical,Quality supplies,2015/019742/07,RC-COVID-19,AH-615567,04/03/2020,2020-03-04,Box of 50,17200,10.35,178020.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Masks -Surgical 20box50,"Biological
pharmacetical",2013/067392/07,RC-COVID-19,DG-003637,3/20/2020,2020-03-20,Pack,1000,26.65,26650.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Sanitizer  Hand (Per litre),Baars,2012/056577/07,RT300-2019,"km-011826
833,845,849,857
,DG-003636",3/20/2020,2020-03-20,500ML,2993,14.95,44835.05
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable thermometers,Dr Temp,2013/120599/07,RT300-2019,AH-615524,3/23/2020,2020-03-23,Each,4500,3.22,14490.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Scrubs(per 500ml),Baars,2012/056577/07,RT300-2019,"km-011826
833,845,849,857
,DG-003636",3/20/2020,2020-03-20,500ML,323,21.15,6831.45
Department of Correctional Services (DCS),Free State,KIMBERLEY,Overshoe plastic single use,Medical International Orthopeadic,2007/023366/23,RT32-2019,AH-615555,04/08/2020,2020-08-04,Each,2000,0.19,384.60
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Visors Disposable, Antifrog",Unitrade,1998/002665/23,RTCOVID-19-002,AH-615554,04/08/2020,2020-08-04,each,1000,18.00,18000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Goggles, Good seal",Unitrade,1998/002665/24,RTCOVID-19-002,AH-615554,04/08/2020,2020-08-04,Each,1000,25.00,25000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Sleeve Protectors,Medi-Core International,2013/198711/07,RT32-2019,AH-615552,04/08/2020,2020-08-04,Each,1500,22.00,330.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Suite Scrub,Promed Technologies,2014/162486/08,RT32-2019,AH-615553,04/08/2020,2020-08-04,each,500,13.57,6787.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable Draw sheets,Promed Technologies,2014/162486/09,RT32-2019,AH-615553,04/08/2020,2020-08-04,Each,500,2.18,1090.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Linnen Saver Medical
Underpad",MEDDREG TECHNOLOGY,2003/014869/24,RT32-2019,AH-615551,04/08/2020,2020-08-04,Each,2000,1.04,2080.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Flu Vaccine,Kahma Biotech,1997/014365/07,RT285,AH-615522,3/20/2020,2020-03-20,Each,1088,39.64,43124.36
Department of Correctional Services (DCS),Free State,KIMBERLEY,Nebulizer,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,2020-04-14,Each,9,5184.20,46657.80
Department of Correctional Services (DCS),Free State,KIMBERLEY,Paper towel,Promed Technologies,2014/162486/08,RT14-2019,AH-615541,04/01/2020,2020-01-04,Each,2000,10.50,21000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Pulse Oximeter,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,2020-04-14,Each,4,5516.40,22065.60
Department of Correctional Services (DCS),Free State,KIMBERLEY,Sleeve Protectors(single use),Medi-Core International,2013/198711/07,RT32-2019,AH-615552,04/07/2020,2020-07-04,Each,1500,0.22,330.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Stethoscope,Ukuchuma Trading,2014/013188/07,RT252-2015,AH-615563,4/14/2020,2020-04-14,Each,17,26.13,444.21
Department of Correctional Services (DCS),Free State,KIMBERLEY,Scrubs(per 500ml),Baars Pharmaceuticals,2012/056577/07,RT300-2019,AH-615556,04/08/2020,2020-08-04,Each,20000,21.15,846.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,BP  Cuffs -Small,"Class three
medical solution",2017/535986/07,RT2-2016,AH-6155561,4/14/2020,2020-04-14,Each,4,99.11,396.44
Department of Correctional Services (DCS),Free State,KIMBERLEY,BP  Cuffs - Medium,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,2020-04-14,Each,6,120.75,724.50
Department of Correctional Services (DCS),Free State,KIMBERLEY,BP Cuffs-Large,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,2020-04-14,Each,4,161.00,644.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,BP Monitoring Machine,"Class three
medical solution",2017/535986/07,RT2-2016,AH-615561,4/14/2020,2020-04-14,Each,8,12776.95,102215.60
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable aprons,CentraL MedicaL,1995/003785/07,RT32-2019,AH-6155523,2020/14/23,,Each,3000,0.32,960.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable  Linen,Promed Technologies,2014/162486/08,RT32-2019,AH-615553,04/08/2020,2020-08-04,Each,500,2.18,1090.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,ENT set,Supra Latex,2006/020950/07,RT252-2015,AH-615562,4/15/2020,2020-04-15,Each,8,5043.86,40350.88
Department of Correctional Services (DCS),Free State,KIMBERLEY,Aprons,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,2020-04-20,Box,33,1.70,5610.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Temperature thermometers,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,2020-04-20,Each,26,1888.50,49101.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical Masks,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,"AH-615569,AC-
000577",4/20/2020,2020-04-20,Box,220,10.22,112420.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical  Gloves,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,2020-04-20,Box,20,2.76,2760.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Googles,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,2020-04-20,Each,20,149.00,2980.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Visors,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,2020-04-20,Each,20,75.00,1500.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Coverall,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,2020-04-20,Each,10,300.11,3001.10
Department of Correctional Services (DCS),Free State,KIMBERLEY,Boat cover,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AC-000577,4/20/2020,2020-04-20,Box,1,1.30,130.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical N95 -Masks,National Treasury Instruction 3,RTCOVID-19,RTCOVID-19,AH-615570,4/21/2020,2020-04-21,Box,20,59.73,59730.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Fumigation TCC,EML TRADING AND PROJECTS,2018/507118/07,Quotation,KM-011892,4/22/2020,2020-04-22,Squares,1,29750.00,29750.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Fumigation KCC,Thusha Karabo Supplies&Projects,2016/274136/07,Quotation,AH-615558,,,Square,1200,,27000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable coveralls,Isibane trading,2016/481835/07,Quotation,AH-615573,5/15/2020,2020-05-15,Each,150,175.83,26375.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Surgical Gloves,Evergreen Latex,2002/057771/24,RT76-2020,AH-615574,5/22/2020,2020-05-22,Box,30000,49.86,149580.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Fumigation Sprayer with 16 Liter Bottle(Kn,pTshaakp Ceolom Gpzlke tTer)ading,2018/411571/07,Quotation,AH-615584,06/04/2020,2020-04-06,Each,10,1035.00,10350.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable Aprons,Isibane trading,2016/481835/07,Quotation,AH-615588,06/08/2020,2020-08-06,Each,3000,0.79,2370.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Boot covers,"Class three
medical solution",2017/535986/07,Quotation,AH-615589,06/08/2020,2020-08-06,Each,3000,1.30,3900.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Disposable Mop caps,Sanbonani Holdings,2004/000822/07,Quotation,AH-615593,6/24/2020,2020-06-24,Each,2000,0.50,1000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Body Bags,"Class three
medical solution",2017/535986/07,Quotation,AH-615594,6/24/2020,2020-06-24,Each,10,145.50,1455.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Decontimination for TCC &KCC,Pest and Weed Away,2005/096198/23,Quotation,AH-615601,7/14/2020,2020-07-14,Squares,1,11428.84,11428.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Decontimination for Barkly,Sanitize Solutions,2020/224659/07,Quotation,AH-615602,7/20/2020,2020-07-20,Squares,1,1670.00,1670.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Heavy duty gloves(Black),Printzz,2016/263852/07,Quotation,AH-615603,7/20/2020,2020-07-20,PR,300,24.50,7350.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Heavy duty gloves(yellow),Giattree Distributors,2013/224767/07,Quotation,AH-615604,7/20/2020,2020-07-20,PR,500,14.00,7000.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,Decontimination for Area Office,Pest and Weed Away,2005/096198/23,Quotation,AH-615605,7/20/2020,2020-07-20,Squares,1,3163.58,3163.58
Department of Correctional Services (DCS),Free State,KIMBERLEY,Decontimination for KCC reception,Pest and Weed Away,2005/096198/23,Quotation,AH-615608,7/24/2020,2020-07-24,Squares,1,2100.82,2100.82
Department of Correctional Services (DCS),Free State,KIMBERLEY,Decontimination for TCC  reception,Sanitize Solutions,2020/224659/07,Quotation,AH-615609,7/29/2020,2020-07-29,Squares,1,4855.00,4855.00
Department of Correctional Services (DCS),Free State,KIMBERLEY,"Decontimination for TCC  -K1,K2 &K8 Unit",Pest and Weed Away,2005/096198/23,Quotation,AH-615614,7/31/2020,2020-07-31,Squares,1,22441.20,22441.20
Department of Correctional Services (DCS),Free State,UPINGTON,Alcohol based sanitiser,TARA,2019/237077/07,NT SUPPLIER,AH-603273,3/23/2020,2020-03-23,5L,100,125.00,12500.00
