buyer_name,implementation_location_other,items_description,supplier_name,comapny_registration_number,procurement_method,UNIT OF MEASURE,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Glencoe,Strechers,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,8,1404.50,11236.00
Department of Correctional Services (DCS),Glencoe,Hand Sanitizer,BARRS PHARMACEUTICALS INDUSTR,E2S012/056577/07,Transversal Contract,eACH,GN-013244,2020.03.19,2000,15.79,31580.00
Department of Correctional Services (DCS),Glencoe,Sanitizer Detergent Bio-Cide,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITRE,GN-013425,2020.07.17,2500,17.25,43125.00
Department of Correctional Services (DCS),Glencoe,Decontamination of Estcourt room 28,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00
Department of Correctional Services (DCS),Glencoe,Decontamination of NKR Reception Office,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00
Department of Correctional Services (DCS),Glencoe,Decontamination of NKR Reception Office,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00
Department of Correctional Services (DCS),Glencoe,"Decontamination of Glencoe School/Reception/Dundee
Office",Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,7150.00,7150.00
Department of Correctional Services (DCS),Glencoe,Acu-Check Glucometer kit,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,390.00,6240.00
Department of Correctional Services (DCS),Glencoe,Cuff and Bladder Adult,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,43.45,695.20
Department of Correctional Services (DCS),Kokstad,Surgical masks disposable,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PK,AI-663624,04/01/2020,6650,63.83,182666.00
Department of Correctional Services (DCS),Kokstad,Scrub Suits,"Logan Medical and Surgical (PTY)
LTD",2012/056508/07,RT2,EACH,AH-100921,3/19/2020,200,17.33,3466.00
Department of Correctional Services (DCS),Kokstad,Surgical Gown,PROMED TECHNOLOGIES (PTY)LTD,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,200,23.83,4766.00
Department of Correctional Services (DCS),Kokstad,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663607,3/25/2020,2,9209.20,18418.40
Department of Correctional Services (DCS),Kokstad,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663603,3/25/2020,4,9272.75,37091.00
Department of Correctional Services (DCS),Kokstad,Vital Sign Monitor CMS5100,"CLASS THREE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,RT2,EACH,AI-663607,3/25/2020,6,9209.20,55255.20
Department of Correctional Services (DCS),Kokstad,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT32,ROLL,AI-663602,3/18/2020,400,55.75,22300.00
Department of Correctional Services (DCS),Kokstad,Sleeve Protectors,Medi-Core Technologies,,RT32,EACH,AH-100867,3/19/2020,4000,0.22,880.00
Department of Correctional Services (DCS),Kokstad,Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663620,3/30/2020,2500,220.00,22000.00
Department of Correctional Services (DCS),Kokstad,Disposable Gown,PROMED TECHNOLOGIES,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,4000,23.83,93250.00
Department of Correctional Services (DCS),Kokstad,Full face shield (Protective goggles ),COVENANT TRADING,2016/521035/07,QUOTATIONS,EACH,AI-663609,3/25/2020,100,32.00,3200.00
Department of Correctional Services (DCS),Kokstad,Disposable aprons,CENTRAL MEDICAL (PTY)LTD,1995/003785/07,RT32,EACH,AH-101110,3/19/2020,3000,0.32,960.00
Department of Correctional Services (DCS),Kokstad,Disposable scrub suit,PROMED TECHNOLOGIES,2014/162486/07,RT32,EACH,AH-100901,3/19/2020,100,13.57,1357.00
Department of Correctional Services (DCS),Kokstad,Temperature Scanner,CLICKS RETAIL,,QUOTATIONS,EACH,Petty Cash,3/19/2020,10,2588.34,25882.40
Department of Correctional Services (DCS),Kokstad,Alcohol based hand sanitiser,BARRS PHARMACEUTICALS,2012/056577/07,RT300,EACH,AC-404151,3/19/2020,2000,15.92,32820.08
Department of Correctional Services (DCS),Kokstad,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663602,3/20/2020,1500,220.00,13200.00
Department of Correctional Services (DCS),Kokstad,Paper towels,COVENANT TRADING,2016/521035/07,QUOTATIONS,ROLL,AI-663615,3/25/2020,200,28.75,5750.00
Department of Correctional Services (DCS),Kokstad,Hand Sanitiser (500 ml),Flawless Enterprise,2015/431254/07,QUOTATIONS,500ml,AI-663619,3/29/2020,Box of 15,2000.00,30000.00
Department of Correctional Services (DCS),Kokstad,Blea 25 lt,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663602,3/20/2020,1500,191.30,13200.00
Department of Correctional Services (DCS),Kokstad,High Reisk Gloves,Medi-Core Technologies,2013/198711/07,QUOTATIONS,EACH,AI-663612,3/24/2020,10000,142.00,28400.00
Department of Correctional Services (DCS),Kokstad,Surgical Gown Medium,PROMED TECHNOLOGIES (PTY)LTD,2014/162486/07,RT32,EACH,AH-100857,3/19/2020,100,23.14,2314.00
Department of Correctional Services (DCS),Kokstad,Spill kits biological,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663631,04/02/2020,20,1424.00,28480.00
Department of Correctional Services (DCS),Kokstad,Brush Surgical Sterile (single use),"Logan Medical and Surgical (PTY)
LTD",2012/056508/07,RT2,EACH,AC-450145,3/19/2020,700,3.01,2107.00
Department of Correctional Services (DCS),Kokstad,Over shoe protector,ZENASA SERVICES (PTY) LTD,2014/199329/07,QUOTATIONS,PAIR,AI-663626,04/01/2020,450,65.00,29250.00
Department of Correctional Services (DCS),Kokstad,Suri20p-Surgical masks Disposable,CLASS THREE MEDICAL SOLUTIONS,2017/535986/07,,,AI-663624,,2000,27.51,55016.00
Department of Correctional Services (DCS),Kokstad,Hand sanitizer 500ml (Box of 20),Flawless Enterprise,2015/431254/07,QUOTATIONS,EACH,AI-663619,3/29/2020,15,2000.00,30000.00
Department of Correctional Services (DCS),Kokstad,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITRE,AI-663620,3/30/2020,2500,220.00,22000.00
Department of Correctional Services (DCS),Kokstad,Cleaning Gloves,New Heights Foods,2019/467590/07,QUOTATIONS,PAIR,AI-663635,04/01/2020,2000,13.50,27000.00
Department of Correctional Services (DCS),Kokstad,Tmp120p- Lepu non-contact Thermometer,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663632,04/02/2020,15,1516.10,22741.50
Department of Correctional Services (DCS),Kokstad,GLVS784-Surgical Gloves Non Sterile,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAIR,AI-663638,04/02/2020,200,299.81,59962.00
Department of Correctional Services (DCS),Kokstad,GLVS784-Surgical Gloves Non Sterile Nitrile Powder Free,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAIR,AI-663638,04/02/2020,200,318.78,63756.00
Department of Correctional Services (DCS),Kokstad,JFE SECURITY GROUP,JEF SECURITY GROUP,,,,AI-663642,04/03/2020,1,243377.77,243377.77
Department of Correctional Services (DCS),Kokstad,Disposable drawsheets,Promed Technologies,2014/162486/07,RT32,each,AH-101091,3/19/2020,300,2.18,654.03
Department of Correctional Services (DCS),Kokstad,Betable BP Machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,04/03/2020,20,724.50,14490.00
Department of Correctional Services (DCS),Kokstad,Blood Glucose Acc-check machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,04/03/2020,20,454.25,9085.00
Department of Correctional Services (DCS),Kokstad,Hemoglobin Machine,Danvan Medical Services,1996/027593/23,Order received,EACH,AI-663644,04/03/2020,5,1265.00,6325.00
Department of Correctional Services (DCS),Kokstad,Hand Sanitiser with 70% alcohol (500ml),Flawless Enterprise,2015/431254/07,QUOTATIONS,EACH,AI-663645,04/03/2020,1000,100.00,100000.00
Department of Correctional Services (DCS),Ncome,Gumboots (Wayne gumboot),Dual Dynamics Solutions (Pty) Ltd,2019/005337/07,QUOTATIONS,PAIR,AI-663647,04/03/2020,50,199.99,9999.50
Department of Correctional Services (DCS),Ncome,Fumigation/Decontamination,"Rentokill and Total pest service
management and Pestkil, Health
and vegetation control",2004/027225/23,QUOTATIONS,,AC-404656,04/07/2020,1,35000.00,35000.00
Department of Correctional Services (DCS),Ncome,Micro Biocide (100x6gr),Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,EACH,AC-404652,04/09/2020,200,118.00,27140.00
Department of Correctional Services (DCS),Ncome,Hand Sanitiser with 70% alcohol (1 litre),Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,EACH,AC-404653,04/09/2020,13,1552.50,20182.50
Department of Correctional Services (DCS),Ncome,Bleach,Eddas Trading,2015/204423/07,QUOTATIONS,LITRE,AC-404651,04/09/2020,2500,6.00,15000.00
Department of Correctional Services (DCS),Ncome,"Apron,plastic,full body,single use,no-noise smooth
plastic material",Medi-Core Technologies,2013/198711/07,Contract,EACH,AC-404655,4/14/2020,50000,0.32,16000.00
Department of Correctional Services (DCS),Ncome,"Sleeve,protector,single use",Medi-Core Technologies,2013/198711/07,Contract,EACH,AC-404654,4/14/2020,50000,0.22,11000.00
Department of Correctional Services (DCS),Ncome,Antibacterial Liquid Soap,NDZORA TRADING CC,2007/143827/23,QUOTATIONS,each,AC-404661,4/15/2020,2500,480.00,48000.00
Department of Correctional Services (DCS),Ncome,PVC Facial Visors,Hychem (Pty) Ltd,2012/045088/07,QUOTATIONS,each,AC-404660,4/15/2020,2500,11.00,32352.94
Department of Correctional Services (DCS),Ncome,Yellow Gloves (Cleaning gloves),Ayenzo Construction,2016/180974/07,QUOTATIONS,pair,AC-404659,4/15/2020,500,33.79,16895.00
Department of Correctional Services (DCS),Ncome,"Apron,plastic,full body,single use,no-noise smooth
plastic material",Medi-Core Technologies,2013/198711/07,QUOTATIONS,each,AC-404658,4/15/2020,50000,0.54,27150.00
Department of Correctional Services (DCS),Ncome,Sani-hands hands free dispencer,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,26,914.25,23770.50
Department of Correctional Services (DCS),Ncome,Sani-hands hands refill-isopropanol 1 litre,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,130,212.75,27657.50
Department of Correctional Services (DCS),Ncome,Batteries- C Cell Alkaline,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,1000,27.60,27600.00
Department of Correctional Services (DCS),,Courier / transport costs,PN Medical,2007/031947/07,QUOTATIONS,each,AC-404664,4/15/2020,1,3507.50,3507.50
Department of Correctional Services (DCS),Ncome,Goggles general for dust,Covenant Trading,2016/521035/07,QUOTATIONS,each,AI-663609,3/24/2020,100,32.00,3200.00
Department of Correctional Services (DCS),Ncome,Gumboots (Wayne gumboot),Dual Dynamics Solutions (Pty) Ltd,2019/005337/07,QUOTATIONS,pair,AI-3647,04/03/2020,50,199.99,9999.50
Department of Correctional Services (DCS),Nome,"Apron,plastic,full body,single use,no-noise smooth
plastic material (yellow)",Medi-Core Technologies,2013/198711/07,Invited quotations,each,AC-404672,4/24/2020,10000,0.54,5430.00
Department of Correctional Services (DCS),KOKSTAD,Paper Towel 235mmx360mm (1 ply),Promed Technologies,2014/162486/07,RT32,roll,AI-663602,04/03/2020,400,55.75,22300.00
Department of Correctional Services (DCS),Ncome,HB Meter Digital,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404667,4/17/2020,5,3250.00,16250.00
Department of Correctional Services (DCS),KOKSTAD,Pulse Oximeter on desktop,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AI-663604,3/20/2020,5,5561.40,27807.00
Department of Correctional Services (DCS),Ncome,Stethoscope Classic Dual Head,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,20,114.98,2298.80
Department of Correctional Services (DCS),Ncome,BP Cuffs Adult (25-35),CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,10,125.10,1251.00
Department of Correctional Services (DCS),Ncome,Double Flow Meter with Ball Tube,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,10,1079.80,10798.00
Department of Correctional Services (DCS),Ncome,Ambi Oval Plus Silicone Resuscitater,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404665,4/17/2020,5,1138.50,5692.50
Department of Correctional Services (DCS),Ncome,CPR DOLL,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,EACH,AC-404665,4/17/2020,1,6918.58,6918.58
Department of Correctional Services (DCS),Ncome,Laryngeal mask,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,EACH,AC-404665,4/17/2020,10,188.35,1883.50
Department of Correctional Services (DCS),Ncome,Laryngoscope set adult,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,5,4150.55,20752.75
Department of Correctional Services (DCS),Ncome,Endotracheal tube 6.6,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,98.65,1479.75
Department of Correctional Services (DCS),Ncome,Endotracheal tube 5.7,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,98.65,1479.75
Department of Correctional Services (DCS),Ncome,Endotracheal tube 7.5,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,each,AC-404666,4/17/2020,15,98.65,1479.75
Department of Correctional Services (DCS),Ncome,Cloth Masks,Shongololo Prints,2015/061732/07,Deviation,each,AC-085301,17/04/2020,3200,23.36,74749.00
Department of Correctional Services (DCS),Ncome,Surgical masks,Masithabe Trading,2009/196595/23,Deviation,each,G-557750,17/04/2020,10000,22.50,225000.00
Department of Correctional Services (DCS),Pietermaritzburg,Alcohol based hand sanitiser,,,,,,,,,
Department of Correctional Services (DCS),Pietermaritzburg,Anti bacteria Hand soap,Hychem (Pty)Ltd,2012/045088/07,Deviation,Litre,G-557749,16/04/2020,250,36.80,9200.00
Department of Correctional Services (DCS),Pietermaritzburg,Bleach,Hychem (Pty)Ltd,2012/045088/07,Deviation,Litre,G-557749,16/04/2020,375,17.48,6555.00
Department of Correctional Services (DCS),Pietermaritzburg,Biocide D,Hychem (Pty)Ltd,2012/045088/07,Deviation,gram,G-557749,16/04/2020,600,1.01,603.75
Department of Correctional Services (DCS),Pietermaritzburg,Paper towels,Hychem (Pty)Ltd,2012/045088/07,Deviation,box (12 packs),G-557749,16/04/2020,6,641.70,3850.20
Department of Correctional Services (DCS),Pietermaritzburg,Biocide D,inspect-a-Pest,2007/009937/23,Deviation,Litre,AC-085346,23/07/2020,4800,41.40,198720.00
Department of Correctional Services (DCS),Pietermaritzburg,Heavy duty rubber cleaning glove,Buzzi Circle Enterprise,2017/103765/07,Deviation,Pair,G-557748,08/04/2020,1929,15.00,28935.00
Department of Correctional Services (DCS),Pietermaritzburg,Plastic Covered Matresses,Arjohuntegh South Africa,2001/016670/07,RT24,each,G-557739,27/03/2020,300,1065.30,319590.00
Department of Correctional Services (DCS),Pietermaritzburg,Matress Cover for hospitals,Arjohuntegh South Africa,2001/016670/07,RT24,each,G-557739,27/03/2020,300,474.81,142443.00
Department of Correctional Services (DCS),Pietermaritzburg,N95 Masks,Rainbow Moon Services,2015/026580/07,Deviation,each,G-557730,23/03/2020,700,60.00,42000.00
Department of Correctional Services (DCS),Pietermaritzburg,latex powder free gloves (non-sterile),Rainbow Moon Services,2015/026580/07,Deviation,Pair,G-557730,23/03/2020,3000,1.65,4950.00
Department of Correctional Services (DCS),Pietermaritzburg,Water boot (gumboots),BBF Safety Group,2014/095914/07,RT59/2019,Pair,G-557721,19/03/2020,300,164.35,49305.00
Department of Correctional Services (DCS),Pietermaritzburg,Spill kits biological,Hychem (Pty)Ltd,2012/045088/07,Deviation,box (6),G-557749,16/04/2020,48,1552.50,74520.00
Department of Correctional Services (DCS),Pietermaritzburg,Boot covers,Hychem (Pty) Ltd,2012/045088/07,Deviation,pack,G-557749,1604/2020,3,143.75,431.25
Department of Correctional Services (DCS),Pietermaritzburg,"Sanitizer (handheld)                             Anti Bacteria Hand
soap",HMS,1997/008746/23,Deviation /Petty Cash,Litre,Petty Cash,24/03/2020,"15
15",52.84,1585.20
Department of Correctional Services (DCS),Pietermaritzburg,Sanitizer (handheld),Barrs Pharmaceuticals,2012/056577/07,RT300/2017,each (50ml),G-557722,19/03/2020,3500,2.77,9695.00
Department of Correctional Services (DCS),Pietermaritzburg,Sanitizer (handheld),Barrs Pharmaceuticals,2012/056577/07,RT300/2017,each (500ml),G-557722,19/03/2020,3500,15.92,55720.00
Department of Correctional Services (DCS),Pietermaritzburg,Sanitizer ( handheld ),Rainbow Moon Services,2015/026580/07,Deviation,Litre,G-557731,23/03/2020,500,120.00,48000.00
Department of Correctional Services (DCS),Pietermaritzburg,Disposable protective clothing for medical use,Mwelase Family (PTY)Ltd,2016/336320/07,Deviation,each,G-557746,03/04/2020,100,39.60,39600.00
Department of Correctional Services (DCS),Ncome,Disposable coverall suits,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,500,120.00,69000.00
Department of Correctional Services (DCS),Ncome,Full face shield,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,850,40.25,34212.50
Department of Correctional Services (DCS),Ncome,Disposable Gown,Hychem (Pty)Ltd,2012/045088/07,Deviation,each,AC-085327,02/072020,1000,86.25,86250.00
Department of Correctional Services (DCS),Ncome,Infrared electric thermometer,Hychem (Pty) Ltd,2012/045088/07,Deviation,each,AC-085327,02/07/2020,25,1200.00,34500.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical masks,COVENANT TRADING,2016/521035/07,QUOTATION,BOX,AC-404615,3/24/2020,40,725.00,29000.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical masks,LLTD AFFECTION PTY,2018/287742/07,QUOTATION,EA,AC-404641,3/26/2020,428,69.95,29938.60
Department of Correctional Services (DCS),Pietermaritzburg,Surgical masks,GCEKWANE TRADING,2014/141605/07,QUOTATION,EA,AC-404637,3/27/2020,420,70.00,29400.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical masks,DALAWANE TRADING,2007/087171/23,QUOTATION,EA,AC-404628,3/25/2020,250,120.00,30000.00
Department of Correctional Services (DCS),Pietermaritzburg,BIOCIDE D,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,BOX,AC-404606,3/23/2020,30,268.16,8043.46
Department of Correctional Services (DCS),Pietermaritzburg,Bleach 25lt,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,EACH,QUOTATION,3/23/2020,320,333.34,106683.20
Department of Correctional Services (DCS),Pietermaritzburg,Dynamaps,CLASS THREE MEDICAL,2017/535986/07,RT2-1-2016,EA,RT2-1-2016,3/23/2020,10,18762.87,163155.40
Department of Correctional Services (DCS),Pietermaritzburg,Spill Kits Biological,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,EA,QUOTATION,3/23/2020,255,1637.60,357000.00
Department of Correctional Services (DCS),Pietermaritzburg,Temperature Scanner,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,EA,AC-404642,3/26/2020,78,1516.10,118255.80
Department of Correctional Services (DCS),Pietermaritzburg,Batteries for scanners,STARDUST MARKERTING,2019/622167/07,QUOTATION,EA,AC-404451,04/02/2020,60,25.00,1500.00
Department of Correctional Services (DCS),Pietermaritzburg,LINEN SAVER,ACCESS MEDICAL PTY,2012/013099/07,QUOTATION,PK,AC-404625,3/25/2020,4000,1.20,4800.00
Department of Correctional Services (DCS),Pietermaritzburg,SURGICAL MASK,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-450352,3/20/2020,120,862.50,103500.00
Department of Correctional Services (DCS),Pietermaritzburg,TONGUE DEPRESSOR,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-450352,3/20/2020,1,20.00,20.00
Department of Correctional Services (DCS),Pietermaritzburg,LINEN SAVER,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-450352,3/20/2020,5,575.00,2875.00
Department of Correctional Services (DCS),Pietermaritzburg,N95 Mask,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-450352,3/20/2020,25,1380.00,34500.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE APRONS,LOGAN MEDICAL,2012/056508/07,QUOTATION,EACH,AC-450352,3/20/2020,200,50.00,10000.00
Department of Correctional Services (DCS),Pietermaritzburg,SURGICAL MASK,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,BOX,AC-085602,4/16/2020,1600,18.50,29600.00
Department of Correctional Services (DCS),Pietermaritzburg,Sreens 3panel,SIYAKHULIS TRADING CC,2004/099727/23,QUOTATION,EA,AC-404649,04/02/2020,10,2800.00,28000.00
Department of Correctional Services (DCS),Pietermaritzburg,Sreens 3panel,SIYAKHULIS TRADING CC,2004/099727/23,QUOTATION,EA,AC-404456,04/06/2020,2,2800.00,5600.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE APRONS,CENTRAL MEDICAL,1995/003785/07,RT32,pkt,AC-404645,3/31/2020,200,32.00,6400.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE APRONS - YELLOW,CENTRAL MEDICAL,1995/003785/07,RT32,PKT,AC-085460,7/21/2020,5000,0.40,2000.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE APRONS,CENTRAL MEDICAL,1995/003785/07,TR32,PKT/100,AC-404436,3/19/2020,200,32.00,6400.00
Department of Correctional Services (DCS),Pietermaritzburg,Non Sterile Gloves,SUPRA HEALTH CARE,2007/027848/07,QUOTATION,BOX OF 100,AC-404648,04/02/2020,170,84.47,14359.90
Department of Correctional Services (DCS),Pietermaritzburg,VITAL SIGN MONITOR,CLASS THREE MEDICAL,2017/535986/07,RT2,EACH,AC-404434,3/19/2020,11,16315.54,179470.94
Department of Correctional Services (DCS),Pietermaritzburg,BP CUFF,CLASS THREE MEDICAL,2017/535986/07,RT2,EACH,AC-404434,3/19/2020,11,120.75,1328.25
Department of Correctional Services (DCS),Pietermaritzburg,NEBULISER,CLASS THREE MEDICAL,2017/535986/07,RT2,EACH,AC-404434,3/19/2020,10,5184.20,51842.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical Mask box of 50,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-404601,3/23/2020,100,862.50,86250.00
Department of Correctional Services (DCS),Pietermaritzburg,Disinfactant 5litre,LOGAN MEDICAL,2012/056508/07,QUOTATION,litre,AC-404601,3/23/2020,50,690.00,34500.00
Department of Correctional Services (DCS),Pietermaritzburg,SANITIZERS (HAND) 25 LITRE,LOGAN MEDICAL,2012/056508/07,QUOTATION,LITRE,AC-404601,3/23/2020,20,3450.00,69000.00
Department of Correctional Services (DCS),Pietermaritzburg,N95,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-404601,3/23/2020,175,1380.00,241500.00
Department of Correctional Services (DCS),Pietermaritzburg,SANITIZERS (HAND) 25 LITRE,HYCHEM (PTY) LTD,2012/045088/07,QUOTATION,LITRE,AC-085604,4/16/2020,49,2500.00,140875.00
Department of Correctional Services (DCS),Pietermaritzburg,Sanitizer,BARRS PHARMACEUTICALS,2012/056577/07,RT300,LT,AC-404442,3/20/2020,6100,14.44,88084.00
Department of Correctional Services (DCS),Pietermaritzburg,SANITIZER,BARRS PHARMACEUTICALS,2012/056577/07,RT300,500ML,AC-085456,7/16/2020,5000,16.21,81050.00
Department of Correctional Services (DCS),Pietermaritzburg,Bleach 25lt,KLEENLINE,2002/017805/23,QUOTATION,LT,AC-404650,04/02/2020,320,209.30,66976.00
Department of Correctional Services (DCS),Pietermaritzburg,Mattress cover for hospital,NEW HORIZON METAL,2000/007991/23,RT24,EA,AC-404447,3/19/2020,600,677.35,406410.00
Department of Correctional Services (DCS),Pietermaritzburg,Adjustable hospital beds with mattress,NEW HORIZON METAL,2000/007991/23,RT24,EA,AC-404447,3/19/2020,90,9973.95,897655.50
Department of Correctional Services (DCS),Pietermaritzburg,Sanitizer and Soap Dispenser,NEW HORIZON METAL,2000/007991/23,RT24,EA,AC-404484,04/08/2020,330,147.75,48757.50
Department of Correctional Services (DCS),Pietermaritzburg,Dispenser for paper towel,MWELASE FAMILY PTY,2016/336320/07,QUOTATION,EA,AC-450366,4/14/2020,165,880.00,145200.00
Department of Correctional Services (DCS),Pietermaritzburg,OVER SHOE NON WOOVEN,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,EA,AC-450365,04/08/2020,200,77.19,15437.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical scrub,DALAWANE TRADING,2007/087171/23,QUOTATION,EA,AC-404498,04/09/2020,890,280.00,249200.00
Department of Correctional Services (DCS),Pietermaritzburg,Surgical scrub,BARRS,2012/056577/07,RT32,LT,AC-404443,3/21/2020,6100,159.93,975573.00
Department of Correctional Services (DCS),Pietermaritzburg,Boiocide D,CLASS THREE MEDICAL,2017/535986/07,QUOTATION,PKT,AC-404608,3/23/2020,100,4021.73,402173.00
Department of Correctional Services (DCS),Pietermaritzburg,Paper towels,SHOSHO INDUSTRIAL,2003/009940/23,RT14-2019,BOX,AC-404433,3/19/2020,7000,12.94,90562.50
Department of Correctional Services (DCS),Pietermaritzburg,Heavy duty rubber cleaning glove,SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EA,AC-404431,3/19/2020,500,18.00,9000.00
Department of Correctional Services (DCS),Pietermaritzburg,Full face shield (proctective ggogles),SUPRA HEALTH CARE,2007/027848/07,QUOTATION,EA,AC-404429,3/19/2020,350,229.94,80479.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE GOWNS,LOGAN MEDICAL,2012/056508/07,QUOTATION,EACH,AC-404609,2020.03.23,350,40.25,14087.50
Department of Correctional Services (DCS),Pietermaritzburg,TOUNGE DEPPRESSOR,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-404609,2020.03.23,20,20.00,400.00
Department of Correctional Services (DCS),Pietermaritzburg,OVER SHOE NON WOOVEN,LOGAN MEDICAL,2012/056508/07,QUOTATION,PKT OF 100,AC-404609,2020.03.23,550,110.00,60500.00
Department of Correctional Services (DCS),Pietermaritzburg,LINEN SAVERS,LOGAN MEDICAL,2012/056508/07,QUOTATION,BOX,AC-404609,2020.03.23,15,575.00,8625.00
Department of Correctional Services (DCS),Pietermaritzburg,SLEEVE PROTECTOR SINGLE USE,LOGAN MEDICAL,2012/056508/07,QUOTATION,PKT OF 100,AC-404609,2020.03.23,20,100.00,2000.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE GOWNS Medium,PROMED TECHNOLOGIES,2014/162486/07,RT32,EA,AC-404626,3/25/2020,200,23.14,4628.00
Department of Correctional Services (DCS),Pietermaritzburg,DISPOSABLE GOWNS Large,PROMED TECHNOLOGIES,2014/162486/07,RT32,EA,AC-404627,3/26/2020,150,23.83,3574.50
Department of Correctional Services (DCS),Pietermaritzburg,Cooler Box 2liters,DIMK PTY LTD,2016/391176/07,QUOTATION,LT,AC-404430,3/19/2020,10,515.90,5159.00
