MANAGEMENT AREA,ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NUMBER,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION
PROCUREMENT METHOD)",ORDER NUMBER,ORDER DATE,UNIT OF MEASURE,ORDER QUANTITY,UNIT PRICE,ORDER VALUE
Allandale,Linen Savers,LOGAN MEDICAL & SURGICAL,2012/056508/07,RT32,OQ-004703,23.03.2020,each,4000,0.78 each,"R                           3,120.00"
Breede River,Linen Savers,"Meddreg Technology
Meddreg Technology",2003/014869/23,RT32,"BR-008182
BR-008196",4/21/2020,each,2000,R                          1.04,"R                           2,080.00"
Drakenstein,Linen Savers,MEDDREG TECH,2003/014869/23,RT32,DN-012945,2/6/2020,EA,2000,R                          1.04,"R                           2,080.00"
Goodwood,Linen Savers,PROMED,2014/162486/07,RT,GW-011717,24/04/20202,EA,1000,R                          2.18,"R                           2,180.00"
Overberg,Linen Savers,MEDDREG,2003/014869/23,RT32,HS11/2020,4/1/2020,Each,5000,R                          1.04,"R                           5,200.00"
Pollsmoor,Linen Savers,Meddreg Tech,2003/014869/23,RT32/2019,A-236265/289,31.03.2020,box,2000,R                          0.93,"R                           1,860.00"
Breede River,Liquid hand soap,Barrs Pharmaceutical,2012/056577/07,RT300,BR-008200,4/21/2020,500 ml,5000,R                       14.44,"R                         72,200.00"
Goodwood,"MASK,MEDICAL SINGLE USE FLUID RESISTANT
WITH   ELASTIC EAR LOOPS 3PLY COVID031",I H S,1993/003465/07,NT 3,GW-011766,21/04/2020,BX,800,R                     624.00,"R                      499,200.00"
Goodwood,"MASK,MEDICAL SINGLE USE FLUID RESISTANT
WITH   ELASTIC EAR LOOPS 3PLY COVID031",I H S,1993/003465/07,NT 3,GW-011814,13/05/2020,BX,5200,R                     624.00,"R                   3,244,800.00"
Breede River,Masks FFP1,Stambo Solutions,2015/453050/07,Quotation,BR-008234,4/21/2020,each,600,R                       46.00,"R                         27,600.00"
Allandale,Matress Cover for hospitals,ARJO HUNTLEIGH SA,2001/016670/07,Annexure A Table 2,AD-006363,31.03.2020,each,100,R474.81 each,"R                         47,481.00"
Overberg,Matress Cover for hospitals,ARJO HUTLEIGH SA,2001/016670/07,RT24,CA-005533,3/31/2020,Each,20,R                     474.81,"R                           9,496.20"
Overberg,Matress Cover for hospitals,ARJO HUTLEIGH SA,2001/016670/07,RT24,HS10/2020,4/1/2020,Each,50,R                     433.28,"R                         21,664.00"
Overberg,Matress Cover for hospitals,ARJO HUTLEIGH SA,2001/016670/07,RT24,HS-010875,5/20/2020,Each,500,R                     470.47,"R                      235,235.00"
Overberg,Matress Cover for hospitals,Hospital equipment,2000/000651/07,RT24,HS-010918,6/11/2020,Each,26,R                     563.12,"R                         14,641.12"
Allandale,"Medical and surgical bag,red",PROMED TECHOLOGIES,2014/162486/07,Annexure A Table 2,AD-006381,31.04.2020,Each,"30,000",R                          1.30,"R                         39,000.00"
Southern Cape,Mop caps,Anqingsa,2017/343405/07,Price Quotation,SC-008319,17/04/2020,each,10000,R                          0.99,"R                           9,898.00"
Brandvlei,N95 masks,Lechoba Medical Technologies,2005/044442/07,RTCOVID19-002,BN-017970,4/15/2020,EACH,6000,R                       18.75,"R                      112,500.00"
Breede River,N95 masks,Biologica Pharmaceuticals,2013/067392/07,RT296,BR-008220,4/21/2020,each,1800,R                     120.00,"R                      216,000.00"
Goodwood,N95 masks,LIORA,2011/013434/23,RT32,GW-011816,14/05/2020,ea,10500,R                          5.35,"R                         56,175.00"
Overberg,N95 masks,LIORA MEDICAL SUPP,2011/013434/23,Rt32,CA-005527,3/26/2020,Each,2940,R                          5.35,"R                         15,729.00"
Overberg,N95 Masks,Quality Medical Supplies,2015/019742/07,Treasury,HS-010934,6/15/2020,Each,2000,R                       37.09,"R                         74,175.50"
Pollsmoor,N95 masks,Specmed Medical Services,2018/317397/07,CSD,PS-010388,2020.07.15,EA,18000,R                       26.30,"R                      473,409.00"
Voorberg,N95 masks,Liora Medical,2011/013434/23,RT32-2019,VN-00020,3/19/2020,Each,1260,R                          5.35,"R                           6,741.00"
Allandale,Nebulizer,CLASS THREE MEDICAL SOLUTION,2017/535986/07,RT2,AD-006365,31.03.2020,each,10,R5184.20 per each,"R                         51,842.00"
Overberg,Nebulizer,CLASS THREE MEDICAL SOLUTIONS,2017/535986/07,RT2,HS9/2020 (HS-010821),4/1/2020,Each,4,"R                 5,184.20","R                         20,736.80"
Overberg,Nebulizer,ECOMED,2016/084766/07,RT2,CA-005570,4/16/2020,Each,1,"R                 8,115.66","R                           8,115.66"
Allandale,Non Sterile Gloves,PROMED TECHOLOGIES,2014/162486/07,R 76,AD-006446,26.05.2020,pair,180,R46.00 per box,"R                           8,280.00"
Brandvlei,Non Sterile Gloves,Evergreen Latex,2002/057771/23,RT76-2020ITEMNO-42132205-00033,BN-018385,7/27/2020,EACH,200 S,R                     122.00,"R                         24,400.00"
Brandvlei,Non Sterile Gloves,Evergreen Latex,2002/057771/23,RT76-2020ITEMNO-42132205-00034,BN-018385,7/27/2020,EACH,400 S,R                     122.00,"R                           2,440.00"
Brandvlei,Non Sterile Gloves,supra healthcare johannesburg,2007/027848/07,RT76-2020ITEMNO-42132205-00033,BN-018386,7/27/2020,EACH,200 S,R                     307.71,"R                         61,542.00"
Brandvlei,Non Sterile Gloves,supra healthcare johannesburg,2007/027848/07,RT76-2020ITEMNO-42132205-00034,BN-018386,7/27/2020,EACH,100 M,R                     307.71,"R                         30,771.00"
Brandvlei,Non Sterile Gloves,supra healthcare johannesburg,2007/027848/07,RT76-2020ITEMNO-42132205-00035,BN-018386,7/27/2020,EACH,100 L,R                     307.71,"R                         30,771.00"
Breede River,Non Sterile Golves,Evergreen,2002/057771/23,RT76,BR-008322,4/21/2020,each,1000,R                       49.86,"R                         49,860.00"
Breede River,Non Sterile Golves,Supra Health Care,2006/020950/07,RT76,BR-008397,4/21/2020,each,20000,R                          1.50,"R                         29,900.00"
Overberg,Non Sterile Golves,"EVERGREEN LATEX       & PROMED
TECHNOLOGIES",2002/057771/23,RT76-2020,HS-010997,7/23/2020,Each,200000,R                          0.64,"R                      127,100.00"
Overberg,Non Sterile Golves,MEDICAL-CORE,2013/198711/07,RT76-2020,CA-005528,3/26/2020,Each,3000,R                          0.48,"R                           1,435.80"
Overberg,Non Sterile Golves,MEDI-CORE TECHNOLOGIES,2013/198711/07,RT76-2020,HS16/2020,4/3/2020,Each,20000,R                          0.48,"R                         24,030.00"
Overberg,Non Sterile Golves,Promed Technology,2014/162486/07,RT76-2020,HS-010996,7/23/2020,Each,100000,R                          0.58,"R                         57,680.00"
Southern Cape,Non Sterile Golves,Evergreen LATEX,2002/057771/23,RT76,SC-008279,23/03/2020,Box of 50,900,R                       78.00,"R                         70,200.00"
Drakenstein,Non Sterile Golves MEDIUM,MEDI-CORE,2013/198711/07,RT76,E534956/004,4/2/2020,EA,30000,R                       47.86,"R                   1,435,800.00"
Brandvlei,Over shoe non woven (single use),KKAP Medical supplies,2016/084247/07,RT32-2019-ITEMNO-42131609-00000,BN-018387,7/27/2020,EACH,2000,R                       21.00,"R                         42,000.00"
Brandvlei,Over shoe non woven (single use),Pinnar brothers,2005/034625/07,price quotation,BN-017977,20200417,EACH,4000,R                          0.46,"R                           1,840.00"
Breede River,Over shoe non woven (single use),Medical International Orthopeadic,2007/023366/23,RT32,BR-008212,4/21/2020,each,300,R                       19.23,"R                           5,769.00"
Overberg,Over shoe non woven (single use),KKAP MEDICAL SUPPLIER,2016/084247/07,RT32,HS-010770,3/30/2020,Each,200,R                       21.00,"R                           4,200.00"
Allandale,Paper towels,PROMED TECHOLOGIES,2014/162486/07,RT14,AD-006337,18.03.2020,2400 sheets per box,302400,R210.00 per box,"R                         26,460.00"
Allandale,Paper towels,PROMED TECHOLOGIES,2014/162486/07,RT14,HA-002318,18.06.2020,2400 sheets per box,1567200,R0.08/Sheet,"R                      137,130.00"
Allandale,Paper towels,PROMED TECHOLOGIES,2014/162486/07,RT14,OQ-004696,23.03.2020,2400 sheets per box,86400,R210.00 per box,"R                           7,560.00"
Brandvlei,Paper towels,Promed Technologies,2014/162486/07,RT32-2019-14111703-00002,BN-018286,7/15/2020,each,2000,R                       35.26,"R                         70,520.00"
Breede River,Paper towels,Promed Technology,2014/162486/07,RT14,BR-008201,4/21/2020,box,100,R                     210.00,"R                         21,000.00"
Breede River,Paper towels,Promed Technology,2014/162486/07,RT14,BR-008390,4/21/2020,box,100,R                     210.00,"R                      210,000.00"
Drakenstein,Paper towels,PROMED,2014/162486/07,RT14,DST075,3/4/2020,RL,1200,R                       31.75,"R                         38,100.00"
Goodwood,Paper towels,PROMED,2014/162486/07,RT14,GW-011657,18/03/2020,EA,1000,R                       55.75,"R                         55,750.00"
Overberg,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT14-2019,BJ-005124,3/19/2020,Each,600,R                       10.50,"R                           6,300.00"
Overberg,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT14-2019,CA-005509,3/23/2020,Each,1400,R                       18.53,"R                         25,200.00"
Overberg,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT14-2019,HS-010743,3/20/2020,Each,100000,R                       10.50,"R                      105,000.00"
Voorberg,Paper towels,Promed,2014/162486/07,RT32,VN-002711,2020.05.18,Each,1000,R                       10.50,"R                         10,500.00"
Voorberg,Paper towels,Promed,2014/162486/07,RT14,VN-002721,2020.05.26,Each,100,R                     210.00,"R                         21,000.00"
Allandale,Plastic Covered Matresses,ARJO HUNTLEIGH SA,2001/016670/07,Annexure A Table 2,AD-006363,31.03.2020,each,20,R1065.30 each,"R                         21,306.00"
Pollsmoor,Plastic Covered Matresses,Arjo Hutleigh,2001/016670/07,RT24,PS-010265,03.04.2020,Each,50,"R                 1,065.30","R                         53,265.00"
Pollsmoor,Plastic Covered Matresses,Arjo Hutleigh,2001/016670/07,RT24,PS-010274,20.04.2020,each,300,"R                 1,065.30","R                      319,590.00"
Allandale,Rubber boots (Gumboots),BBF SAFETY GROUP,2014/095914/07,RT59,AD-006392,03.04.2020,pair,160,R164.35 pair,"R                         26,296.00"
Allandale,Rubber boots (Gumboots),BBF SAFETY GROUP,2014/095914/07,RT59,HA-002286,15.04.2020,pair,80,R164.35 pair,"R                         13,148.00"
Allandale,Rubber boots (Gumboots),BBF SAFETY GROUP,2014/095914/07,RT59,OQ-004719,09.04.2020,pair,80,R164.35 pair,"R                         13,148.00"
Breede River,Rubber boots (Gumboots),BBF Safety Group,2014/095914/07,RT59,BR-008197,4/21/2020,each,220,R                     152.00,"R                         33,440.00"
Breede River,Rubber boots (Gumboots),Club (Kaap Agri),1995/000336/06,Quotation,N/A,4/21/2020,each,118,R                       37.84,"R                           4,465.12"
Overberg,Rubber boots (Gumboots),BBF SAFETY GROUP,2014/095914/07,RT59-2019,BJ-005127,3/19/2020,Pair,50,R                     152.00,"R                           7,600.00"
Overberg,Rubber boots (Gumboots),Savage Wear Production,2017/028889/07,Price Quotation,HS-010871,5/19/2020,Pair,95,R                       93.99,"R                           8,929.05"
Overberg,Rubber boots (Gumboots),Savage Wear Production,2017/028889/07,Price Quotation,HS-010872,5/19/2020,Pair,195,R                       93.99,"R                         18,328.05"
Breede River,Sanitizer (mounted and handheld),PN Medical,2007/031947/07,Quotation,BR-008202,4/21/2020,each,50,R                     216.32,"R                         10,816.00"
Allandale,Shoes overshoes disposable,KAAP   AGRI,1995/000336/06,DEVIATION  PROCUREMENT METHOD,PC-001607,09.04.2020,pair,"1,000",R                          0.50,R                              498.30
Overberg,Sleeve protector (single use),MEDICAL-CORE,2013/198711/07,RT32,CA-005517,3/24/2020,Each,10,R                       22.00,R                              440.00
Overberg,Sleeve protector (single use),MEDICAL-CORE,2013/198711/07,RT32,HS-010769,3/30/2020,Each,4000,R                          0.22,"R                           1,100.00"
Overberg,Sleeve protector (single use),MEDICAL-CORE,2013/198711/07,RT32,HS-010877,5/20/2020,Each,10000,R                          0.22,"R                           2,200.00"
Pollsmoor,Sleeve protector (single use),Medi-Core Technologies,2013/198711/07,RT32/2019,PS-010243,25.03.2020,pair,5000,R                          0.22,"R                           1,100.00"
Southern Cape,Sleeve protector disposable,Medi- Core Technologies,2013/198711/07,RT32,SC-008333,4/5/2020,Each,50000,R                          0.22,"R                         11,000.00"
Allandale,Soap hand toilet liquid,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,AD-006487,25.06.2020,ml,1000000,R                          0.04,"R                         43,840.00"
Allandale,Soap hand toilet liquid,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,HA-002272,23.03.2020,ml,160,R                       21.92,"R                           3,507.20"
Allandale,Soap hand toilet liquid,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,OQ-004817,28.07.2020,ml,80000,R                          0.04,"R                           3,507.20"
Overberg,Spill kits biological,I H S,1993/003465/07,NT 3,HS7/2020,4/1/2020,Each,50,R                     115.00,"R                           5,750.00"
Breede River,Spray Bottles (2 liters),Tripple A Solutions,2017/271551/07,Quotation,BR-008251,4/21/2020,250 ml,300,R                       29.00,"R                           8,700.00"
Breede River,Spray Bottles (2 liters),Tripple A Solutions,2017/271551/07,Quotation,BR-008251,4/21/2020,500 ml,300,R                       42.00,"R                         12,600.00"
Drakenstein,Spray Bottles (2 liters),TRIPPLE A SOLUTIONS,2017/271551/07,PRICE QUOATION,DN-013142,3/30/2020,EA,89,R                       60.00,"R                           5,340.00"
Pollsmoor,Spray Bottles (2 liters),Estacom,2014/078579/07,RT298/2019,PS-010238,26.03.2020,EA,500,R                          8.28,"R                           4,141.00"
Southern Cape,Sterile Golves,Evergreen Latex,2002/057771/23,RT76,SC-008279,23/03/2020,Box of 100,1000,R                       92.00,"R                         92,000.00"
Overberg,Stethoscope,First class consultants,2017/199502/07,Price quotation,HS-010848,5/11/2020,Each,7,R                     450.00,"R                           3,150.00"
Allandale,Surgical masks,BIOLOGICA PHARMACETICALS,2013/067392/07,RT296-08-271,AD-006391,24.03.2020,Box of 50,10000,R26.65 per each,"R                      266,500.00"
Allandale,Surgical masks,BIOLOGICA PHARMACETICALS,2013/067392/07,RT296-08-271,HA-002288,23.03.2020,Box of 50,1000,R26.65 per each,"R                         26,650.00"
Allandale,Surgical masks,Quality Medical Supplies,2015/019742/07,Annexure A Table 2,AD-006395,16.04.2020,Box of 50,100000,R10.35 per each,"R                   1,035,000.00"
Allandale,Surgical masks,TRIPPLE N MEDICAL DISTRIBUTORS,2011/129850/07,Annexure A Table 2,OQ-004707,23.03.2020,Box of 200,1000,R13.02 per pack,"R                         13,020.00"
Brandvlei,Surgical masks,Chemical world,2019/253242/07,RT32-201942295407-00000,BN-018333,7/21/2020,each,20000,R                       14.95,"R                      299,000.00"
Brandvlei,Surgical masks,National medical,2002/059075/23,RT32-2019:42295407-0,BN-017898,3/16/2020,each,15000,R                          0.80,"R                         12,000.00"
Breede River,Surgical masks,Biologica,2013/067392/07,RT269,BR-008388,4/21/2020,each,30000,R                       15.50,"R                      465,000.00"
Breede River,Surgical masks,Biologica,2013/067392/07,RT269,BR-008367,4/21/2020,each,18750,R                       26.65,"R                      499,687.50"
Breede River,Surgical masks,"Biologica
Pharmaceuticals",2013/067392/07,RT296,BR-008205,4/21/2020,each,400,R                       26.65,"R                         10,660.00"
Breede River,Surgical masks,"Biologica
Pharmaceuticals",2013/067392/07,RT296,BR-008327,4/21/2020,each,10000,R                       26.65,"R                      266,500.00"
Breede River,Surgical masks,"Biologica
Pharmaceuticals",2013/067392/07,296,BR-008219,4/21/2020,each,10500,R                       26.65,"R                      279,825.00"
Breede River,Surgical masks,Dis-Chem,2009/007062/07,Petty Cash,"PC-003191 /
PC-001097",4/21/2020,each,120,R                       49.95,"R                           5,994.00"
Breede River,Surgical masks,Dis-Chem,2009/007062/07,Petty Cash,PC-001647,4/21/2020,each,40,R                       25.23,"R                           1,009.00"
Breede River,Surgical masks,Multisurge,2014/170364/07,"Instruction note 8 2019/2020 Annexure Table
A 2 -RTCOVID19-004",BR-008277,4/21/2020,each,200,R                     460.00,"R                         92,000.00"
Drakenstein,Surgical masks,QUALITY MEDICAL,RTCOVID19-004,RTCOVID19-004,E534956/012,4/6/2020,EA,30000,R                       10.35,"R                      310,500.00"
Overberg,Surgical masks,BIOLOGICA,2013/067392/07,RT296,CA-005515,3/24/2020,Each,1000,R                       79.95,"R                         79,950.00"
Overberg,Surgical masks,BIOLOGICA,2013/067392/07,RT296,HS-010775,4/7/2020,Each,10000,R                       26.65,"R                      266,500.00"
Overberg,Surgical masks,BIOLOGICA,2013/067392/07,RT296,HS-010795,4/23/2020,Each,8000,R                       26.65,"R                      213,200.00"
Overberg,Surgical masks,I H S,1993/003465/07,NT 3,HS21/2020 (HS-010840),4/15/2020,Each,1324550,various,"R                   1,645,450.00"
Overberg,Surgical masks,TARA TECHNOLOGIES,2019/237077/07,RTCOVID19-007,HS-010778,4/9/2020,Each,10000,R                       47.00,"R                      470,000.00"
Pollsmoor,Surgical masks,LENIPOINT    EARLY MOON,2006/012471/23,CSD,PS-010240,2020.04.16,EA,20000,R 11.00,"R                      334,000.00"
Pollsmoor,Surgical masks,LENIPOINT    EARLY MOON,2017/281326/07,CSD,PS-010302,2020.05.05,EA,400000,R 11.00,"R                      440,000.00"
Southern Cape,Surgical masks,New Age Medident,2005/093988/23,RT296,SC-008449,29/07/2020,Pack,2000,R                       43.00,"R                         86,000.00"
Voorberg,Surgical masks,Unitrade,1998/002665/23,COVID031,VB-010427,6/19/2020,Box 50,400,R                     514.24,"R                      206,496.00"
Allandale,Surgical scrub 500ml,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,AD-006487,25.06.2020,500ml,2000,R14.44 per 500ml,"R                         28,880.00"
Allandale,Surgical scrub 500ml,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,HA-002272,20.03.2020,500ml,320,R14.44 per 500ml,"R                           4,620.80"
Allandale,Surgical scrub 500ml,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,OQ-004817,28.07.2020,500ml,40,R14.44 per 500ml,R                              577.60
Brandvlei,Surgical scrub 500ml,BARRS PHAMACEUTICALS INDUSTRIES,2012/056577/07,RT300-2017-51284804-00001,BN-017920,25/03/2020,each,500,R                       13.89,"R                           6,945.00"
Brandvlei,Surgical scrub 500ml,BARRS PHAMACEUTICALS INDUSTRIES,2012/056577/07,RT300-2017-51284804-00001,BN-017920,25/03/2020,each,500,R                       20.97,"R                         10,485.00"
Brandvlei,Surgical scrub 500ml,BARRS PHAMACEUTICALS INDUSTRIES,2012/056577/07,RT300-2017-51472802-000000,BN-018388,7/27/2020,each,1500,R                       27.15,"R                         31,725.00"
Breede River,Surgical scrub 500ml,BARRS Pharmaceuticals,2012/056577/07,RT300,BR-008193,4/21/2020,500 ml,3000,R                       21.92,"R                         65,760.00"
Drakenstein,Surgical scrub 500ml,BARRS,RT32,RT32,DN-013124,3/25/2020,BT,480000,R                       21.15,"R                         20,304.00"
Drakenstein,Surgical scrub 500ml,BARRS,RT300,RT300,DN-013289,5/14/2020,BT,2000,R                       24.70,"R                         49,400.00"
Goodwood,Surgical scrub 500ml,BARRS,2012/056577/07,RT300,GW-011818,14/05/2020,EA,1000,R                     181.94,"R                      181,940.00"
Goodwood,Surgical scrub 500ml,BARRS PHARM.,2012/056577/07,RT300.,GW-011650,28/03/2020,EA,2000,R                       21.92,"R                         43,840.00"
Overberg,Surgical scrub 500ml,BARRS PHAMCEUTICAL,2012/056577/07,RT300,CA-005525,3/26/2020,ml,100,R                       31.99,"R                           3,198.60"
Overberg,Surgical scrub 500ml,ITSTYM GENERAL TRADING,2009/128911/23,PRICE QUOTATION,HS8/2020,4/1/2020,ml,10,R                     199.99,"R                           1,999.90"
Overberg,Surgical scrub 500ml,SIMSIM SALES & MARKETING,2018/195625/07,PRICE QUOTATION,PETTY CASH,4/2/2020,ml,10,R                     150.00,"R                           1,500.00"
Allandale,Temperature Scanner,Big Chest,2014/016004/07,DEVIATION  PROCUREMENT METHOD,AD-006387,07.04.2020,each,15,"R                 1,950.00","R                         29,250.00"
Allandale,Temperature Scanner,MULTISURGE,2014/170364/07,Annexure A Table 2,AD-006380,31.03.2020,each,16,R2300 per each,"R                         36,800.00"
Breede River,Temperature Scanner,New Age Medident,2005/093988/23,Covid19,BR-008214,4/21/2020,each,12,"R                 2,064.25","R                         24,771.00"
Breede River,Temperature Scanner,New Age Medident,2005/093988/23,Covid19,BR-008372,4/21/2020,each,26,"R                 1,092.50","R                         28,405.00"
Breede River,Temperature Scanner,Tripharma,2013/179232/07,Quotation,BR-008244,4/21/2020,each,10,R                          3.22,"R                         64,400.00"
Drakenstein,Temperature Scanner,MULTISURGE,RTCOVID19,RTCOVID19,E534956/013,4/6/2020,EA,46,"R                 2,300.00","R                      105,800.00"
Drakenstein,Temperature Scanner,WURTH,PRICE QUOTATION,PRICE QUOTATION,E534956/,4/9/2020,EA,12,"R                 2,070.00","R                         24,840.00"
Goodwood,Temperature Scanner,QUINTAX,2011/054080/23,QUOTATION,A-236600,15/04/2020,EA,10,"R                 2,137.85","R                         21,378.50"
Overberg,Temperature Scanner,ESSENTIAL OFFICE SUPPLIES,1999/008462/23,PRICE QUOTATION,BJ-005130,3/26/2020,Each,2,"R                 1,748.00","R                           3,496.00"
Overberg,Temperature Scanner,MRM Consulting,2014/023626/07,Price Quotation,HS-010977,7/8/2020,Each,70,R                     780.00,"R                         54,600.00"
Overberg,Temperature Scanner,MULTISURGE,2014/170364/07,COVID19-018,CA-005529,3/31/2020,Each,2,"R                 2,300.00","R                           4,600.00"
Overberg,Temperature Scanner,NEW AGE MEDIDENT,2005/093988/23,PRICE QUOTATION,HS-010762,3   / 2   4  /  2  0   2  0,Each,10,"R                 2,012.50","R                         20,125.00"
Pollsmoor,Temperature Scanner,Cape instrument service,200/175880/23,CSD,2020.05.26,2020.05.26,EA,17,"R                 1,661.75","R                         28,250.00"
Breede River,Tents for isolation (2 beds),Fizzpop,2016/255874/07,Quotation,BR-008291,4/21/2020,each,12,R                     729.00,"R                           8,748.00"
Drakenstein,Tents for isolation (2 beds),MOTHO KE MOTHO KA BATHO,PRICE QUOTATION,PRICE QUOTATION,E534956/003,4/2/2020,EA,5,"R                 3,000.00","R                         15,000.00"
Pollsmoor,Tents for isolation (2 beds),Elite Marquues,2013/064722/07,CSD,PS-010241,14.04.2020,EA,1,EA,"R                      396,060.00"
Breede River,Tongue Depressor,Evergreen Latex,2002/057771/23,RT32,BR-008183,4/21/2020,each,100,R                          8.68,R                              868.00
Drakenstein,Tongue Depressor,EVERGREEN LATEX,RT32,RT32,DN-012938,2/6/2020,EA,100,R                          8.68,R                              868.00
Overberg,Tongue Depressor,EVERGREEN LATEX,2002/057771/23,RT32,HS-010766,3/27/2020,Each,5000,R                          0.09,R                              434.00
Southern Cape,Utility gloves,Pienaar Brothers,2005/034625/07,Price Quotation,KY-003245,16/04/2020,pair,306,R                       97.95,"R                         29,911.50"
Southern Cape,Utility gloves,Pienaar Brothers,2005/034625/07,Price Quotation,SC-008323,14/04/2020,pair,306,R                       97.95,"R                         29,911.50"
