implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-04,Masks,Mask (FFP2),Mask FFP2 x 200,Each,34.50,200,6900.00,YC & A Tools CC t/a Drakewoods Pietennaritzburg
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-04,Masks,Masks (FFP1),Masks FFP1 x 500( 50pack),50 pack,1380.00,10,13800.00,YC & A Tools CC t/a Drakewoods Pietennaritzburg
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-09,Sanitizers,Wipes - Alcohol surface disinfectant,Alcohol surface disinfectant wipes,per pack,50.16,35,1755.60,Bidvest Steiner
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-15,Cleaning,Fogging,Microbial fogging for head office and all departmental districts offices 15 offices,per sq metre,1.20,22773,27327.12,Pest Management Solutions
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-15,Cleaning,Fogging,Microbial fogging for head office and all departmental districts offices 15 offices,hectare,480.00,8,3840.00,Pest Management Solutions
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-21,Themometers,Thermometers,Non-contact Thermometers,Each,1600.00,102,163200.00,Umbono Wama Projects
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-24,Electronics,Printers,Printers JHP OFFICEJET PRO 9023,Each,4038.80,30,121164.00,NEO Technologies
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-18,Advertisements,Advert : Marketing,Hand hygiene Posters,Each,85.80,42,3603.60,Shinning Rock Trading
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-20,Electronics,Computer Equipment,Printer cartridges,Each,420.03,270,113407.02,AE Software Solution
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-20,Electronics,Computer Equipment,Printer cartridges,Each,574.08,90,51667.20,AE Software Solution
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-27,Masks,Mask (Surgical),Surgical Masks,Each,11.00,1000,11000.00,Mdali Risk and Security
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-27,other,Provide Details,Sanitizer stand,Each,1035.00,65,67275.00,Phithizie Product
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-27,other,Provide Details,COVID Social distance marker,Each,9.89,3000,29670.00,Zumaan Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-27,Sanitizers,Sanitizer,Sanitizer,Each,54.05,3000,162150.00,Ahizonke
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-06-01,other,Provide Details,Software and Implementation,Each,420600.00,1,420600.00,Pixel Tone New Media
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-05-21,other,Provide Details,Virus Protection Screens,Each,980.00,310,303800.00,Phumela Printers Cooperatives
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-06-01,Masks,Masks (Cloth),Cloth Masks,Each,23.50,3000,70500.00,Madladleni Clothing and Embroidery
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-06-26,Cleaning,Fogging,Microfogging 3 Offices,square meter,1.20,10611,12733.20,Pest Management Solutions
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,1.Fogging/ Sanitization (Offices)- Ethekwini District Office - 6 month contract(1530),square m x6months,2.30,9180,21114.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,2.Fogging/ Sanitization (Offices)- Pietennaritzburg Tourism District Office - 6 month contract( 1399),square m x6months,2.30,8394,19306.20,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,3.Fogging/ Sanitization (Offices)- Pietennaritzburg Head Office District Office - 6 month contract(8700),square m x6months,2.30,52200,120060.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,4.Fogging/ Sanitization (Offices)-Pietennaritzburg Ministry District Office - 6 month contract(1040),square m x6months,2.30,6240,14352.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,5.Fogging/ Sanitization (Offices)- Ladysmith Uthukela District Office - 6 month contract(548),square m x6months,3.45,3288,11343.60,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,6.Fogging/ Sanitization (Offices)- Dundee Umzinyathi District Office- 6 month contract (472),square m x6months,3.45,2832,9770.40,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,7.Fogging/ Sanitization (Offices)- Vryheid Zululand District Office - 6 month contract (511),square m x6months,3.45,3066,10577.70,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,a.Fogging/ Sanitization (Offices)-Port Shepstone Ugu District Office - 6 month contract (473),square m x6months,3.45,2838,9791.10,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,9.Fogging/ Sanitization (Offices)- Newcastle Amajuba District Office- 6 month contract (957),square m x6months,3.45,5742,19809.90,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,10 .Fogging/ Sanitization (Offices)- Stanger llembe District Office - 6 month contract (783),square m x6months,3.45,4698,16208.10,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,11.Fogging/ Sanitization (Offices)- Richards Bay King Cetshwayo District Office - 6 month contract(561.598),square m x6months,3.45,3370,11625.06,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,12.Fogging/ Sanitization (Offices)- Office lxopo Hany Gwala Human Settlement District - 6 month contract(403),square m x6months,3.45,2418,8342.10,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,13.Fogging/ Sanitization (Offices)- lxopo Hany Gwala District Office - 6 month contract (395),square m x6months,3.45,2370,8176.50,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,14.Fogging/ Sanitization (Offices)- Umkhanyakude District Office- 6 month contract(4000),square m x6months,4.26,24000,102120.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,15.Fogging/ Sanitization (Offices)- Environment World Heritage Site and Umkhanyakude District Office - 6 month contract ( 1000),square m x6months,4.60,6000,27600.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,16.Fogging/ Sanitization (Offices)- Umgungundlovu District Office - 6 month contract (871.25),square m x6months,2.30,5228,12023.25,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,1.Fogging/ Sanitization (Vehicles)-Head Office- 6 month contract x 35 vehicles,each x 6 months,92.00,210,19320.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",,2020-07-16,Cleaning,Fogging,2.Fogging/ Sanitization (Vehicles)-Umgungu District Cascades x 14,each x 6 months,92.00,84,7728.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,3.Fogging/ Sanitization (Vehicles)-llembe- 6 month contractx 5,each x 6 months,92.00,30,2760.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",,2020-07-16,Cleaning,Fogging,4.Fogging/ Sanitization (Vehicles)-Amajuba- 6 month contract x 7,each x 6 months,92.00,42,3864.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,5.Fogging/ Sanitization (Vehicles)-Mzinyathi- 6 month contract x 7,each x 6 months,92.00,42,3864.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",,2020-07-16,Cleaning,Fogging,6.Fogging/ Sanitization (Vehicles)-Uthukela-,each x 6 months,92.00,42,3864.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,7.Fogging/ Sanitization (Vehicles)-Ugu- 6 month contract x 8,each x 6 months,92.00,48,4416.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",,2020-07-16,Cleaning,Fogging,a.Fogging/ Sanitization (Vehicles)-Office of the MEG- 6 month contract x 8,each x 6 months,92.00,48,4416.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,9.Fogging/ Sanitization (Vehicles)-Ethekwini- 6 month contract x 8,each x 6 months,92.00,48,4416.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs (EDTEA)",EDTEA,2020-07-16,Cleaning,Fogging,10.Fogging/ Sanitization (Vehicles)-Ulundi- 6 month contract x 6,each x 6 months,115.00,36,4140.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,11.Fogging/ Sanitization (Vehicles)-Richards Bay- 6 month contract x 7,each x 6 months,92.00,42,3864.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,12.Fogging/ Sanitization (Vehicles)-Jozini- 6 month contract,each x 6 months,115.00,36,4140.00,Rainbow Moon Service
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-07-16,Cleaning,Fogging,13.Fogging/ Sanitization (Vehicles)-lxopo- 6 month contract x 8,each x 6 months,92.00,48,4416.00,Rainbow Moon Service
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-19,Sanitizers,Sanitizer,500ml liquid sanitizer,500ml,135.00,1500,202500.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Sanitizers,Sanitizer,SL liquid sanitiser,51,980.00,200,196000.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Dispensers,Pump,500ml Spray bottle pump,500ml,29.00,500,14500.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Sanitizers,Sanitizer,20L Liquid Spray,20I,1800.00,15,27000.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Masks,Mask (Surgical),Face masks surgical 3ply,pack of 10,60.00,400,24000.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Gloves,Gloves,Hand gloves 100 per box,100 per box,175.00,200,35000.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Sanitizers,Sanitizer,500 ml Liquid sanitiser,500ml,130.00,1000,130000.00,Makatini Siba (pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-23,Sanitizers,Sanitizer,25L Hand Sanitiser SABS Approved,251,2500.00,80,200000.00,Oshlanga Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-24,Sanitizers,Sanitizer,Hand Sanitiser 500ml,500ml,115.90,1600,185440.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-24,Sanitizers,Sanitizer,Hand Sanitiser SL,51,1159.00,200,231800.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-07,Sanitizers,Sanitizer,5L liquid hand sanitizer,51,546.25,900,491625.00,AfriVision
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-24,Masks,Mask (Surgical),3 Ply Face Masks,pack of 10,28.75,17300,497375.00,LionHead Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-31,Gloves,Gloves,Latex Hand Gloves,100 per box,230.00,699,160770.00,LionHead Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-01,Sanitizers,Sanitizer,Liquid sanitiser 500ml,500ml,139.00,700,97300.00,Office Code Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-01,Masks,Mask (Surgical),Masks,pack of 10,59.50,5000,297500.00,Office Code Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-01,Gloves,Gloves,Gloves,100 per box,340.80,250,85200.00,Office Code Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-06,Sanitizers,Sanitizer,Liquid sanitizer 500ml,500ml,72.60,450,32670.00,Upward Spiral 1519 cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-06,Sanitizers,Sanitizer,Liquid sanitizer SL,51,370.20,35,12957.00,Upward Spiral 1519 cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-20,Sanitizers,Sanitizer,Liquid sanitizer 100ml,100ml,34.20,340,11628.00,Upward Spiral 1519 cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-20,Sanitizers,Sanitizer,Liquid sanitizer 200ml,200ml,67.00,192,12864.00,Upward Spiral 1519 cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-04-06,Masks,Mask (Surgical),Face masks Surgical 3PLY,pack of 10,55.00,8000,440000.00,Esomkhulu Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Dispensers,Pump,12L Hand pump,121,1295.00,50,64750.00,Nkosi Africa Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Dispensers,Pump,16L Hand pump,161,1895.00,30,56850.00,Nkosi Africa Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Dispensers,Pump,SL Hand pump,51,850.00,50,42500.00,Nkosi Africa Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-25,Sanitizers,Sanitizer,SL Hand sanitiser,51,975.00,300,292500.00,Nkosi Africa Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-23,Sanitizers,Sanitizer,500ml sanitizers,500ml,95.00,10,950.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-23,Gloves,Gloves,Box of gloves re-usable for cleaning,Each,7.50,100,750.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-23,Masks,Mask (Surgical),Face masks,Each,15.00,20,300.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-24,Sanitizers,Disinfectant,Powder Chlorine Disinfectant,Each,115.90,265000,30713500.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-03-24,Other,Provide Details,Reflector jackects,Each,385.92,30,11577.60,Oshlanga Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-07,Themometers,Thermometers: Infrared,Digital Thermometer,Each,2300.00,200,460000.00,Makab Suppliers (PTY) LTD
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Disinfectant,Disinfectant,51,440.00,73200,32208000.00,Mavuka 010115 Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Disinfectant,Disinfectant,51,106.00,292800,31036800.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Masks,Masks (Cloth),Masks,Each,18.00,99147,1784646.00,Esomkhulu Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Masks,Masks (Cloth),Masks,Each,24.00,198294,4759056.00,Mashibela Business Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Masks,Masks (Cloth),Masks,Each,24.00,99147,2379528.00,Silo Group Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Masks,Masks (Cloth),Masks,Each,24.00,1586355,38072520.00,The New Look
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,PPE,Apron,Heavy Duty Aprons,Each,185.00,24000,4440000.00,Ka-Myaluza (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Dispensers,Pump,Pumps,Each,1749.15,19440,34003476.00,Alfrehutch Trading cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Dispensers,Pump,Pumps,Each,1700.00,4860,8262000.00,Thongwana Trading (pty) ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Sanitizer,Sanitizers (500ml),500ml,69.57,244000,16975080.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Sanitizer,Sanitizers (511),5L,726.09,122000,88582980.00,Logan Medical & Surgical (Ply) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Sanitizer,Sanitizers (2511),25L,4375.00,6300,27562500.00,Njiki Yesizwe Projects (Ply) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Sanitizer,Sanitizers (2511),25L,4370.00,6300,27531000.00,Promed Technologies (Ply) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Dispensers,Sanitizer Refill Bottles,Spray Bottles,Each,11.50,148721,1710291.50,Army Project Consultant SA
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Dispensers,Sanitizer Refill Bottles,Spray Bottles,Each,24.00,347015,8328360.00,Azucare (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,PPE,Visor/ Face-Shield,Visors,Each,70.43,93720,6600699.60,Neostra Electronic Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,PPE,Visor/ Face-Shield,Visors,Each,104.50,8680,907060.00,Ezulwini Medical (pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,PPE,Visor/ Face-Shield,Visors,Each,104.50,90000,9405000.00,888 Business Solutions cc
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Soap - Liquid,Liquid soap,51,104.50,91500,9561750.00,lzingodla Health
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-15,Sanitizers,Soap - Liquid,Liquid soap,51,119.99,95161,11418368.39,Oshlanga Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,2400.00,1000,2400000.00,Sekakhona Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Pump,16Litres Spray pump,Each,1695.00,133,225435.00,Espani Outsourcing
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Pump,5 Litres Spray pump,Each,995.00,271,269645.00,Espani Outsourcing
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,2070.00,1000,2070000.00,Amakhono Capital
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1750.00,1000,1750000.00,MKV Enterprises
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16Litres Spray pump,Each,1898.64,2000,3797280.00,Franswillemse
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,2300.00,1000,2300000.00,Ogabasin Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,2043.47,3000,6130410.00,Oshlanga Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,2000.00,2200,4400000.00,Blue jay Development
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,PPE,Visor/ Face-Shield,Visors,Each,80.00,49500,3960000.00,Assetrack Technologies
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1495.00,600,897000.00,38 Avenue Business Project
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Gloves,Gloves,Re-usable gloves,Each,105.00,12000,1260000.00,Ka-Myaluza (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1400.00,1000,1400000.00,Rosetta Investments
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,1850.00,2000,3700000.00,Hourglass Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1478.27,203,300088.81,Assetrack Technologies
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1650.00,1000,1650000.00,Mawise Development
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Pump,5 Litres Spray pump,Each,750.00,1000,750000.00,Mbhudu Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1600.00,1250,2000000.00,AG Medicals
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact Thermometers,Each,2400.00,2000,4800000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,16 Litres Spray pump,Each,1720.00,111,190920.00,Newtrack Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-27,Advertisements,Advert : Radio,Advert Radio,3 times per day,17043.00,3,51129.00,Gagasi FM
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-27,Advertisements,Advert: Radio,Advert Radio,3 times per day,43101.04,3,129303.12,Media Mark
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-27,Advertisements,Advert: Radio,Advert Radio,3 times per day,49346.50,3,148039.50,Ukhozi FM
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-27,Advertisements,Advert Newspaper,Advert newspaper,Once off,223450.56,1,223450.56,Independent newspaper
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-27,Advertisements,Advert : Newspaper,Advert newspaper,Once off,165425.55,1,165425.55,Independent newspaper
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Gloves,Gloves: Cuff-length High Risk,Re-usable gloves,Each,80.00,6000,480000.00,llanga newspaper
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-04,Dispensers,Knapsack sprayers,Spray pump (16Litres),Each,1478.26,2000,2956520.00,Empire Power
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-08,PPE,Apron,Re-usable Aprons,Each,157.25,27200,4277200.00,KA-Myaluza (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-06,Advertisements,Advert Newspaper,DesignSignage to schools,Each,5000.00,1,5000.00,247 Printers and Advertising
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-06,Advertisements,Advert Newspaper,Phamphlets A4/150gms gloss,Each,0.25,750000,187500.00,247 Printers and Advertising
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-06,Advertisements,Advert Newspaper,Posters on Covid-19,Each,2.50,75000,187500.00,247 Printers and Advertising
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-06,Advertisements,Advert Newspaper,Banners on Covid-19,Each,76.00,1500,114000.00,247 Printers and Advertising
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact thermometers,Each,1700.00,1000,1700000.00,Khanyisile Agency
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Non Contact thermometers,Each,2300.00,1500,3450000.00,Kand L Consulting
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Thermometers,Each,2049.00,1000,2049000.00,Magamedge Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Thermometers,Each,2527.70,1000,2527700.00,Siyabonga Industrial Services
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Themometers,Thermometers: Infrared,Thermometers,Each,2250.00,2000,4500000.00,Neosta Electronic Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-05-22,Dispensers,Knapsack sprayers,Spray pump 16 Litres,Each,1955.00,300,586500.00,Bulum Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-15,PPE,Protective Clothing,Woven coveralls,Each,180.00,30000,5400000.00,888 Business Solutions CC
