buyer_name,implementation_location_other,supplier_name,items_description,invoice_number,invoice_date,procurement_method,items_quantity,Unit of Measure,cost_per_unit_zar,order_amount_zar
Department of Home Affairs (DHA),Limpopo,Phinorah Safetyware,Dust mask,Petty Cash,2020-03-26,Petty Cash,3,box of 100,300.00,900.00
Department of Home Affairs (DHA),Limpopo,Pienaar Bros,Gloves,Petty Cash,2020-03-26,Petty Cash,5,box 100,70.00,350.00
Department of Home Affairs (DHA),Limpopo,Pep,Wipes,Petty Cash,2020-03-26,Petty Cash,6,box 50,50.00,300.00
Department of Home Affairs (DHA),Limpopo,Cherkers,Sanitiser,Petty Cash,2020-03-26,Petty Cash,27,1 litre,10.00,270.00
Department of Home Affairs (DHA),Limpopo,The Cleaning Co.,Sanitiser,Petty Cash,2020-03-26,Petty Cash,4,5 litre,173.95,695.80
Department of Home Affairs (DHA),Limpopo,DNS SUPPLIES,SURGICAL MASKS,Acceptance letter,2020-04-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,280,box of 50,1207.50,338100.00
Department of Home Affairs (DHA),Limpopo,DNS SUPPLIES,EXAMINATIONS GLOVES,Acceptance letter,2020-04-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,140,box of 100,163.88,22942.50
Department of Home Affairs (DHA),Limpopo,Bidvest commercial products,Sanitizer,Quotations,2020-05-15,Quotations,258,5 litre,458.85,118383.00
Department of Home Affairs (DHA),Limpopo,Bidvest commercial products,gloves,Quotations,2020-05-15,Quotations,1854,box of 100,135.45,288792.95
Department of Home Affairs (DHA),Limpopo,Industroclean,Sanitizer,Quotations,2020-05-08,Quotations,215,5 litre,293.35,63071.00
Department of Home Affairs (DHA),Limpopo,AW chemicals,bio harard,Quotations,2020-05-15,Quotations,126,bag of 100,80.00,11592.00
Department of Home Affairs (DHA),Limpopo,Industroclean,gloves,Quotations,2020-05-15,Quotations,50,bag of 100,137.90,6854.58
Department of Home Affairs (DHA),Limpopo,Bidvest Steiner,Disinfecting of 43 Offices,Quotations,2020-05-07,Quotations,43,Offices,90659.10,90659.10
Department of Home Affairs (DHA),Limpopo,Cleaning Specialist,Disinfecting of Jane Furse Office,Quotations,2020-07-21,Quotations,740,Per square meter,3700.70,3700.10
Department of Home Affairs (DHA),Limpopo,Cleaning Specialist,Disinfecting of Thohoyandou Office,Quotations,2020-07-23,Quotations,1740,Per square meter,7277.20,7277.20
Department of Home Affairs (DHA),Limpopo,Bidvest Steiner,Disinfecting of  Tzaneen  Office,Quotations,2020-07-08,Quotations,1045,Per square meter,11777.15,11777.15
Department of Home Affairs (DHA),Limpopo,Cleaning Specialist,Disinfecting of  Bochum  Office,Quotations,2020-07-31,Quotations,200,Per square meter,1999.00,1999.00
Department of Home Affairs (DHA),Limpopo,Cleaning Specialist,Disinfecting of Jane Bochum  Office,Quotations,2020-07-21,Quotations,101.2,Per square meter,3483.55,3483.55
Department of Home Affairs (DHA),Limpopo,Macter Bapela Plumbing,Procurement of Jojo Tanks and Installation at Groblersdaal Of,iQceuotations,2020-07-24,Quotations,1,,28800.00,28800.00
Department of Home Affairs (DHA),Limpopo,Tshepangnaledi Trading,Procurement of Jojo Tanks and Installation at Mokopane Offic,Quotations,2020-07-07,Quotations,1,,29590.00,29590.00
Department of Home Affairs (DHA),Limpopo,Industroclean,Trigger Spray Bottles,Petty Cash,2020-06-03,Petty Cash,41,per bottle,2889.03,2889.03
Department of Home Affairs (DHA),Mpumalanga,Onele  Construction,Gloves -,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,box of 100,400.00,200000.00
Department of Home Affairs (DHA),Mpumalanga,Onele  Construction,Surgical Masks,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,200,box of 50,1460.00,292000.00
Department of Home Affairs (DHA),Mpumalanga,LN  CRESSENTIA,Sanitisers,Acceptance letter,2020-03-25,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1700,litre,78.00,132600.00
Department of Home Affairs (DHA),Mpumalanga,SALEYA TRADING CONSTRUCTION,Clothes Masks,Acceptance letter,2020-06-29,Treasury Contract List,1644,each,28.75,47265.00
Department of Home Affairs (DHA),Mpumalanga,KHEZOMEN ENTERTAINMENT,Sanitisers,MP-006259,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2600,25LX104,72.91,189566.00
Department of Home Affairs (DHA),Mpumalanga,KHEZOMEN ENTERTAINMENT,Disinfectants,MP-006259,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,5000,25LX200,52.85,264270.00
Department of Home Affairs (DHA),Mpumalanga,GUMZA GUEST TRADING,Protective Body Suites Disposable,MP-006274,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,300,each,128.00,38400.00
Department of Home Affairs (DHA),Mpumalanga,GUMZA GUEST TRADING,Surgical Gloves,MP-006274,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,10,100 in 1 box,577.37,5773.70
Department of Home Affairs (DHA),Mpumalanga,GUMZA GUEST TRADING,Knapsack Prayer with Shoulder Strap(16L),MP-006274,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,50,each,510.73,25536.50
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,MASK,Petty Cash,2020-03-25,Petty Cash,3,box of 50,1050.00,3150.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,MASK,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,1050.00,42000.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,MASK,Petty Cash,2020-03-25,Petty Cash,3,box of 50,1211.00,3633.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,GLOVES,Petty Cash,2020-03-25,Petty Cash,10,box of 100,120.00,1200.00
Department of Home Affairs (DHA),Northern Cape,NALEDI CHEMICALS,GLOVES,Petty Cash,2020-03-19,Petty Cash,4,box of 100,150.00,600.00
Department of Home Affairs (DHA),Northern Cape,BIDVEST STEINER,GLOVES,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,box of 100,214.99,6449.78
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,SANITIZERS,Petty Cash,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,5 litre,862.50,34500.00
Department of Home Affairs (DHA),Northern Cape,HALSTED AND CO,SANITIZERS,Petty Cash,2020-03-25,Petty Cash,10,5 litre,402.50,4025.00
Department of Home Affairs (DHA),Northern Cape,BLUE PETROLEUM,SANITIZERS,Petty Cash,2020-03-19,Petty Cash,2,litre,180.00,360.00
Department of Home Affairs (DHA),Northern Cape,NIMBA TECK,SANITIZERS,Petty Cash,2020-03-18,Petty Cash,2,5 litre,517.50,1035.00
Department of Home Affairs (DHA),Northern Cape,NALEDI CHEMICALS,SANITIZERS,Petty Cash,2020-03-20,Petty Cash,3,5 litre,300.00,900.00
Department of Home Affairs (DHA),Northern Cape,HALSTED AND CO,DISINFECTANT,Petty Cash,2020-03-20,Petty Cash,1,5 litre,316.00,316.00
Department of Home Affairs (DHA),Northern Cape,STEINER,GLOVES (PPE),NC-003773,23.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,box of 100,215.00,6450.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,MASKS,NC-003774,24.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,1050.00,42000.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,SANITIZERS,NC-003774,24.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,5 litre,750.00,30000.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,SANITIZERS,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,90,5 litre,517.50,46575.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,GLOVES,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,207.00,20700.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,MASKS,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,862.50,86250.00
Department of Home Affairs (DHA),Northern Cape,DNS SUPPLIES,DISINFECTING OF OFFICES,NC-003795,07.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,107222.00,107222.00
Department of Home Affairs (DHA),Northern Cape,LLTP HOLDINGS,SURGICAL GLOVES,NC-003851,11.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,300,box of 100,169.00,50700.00
Department of Home Affairs (DHA),Northern Cape,LLTP HOLDINGS,MASKS,NC-003851,11.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,50,box of 50,576.00,28800.00
Department of Home Affairs (DHA),Northern Cape,SULBRINK KIMBERELY,MULTI-PURPOSE CLEANER,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,90,5 litre,84.50,7605.00
Department of Home Affairs (DHA),Northern Cape,SULBRINK KIMBERELY,HAND SANITIZERS,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,5 litre,341.85,51277.50
Department of Home Affairs (DHA),Northern Cape,SULBRINK KIMBERELY,DISINFECTANT,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,5 litre,93.75,14062.50
Department of Home Affairs (DHA),Northern Cape,PHORI TRADING,KNAPSACK(PPE),NC-003860,24.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,17,each,1500.00,25500.00
Department of Home Affairs (DHA),Northern Cape,FG UNIFORM,CLOTH  MASK,NC-003868,26.06.2020,RT CONTRACT,1360,each,22.05,29988.00
Department of Home Affairs (DHA),Northern Cape,STEINER,DISINFECTING OFFICE - KURUMAN,NC-003869,29.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,12903.03,12903.03
Department of Home Affairs (DHA),Northern Cape,TT GLOBAL TRADING,DISINFECTING OFFICE - COLESBERG,NC-003884,14.07.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,16495.00,16495.00
Department of Home Affairs (DHA),Northern Cape,PHORI MAMZ HOLDINGS,MICROGUARD CHLORIDE BIOCIDES,Petty Cash,17.07.2020,Petty Cash,4,box of 100,480.00,1920.00
Department of Home Affairs (DHA),North West (Provincia,EVEGREEN LATEX,Examination Gloves,NW-006314,2020-05-14,Instruction No 5 of 2020/21. Paragraph 5,600 Boxes,100 Gloves per box,49.85,29911.51
Department of Home Affairs (DHA),North West (Provincia,EVEGREEN LATEX,Surgical Gloves,NW-006315,2020-05-14,Instruction No 5 of 2020/21. Paragraph 5,280 Boxes,50 Pairs per box,147.99,41438.19
Department of Home Affairs (DHA),North West (Atamela,Designer Culture,Office Disinfaction Service,NW-006293,2020-05-06,CSD Process - Quotations,Once off,Once off,,9271.80
Department of Home Affairs (DHA),North West (Wolmara,Eliefu Suppliers,Office Disinfaction Service,NW-006295,2020-05-07,CSD Process - Quotations,Once off,Once off,,6843.10
Department of Home Affairs (DHA),North West (Mmabat,Sapu Trading,Office Disinfaction Service,NW-006296,2020-05-07,CSD Process - Quotations,Once off,Once off,,27018.18
Department of Home Affairs (DHA),North West (Klerksdor,O and D Technologies,Office Disinfaction Service,NW-006297,2020-05-07,CSD Process - Quotations,Once off,Once off,,14050.00
Department of Home Affairs (DHA),North West (Swartrug,Kalahari Business,Office Disinfaction Service,NW-006298,2020-05-07,CSD Process - Quotations,Once off,Once off,,1988.60
Department of Home Affairs (DHA),North West (Zeerust),Legoale Construction,Office Disinfaction Service,NW-006299,2020-05-07,CSD Process - Quotations,Once off,Once off,,18235.20
Department of Home Affairs (DHA),North West (Potchefst,Traffic Cleaning,Office Disinfaction Service,NW-006300,2020-05-07,CSD Process - Quotations,Once off,Once off,,15990.78
Department of Home Affairs (DHA),North West (Rustenbu,Jojo Distributers,Office Disinfaction Service,NW-006302,2020-05-07,CSD Process - Quotations,Once off,Once off,,14646.00
Department of Home Affairs (DHA),North West (Mankwe),Jojo Distributers,Office Disinfaction Service,NW-006303,2020-05-07,CSD Process - Quotations,Once off,Once off,,7098.00
Department of Home Affairs (DHA),North West (Ganyesa),TPM Travel Enterprise,Office Disinfaction Service,NW-006304,2020-05-07,CSD Process - Quotations,Once off,Once off,,29459.79
Department of Home Affairs (DHA),North West (Vryburg),The Black Wrack,Office Disinfaction Service,NW-006306,2020-05-07,CSD Process - Quotations,Once off,Once off,,19814.37
Department of Home Affairs (DHA),North West (Taung),LO Thamaga,Office Disinfaction Service,NW-006307,2020-05-07,CSD Process - Quotations,Once off,Once off,,10430.50
Department of Home Affairs (DHA),North West (Mafikeng,Finess Trading,Office Disinfaction Service,NW-006308,2020-05-07,CSD Process - Quotations,Once off,Once off,,16084.80
Department of Home Affairs (DHA),North West (Madikwe,Agisanang Women,Office Disinfaction Service,NW-006309,2020-05-08,CSD Process - Quotations,Once off,Once off,,10173.80
Department of Home Affairs (DHA),North West (Provincia,Designer Culture,Office Disinfaction Service,NW-006310,2020-05-08,CSD Process - Quotations,Once off,Once off,,2750.00
Department of Home Affairs (DHA),North West (Itsoseng),KPLX Africa,Office Disinfaction Service,NW-006311,2020-05-08,CSD Process - Quotations,Once off,Once off,,6330.00
Department of Home Affairs (DHA),North West (Lightenb,KPLX Africa,Office Disinfaction Service,NW-006312,2020-05-08,CSD Process - Quotations,Once off,Once off,,22200.00
Department of Home Affairs (DHA),North West (Provincia,M M B Trading and Projects,Disposable Masks,NW-006294,2020-05-07,"Instruction No 5 of 2020/21, Paragraph 4,6",6000 Masks,each,12.48,74880.00
Department of Home Affairs (DHA),North West (Provincia,Angieochem,Cloth Masks,NW-006313,2020-05-11,"Intruction No 5 of 2020/21, paragraph 4,6, d",1100,each,25.00,27500.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,Sanitizer,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",320,5 Liter,265.60,84992.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,500 ml Surface Disinfactant Cleaner,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",80,500ml,33.45,2676.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,500 ml Trigger Spray Bottle,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",100,each,32.50,3250.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,16 Litre Knapsack Hand Operated Pressure Spray,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",22,each,450.00,9900.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,Visor Face Shield,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",130,each,38.90,5057.00
Department of Home Affairs (DHA),North West (Provincia,Matopana Retails and Projects,Plastic Apron,NW-006316,2020-05-15,"Instruction No 5 of 2020/21, Paragraph 4,6",20,Pack of 100's,125.45,2509.00
Department of Home Affairs (DHA),North West,EVERGREEN LATEX,Gloves,AI-601720,2020-03-26,Treasury Contract List,140,box of 50,170.20,23828.00
Department of Home Affairs (DHA),North West (Mmabat,Dandri Hatchery & Chemicals,Gloves,Petty Cash,2020-03-25,Petty Cash,20,Box of 100,70.00,1400.00
Department of Home Affairs (DHA),North West (Itsoseng),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,2020-03-26,Petty Cash,1 x 1Litre Spray Bottles,1 Litre,100.00,1500.00
Department of Home Affairs (DHA),North West (Atamela,Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,2020-03-26,Petty Cash,1 x 1Litre Spray Bottles,1 Litre,100.00,1500.00
Department of Home Affairs (DHA),North West (Zeerust),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,2020-03-26,Petty Cash,14 Lxi t1rLeitsr oef S Sparnaiyt iBzeortstles,15 Litres,13050.00,1500.00
Department of Home Affairs (DHA),North West (Molopo),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,2020-03-26,Petty Cash,14 Lxi t1rLeitsr oef S Sparnaiyt iBzeortstles,15 Litres,13050.00,1500.00
Department of Home Affairs (DHA),North West (Provincia,Dandri Hatchery & Chemicals,SanitizersSpray Bottles,Petty Cash,2020-03-30,Petty Cash,2,1.5 litres,,420.00
Department of Home Affairs (DHA),North West (Provincia,SIGMA Safety Solutions,Masks,NW-006247,2020-04-01,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,4500,each,22.50,101250.00
Department of Home Affairs (DHA),North West (Provincia,M M B Trading and Projects,SanitizersSpray Bottles,NW-006248,2020-04-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,10 Spray Bottles,1 Litre,150.00,68700.00
Department of Home Affairs (DHA),Western Cape,GIGANTIC CONSORTIUM,BIO HAZARD WASTE BAGS,WC-004916,2020-07-31,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2160,per item,12.34,26654.40
Department of Home Affairs (DHA),Western Cape,TRIPLE 3 SERVICES,5 LITRE PRESURISED SPRAY,WC-004881,2020-05-28,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,35,Per Bottle,225.00,7875.00
Department of Home Affairs (DHA),Western Cape,JRJ TRADING AND BUSINESS ENTERPRISE PTY LTD,DISPOSABLE BODY COVERALLS,WC-004880,2020-06-08,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,180,per item,85.25,15345.00
Department of Home Affairs (DHA),Western Cape,JRJ TRADING AND BUSINESS ENTERPRISE PTY LTD,DISPOSABLE BOOTCOVERS,WC-004880,2020-06-08,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,18,Box of 100,347.20,6249.60
Department of Home Affairs (DHA),Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,2020-06-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,per item,21.85,24035.00
Department of Home Affairs (DHA),Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,2020-06-15,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,per item,21.85,32775.00
Department of Home Affairs (DHA),Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,2020-06-09,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,per item,21.85,21850.00
Department of Home Affairs (DHA),Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,2020-06-22,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2000,per item,21.85,43700.00
Department of Home Affairs (DHA),Western Cape,ITSTYM GENERAL TRADING,SURGICAL MASKS (3PLY STANDARD EARLOOP FACE MASK),WC-004873,2020-05-14,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,Box of 50,449.99,44999.00
Department of Home Affairs (DHA),Western Cape,THE SPECIALIST FRANCHISE,FUMIGATION,WC-004860,2020-05-14,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,17072,PER Sqm,4.94,84261.36
Department of Home Affairs (DHA),Western Cape,THE SPECIALIST FRANCHISE,FUMIGATION,WC-004890,2020-06-11,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,16583,PER Sqm,11.50,190704.50
Department of Home Affairs (DHA),Western Cape,A1 NASWA FUMIGATION,FUMIGATION,WC-004885,2020-06-10,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8666,PER Sqm,3.29,28500.00
Department of Home Affairs (DHA),Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELS,B592394,2020-05-04,Petty Cash,100,per item,20.00,2000.00
Department of Home Affairs (DHA),Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,2020-05-04,Petty Cash,100,per item,20.00,2000.00
Department of Home Affairs (DHA),Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,2020-05-04,Petty Cash,100,per item,20.00,2000.00
Department of Home Affairs (DHA),Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,2020-05-04,Petty Cash,100,per item,20.00,2000.00
Department of Home Affairs (DHA),Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,2020-05-04,Petty Cash,100,per item,20.00,2000.00
Department of Home Affairs (DHA),Western Cape,WAYMAKER SHE SUPPORT SERVICES,SURGICAL GLOVES,B592394,2020-05-28,Petty Cash,20,Box of 100,100.00,2000.00
Department of Home Affairs (DHA),Western Cape,LINGS DEPARTMENT SOTE,HAND SANITIZER,A721378,2020-05-01,Petty Cash,5,PER 1LTR,45.80,229.00
Department of Home Affairs (DHA),Western Cape,OVERBERG AGRI,SPRAY - MARKINGS FOR SOCIAL DISTANCING,A721378,2020-05-04,Petty Cash,2,per item,0.00,158.40
Department of Home Affairs (DHA),Western Cape,PICK N PAY,BATTERIES FOR THEMOMETERS,A721378,2020-05-09,Petty Cash,2,per item,139.99,279.98
Department of Home Affairs (DHA),Western Cape,LIZAHN SEWING,FACE MASK,A721378,2020-05-25,Petty Cash,28,per item,25.00,700.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B370983,2020-03-23,Petty Cash,1,PER 25 LTR,1150.00,1150.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-02,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-02,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-03,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-04,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-05,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-06,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-07,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2020-04-08,Petty Cash,1,PER 25 LTR,1127.00,1127.00
Department of Home Affairs (DHA),Western Cape,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER,PMT-18028198,2020-03-25,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,PER 1LTR,60.75,91125.00
Department of Home Affairs (DHA),Western Cape,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER,IN100121,2020-07-01,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3120,PER 1LTR,60.75,189540.04
Department of Home Affairs (DHA),Western Cape,EDEN MEDICAL SUPPLIES,MEDICAL GLOVES,B401372,2020-03-17,Petty Cash,6,Box of 100,101.99,611.96
Department of Home Affairs (DHA),Western Cape,BOLAND PACKING EMBS,HAND SANITIZER,B324447,2020-06-20,Petty Cash,6,per item,60.92,365.50
Department of Home Affairs (DHA),Western Cape,BOLAND PACKING EMBS,SPRAY - MARKINGS FOR SOCIAL DISTANCING,A956517,2020-05-02,Petty Cash,,per item,,992.00
Department of Home Affairs (DHA),Western Cape,BRIGHTS HARDWARE,BATTERIES FOR THEMOMETERS,A956517,2020-05-11,Petty Cash,1,per item,119.95,119.95
Department of Home Affairs (DHA),Western Cape,SPAR,BATTERIES FOR THEMOMETERS,A956517,2020-05-18,Petty Cash,1,per item,199.99,199.99
Department of Home Affairs (DHA),Western Cape,CHEMICAL CITY,HAND SANITIZER,B651094,2020-06-26,Petty Cash,4,per item,51.00,204.00
Department of Home Affairs (DHA),Western Cape,LIFESTYLE FABRICS CURTAINS,CLEANING MATERIAL,B651094,2020-06-26,Petty Cash,3,per item,27.97,83.95
Department of Home Affairs (DHA),Western Cape,TIKEDI HOLDING,CLEANING SERVICES,WC-004884,2020-07-31,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,5787.50,5787.50
Department of Home Affairs (DHA),Western Cape,TRUEGAURD SECURITY AND HYGIENE,CLEANING SERVICES,WC-004878,2020-07-30,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,5860.00,5860.00
Department of Home Affairs (DHA),Western Cape,LIFO LUFESTYLE MANAGEMENT,CLEANING SERVICES,WC-004882,2020-07-31,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,5980.00,5980.00
Department of Home Affairs (DHA),Head Office (Property,Ubuntu sourcing,Gloves,Petty Cash,2020-03-17,Petty Cash,5,box of 100,150.00,750.00
Department of Home Affairs (DHA),Head Office (Property,BEE-INFORMED(Gloves),Gloves,Petty Cash,2020-03-17,Petty Cash,2,box of 100,50.00,100.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-17,Petty Cash,1,5 litre,1100.00,1100.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Masks,Petty Cash,2020-03-17,Petty Cash,40,each,52.00,2080.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-17,Petty Cash,8,each,149.00,1192.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Masks,Petty Cash,2020-03-17,Petty Cash,1,Box of 100,11.00,1100.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Masks,Petty Cash,2020-03-17,Petty Cash,1,Box of 100,11.00,1100.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Masks,Petty Cash,2020-03-18,Petty Cash,1,Box of 100,11.00,1100.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-18,Petty Cash,10,200 ml,149.00,1490.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-18,Petty Cash,5,500 ml,169.00,845.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-18,Petty Cash,1,200 ml,149.00,149.00
Department of Home Affairs (DHA),Head Office (Property,Universal pulse trading,Sanitisers,Petty Cash,2020-03-19,Petty Cash,1,5 litre,1100.00,1100.00
Department of Home Affairs (DHA),Head Office (Property,Universal Safety Products,Masks,Petty Cash,2020-03-19,Petty Cash,1200,Box of 100,16.67,20010.00
Department of Home Affairs (DHA),Head Office (Property,BEE-INFORMED(Sanitiser),Sanitisers,Petty Cash,2020-03-19,Petty Cash,20,500 ml,290.00,5800.00
Department of Home Affairs (DHA),Head Office (Property,Motheo W Rona,Gloves,AI-601721,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,20,box of 100,450.00,9000.00
