"",Limpopo,Macter Bapela Plumbing,Procurement of Jojo Tanks and Installation at Groblersdaal Of,iQceuotations,24/07/2020,Quotations,1,,"R28,800.00","R28,800.00"
"",Limpopo,Tshepangnaledi Trading,Procurement of Jojo Tanks and Installation at Mokopane Offic,Quotations,07/07/2020,Quotations,1,,"R29,590.00","R29,590.00"
"",Limpopo,Industroclean,Trigger Spray Bottles,Petty Cash,03/06/2020,Petty Cash,41,per bottle,"R2,889.03","R2,889.03"
"",Mpumalanga,Onele  Construction,Gloves -,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,box of 100,R400.00,"R200,000.00"
"",Mpumalanga,Onele  Construction,Surgical Masks,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,200,box of 50,"R1,460.00","R292,000.00"
"",Mpumalanga,LN  CRESSENTIA,Sanitisers,Acceptance letter,25/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1700,litre,R78.00,"R132,600.00"
"",Mpumalanga,SALEYA TRADING CONSTRUCTION,Clothes Masks,Acceptance letter,29/06/2020,Treasury Contract List,1644,each,R28.75,"R47,265.00"
"",Mpumalanga,KHEZOMEN ENTERTAINMENT,Sanitisers,MP-006259,13/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2600,25LX104,R72.91,"R189,566.00"
"",Mpumalanga,KHEZOMEN ENTERTAINMENT,Disinfectants,MP-006259,13/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,5000,25LX200,R52.85,"R264,270.00"
"",Mpumalanga,GUMZA GUEST TRADING,Protective Body Suites Disposable,MP-006274,13/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,300,each,R128.00,"R38,400.00"
"",Mpumalanga,GUMZA GUEST TRADING,Surgical Gloves,MP-006274,13/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,10,100 in 1 box,R577.37,"R5,773.70"
"",Mpumalanga,GUMZA GUEST TRADING,Knapsack Prayer with Shoulder Strap(16L),MP-006274,13/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,50,each,R510.73,"R25,536.50"
"",Northern Cape,DNS SUPPLIES,MASK,Petty Cash,25/03/2020,Petty Cash,3,box of 50,"R1,050.00","R3,150.00"
"",Northern Cape,DNS SUPPLIES,MASK,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,"R1,050.00","R42,000.00"
"",Northern Cape,DNS SUPPLIES,MASK,Petty Cash,25/03/2020,Petty Cash,3,box of 50,"R1,211.00","R3,633.00"
"",Northern Cape,DNS SUPPLIES,GLOVES,Petty Cash,25/03/2020,Petty Cash,10,box of 100,R120.00,"R1,200.00"
"",Northern Cape,NALEDI CHEMICALS,GLOVES,Petty Cash,19/03/2020,Petty Cash,4,box of 100,R150.00,R600.00
"",Northern Cape,BIDVEST STEINER,GLOVES,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,box of 100,R214.99,"R6,449.78"
"",Northern Cape,DNS SUPPLIES,SANITIZERS,Petty Cash,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,5 litre,R862.50,"R34,500.00"
"",Northern Cape,HALSTED AND CO,SANITIZERS,Petty Cash,25/03/2020,Petty Cash,10,5 litre,R402.50,"R4,025.00"
"",Northern Cape,BLUE PETROLEUM,SANITIZERS,Petty Cash,19/03/2020,Petty Cash,2,litre,R180.00,R360.00
"",Northern Cape,NIMBA TECK,SANITIZERS,Petty Cash,18/03/2020,Petty Cash,2,5 litre,R517.50,"R1,035.00"
"",Northern Cape,NALEDI CHEMICALS,SANITIZERS,Petty Cash,20/03/2020,Petty Cash,3,5 litre,R300.00,R900.00
"",Northern Cape,HALSTED AND CO,DISINFECTANT,Petty Cash,20/03/2020,Petty Cash,1,5 litre,R316.00,R316.00
"",Northern Cape,STEINER,GLOVES (PPE),NC-003773,23.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,box of 100,R215.00,"R6,450.00"
"",Northern Cape,DNS SUPPLIES,MASKS,NC-003774,24.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,"R1,050.00","R42,000.00"
"",Northern Cape,DNS SUPPLIES,SANITIZERS,NC-003774,24.04.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,5 litre,R750.00,"R30,000.00"
"",Northern Cape,DNS SUPPLIES,SANITIZERS,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,90,5 litre,R517.50,"R46,575.00"
"",Northern Cape,DNS SUPPLIES,GLOVES,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,R207.00,"R20,700.00"
"",Northern Cape,DNS SUPPLIES,MASKS,NC-003792,06.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,R862.50,"R86,250.00"
"",Northern Cape,DNS SUPPLIES,DISINFECTING OF OFFICES,NC-003795,07.05.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,"R107,222.00","R107,222.00"
"",Northern Cape,LLTP HOLDINGS,SURGICAL GLOVES,NC-003851,11.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,300,box of 100,R169.00,"R50,700.00"
"",Northern Cape,LLTP HOLDINGS,MASKS,NC-003851,11.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,50,box of 50,R576.00,"R28,800.00"
"",Northern Cape,SULBRINK KIMBERELY,MULTI-PURPOSE CLEANER,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,90,5 litre,R84.50,"R7,605.00"
"",Northern Cape,SULBRINK KIMBERELY,HAND SANITIZERS,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,5 litre,R341.85,"R51,277.50"
"",Northern Cape,SULBRINK KIMBERELY,DISINFECTANT,NC-003857,12.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,5 litre,R93.75,"R14,062.50"
"",Northern Cape,PHORI TRADING,KNAPSACK(PPE),NC-003860,24.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,17,each,"R1,500.00","R25,500.00"
"",Northern Cape,FG UNIFORM,CLOTH  MASK,NC-003868,26.06.2020,RT CONTRACT,1360,each,R22.05,"R29,988.00"
"",Northern Cape,STEINER,DISINFECTING OFFICE - KURUMAN,NC-003869,29.06.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,"R12,903.03","R12,903.03"
"",Northern Cape,TT GLOBAL TRADING,DISINFECTING OFFICE - COLESBERG,NC-003884,14.07.2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,each,"R16,495.00","R16,495.00"
"",Northern Cape,PHORI MAMZ HOLDINGS,MICROGUARD CHLORIDE BIOCIDES,Petty Cash,17.07.2020,Petty Cash,4,box of 100,R480.00,"R1,920.00"
"",North West (Provincia,EOVffEicReG)REEN LATEX,Examination Gloves,NW-006314,14/05/2020,Instruction No 5 of 2020/21. Paragraph 5,600 Boxes,100 Gloves per box,R49.85,"R29,911.51"
"",North West (Provincia,EOVffEicReG)REEN LATEX,Surgical Gloves,NW-006315,14/05/2020,Instruction No 5 of 2020/21. Paragraph 5,280 Boxes,50 Pairs per box,R147.99,"R41,438.19"
"",North West (Atamela,gD)esigner Culture,Office Disinfaction Service,NW-006293,06/05/2020,CSD Process - Quotations,Once off,Once off,,"R9,271.80"
"",North West (Wolmara,Esltiaedfu)  Suppliers,Office Disinfaction Service,NW-006295,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R6,843.10"
"",North West (Mmabat,oS)apu Trading,Office Disinfaction Service,NW-006296,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R27,018.18"
"",North West (Klerksdor,O)  and D Technologies,Office Disinfaction Service,NW-006297,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R14,050.00"
"",North West (Swartrug,Keanlsa)hari Business,Office Disinfaction Service,NW-006298,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R1,988.60"
"",North West (Zeerust),Legoale Construction,Office Disinfaction Service,NW-006299,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R18,235.20"
"",North West (Potchefst,Toroamff)ic Cleaning,Office Disinfaction Service,NW-006300,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R15,990.78"
"",North West (Rustenbu,Jgo)jo Distributers,Office Disinfaction Service,NW-006302,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R14,646.00"
"",North West (Mankwe),Jojo Distributers,Office Disinfaction Service,NW-006303,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R7,098.00"
"",North West (Ganyesa),TPM Travel Enterprise,Office Disinfaction Service,NW-006304,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R29,459.79"
"",North West (Vryburg),The Black Wrack,Office Disinfaction Service,NW-006306,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R19,814.37"
"",North West (Taung),LO Thamaga,Office Disinfaction Service,NW-006307,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R10,430.50"
"",North West (Mafikeng,Finess Trading,Office Disinfaction Service,NW-006308,07/05/2020,CSD Process - Quotations,Once off,Once off,,"R16,084.80"
"",North West (Madikwe,Agisanang Women,Office Disinfaction Service,NW-006309,08/05/2020,CSD Process - Quotations,Once off,Once off,,"R10,173.80"
"",North West (Provincia,DOeffsiicgen)er Culture,Office Disinfaction Service,NW-006310,08/05/2020,CSD Process - Quotations,Once off,Once off,,"R2,750.00"
"",North West (Itsoseng),KPLX Africa,Office Disinfaction Service,NW-006311,08/05/2020,CSD Process - Quotations,Once off,Once off,,"R6,330.00"
"",North West (Lightenb,rKgP)LX Africa,Office Disinfaction Service,NW-006312,08/05/2020,CSD Process - Quotations,Once off,Once off,,"R22,200.00"
"",North West (Provincia,MOf fMice B) Trading and Projects,Disposable Masks,NW-006294,07/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",6000 Masks,each,R12.48,"R74,880.00"
"",North West (Provincia,AOnffgici eo)chem,Cloth Masks,NW-006313,11/05/2020,"Intruction No 5 of 2020/21, paragraph 4,6, d",1100,each,R25.00,"R27,500.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,Sanitizer,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",320,5 Liter,R265.60,"R84,992.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,500 ml Surface Disinfactant Cleaner,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",80,500ml,R33.45,"R2,676.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,500 ml Trigger Spray Bottle,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",100,each,R32.50,"R3,250.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,16 Litre Knapsack Hand Operated Pressure Spray,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",22,each,R450.00,"R9,900.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,Visor Face Shield,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",130,each,R38.90,"R5,057.00"
"",North West (Provincia,MOfafitcoep)ana Retails and Projects,Plastic Apron,NW-006316,15/05/2020,"Instruction No 5 of 2020/21, Paragraph 4,6",20,Pack of 100's,R125.45,"R2,509.00"
"",North West,EVERGREEN LATEX,Gloves,AI-601720,26/03/2020,Treasury Contract List,140,box of 50,R170.20,"R23,828.00"
"",North West (Mmabat,oD)andri Hatchery & Chemicals,Gloves,Petty Cash,25/03/2020,Petty Cash,20,Box of 100,R70.00,"R1,400.00"
"",North West (Itsoseng),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,26/03/2020,Petty Cash,1 x 1Litre Spray Bottles,1 Litre,100,"R1,500.00"
"",North West (Atamela,gD)andri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,26/03/2020,Petty Cash,1 x 1Litre Spray Bottles,1 Litre,100,"R1,500.00"
"",North West (Zeerust),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,26/03/2020,Petty Cash,14 Lxi t1rLeitsr oef S Sparnaiyt iBzeortstles,15 Litres,13050,"R1,500.00"
"",North West (Molopo),Dandri Hatchery & Chemicals,SanitizersSpray Bottle,Petty Cash,26/03/2020,Petty Cash,14 Lxi t1rLeitsr oef S Sparnaiyt iBzeortstles,15 Litres,13050,"R1,500.00"
"",North West (Provincia,DOaffnicder)i Hatchery & Chemicals,SanitizersSpray Bottles,Petty Cash,30/03/2020,Petty Cash,2,1.5 litres,,R420.00
"",North West (Provincia,SOIfGfiMceA) Safety Solutions,Masks,NW-006247,1/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,4500,each,R22.50,"R101,250.00"
"",North West (Provincia,MOf fMice B) Trading and Projects,SanitizersSpray Bottles,NW-006248,6/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,10 Spray Bottles,1 Litre,150,"R68,700.00"
"",Western Cape,GIGANTIC CONSORTIUM,BIO HAZARD WASTE BAGS,WC-004916,31/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2160,per item,R12.34,"R26,654.40"
"",Western Cape,TRIPLE 3 SERVICES,5 LITRE PRESURISED SPRAY,WC-004881,28/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,35,Per Bottle,R225.00,"R7,875.00"
"",Western Cape,JRJ TRADING AND BUSINESS ENTERPRISE PTY LTD,DISPOSABLE BODY COVERALLS,WC-004880,8/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,180,per item,R85.25,"R15,345.00"
"",Western Cape,JRJ TRADING AND BUSINESS ENTERPRISE PTY LTD,DISPOSABLE BOOTCOVERS,WC-004880,8/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,18,Box of 100,R347.20,"R6,249.60"
"",Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,26/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,per item,R21.85,"R24,035.00"
"",Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,15/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,per item,R21.85,"R32,775.00"
"",Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,9/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,per item,R21.85,"R21,850.00"
"",Western Cape,DESIGN 26,CLOTH MASKS- BLUE PLEATED,WC-004875,22/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,2000,per item,R21.85,"R43,700.00"
"",Western Cape,ITSTYM GENERAL TRADING,SURGICAL MASKS (3PLY STANDARD EARLOOP FACE MASK),WC-004873,14/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,Box of 50,R449.99,"R44,999.00"
"",Western Cape,THE SPECIALIST FRANCHISE,FUMIGATION,WC-004860,14/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,17072,PER Sqm,R4.94,"R84,261.36"
"",Western Cape,THE SPECIALIST FRANCHISE,FUMIGATION,WC-004890,11/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,16583,PER Sqm,R11.50,"R190,704.50"
"",Western Cape,A1 NASWA FUMIGATION,FUMIGATION,WC-004885,10/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8666,PER Sqm,R3.29,"R28,500.00"
"",Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELS,B592394,4/5/2020,Petty Cash,100,per item,R20.00,"R2,000.00"
"",Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,4/5/2020,Petty Cash,100,per item,R20.00,"R2,000.00"
"",Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,4/5/2020,Petty Cash,100,per item,R20.00,"R2,000.00"
"",Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,4/5/2020,Petty Cash,100,per item,R20.00,"R2,000.00"
"",Western Cape,UVP VELTOPARK,PLASTIC FACE SHIELDS,B592394,4/5/2020,Petty Cash,100,per item,R20.00,"R2,000.00"
"",Western Cape,WAYMAKER SHE SUPPORT SERVICES,SURGICAL GLOVES,B592394,28/5/2020,Petty Cash,20,Box of 100,R100.00,"R2,000.00"
"",Western Cape,LINGS DEPARTMENT SOTE,HAND SANITIZER,A721378,1/5/2020,Petty Cash,5,PER 1LTR,R45.80,R229.00
"",Western Cape,OVERBERG AGRI,SPRAY - MARKINGS FOR SOCIAL DISTANCING,A721378,4/5/2020,Petty Cash,2,per item,R0.00,R158.40
"",Western Cape,PICK N PAY,BATTERIES FOR THEMOMETERS,A721378,9/5/2020,Petty Cash,2,per item,R139.99,R279.98
"",Western Cape,LIZAHN SEWING,FACE MASK,A721378,25/5/2020,Petty Cash,28,per item,R25.00,R700.00
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B370983,23/3/2020,Petty Cash,1,PER 25 LTR,"R1,150.00","R1,150.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,2/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,3/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,4/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,5/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,6/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,7/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LAMBS CHEMICAL MANUFACTURER,HAND SANITIZER,B592393,8/4/2020,Petty Cash,1,PER 25 LTR,"R1,127.00","R1,127.00"
"",Western Cape,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER,PMT-18028198,25/3/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,PER 1LTR,R60.75,"R91,125.00"
"",Western Cape,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER,IN100121,1/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3120,PER 1LTR,R60.75,"R189,540.04"
"",Western Cape,EDEN MEDICAL SUPPLIES,MEDICAL GLOVES,B401372,17/3/2020,Petty Cash,6,Box of 100,R101.99,R611.96
"",Western Cape,BOLAND PACKING EMBS,HAND SANITIZER,B324447,20/6/2020,Petty Cash,6,per item,R60.92,R365.50
"",Western Cape,BOLAND PACKING EMBS,SPRAY - MARKINGS FOR SOCIAL DISTANCING,A956517,2/5/2020,Petty Cash,,per item,,R992.00
"",Western Cape,BRIGHTS HARDWARE,BATTERIES FOR THEMOMETERS,A956517,11/5/2020,Petty Cash,1,per item,R119.95,R119.95
"",Western Cape,SPAR,BATTERIES FOR THEMOMETERS,A956517,18/5/2020,Petty Cash,1,per item,R199.99,R199.99
"",Western Cape,CHEMICAL CITY,HAND SANITIZER,B651094,26/6/2020,Petty Cash,4,per item,R51.00,R204.00
"",Western Cape,LIFESTYLE FABRICS CURTAINS,CLEANING MATERIAL,B651094,26/6/2020,Petty Cash,3,per item,R27.97,R83.95
"",Western Cape,TIKEDI HOLDING,CLEANING SERVICES,WC-004884,31/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,"R5,787.50","R5,787.50"
"",Western Cape,TRUEGAURD SECURITY AND HYGIENE,CLEANING SERVICES,WC-004878,30/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,"R5,860.00","R5,860.00"
"",Western Cape,LIFO LUFESTYLE MANAGEMENT,CLEANING SERVICES,WC-004882,31/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1,per item,"R5,980.00","R5,980.00"
"",Head Office (Property,U Fbaucniltiuti esso)urcing,Gloves,Petty Cash,17/03/2020,Petty Cash,5,box of 100,R150.00,R750.00
"",Head Office (Property,B EFEac-IiNlitFieOsR)MED (Gloves),Gloves,Petty Cash,17/03/2020,Petty Cash,2,box of 100,R50.00,R100.00
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,17/03/2020,Petty Cash,1,5 litre,"R1,100.00","R1,100.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Masks,Petty Cash,17/03/2020,Petty Cash,40,each,R52.00,"R2,080.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,17/03/2020,Petty Cash,8,each,R149.00,"R1,192.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Masks,Petty Cash,17/03/2020,Petty Cash,1,Box of 100,R11.00,"R1,100.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Masks,Petty Cash,17/03/2020,Petty Cash,1,Box of 100,R11.00,"R1,100.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Masks,Petty Cash,18/03/2020,Petty Cash,1,Box of 100,R11.00,"R1,100.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,18/03/2020,Petty Cash,10,200 ml,R149.00,"R1,490.00"
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,18/03/2020,Petty Cash,5,500 ml,R169.00,R845.00
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,18/03/2020,Petty Cash,1,200 ml,R149.00,R149.00
"",Head Office (Property,U Fnaivceilritsiaels p) ulse trading,Sanitisers,Petty Cash,19/03/2020,Petty Cash,1,5 litre,"R1,100.00","R1,100.00"
"",Head Office (Property,U Fnaivceilritsiaels S)afety Products,Masks,Petty Cash,19/03/2020,Petty Cash,1200,Box of 100,R16.67,"R20,010.00"
"",Head Office (Property,B EFEac-IiNlitFieOsR)MED (Sanitiser),Sanitisers,Petty Cash,19/03/2020,Petty Cash,20,500 ml,R290 00,"R5,800.00"
"",Head Office (Property,M Foatchileitoie Ws) Rona,Gloves,AI-601721,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,20,box of 100,R450.00,"R9,000.00"
"",Head Office (Property,M Foatchileitoie Ws) Rona,Mask,AI-601721,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 100,R55.00,"R110,000.00"
"",Head Office (Property,B aFjaucilities),Sanitisers,Acceptance letter,23/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,20,25 Litres,"R2,750.00","R55,000.00"
"",Head Office (Property,B aFjaucilities),Sanitisers,Acceptance letter,07/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,15,25 Litres,"R2,750.00","R47,437.50"
"",Head Office (Property,B aFjaucilities),Disinfectants,Acceptance letter,23/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3000,500 ml,R55.99,"R167,970.00"
"",Head Office (Property,B aFjaucilities),Disinfectants,Acceptance letter,23/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,500 ml,R55.99,"R70,827.35"
"",Head Office (Property,U Fnaivceilritsiaels S)afety Porducts,Mask - Other (Head Office),AI-601756,03/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30000,box of 400,R20.64,"R619,275.00"
"",Head Office (Property,B aFjaucilities),Sanitisers (Head Office),Acceptance letter,24/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,25 Litres,"R2,750.00","R55,000.00"
"",Head Office (Property,B aFjaucilities),Disinfectants (Head Office),Acceptance letter,24/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,67000,500ml bottle,R55.99,"R167,970.00"
"",Head Office (Property,B aFjaucilities),Sanitisers (Head Office),AI-601 671,07/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3500,25 Litres,"R2,750.00","R41,250.00"
"",Head Office (Property,B aFjauc iLliotigeist)ics,Hand sanitizers,Al-601759,7/4/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,15,25 Litres,"R3,162.47","R47,437.00"
"",Head Office (Property,B aFjauc iLliotigeist)ics,All surface disinfectant,Al-601759,7/4/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,500 ml,R64.39,"R70,827.85"
"",Head Office (Property,G Foaldcsiltitoinese),Digital body thermometer,AI-601765,5/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,460,Each,"R1,800.00","R828,000.00"
"",Head Office (Property,M Faancoilniteie Ts)rading,Faceshield,AI-601741,06/05/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,5000,Each,R79.00,"R395,000.00"
"",Head Office (Property,M Faancoilniteie Ts)rading,Faceshield,AI-601767,06/05/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,7000,Each,R79.00,"R553,000.00"
"",Head Office (Property,B AFaJUci lCitlieasn) ing Chemicals,Hand sanitizers,AI-601728,29/4/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,Litres,"R1,320.00","R228,400.00"
"",Head Office (Property,C OFaHcOiliRtiTe sT)RADING,BOXES OF GLOVES,AI-601770,4/6/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,Box of 100,R99.00,"R792,000.00"
"",Head Office (Property,S hFoanciilsitaineis),PROCURMENT OF FACESHIELD MASKS,AI-601740,6/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,6000,each,R69.00,"R476,100.00",
"",Head Office (Property,S IFYaAcZilIiWtieAs )PROJECTS,12 000 CLOTH MASK REUSABLE,AI-601769,12/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,12000,each,23.50,"R282,000.00"
"",Head Office (Property,M Feadciwlitaiesste)   Packaging (Facilities),Digital Body Thermometer,IA-601766,6/5/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,460,each,"R1,380.00","R634,800.00"
"",Head Office : DDG:FIN,CNLCEEA N&I NSUGP WPLAYR CEHAOIUNSE,SANITIZING WIPES BUCKET,Petty Cash,31/07/2020,Petty Cash,2,500 SHEETS,R358.00,R715.99
"",Head Office (IMS),Gomvrich PTY LTD,Duct Tapes,OR-109723,15/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,Each,R128.50,"R128,500.00"
